api,well,operator,application_type,drill_type,submitted,approved
42-155-00152,RASBERRY /6100 CADDO/ UNIT 1302H,FALCON PRODUCTION LLC,Recompletion,Horizontal,2024-04-02,2024-04-04
42-155-30825,RASBERRY /6100 CADDO/ UNIT 818H,FALCON PRODUCTION LLC,New Drill,Horizontal,2024-04-02,2024-04-04
42-155-30826,RASBERRY /6100 CADDO/ UNIT 819H,FALCON PRODUCTION LLC,New Drill,Horizontal,2024-04-02,2024-04-04
42-155-30824,JACKSON ADAMS 1,ROBERTS & HAMMACK INC.,New Drill,Vertical,2023-08-14,2023-08-22
42-155-30823,WALSER 1,"ABB OIL CO., INC.",New Drill,Vertical,2023-06-28,2023-06-30
42-155-30822,WAGGONER NWNA 541NN,"W.T. WAGGONER ESTATE, INC.",New Drill,Vertical,2023-03-21,2023-03-22
42-155-30821,HORD 1,"ABB OIL CO., INC.",New Drill,Vertical,2022-12-08,2022-12-13
42-155-30820,BELL 1,"ABB OIL CO., INC.",New Drill,Vertical,2022-05-09,2022-05-11
42-155-30819,HUGHSTON UNIT 1,"3-T EXPLORATION, INC.",New Drill,Vertical,2022-02-10,2022-03-14
42-155-30818,THOMPSON 2,"ABB OIL CO., INC.",New Drill,Vertical,2021-11-29,2021-12-01
42-155-30800,DRABEK 1,"CLEAR BROOKE RANCHES, LLC",Recompletion,Vertical,2021-10-22,2021-12-10
42-155-30817,WHATLEY 1A,"FERGUS OIL & GAS, LLC",New Drill,Vertical,2021-10-22,2021-10-28
42-155-30816,THOMPSON 1,"ABB OIL CO., INC.",New Drill,Vertical,2021-02-02,2021-02-09
42-155-30815,"JOHNSON, L. K. 8N",NWG OPERATING LLC,New Drill,Vertical,2020-09-08,2020-09-09
42-155-30814,CHRISTOPHER 1,"DELFIN OPERATING, LLC",New Drill,Vertical,2019-12-20,2020-02-26
42-155-30813,MCMAHON 1,"ABB OIL CO., INC.",New Drill,Vertical,2019-11-01,2019-11-05
42-155-30812,THOMAS-WRIGHT 2,ROBERTS & HAMMACK INC.,New Drill,Vertical,2019-10-21,2019-10-25
42-155-30811,"WELCH, JAMES A. 3","WILLIAMS, A. OIL",New Drill,Vertical,2019-08-01,2019-08-12
42-155-30810,LK JOHNSON 7N,NWG OPERATING LLC,New Drill,Vertical,2019-05-14,2019-05-16
42-155-30809,L.K. JOHNSON 6N,NWG OPERATING LLC,New Drill,Vertical,2019-02-04,2019-02-04
42-155-30671,THOMAS 1,BUFFCO PRODUCTION INC.,Recompletion,Vertical,2019-01-02,2019-01-08
42-155-30808,L.K. JOHNSON 3N,NWG OPERATING LLC,New Drill,Vertical,2018-05-01,2018-05-01
42-155-30807,CARROLL 2,"WILLIAMS, A. OIL",New Drill,Vertical,2018-04-08,2018-04-12
42-155-30806,WALSER 1,"DRY FORK PRODUCTION CO., LLC",New Drill,Vertical,2018-03-27,2018-03-28
42-155-30805,HALSELL 1,RIDGE PETROLEUM INC.,New Drill,Vertical,2018-01-29,2018-01-30
42-155-30804,"WELCH, J. A. 2","MENASCO, J.",New Drill,Vertical,2017-11-10,2018-02-13
42-155-30804,WELCH 2,"MENASCO, J.",New Drill,Vertical,2017-08-10,2017-08-31
42-155-30803,THOMAS-WRIGHT 1,ROBERTS & HAMMACK INC.,New Drill,Vertical,2017-05-15,2017-05-26
42-155-30802,L.K. JOHNSON 2N,NWG OPERATING LLC,New Drill,Vertical,2017-03-23,2017-03-24
42-155-30801,L.K. JOHNSON 1N,NWG OPERATING LLC,New Drill,Vertical,2016-11-09,2016-12-01
42-155-30799,HEMINGWAY 1,"MODERN EXPLORATION, INC.",New Drill,Vertical,2015-09-10,2015-09-17
42-155-30800,DRABEK 1,"MODERN EXPLORATION, INC.",New Drill,Vertical,2015-09-10,2015-09-17
42-155-30798,COOPER 14,"MUIRFIELD EXPLORATION, LTD.",New Drill,Vertical,2015-08-21,2015-09-14
42-155-30797,USO 1701,"U. S. OPERATING, INC.",New Drill,Vertical,2015-06-26,2015-07-06
42-155-30796,BABE 2,"FIRST EXPLORATION, LTD.",New Drill,Vertical,2015-04-15,2015-04-21
42-155-30795,BLACKJACK 1,"FIRST EXPLORATION, LTD.",New Drill,Vertical,2015-01-21,2015-01-27
42-155-30795,BLACKJACK 1,"FIRST EXPLORATION, LTD.",New Drill,Vertical,2014-11-11,2014-11-13
42-155-30794,BABE 1,"FIRST EXPLORATION, LTD.",New Drill,Vertical,2014-11-11,2014-11-12
42-155-30793,CARROLL 1,"MENASCO, J.",New Drill,Vertical,2014-09-10,2014-09-22
42-155-30790,SANDIFER-CAMPBELL 6101,"STAR PRODUCTION, INC.",New Drill,Vertical,2014-08-27,2014-09-23
42-155-30792,JOHN GLENN HALSELL '377' 1,"STAR PRODUCTION, INC.",New Drill,Vertical,2014-08-27,2014-09-19
42-155-30791,JOHN GLENN HALSELL '49' 4901,"STAR PRODUCTION, INC.",New Drill,Vertical,2014-08-26,2014-09-19
42-155-30789,PICKENS 'B' 3,"CHISHOLM OPERATING, INC.",New Drill,Vertical,2014-06-19,2014-09-09
42-155-30788,MCCOY 1,"S.B. STREET OPERATING, INC.",New Drill,Vertical,2014-03-19,2014-04-11
42-155-30781,PICKENS 'B' 2,"CHISHOLM OPERATING, INC.",Re-Enter,Vertical,2013-12-09,2013-12-23
42-155-30787,TURNBOUGH 1,JLA RESOURCES COMPANY,New Drill,Vertical,2013-10-04,2013-10-11
42-155-30786,TE-144 1CP,ENTERPRISE PRODUCTS OPERATINGLLC,New Drill,Vertical,2013-08-30,2013-09-06
42-155-30785,PICKENS B 1,"CHISHOLM OPERATING, INC.",New Drill,Vertical,2013-08-23,2013-09-04
42-155-30644,MCCOY 1,"MODERN EXPLORATION, INC.",Re-Enter,Vertical,2013-08-21,2013-09-03
