api,well,operator,application_type,drill_type,submitted,approved
42-157-33286,PANTHER 2,"DELFIN OPERATING, LLC",New Drill,Vertical,2023-10-18,2023-10-24
42-157-02520,"MYERS, A. E. 9D","DENBURY ONSHORE, LLC",Reclass,Vertical,2023-06-22,2023-08-07
42-157-33283,DAVIS 317,HAMMAN OIL & REFINING COMPANY,New Drill,Vertical,2023-04-24,2023-04-28
42-157-33284,"DAVIS, T. W. 312",HAMMAN OIL & REFINING COMPANY,New Drill,Vertical,2023-04-24,2023-04-28
42-157-33285,"DAVIS, T. W. 318",HAMMAN OIL & REFINING COMPANY,New Drill,Vertical,2023-04-24,2023-04-28
42-157-31827,GRIGAR R 1,"CREST RESOURCES, INC.",Recompletion,Vertical,2023-04-10,2023-04-18
42-157-32004,GRIGAR 3,"CREST RESOURCES, INC.",Recompletion,Directional,2023-04-10,2023-04-13
42-157-33282,LEHMAN 1,"KEBO OIL & GAS, INC.",New Drill,Vertical,2023-03-16,2023-03-20
42-157-33281,SALT 2A,"UNITED SALT BLUE RIDGE HLDGS,LLC",New Drill,Vertical,2023-02-01,2023-05-10
42-157-33280,WEST SCHENCK 'B' 2203,Blue Ridge Operating LLC,New Drill,Vertical,2022-10-05,2022-10-12
42-157-33279,WEST SCHENCK 'B' 2201,Blue Ridge Operating LLC,New Drill,Vertical,2022-10-05,2022-10-07
42-157-32156,KST KATY 11,ENSTOR KATY STORAGE & TRANSP LP,Recompletion,Horizontal,2021-12-07,2021-12-10
42-157-33278,CITIES SERVICES FEE 2140,"VICEROY PETROLEUM, LP",New Drill,Vertical,2021-08-25,2021-08-31
42-157-33277,"BOOTH, F. I. ET AL B -A- 73H","PELES, LLC",New Drill,Horizontal,2021-05-12,2021-05-20
42-157-33276,WEST-SCHENCK 'B' 2101,"VICEROY PETROLEUM, LP",New Drill,Vertical,2021-05-11,2021-05-14
42-157-33275,WEST SCHENCK B 2102,"VICEROY PETROLEUM, LP",New Drill,Vertical,2021-03-05,2021-03-10
42-157-33273,CITIES SERVICES FEE 2138,"VICEROY PETROLEUM, LP",New Drill,Vertical,2021-02-24,2021-03-03
42-157-33274,CITIES SERVICE FEE 2139,"VICEROY PETROLEUM, LP",New Drill,Vertical,2021-02-24,2021-03-01
42-157-33271,WEST SCHENCK 'B' 2103,"VICEROY PETROLEUM, LP",New Drill,Vertical,2021-02-10,2021-02-12
42-157-33272,WEST SCHENCK 'B' 2104,"VICEROY PETROLEUM, LP",New Drill,Vertical,2021-02-10,2021-02-12
42-157-33270,"BOOTH, F. I., ETAL B -A- 72H","PELES, LLC",New Drill,Horizontal,2021-01-18,2021-01-28
42-157-33269,CITIES SERVICE FEE 2019,"VICEROY PETROLEUM, LP",New Drill,Vertical,2020-08-13,2020-08-17
42-157-33268,CITIES SERVICE FEE 2017,"VICEROY PETROLEUM, LP",New Drill,Vertical,2020-08-13,2020-08-14
42-157-33266,CITIES SERVICE FEE 2001,"VICEROY PETROLEUM, LP",New Drill,Vertical,2019-12-13,2019-12-17
42-157-33267,CITIES SERVICE FEE 2002,"VICEROY PETROLEUM, LP",New Drill,Vertical,2019-12-13,2019-12-17
42-157-32993,ROBERT MYSKA 4,REO OPERATING LLC,Recompletion,Directional,2019-11-18,2019-11-21
42-157-32844,HURTA 4,"SUE-ANN OPERATING, L.C.",Recompletion,Vertical,2019-11-01,2019-11-05
42-157-31899,KST KATY 3,ENSTOR KATY STORAGE & TRANSP LP,Recompletion,Horizontal,2019-10-22,2019-10-29
42-157-33257,CITIES SERVICES FEE 1826D,"VICEROY PETROLEUM, LP",New Drill,Directional,2019-09-30,2019-10-07
42-157-33265,TUSCANY LAKES 1933,"VICEROY PETROLEUM, LP",New Drill,Vertical,2019-09-26,2019-09-26
42-157-33264,TUSCANY LAKES 1931,"VICEROY PETROLEUM, LP",New Drill,Vertical,2019-09-18,2019-09-19
42-157-33263,HARTFIEL 1,"RICOCHET ENERGY, INC.",New Drill,Vertical,2019-08-06,2019-10-14
42-157-32136,HERCULES SWD 1,COBRA OIL & GAS CORPORATION,Recompletion,Vertical,2019-07-08,2019-07-10
42-157-33259,CITIES SERVICES FEE 1955,"VICEROY PETROLEUM, LP",New Drill,Vertical,2019-06-26,2019-06-27
42-157-33260,CITIES SERVICES FEE 1950,"VICEROY PETROLEUM, LP",New Drill,Vertical,2019-06-21,2019-06-26
42-157-33261,CITIES SERVICES FEE 1951,"VICEROY PETROLEUM, LP",New Drill,Vertical,2019-06-21,2019-06-26
42-157-33262,CITIES SERVICES FEE 1952,"VICEROY PETROLEUM, LP",New Drill,Vertical,2019-06-21,2019-06-26
42-157-32451,MIDDLEBROOK-KULCAK 1,"SUE-ANN OPERATING, L.C.",Recompletion,Vertical,2019-04-19,2019-04-25
