api,well,operator,application_type,drill_type,submitted,approved
42-159-30644,RIPLEY CREEK 1,"FAIR OIL, LTD.",New Drill,Vertical,2023-09-26,2023-09-27
42-159-30643,LUNDELL CREEK 1,"SOUTHWEST OPERATING, INC.-TYLER",New Drill,Vertical,2023-05-04,2023-05-25
42-159-30642,DAVIS HRS 1,"SOUTHWEST OPERATING, INC.-TYLER",New Drill,Vertical,2022-11-18,2022-12-08
42-159-30558,HERNANDEZ 1,"FAIR OIL, LTD.",Recompletion,Vertical,2022-11-11,2022-11-21
42-159-30567,HERNANDEZ 2,"FAIR OIL, LTD.",Recompletion,Vertical,2022-11-03,2022-11-08
42-159-30554,BULLARD 1,VALENCE OPERATING COMPANY,Recompletion,Vertical,2021-03-22,2021-03-25
42-159-00543,NEW HOPE UNIT 672,XTO ENERGY INC.,Recompletion,Vertical,2018-03-26,2018-03-28
42-159-30641,038-017 01,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2017-06-12,2017-06-27
42-159-30640,LINDLEY 1,HARLETON OIL & GAS INC.,New Drill,Vertical,2016-09-21,2016-09-30
42-159-30353,TALCO WEST UNIT 2219,XTO ENERGY INC.,Recompletion,Vertical,2016-05-06,2016-05-06
42-159-30275,PENN FEE 68A,XTO ENERGY INC.,Recompletion,Vertical,2015-07-30,2015-08-06
42-159-30492,NEW HOPE UNIT 1202,XTO ENERGY INC.,Recompletion,Vertical,2015-07-29,2015-07-30
42-159-30639,NEW HOPE UNIT 402,XTO ENERGY INC.,New Drill,Vertical,2015-07-15,2015-07-27
42-159-30638,NEW HOPE UNIT 1703,XTO ENERGY INC.,New Drill,Vertical,2015-07-15,2015-07-27
42-159-00541,NEW HOPE UNIT 93,XTO ENERGY INC.,Recompletion,Vertical,2015-05-21,2015-05-27
42-159-30636,NEW HOPE UNIT 502,XTO ENERGY INC.,New Drill,Vertical,2015-05-05,2015-05-12
42-159-30637,O38 26,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2015-05-01,2015-05-08
42-159-30489,NEW HOPE UNIT 2202,XTO ENERGY INC.,Recompletion,Vertical,2015-04-29,2015-05-07
42-159-30538,NEW HOPE UNIT 1502,XTO ENERGY INC.,Recompletion,Vertical,2015-04-27,2015-05-06
42-159-30635,NEW HOPE UNIT 2104,XTO ENERGY INC.,New Drill,Vertical,2015-04-27,2015-05-06
42-159-30634,NEW HOPE UNIT 6903,XTO ENERGY INC.,New Drill,Directional,2015-04-24,2015-04-30
42-159-30633,NEW HOPE UNIT 1606,XTO ENERGY INC.,New Drill,Directional,2015-04-23,2015-05-05
42-159-30632,NEW HOPE UNIT 12,XTO ENERGY INC.,New Drill,Vertical,2015-04-08,2015-04-24
42-159-30631,NEW HOPE UNIT 2204,XTO ENERGY INC.,New Drill,Directional,2015-04-07,2015-04-15
42-159-30630,TODD 1,"NEW CENTURY EXPLORATION, INC.",New Drill,Vertical,2015-03-11,2015-03-12
42-159-30472,NEW HOPE DEEP UNIT 47D,XTO ENERGY INC.,Recompletion,Vertical,2015-02-24,2015-02-25
42-159-30240,NEW HOPE UNIT 622,XTO ENERGY INC.,Recompletion,Vertical,2014-10-16,2014-10-28
42-159-30486,NEW HOPE UNIT 163,XTO ENERGY INC.,Recompletion,Vertical,2014-09-16,2014-11-03
42-159-00549,NEW HOPE UNIT 681,XTO ENERGY INC.,Recompletion,Vertical,2014-08-15,2014-09-12
42-159-30546,NEW HOPE UNIT 1605,XTO ENERGY INC.,Recompletion,Vertical,2014-07-29,2014-09-08
42-159-30629,L. D. STEWART 2,"FAIR OIL, LTD.",New Drill,Vertical,2014-07-25,2014-08-30
42-159-30628,MARY IDA STONE UNIT 2 1,HARLETON OIL & GAS INC.,New Drill,Vertical,2014-07-09,2014-08-07
42-159-30627,TALCO WEST UNIT 3910,XTO ENERGY INC.,New Drill,Vertical,2014-06-25,2014-07-25
42-159-30626,TALCO WEST UNIT 4518,XTO ENERGY INC.,New Drill,Vertical,2014-05-07,2014-06-20
42-159-30624,TALCO WEST UNIT 2408,XTO ENERGY INC.,New Drill,Directional,2014-05-05,2014-06-19
42-159-30625,TALCO WEST UNIT 2409,XTO ENERGY INC.,New Drill,Directional,2014-05-05,2014-06-19
42-159-30623,TALCO WEST UNIT 0202,XTO ENERGY INC.,New Drill,Vertical,2014-04-15,2014-05-31
42-159-30621,TALCO WEST UNIT 1104,XTO ENERGY INC.,New Drill,Vertical,2014-04-11,2014-05-30
42-159-30622,TALCO WEST UNIT 0102,XTO ENERGY INC.,New Drill,Vertical,2014-04-11,2014-05-30
42-159-30619,TALCO WEST UNIT 7316,XTO ENERGY INC.,New Drill,Vertical,2014-04-08,2014-05-29
42-159-30620,TALCO WEST UNIT 5803,XTO ENERGY INC.,New Drill,Vertical,2014-04-08,2014-05-29
42-159-30618,TALCO WEST UNIT 0308,XTO ENERGY INC.,New Drill,Vertical,2014-03-26,2014-05-08
42-159-30617,TALCO WEST UNIT 7801,XTO ENERGY INC.,New Drill,Vertical,2014-03-24,2014-05-03
42-159-30616,TALCO WEST UNIT 2606I,XTO ENERGY INC.,New Drill,Vertical,2014-03-04,2014-04-05
42-159-30614,PRINCE & NORMAN 8,"ARCADIA OPERATING, LLC",New Drill,Vertical,2014-03-04,2014-03-21
42-159-30615,TALCO WEST UNIT 1712I,XTO ENERGY INC.,New Drill,Vertical,2014-02-28,2014-03-31
42-159-30609,TALCO WEST UNIT 0307I,XTO ENERGY INC.,New Drill,Vertical,2014-02-26,2014-03-25
42-159-30607,TALCO WEST UNIT 2704I,XTO ENERGY INC.,New Drill,Vertical,2014-02-24,2014-03-21
42-159-30608,TALCO WEST UNIT 1103I,XTO ENERGY INC.,New Drill,Vertical,2014-02-24,2014-03-21
42-159-30613,TALCO WEST UNIT 4207,XTO ENERGY INC.,New Drill,Vertical,2014-02-21,2014-03-31
42-159-30612,TALCO WEST UNIT 3909,XTO ENERGY INC.,New Drill,Vertical,2014-02-21,2014-03-28
42-159-30611,TALCO WEST UNIT 2233,XTO ENERGY INC.,New Drill,Vertical,2014-02-19,2014-03-22
42-159-30610,TALCO WEST UNIT 2232,XTO ENERGY INC.,New Drill,Vertical,2014-02-18,2014-03-22
42-159-30605,TALCO WEST UNIT 0306I,XTO ENERGY INC.,New Drill,Vertical,2014-02-17,2014-03-12
42-159-30606,TALCO WEST UNIT 2231,XTO ENERGY INC.,New Drill,Vertical,2014-02-07,2014-03-10
42-159-30603,TALCO WEST UNIT 0502,XTO ENERGY INC.,New Drill,Vertical,2014-01-24,2014-02-21
42-159-30604,TALCO WEST UNIT 1014,XTO ENERGY INC.,New Drill,Vertical,2014-01-24,2014-02-21
42-159-30596,TALCO WEST UNIT 4517,XTO ENERGY INC.,New Drill,Vertical,2014-01-23,2014-02-21
42-159-30602,TALCO WEST UNIT 1620,XTO ENERGY INC.,New Drill,Directional,2014-01-23,2014-02-21
