api,well,operator,application_type,drill_type,submitted,approved
42-169-30247,"WHEELER, VALTON 2","HEXP OPERATING, LLC",Recompletion,Vertical,2024-12-05,2024-12-09
42-169-31495,SOUTHEAST GARZA UNIT 327,"BROWN, GEO. R PARTNERSHIP,LP,THE",Re-Enter,Vertical,2024-11-06,2024-11-12
42-169-34313,HAPPY 1,"HALVEY ENERGY, LLC",New Drill,Directional,2024-08-09,2024-08-13
42-169-33051,KIRKPATRICK 'A' 1,"MCCLURE OIL COMPANY, INC.",Re-Enter,Vertical,2024-07-23,2024-07-26
42-169-00804,POST-MONTGOMERY UNIT 1 S 1B,"BROWN, GEO. R PARTNERSHIP,LP,THE",Reclass,Vertical,2024-06-25,2024-07-10
42-169-02110,POST-MONTGOMERY UNIT 1 S 2B,"BROWN, GEO. R PARTNERSHIP,LP,THE",Reclass,Vertical,2024-06-25,2024-07-10
42-169-33051,KIRKPATRICK 'A' 1,"MCCLURE OIL COMPANY, INC.",Re-Enter,Vertical,2024-05-31,2024-06-03
42-169-34312,PEPPA 32 1MH,"MCCLURE OIL COMPANY, INC.",New Drill,Horizontal,2024-05-08,2024-05-10
42-169-34311,WILE E. COYOTE 7 1MH,"MCCLURE OIL COMPANY, INC.",New Drill,Horizontal,2024-05-07,2024-05-10
42-169-34242,LOTT 37 2,SMITH ENERGY OPERATING COMPANY,Recompletion,Directional,2024-05-03,2024-05-08
42-169-34312,PEPPA 32 1MH,"MCCLURE OIL COMPANY, INC.",New Drill,Horizontal,2024-04-30,2024-05-07
42-169-34311,WILE E. COYOTE 7 1MH,"MCCLURE OIL COMPANY, INC.",New Drill,Horizontal,2024-02-27,2024-03-06
42-169-32445,FEATHER 14 1W,"MCCLURE OIL COMPANY, INC.",Re-Enter,Vertical,2024-02-14,2024-02-21
42-169-34310,LOTT 38 1,SMITH ENERGY OPERATING COMPANY,New Drill,Vertical,2023-10-30,2023-11-08
42-169-31999,KLINE 3,"THREE SPAN OIL & GAS, INC.",Recompletion,Vertical,2023-08-15,2023-08-18
42-169-34309,SPRING CREEK 1R,GUNN OIL COMPANY,New Drill,Vertical,2023-05-02,2023-05-02
42-169-33503,ROCKINGHORSE '944' 2,YATES ENERGY CORPORATION,Recompletion,Vertical,2023-03-23,2023-04-03
42-169-34308,EAST SLAUGHTER 1,GUNN OIL COMPANY,New Drill,Vertical,2023-02-22,2023-04-04
42-169-34307,SPRING CREEK 1,GUNN OIL COMPANY,New Drill,Vertical,2023-01-26,2023-01-30
42-169-34306,MONTY 1223 1H,"DISCOVERY OPERATING, INC.",New Drill,Horizontal,2023-01-25,2023-02-13
42-169-34306,MONTY 1223 1H,"DISCOVERY OPERATING, INC.",New Drill,Horizontal,2023-01-06,2023-01-19
42-169-00344,POST-MONTGOMERY UNIT 1 B 1,"BROWN, GEO. R PARTNERSHIP,LP,THE",Reclass,Vertical,2022-11-29,2022-12-07
42-169-00376,POST-MONTGOMERY UNIT 1 D 5,"BROWN, GEO. R PARTNERSHIP,LP,THE",Reclass,Vertical,2022-11-29,2022-12-07
42-169-34305,BARKER A 5,THREE R OIL COMPANY,New Drill,Vertical,2022-09-05,2022-09-23
42-169-34304,BARKER A 6,THREE R OIL COMPANY,New Drill,Vertical,2022-09-05,2022-09-23
42-169-34303,POST-MONTGOMERY UNIT 1 A 70H,"BROWN, GEO. R PARTNERSHIP,LP,THE",New Drill,Horizontal,2022-05-20,2022-07-06
42-169-34303,POST-MONTGOMERY UNIT 1 A 70H,"BROWN, GEO. R PARTNERSHIP,LP,THE",New Drill,Horizontal,2022-04-05,2022-05-17
42-169-34302,CITY OF POST SAN ANDRES 'A' WF1 B 5MK,"BROWN, GEO. R PARTNERSHIP,LP,THE",New Drill,Horizontal,2022-04-05,2022-04-12
42-169-34301,MABEL 3,DAS OIL CO. L.L.C.,New Drill,Vertical,2022-03-25,2022-04-04
