api,well,operator,application_type,drill_type,submitted,approved
42-173-39225,FLINTLOCK E 9DN,"OXYROCK OPERATING, LLC",New Drill,Horizontal,2025-01-16,2025-01-17
42-173-39226,FLINTLOCK E 10HD,"OXYROCK OPERATING, LLC",New Drill,Horizontal,2025-01-16,2025-01-17
42-173-39227,FLINTLOCK E 11JM,"OXYROCK OPERATING, LLC",New Drill,Horizontal,2025-01-16,2025-01-17
42-173-39228,FLINTLOCK F 12HA,"OXYROCK OPERATING, LLC",New Drill,Horizontal,2025-01-16,2025-01-17
42-173-39229,FLINTLOCK F 13LM,"OXYROCK OPERATING, LLC",New Drill,Horizontal,2025-01-16,2025-01-17
42-173-39230,FLINTLOCK F 14HB,"OXYROCK OPERATING, LLC",New Drill,Horizontal,2025-01-16,2025-01-17
42-173-39231,FLINTLOCK F 15DN,"OXYROCK OPERATING, LLC",New Drill,Horizontal,2025-01-16,2025-01-17
42-173-39232,FLINTLOCK G 16HD,"OXYROCK OPERATING, LLC",New Drill,Horizontal,2025-01-16,2025-01-17
42-173-39223,FLINTLOCK E 7LM,"OXYROCK OPERATING, LLC",New Drill,Horizontal,2025-01-15,2025-01-17
42-173-39224,FLINTLOCK E 8HB,"OXYROCK OPERATING, LLC",New Drill,Horizontal,2025-01-15,2025-01-17
42-173-39218,FLINTLOCK 1JM,"OXYROCK OPERATING, LLC",New Drill,Horizontal,2025-01-14,2025-01-17
42-173-39219,FLINTLOCK 2DN,"OXYROCK OPERATING, LLC",New Drill,Horizontal,2025-01-14,2025-01-17
42-173-39220,FLINTLOCK 3BB,"OXYROCK OPERATING, LLC",New Drill,Horizontal,2025-01-14,2025-01-17
42-173-39221,FLINTLOCK 4HD,"OXYROCK OPERATING, LLC",New Drill,Horizontal,2025-01-14,2025-01-17
42-173-39222,FLINTLOCK 5HA,"OXYROCK OPERATING, LLC",New Drill,Horizontal,2025-01-14,2025-01-17
42-173-37816,GREEN HORNET WEST 2,"TRILOGY OPERATING, INC.",Recompletion,Vertical,2025-01-09,2025-01-10
42-173-37944,HUTCHISON-TEELE 10 301HB,"Civitas Permian Operating, LLC",New Drill,Horizontal,2025-01-08,2025-01-09
42-173-37947,HUTCHISON-TEELE 20 302HB,"Civitas Permian Operating, LLC",New Drill,Horizontal,2025-01-08,2025-01-09
42-173-37972,HUTCHISON-TEELE 30 303HB,"Civitas Permian Operating, LLC",New Drill,Horizontal,2025-01-08,2025-01-09
42-173-37979,HUTCHISON-TEELE 40 304HB,"Civitas Permian Operating, LLC",New Drill,Horizontal,2025-01-08,2025-01-09
42-173-34499,CALVERLEY 40 4,"Vital Energy, Inc.",Recompletion,Vertical,2024-12-30,2024-12-31
42-173-34263,CURRIE RANCH 14 3,"Vital Energy, Inc.",Recompletion,Vertical,2024-12-30,2024-12-31
42-173-33918,SOUTH BOXCAR 3 3,"Vital Energy, Inc.",Recompletion,Vertical,2024-12-30,2024-12-31
42-173-39180,MOLLIE 44-41 06 6H,"Hannathon Petroleum II, LLC",New Drill,Horizontal,2024-12-20,
42-173-39178,MOLLIE 44-41 04 4H,"Hannathon Petroleum II, LLC",New Drill,Horizontal,2024-12-20,
42-173-39184,MOLLIE 44-41 03 3H,"Hannathon Petroleum II, LLC",New Drill,Horizontal,2024-12-20,
42-173-39179,MOLLIE 44-41 05 5H,"Hannathon Petroleum II, LLC",New Drill,Horizontal,2024-12-20,
42-173-39183,MOLLIE 44-32 02 2H,"Hannathon Petroleum II, LLC",New Drill,Horizontal,2024-12-20,
42-173-39182,MOLLIE 44-32 01 1H,"Hannathon Petroleum II, LLC",New Drill,Horizontal,2024-12-20,
42-173-39159,EDWIN WILDE 10-15 E 5WB,"BLACK SWAN OPCO, LLC",New Drill,Horizontal,2024-12-13,2024-12-13
42-173-39211,GLASS 45-33 02 2H,"Hannathon Petroleum II, LLC",New Drill,Horizontal,2024-12-11,2024-12-13
42-173-39213,GLASS 45-33 04 4H,"Hannathon Petroleum II, LLC",New Drill,Horizontal,2024-12-11,2024-12-13
42-173-39215,GLASS 45-33 06 6H,"Hannathon Petroleum II, LLC",New Drill,Horizontal,2024-12-11,2024-12-13
