api,well,operator,application_type,drill_type,submitted,approved
42-175-33344,PETTUS HEIRS 3,"MAGNUM PRODUCING, LP",Recompletion,Vertical,2024-05-16,2024-10-16
42-175-34033,"WEISE, FRITZ 9",UNITED TEXAS OIL LLC,Recompletion,Vertical,2024-01-30,2024-02-02
42-175-34279,WELDER HEIRS CJ 5,"CHARRO OPERATING, L.L.C.",New Drill,Vertical,2023-08-23,2023-08-25
42-175-34280,HOLT-GANTT 1,WELDERXP LTD.,New Drill,Vertical,2023-08-23,2023-08-25
42-175-34278,RICHARD LUCAS 1,Energy2 Partners LLC,New Drill,Vertical,2023-08-10,2023-08-17
42-175-33009,SCARBOROUGH 3,PALEO OIL COMPANY LLC,Recompletion,Vertical,2023-05-30,2023-05-31
42-175-33012,"PETTUS, W. W. HEIRS 1","MAGNUM PRODUCING, LP",Recompletion,Vertical,2023-05-17,2023-05-22
42-175-34275,DUKE RANCH -16- 1,"T-C OIL COMPANY, LLC",New Drill,Vertical,2023-01-30,2023-02-01
42-175-34276,DUKE RANCH -17- 1,"T-C OIL COMPANY, LLC",New Drill,Vertical,2023-01-30,2023-02-01
42-175-34277,DUKE RANCH -18- 1,"T-C OIL COMPANY, LLC",New Drill,Vertical,2023-01-30,2023-02-01
42-175-33728,DUKE RANCH -G- 1,"T-C OIL COMPANY, LLC",Recompletion,Vertical,2022-10-28,2022-11-04
42-175-33652,SCHENDEL 1,VENTEX OPERATING CORP.,Recompletion,Vertical,2022-09-07,2022-09-15
42-175-34274,STEFFENS 1,"CIMARRON ENGINEERING, LLC",New Drill,Vertical,2022-05-04,2022-05-06
42-175-33344,PETTUS HEIRS 3,"MAGNUM PRODUCING, LP",Recompletion,Vertical,2022-04-26,2022-05-16
42-175-34272,WORLEY 5,"RAVEN FOREST OPERATING, LLC",New Drill,Vertical,2022-04-20,2022-04-26
42-175-34273,TSOTSOS 5,"RAVEN FOREST OPERATING, LLC",New Drill,Directional,2022-04-20,2022-04-26
42-175-33501,PETTUS HEIRS 5,"MAGNUM PRODUCING, LP",Recompletion,Vertical,2022-04-20,2022-04-25
42-175-34271,WORLEY 4,"RAVEN FOREST OPERATING, LLC",New Drill,Vertical,2022-04-20,2022-04-22
42-175-34269,G.A. RAY -C- 1,"WELDER EXPLORATION & PROD., INC.",New Drill,Vertical,2022-02-01,2022-02-16
42-175-34267,WORLEY 8,"RAVEN FOREST OPERATING, LLC",New Drill,Vertical,2021-10-27,2021-11-03
42-175-33563,SCOTT 3H,UNITED TEXAS OIL LLC,Recompletion,Horizontal,2021-10-05,2021-10-12
42-175-31899,ARCO V. ALBRECHT 1,DEWBRE PETROLEUM CORPORATION,Recompletion,Vertical,2021-05-10,2021-05-20
42-175-34262,CLARKSON 1,"CHARRO OPERATING, L.L.C.",Recompletion,Vertical,2021-03-10,2021-03-12
42-175-34266,SWICKHEIMER 1,"VANTAGE OPERATING, LLC",New Drill,Vertical,2021-02-01,2021-03-04
42-175-34265,THOM-TRNS-54 1,"TEXAS EASTERN TRANSMISSION, LP",New Drill,Vertical,2020-10-16,2020-10-20
42-175-33815,LUCAS 2,"GWM OPERATING COMPANY, LLC",Recompletion,Vertical,2020-10-15,2020-10-20
42-175-34264,ALTA VISTA 1,PALEO OIL COMPANY LLC,New Drill,Vertical,2020-02-20,2020-02-25
42-175-34263,MAREK-WHITLEY 1,"CIMARRON ENGINEERING, LLC",New Drill,Vertical,2019-11-11,2019-11-19
42-175-34262,CLARKSON 1,"CHARRO OPERATING, L.L.C.",New Drill,Vertical,2019-07-24,2019-07-25
42-175-33519,CUNNINGHAM 1,NOG PRODUCTION & OPERATING LLC,Recompletion,Vertical,2018-12-17,2018-12-18
42-175-32133,HARKINS 6,"CHARRO OPERATING, L.L.C.",Recompletion,Vertical,2018-10-16,2018-10-18
42-175-34255,WELDER HEIRS CJ 2,"CHARRO OPERATING, L.L.C.",Recompletion,Vertical,2018-10-16,2018-10-17
42-175-34260,MCGUILL-JACKSON 1,"CIMARRON ENGINEERING, LLC",New Drill,Vertical,2018-09-26,2018-09-26
