api,well,operator,application_type,drill_type,submitted,approved
42-177-34740,MIMAS A 1H,"Baytex Energy USA, Inc.",New Drill,Horizontal,2025-01-14,2025-01-16
42-177-34741,MIMAS B 2H,"Baytex Energy USA, Inc.",New Drill,Horizontal,2025-01-14,2025-01-16
42-177-34763,MIMAS C 3H,"Baytex Energy USA, Inc.",New Drill,Horizontal,2025-01-14,2025-01-16
42-177-34695,BARNHART (EF) 63H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-12-19,2024-12-20
42-177-34696,BARNHART (EF) 64H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-12-19,2024-12-20
42-177-34762,FARRAR 1,"LP OPERATING, LLC",New Drill,Vertical,2024-12-11,2025-01-14
42-177-34760,CHERRY BERGEY SELMAN SA5 5H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-12-09,2025-01-08
42-177-34758,CHERRY BERGEY SA1 1H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-12-09,2024-12-13
42-177-34759,CHERRY BERGEY SELMAN SA4 4H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-12-09,2024-12-13
42-177-34756,VOYAGEURS J 9H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-12-05,2025-01-03
42-177-34761,WHYBURN UNIT 9H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-12-05,2024-12-10
42-177-34757,VOYAGEURS K 10H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-12-05,2024-12-09
42-177-34746,BARNHART (EF)-J.M. PRESTON SA6 123H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-12-03,2024-12-09
42-177-34747,BARNHART (EF)-J.M. PRESTON SA10 125H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-12-03,2024-12-09
42-177-34748,BARNHART (EF)-HFS SA1 126H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-12-03,2024-12-09
42-177-34749,BARNHART (EF)-HFS SA2 127H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-12-03,2024-12-09
42-177-34750,BARNHART (EF)-HFS SA3 129H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-12-03,2024-12-09
42-177-34751,BARNHART (EF)-HFS SA4 131H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-12-03,2024-12-04
42-177-34752,BARNHART (EF)-HFS SA5 132H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-12-03,2024-12-04
42-177-34753,BARNHART (EF)-HFS SA6 134H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-12-03,2024-12-04
42-177-34754,BARNHART (EF)-HFS SA7 135H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-12-03,2024-12-04
42-177-34755,BARNHART (EF)-HFS SA8 137H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-12-03,2024-12-04
42-177-34706,BARNHART (EF) 98H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-11-18,2024-12-18
42-177-34745,OREDIGGER D 4H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-11-18,2024-11-19
42-177-34742,OREDIGGER A 1H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-11-18,2024-11-19
42-177-34743,OREDIGGER B 2H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-11-18,2024-11-19
42-177-34744,OREDIGGER C 3H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-11-18,2024-11-19
42-177-34740,MIMAS A 1H,"Baytex Energy USA, Inc.",New Drill,Horizontal,2024-10-22,2024-10-25
42-177-34741,MIMAS B 2H,"Baytex Energy USA, Inc.",New Drill,Horizontal,2024-10-22,2024-10-25
42-177-34699,BORRELLY A 1H,"Baytex Energy USA, Inc.",New Drill,Horizontal,2024-10-15,2024-10-16
42-177-34694,TINSLEY-GRIFFIN AW 1H,"AUTERRA OPERATING, LLC",New Drill,Horizontal,2024-10-04,2024-10-08
42-177-34739,BADLANDS J 9H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-09-25,2024-09-30
42-177-34733,BADLANDS F 6H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-09-25,2024-09-26
42-177-34735,BADLANDS G 7H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-09-25,2024-09-26
42-177-34738,BADLANDS H 8H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-09-25,2024-09-26
42-177-34732,WIND CAVE A 1H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-09-25,2024-09-26
42-177-34734,WIND CAVE B 2H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-09-25,2024-09-26
42-177-34736,WIND CAVE C 3H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-09-25,2024-09-26
42-177-34737,WIND CAVE D 4H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-09-25,2024-09-26
42-177-34731,SOUTHERN CROSS 1H,"MODERN EXPLORATION, INC.",New Drill,Horizontal,2024-09-18,2024-09-18
42-177-34724,SALLIS BOULDIN UNIT 10H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-08-12,2024-08-16
42-177-34725,SALLIS BOULDIN UNIT 11H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-08-12,2024-08-16
42-177-34726,SALLIS BOULDIN UNIT 12H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-08-12,2024-08-16
42-177-34728,SALLIS BOULDIN UNIT 13H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-08-12,2024-08-16
42-177-34727,SALLIS BOULDIN UNIT 14H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-08-12,2024-08-16
42-177-34730,SALLIS BOULDIN UNIT 15H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-08-12,2024-08-16
42-177-34729,SALLIS BOULDIN UNIT 16H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-08-12,2024-08-16
42-177-34659,ONYX B 2H,"Baytex Energy USA, Inc.",New Drill,Horizontal,2024-07-16,2024-07-18
42-177-34723,N.C. STULTING 8,"SELLERS LEASE SERVICE, INC.",New Drill,Vertical,2024-07-12,2024-07-16
