api,well,operator,application_type,drill_type,submitted,approved
42-179-32637,RUTH 23 8,"SEEK ENERGY, LLC",Recompletion,Vertical,2024-05-15,2024-05-21
42-179-32060,RUTH 23 1023,"SEEK ENERGY, LLC",Re-Enter,Vertical,2024-02-20,2024-02-23
42-179-32637,RUTH 23 8,"SEEK ENERGY, LLC",New Drill,Vertical,2024-02-16,2024-02-23
42-179-04720,"HERBER, ANNA 1",PANTERA ENERGY COMPANY,Reclass,Vertical,2023-03-20,2023-03-24
42-179-31870,"HERBER, ANNA 9",PANTERA ENERGY COMPANY,Reclass,Vertical,2023-03-17,2023-06-16
42-179-04723,"HERBER, ANNA 4",PANTERA ENERGY COMPANY,Reclass,Vertical,2023-03-17,2023-03-24
42-179-82594,BURKE 10,PANTERA ENERGY COMPANY,Reclass,Vertical,2023-03-14,2023-03-17
42-179-82592,BURKE 8,PANTERA ENERGY COMPANY,Reclass,Vertical,2023-03-14,2023-03-17
42-179-32638,RUTH 23 9,"SEEK ENERGY, LLC",New Drill,Vertical,2023-02-28,2023-04-27
42-179-32637,RUTH 23 8,"SEEK ENERGY, LLC",New Drill,Vertical,2022-12-12,2022-12-20
42-179-32636,SPEARMAN 23 9,"SEEK ENERGY, LLC",New Drill,Vertical,2022-11-16,2022-12-02
42-179-32635,RAZOR 3,"OCCAM PETROLEUM E&P, LLC",New Drill,Vertical,2022-11-03,2022-11-08
42-179-32223,RUTH 23 5,"SEEK ENERGY, LLC",Recompletion,Vertical,2022-09-06,2022-09-20
42-179-32633,RAZOR 1,"OCCAM PETROLEUM E&P, LLC",New Drill,Vertical,2022-03-25,2022-04-01
42-179-32634,RAZOR 2,"OCCAM PETROLEUM E&P, LLC",New Drill,Vertical,2022-03-25,2022-04-01
42-179-32463,SPEARMAN 23 7,"SEEK ENERGY, LLC",Recompletion,Vertical,2020-02-11,2020-03-13
42-179-32428,RUTH 23 702,"SEEK ENERGY, LLC",Recompletion,Vertical,2019-12-19,2019-12-30
42-179-32380,SPEARMAN 23 5,"SEEK ENERGY, LLC",Recompletion,Vertical,2019-09-26,2019-10-29
42-179-32462,RUTH 23 7,"SEEK ENERGY, LLC",Recompletion,Vertical,2018-09-25,2018-09-25
42-179-32258,SPEARMAN 23 2602,"SEEK ENERGY, LLC",Recompletion,Vertical,2018-09-10,2018-09-18
42-179-32392,TITAN 1,"HUNTING TITAN, INC.",New Drill,Vertical,2018-03-19,2018-03-19
42-179-32428,RUTH 23 702,"SEEK ENERGY, LLC",Recompletion,Vertical,2017-06-30,2017-07-07
42-179-30606,RUTH 23 6,"SEEK ENERGY, LLC",Recompletion,Vertical,2017-02-07,2017-02-14
42-179-31885,CHAPMAN -A- 4,"JADE ENTERPRISES, INC.",Reclass,Vertical,2016-01-12,2016-01-13
42-179-30923,FIELDS 10,PANTERA ENERGY COMPANY,Reclass,Vertical,2015-10-16,2015-10-21
42-179-31032,KINNEY 'B' 2,PANTERA ENERGY COMPANY,Reclass,Vertical,2015-05-20,2015-07-15
42-179-31325,BARRETT 2,PANTERA ENERGY COMPANY,Reclass,Vertical,2015-05-01,2015-05-08
42-179-30878,VANDERBURG GU 2,PANTERA ENERGY COMPANY,Reclass,Vertical,2015-03-30,2015-04-01
42-179-30753,VANDERBURG GU 4,PANTERA ENERGY COMPANY,Reclass,Vertical,2015-03-30,2015-04-01
42-179-30879,KINNEY 'B' 3,PANTERA ENERGY COMPANY,Reclass,Vertical,2015-03-26,2015-03-31
42-179-31032,KINNEY 'B' 2,PANTERA ENERGY COMPANY,Reclass,Vertical,2015-03-10,2015-03-12
42-179-32610,G. H. SAUNDERS 4,PANTEX OIL & GAS LLC,New Drill,Vertical,2015-01-06,2015-01-08
42-179-31674,KAYLA 1,"CAPROCK ENGINEERING, INC.",Reclass,Vertical,2014-08-25,2014-09-15
42-179-32631,LJL FARMS 222,"CORETERRA OPERATING, LLC",New Drill,Vertical,2014-08-06,2014-08-15
42-179-32632,LJL FARMS 225,"CORETERRA OPERATING, LLC",New Drill,Vertical,2014-08-06,2014-08-14
42-179-32630,LJL FARMS 227,"CORETERRA OPERATING, LLC",New Drill,Vertical,2014-07-29,2014-08-25
42-179-32628,LJL FARMS 223,"CORETERRA OPERATING, LLC",New Drill,Vertical,2014-07-29,2014-08-14
42-179-32629,LJL FARMS 226,"CORETERRA OPERATING, LLC",New Drill,Vertical,2014-07-29,2014-08-14
42-179-02779,MORSE -E- 3,"GALT OIL & GAS, LLC",Re-Enter,Vertical,2014-05-14,2014-06-27
42-179-32318,PINNELL 1 R,PANTERA ENERGY COMPANY,New Drill,Vertical,2014-04-29,2014-06-02
42-179-32480,DALTON 1,"HERITAGE PETROLEUM, INC.",Recompletion,Vertical,2014-04-21,2014-05-23
42-179-31950,HEIDI 1,"CAPROCK ENGINEERING, INC.",Reclass,Vertical,2014-03-05,2014-04-05
42-179-32623,"NOEL, J. L. 22","PETROLIA GROUP, L.L.C.",New Drill,Vertical,2013-12-21,2014-01-15
42-179-32627,"SKIDMORE,J. 21","PETROLIA GROUP, L.L.C.",New Drill,Vertical,2013-12-20,2014-01-15
42-179-32626,"SKIDMORE, J 20","PETROLIA GROUP, L.L.C.",New Drill,Vertical,2013-12-18,2014-01-10
42-179-32620,"NOEL, J. L. 27","PETROLIA GROUP, L.L.C.",New Drill,Vertical,2013-12-17,2014-01-09
42-179-32621,"NOEL, J. L. 26","PETROLIA GROUP, L.L.C.",New Drill,Vertical,2013-12-17,2014-01-08
42-179-32622,"NOEL, J. L. 25","PETROLIA GROUP, L.L.C.",New Drill,Vertical,2013-12-17,2014-01-02
42-179-32619,"NOEL, J. L. 24","PETROLIA GROUP, L.L.C.",New Drill,Vertical,2013-12-16,2014-01-02
42-179-32614,MORSE -E- 7,"GALT OIL & GAS, LLC",New Drill,Vertical,2013-08-22,2013-10-07
42-179-32588,BELL 6,"CORETERRA OPERATING, LLC",New Drill,Vertical,2013-06-13,2013-06-21
42-179-32590,BELL 9,"CORETERRA OPERATING, LLC",New Drill,Vertical,2013-06-13,2013-06-21
42-179-32307,SHERIDAN 3 R,PANTERA ENERGY COMPANY,New Drill,Vertical,2013-05-17,2013-06-18
42-179-32610,G. H. SAUNDERS 4,PANTEX OIL & GAS LLC,New Drill,Vertical,2013-05-08,2013-05-09
42-179-32611,G. H. SAUNDERS 5,PANTEX OIL & GAS LLC,New Drill,Vertical,2013-05-08,2013-05-09
42-179-32612,G. H. SAUNDERS 6,PANTEX OIL & GAS LLC,New Drill,Vertical,2013-05-08,2013-05-09
42-179-32613,G. H. SAUNDERS 7,PANTEX OIL & GAS LLC,New Drill,Vertical,2013-05-08,2013-05-09
42-179-32608,G. H. SAUNDERS 2,PANTEX OIL & GAS LLC,New Drill,Vertical,2013-05-08,2013-05-09
42-179-32609,G. H. SAUNDERS 3,PANTEX OIL & GAS LLC,New Drill,Vertical,2013-05-08,2013-05-09
42-179-31865,LANE 1,"CAPROCK ENGINEERING, INC.",Recompletion,Vertical,2013-02-19,2014-05-14
42-179-32607,"MCCONNELL, R. S. 16",EXXCEL PRODUCTION COMPANY,New Drill,Vertical,2013-01-11,2013-01-17
42-179-31983,BETTY 2W,"CAPROCK ENGINEERING, INC.",Recompletion,Vertical,2012-12-27,2013-01-08
42-179-32606,"ARCHER, W. C. 12",EXXCEL PRODUCTION COMPANY,New Drill,Vertical,2012-12-14,2012-12-19
42-179-32605,"ARCHER, W. C. 11",EXXCEL PRODUCTION COMPANY,New Drill,Vertical,2012-12-13,2012-12-13
42-179-32604,"MCCONNELL, R. S. 11",EXXCEL PRODUCTION COMPANY,New Drill,Vertical,2012-11-28,2012-12-03
