api,well,operator,application_type,drill_type,submitted,approved
42-185-30892,NOV-RDTC TEST WELL 4000D,"NATIONAL OILWELL VARCO, L.P.",Recompletion,Directional,2023-06-20,2023-06-27
42-185-30900,LEWIS 2,PRIDE ENERGY COMPANY,New Drill,Vertical,2022-04-27,2022-05-04
42-185-30892,NOV-RDTC TEST WELL 4000D,"NATIONAL OILWELL VARCO, L.P.",Recompletion,Directional,2021-04-27,2021-04-30
42-185-30898,WALKOVIAK 3,PALEO OIL COMPANY LLC,New Drill,Vertical,2020-10-28,2020-11-12
42-185-30896,N. T. BREAUX 3,PALEO OIL COMPANY LLC,New Drill,Vertical,2020-10-28,2020-11-04
42-185-30899,N. T. BREAUX 02,PALEO OIL COMPANY LLC,New Drill,Vertical,2020-10-28,2020-11-03
42-185-30897,PATRIOT Y 2,PALEO OIL COMPANY LLC,New Drill,Vertical,2020-10-28,2020-11-03
42-185-30895,NOV-RDTC TEST WELL 7000V,"NATIONAL OILWELL VARCO, L.P.",New Drill,Vertical,2020-08-11,2020-08-11
42-185-30894,BIG IRON 1H,BBL OPERATING COMPANY LLC,New Drill,Horizontal,2019-09-11,2019-09-16
42-185-30893,GRIMES CO HWY 30 SWD 2,"REPUBLIC EES, LLC",New Drill,Vertical,2019-09-06,2019-09-06
42-185-30892,NOV-RDTC TEST WELL 4000D,"NATIONAL OILWELL VARCO, L.P.",New Drill,Directional,2019-08-07,2019-08-07
42-185-30891,CARTER KNOX 1,APACHE CORPORATION,New Drill,Vertical,2019-06-17,2019-06-20
42-185-30834,NOV-RDTC TEST WELL 5801DA,"NATIONAL OILWELL VARCO, L.P.",Recompletion,Directional,2019-06-11,2019-06-11
42-185-30891,CARTER KNOX 1,APACHE CORPORATION,New Drill,Vertical,2019-03-22,2019-03-22
42-185-30890,FRANKS OL 2H,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2018-11-13,2018-12-10
42-185-30890,FRANKS OL 2H,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2018-10-25,2018-11-02
42-185-30515,HOLTH 1H,PRIDE ENERGY COMPANY,Recompletion,Horizontal,2018-07-09,2019-05-30
42-185-30889,NOV-RDTC TEST WELL 7100V,"NATIONAL OILWELL VARCO, L.P.",New Drill,Vertical,2018-01-24,2018-02-20
42-185-30888,KAY RANCH 1H,"ETX ENERGY, LLC",New Drill,Horizontal,2017-12-13,2018-01-24
