api,well,operator,application_type,drill_type,submitted,approved
42-207-33048,OVERBY 1,PETEX,New Drill,Vertical,2025-01-07,2025-01-07
42-207-33049,DEBBIE 1,"TEAL EXPLORATION, LLC",New Drill,Vertical,2025-01-07,2025-01-07
,KC17-4-20 1,ATMOS PIPELINE - TEXAS,New Drill,Vertical,2025-01-06,
42-207-33047,SWENSON A 3,"LANDMASTER PARTNERS, INC.",New Drill,Vertical,2024-12-04,2024-12-06
42-207-33046,BABA LOOEY 1,"TRIO CONSULTING & MANAGEMENT,LLC",New Drill,Vertical,2024-11-25,2024-11-26
42-207-33045,U-81 UNIT 1,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2024-10-29,2024-12-17
42-207-32054,"HENDRICK, T. G. EST. '14' 3",PONY EXPRESS CORPORATE TRUST,Recompletion,Vertical,2024-10-02,2024-10-15
42-207-33044,CAHILL 5,WILCOX PETROLEUM OPERATING LLC.,New Drill,Vertical,2024-09-25,2024-09-26
42-207-33043,CAHILL 4,WILCOX PETROLEUM OPERATING LLC.,New Drill,Vertical,2024-09-24,2024-09-26
42-207-33042,GOETZ 1,"S.B. STREET OPERATING, INC.",New Drill,Vertical,2024-08-14,2024-08-21
42-207-33041,CAHILL 3,WILCOX PETROLEUM OPERATING LLC.,New Drill,Vertical,2024-07-02,2024-07-09
42-207-33040,NORTH HERRIN UNIT 105,"S.B. STREET OPERATING, INC.",New Drill,Vertical,2024-06-18,2024-06-20
42-207-33039,CAHILL 2,WILCOX PETROLEUM OPERATING LLC.,New Drill,Vertical,2024-03-18,2024-03-18
42-207-33038,NAUERT 2,"NBX ENERGY, LLC",New Drill,Vertical,2024-03-06,2024-03-13
42-207-33036,FLAT TOP RANCH PCN 15,"NBX ENERGY, LLC",New Drill,Vertical,2024-02-15,2024-02-16
42-207-33037,FLAT TOP RANCH PCN 16,"NBX ENERGY, LLC",New Drill,Vertical,2024-02-15,2024-02-16
42-207-33035,DENSON 1,PETEX,New Drill,Vertical,2024-01-25,2024-01-26
42-207-33033,ALVIS 1A,JTL OIL COMPANY LLC,New Drill,Vertical,2023-12-05,2023-12-08
42-207-33034,KC17-4-10 UNIT 1,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2023-11-28,2024-01-08
42-207-33032,EL KABONG 1,"TRIO CONSULTING & MANAGEMENT,LLC",New Drill,Vertical,2023-11-03,2023-11-03
42-207-33001,WHALEN 3,"JQL ENERGY, LLC",New Drill,Horizontal,2023-10-24,2023-11-08
42-207-33031,KC17-4-1-3 05,ATMOS PIPELINE - TEXAS,New Drill,Vertical,2023-10-13,2023-10-17
