api,well,operator,application_type,drill_type,submitted,approved
42-217-30771,MAASS 1,WALKER OPERATING COMPANY,New Drill,Vertical,2022-03-31,2022-04-01
42-217-30772,MAASS 2,WALKER OPERATING COMPANY,New Drill,Vertical,2022-03-31,2022-04-01
42-217-30770,E. STUCKLY 1,EPHRAIM TRUST,New Drill,Vertical,2020-07-28,2020-07-29
42-217-30769,ETC MP 297.0 1,ENERGY TRANSFER COMPANY,New Drill,Vertical,2018-07-26,2018-07-27
42-217-30768,ETC MD 294.9 1,ENERGY TRANSFER COMPANY,New Drill,Vertical,2017-11-08,2017-11-16
42-217-30767,BROOKS UNIT 2H,"BLUESTONE NATURAL RES. II, LLC",New Drill,Horizontal,2014-07-07,2014-09-23
42-217-30766,ALMA UNIT 2H,"BLUESTONE NATURAL RES. II, LLC",New Drill,Horizontal,2014-07-07,2014-09-23
42-217-30757,C. R. SHELBY UNIT 1H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2012-02-09,2012-02-28
42-217-30760,SOUTH MCPHERSON UNIT 1H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2010-10-22,2010-10-26
42-217-30765,SHELBY LAND LTD UNIT 1H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2010-10-22,2010-10-26
42-217-30331,HARPER SWD 1,"BASIC ENERGY SERVICES, L.P.",Recompletion,Vertical,2010-09-28,2010-09-30
42-217-30739,SMITHERMAN 1H,"CORNERSTONE E & P COMPANY, LP",New Drill,Horizontal,2010-06-23,2010-06-29
42-217-30741,MEARS UNIT 2H,"EOG RESOURCES, INC.",New Drill,Horizontal,2010-06-09,2010-06-10
42-217-30742,MEARS UNIT 3H,"EOG RESOURCES, INC.",New Drill,Horizontal,2010-06-09,2010-06-10
42-217-30764,M11 31,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2010-06-08,2010-06-09
42-217-30762,SNOWBALL 1H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2010-04-27,2010-04-27
42-217-30763,STEINER VALLEY RANCH 1H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2010-04-27,2010-04-27
42-217-30761,BUCK 2H,"DEVON ENERGY PRODUCTION CO, L.P.",New Drill,Horizontal,2010-03-18,2010-03-26
42-217-30753,JOBLIN 1H,"CORNERSTONE E & P COMPANY, LP",New Drill,Horizontal,2010-02-19,2010-02-25
42-217-30760,SOUTH MCPHERSON UNIT 1H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2010-02-01,2010-02-03
42-217-30759,LD AND DUTCH GRAY UNIT 1H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2009-12-22,2009-12-28
42-217-30706,COVINGTON ACRES WEST 1H,"CORNERSTONE E & P COMPANY, LP",New Drill,Horizontal,2009-11-24,2009-12-22
42-217-30757,C. R. SHELBY UNIT 1H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2009-11-03,2009-11-05
42-217-30758,C. R. SHELBY UNIT 2H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2009-11-03,2009-11-05
42-217-30706,COVINGTON ACRES WEST 1H,"CORNERSTONE E & P COMPANY, LP",New Drill,Horizontal,2009-10-13,2009-10-14
42-217-30756,"WILLIS, JERRY 1H","DEVON ENERGY PRODUCTION CO, L.P.",New Drill,Horizontal,2009-10-13,2009-10-14
42-217-30755,CASTLE 2H,"DEVON ENERGY PRODUCTION CO, L.P.",New Drill,Horizontal,2009-09-23,2009-09-23
42-217-30754,ERICKSON UNIT 1H,XTO ENERGY INC.,New Drill,Horizontal,2009-09-14,2009-09-14
42-217-30487,EAST CLETUS UNIT 3H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2009-07-07,2009-07-09
42-217-30616,MCDANIEL UNIT 1H,"EOG RESOURCES, INC.",New Drill,Horizontal,2009-07-06,2009-07-08
42-217-30421,RADKE UNIT 1H,"EOG RESOURCES, INC.",New Drill,Horizontal,2009-07-01,2009-07-06
42-217-30536,ALMA UNIT 1H,"EOG RESOURCES, INC.",New Drill,Horizontal,2009-05-28,2009-06-01
42-217-30440,BINKLEY 1H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2009-05-12,2009-05-14
42-217-30753,JOBLIN 1H,"CORNERSTONE E & P COMPANY, LP",New Drill,Horizontal,2009-04-15,2009-04-20
42-217-30732,BROOKS UNIT 3H,"EOG RESOURCES, INC.",New Drill,Horizontal,2009-04-07,2009-04-08
42-217-30752,BROOKS UNIT 4H,"EOG RESOURCES, INC.",New Drill,Horizontal,2009-04-07,2009-04-08
42-217-30751,KIBLINGER UNIT 5H,"EOG RESOURCES, INC.",New Drill,Horizontal,2009-03-31,2009-04-01
42-217-30750,GREENHILL UNIT 2,"EOG RESOURCES, INC.",New Drill,Directional,2009-03-04,2009-03-05
42-217-30748,PADGETT UNIT 2,"EOG RESOURCES, INC.",New Drill,Directional,2009-02-25,2009-02-27
42-217-30727,HANEY UNIT 4H,"EOG RESOURCES, INC.",New Drill,Horizontal,2009-02-19,2009-02-24
42-217-30726,HANEY UNIT 3H,"EOG RESOURCES, INC.",New Drill,Horizontal,2009-02-19,2009-02-23
