api,well,operator,application_type,drill_type,submitted,approved
42-221-31068,STANK UNIT 1H,"ENERVEST OPERATING, L.L.C.",Recompletion,Vertical,2015-09-03,2015-10-05
42-221-31978,SAN RAPHAEL UNIT R 8H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2014-07-31,2014-08-30
42-221-31979,SAN RAPHAEL UNIT R 7H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2014-07-31,2014-08-30
42-221-31980,SAN RAPHAEL UNIT R 6H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2014-07-31,2014-08-30
42-221-31981,SAN RAPHAEL UNIT R 5H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2014-07-31,2014-08-28
42-221-31975,TOMLINSON 3H,"PREMIER NATURAL RESOURCES II,LLC",New Drill,Horizontal,2014-06-10,2014-07-19
42-221-31974,WEST GRANBURY UNIT 4H,"PREMIER NATURAL RESOURCES II,LLC",New Drill,Horizontal,2014-05-29,2014-07-17
42-221-31973,WEST GRANBURY 3H,"PREMIER NATURAL RESOURCES II,LLC",New Drill,Horizontal,2014-05-15,2014-06-28
42-221-31969,ODOM 3H,"ENERVEST OPERATING, L.L.C.",New Drill,Horizontal,2014-04-22,2014-05-21
42-221-31972,ODOM 6H,"ENERVEST OPERATING, L.L.C.",New Drill,Horizontal,2014-04-22,2014-05-21
42-221-31971,ODOM 5H,"ENERVEST OPERATING, L.L.C.",New Drill,Horizontal,2014-03-05,2014-04-09
42-221-31970,ODOM 4H,"ENERVEST OPERATING, L.L.C.",New Drill,Horizontal,2014-03-05,2014-04-08
42-221-31969,ODOM 3H,"ENERVEST OPERATING, L.L.C.",New Drill,Horizontal,2014-03-05,2014-04-07
42-221-31967,STEWART UNIT 5H,"ENERVEST OPERATING, L.L.C.",New Drill,Horizontal,2013-12-03,2013-12-12
42-221-31968,STEWART UNIT 6H,"ENERVEST OPERATING, L.L.C.",New Drill,Horizontal,2013-12-03,2013-12-12
42-221-31966,STEWART UNIT 3H,"ENERVEST OPERATING, L.L.C.",New Drill,Horizontal,2013-12-02,2013-12-12
42-221-31951,M & M RANCH B 10H,"ATLAS BARNETT, LLC",New Drill,Horizontal,2013-10-17,2013-10-25
42-221-30953,EVERIDGE-CALHOUN 2,"ODEGARD ENERGY, INC.",Recompletion,Vertical,2013-10-08,2013-10-15
42-221-31963,MILBURN UNIT 4H,"ATLAS BARNETT, LLC",New Drill,Horizontal,2013-09-23,2013-09-27
42-221-31948,M & M RANCH B 8H,"ATLAS BARNETT, LLC",New Drill,Horizontal,2013-09-17,2013-09-23
42-221-31965,WEST RIM UNIT 1H,XTO ENERGY INC.,New Drill,Horizontal,2013-02-20,2013-02-22
42-221-31964,MCGUFFIN UNIT B 3H,XTO ENERGY INC.,New Drill,Horizontal,2012-12-17,2012-12-19
42-221-31902,MITCHELL RANCH I 39H,"LEGEND NATURAL GAS IV, LP",New Drill,Horizontal,2012-11-12,2012-11-14
42-221-31949,WANN UNIT 8H,XTO ENERGY INC.,New Drill,Horizontal,2012-10-25,2012-11-01
42-221-31962,MILBURN UNIT 5H,"ATLAS BARNETT, LLC",New Drill,Horizontal,2012-10-23,2012-10-29
42-221-31963,MILBURN UNIT 4H,"ATLAS BARNETT, LLC",New Drill,Horizontal,2012-10-22,2012-10-29
42-221-31961,MILBURN UNIT 3H,"ATLAS BARNETT, LLC",New Drill,Horizontal,2012-10-22,2012-10-25
42-221-31960,HENSON UNIT 2H,"LEGEND NATURAL GAS IV, LP",New Drill,Horizontal,2012-09-26,2012-10-15
42-221-31957,SHANKLES UNIT 1H,"LEGEND NATURAL GAS IV, LP",New Drill,Horizontal,2012-09-26,2012-10-12
42-221-31958,SHANKLES UNIT 2H,"LEGEND NATURAL GAS IV, LP",New Drill,Horizontal,2012-09-26,2012-10-12
42-221-31959,SHANKLES UNIT 3H,"LEGEND NATURAL GAS IV, LP",New Drill,Horizontal,2012-09-26,2012-10-12
42-221-31957,SHANKLES UNIT 1H,"LEGEND NATURAL GAS IV, LP",New Drill,Horizontal,2012-08-20,2012-08-28
42-221-31958,SHANKLES UNIT 2H,"LEGEND NATURAL GAS IV, LP",New Drill,Horizontal,2012-08-20,2012-08-28
42-221-31959,SHANKLES UNIT 3H,"LEGEND NATURAL GAS IV, LP",New Drill,Horizontal,2012-08-20,2012-08-28
42-221-31960,HENSON UNIT 2H,"LEGEND NATURAL GAS IV, LP",New Drill,Horizontal,2012-08-20,2012-08-28
42-221-31952,M & M RANCH C 11H,"TITAN OPERATING, LLC",New Drill,Horizontal,2012-08-17,2012-08-24
42-221-31955,M & M RANCH C 12H,"TITAN OPERATING, LLC",New Drill,Horizontal,2012-08-17,2012-08-24
42-221-31956,M & M RANCH C 13H,"TITAN OPERATING, LLC",New Drill,Horizontal,2012-08-17,2012-08-24
42-221-31953,M & M RANCH D 14H,"TITAN OPERATING, LLC",New Drill,Horizontal,2012-08-17,2012-08-24
42-221-31954,M & M RANCH D 15H,"TITAN OPERATING, LLC",New Drill,Horizontal,2012-08-17,2012-08-24
42-221-31951,M & M RANCH B 10H,"TITAN OPERATING, LLC",New Drill,Horizontal,2012-08-15,2012-08-23
42-221-31950,M & M RANCH B 9H,"TITAN OPERATING, LLC",New Drill,Horizontal,2012-08-12,2012-08-21
42-221-31949,WANN UNIT 8H,XTO ENERGY INC.,New Drill,Horizontal,2012-08-10,2012-08-20
42-221-31948,M & M RANCH B 8H,"TITAN OPERATING, LLC",New Drill,Horizontal,2012-08-07,2012-08-10
42-221-31947,M & M RANCH A 7H,"TITAN OPERATING, LLC",New Drill,Horizontal,2012-07-18,2012-07-26
42-221-31905,MITCHELL RANCH B 8H,"LEGEND NATURAL GAS IV, LP",New Drill,Horizontal,2012-07-09,2012-08-10
42-221-31912,MITCHELL RANCH B 29H,"LEGEND NATURAL GAS IV, LP",New Drill,Horizontal,2012-07-09,2012-08-10
42-221-31946,MITCHELL RANCH A 35H,"LEGEND NATURAL GAS IV, LP",New Drill,Horizontal,2012-07-09,2012-07-16
42-221-31945,MITCHELL RANCH A 33H,"LEGEND NATURAL GAS IV, LP",New Drill,Horizontal,2012-07-09,2012-07-16
42-221-31944,MITCHELL RANCH A 30H,"LEGEND NATURAL GAS IV, LP",New Drill,Horizontal,2012-07-09,2012-07-16
42-221-31943,GREEN UNIT 4H,"LEGEND NATURAL GAS IV, LP",New Drill,Horizontal,2012-06-26,2012-07-03
42-221-31942,BRISCOE WEST UNIT 6H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2012-06-19,2012-06-26
42-221-31940,BRISCOE WEST UNIT 7H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2012-06-19,2012-06-26
42-221-31941,BRISCOE WEST UNIT 8H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2012-06-19,2012-06-26
42-221-31939,GREEN UNIT 5H,"LEGEND NATURAL GAS IV, LP",New Drill,Horizontal,2012-06-13,2012-06-26
42-221-31938,GREEN UNIT 6H,"LEGEND NATURAL GAS IV, LP",New Drill,Horizontal,2012-06-13,2012-06-26
42-221-31934,HOFFMAN UNIT 1H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2012-06-04,2012-06-25
42-221-31935,HOFFMAN UNIT 3H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2012-06-04,2012-06-25
42-221-31936,HOFFMAN UNIT 4H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2012-06-04,2012-06-25
42-221-31934,HOFFMAN UNIT 1H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2012-05-02,2012-05-09
42-221-31935,HOFFMAN UNIT 3H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2012-05-02,2012-05-09
42-221-31936,HOFFMAN UNIT 4H,QUICKSILVER RESOURCES INC.,New Drill,Horizontal,2012-05-02,2012-05-09
42-221-31930,MITCHELL RANCH D 15H,"LEGEND NATURAL GAS IV, LP",New Drill,Horizontal,2012-04-18,2012-05-01
42-221-31931,MITCHELL RANCH D 19H,"LEGEND NATURAL GAS IV, LP",New Drill,Horizontal,2012-04-18,2012-05-01
