api,well,operator,application_type,drill_type,submitted,approved
,TABBY (ALLOC) 1H,VALENCE OPERATING COMPANY,New Drill,Horizontal,2025-01-14,
42-223-30521,CALLAWAY-DURST UNIT 1,"3-T EXPLORATION, INC.",New Drill,Vertical,2024-10-09,2024-11-05
42-223-30520,PINE FOREST 1,"SOUTHWEST OPERATING, INC.-TYLER",New Drill,Vertical,2023-04-18,2023-04-24
42-223-30515,MOORE UNIT 1RE,"3-T EXPLORATION, INC.",Re-Enter,Directional,2022-11-01,2022-11-02
42-223-30514,MALLOY 2,VALENCE OPERATING COMPANY,Recompletion,Vertical,2022-05-09,2022-05-11
42-223-30507,"HENDRICKS, CARL 1",VALENCE OPERATING COMPANY,Recompletion,Vertical,2022-03-11,2022-03-16
42-223-30476,SANTA FE SPINDLETOP 1,"SULPHUR RIVER EXPLORATION, INC.",Recompletion,Vertical,2018-06-26,2018-06-27
42-223-30519,BULLOCK 1,"FAIR OIL, LTD.",New Drill,Vertical,2017-10-18,2017-10-23
42-223-30505,PHILIP COKER 1,VALENCE OPERATING COMPANY,Recompletion,Vertical,2016-07-21,2016-08-17
42-223-30518,KARNEY UNIT 1,"3-T EXPLORATION, INC.",New Drill,Vertical,2015-11-10,2015-11-16
42-223-30518,KARNEY UNIT 1,"3-T EXPLORATION, INC.",New Drill,Vertical,2015-09-24,2015-09-30
42-223-30517,GOLDSMITH 1,"3-T EXPLORATION, INC.",New Drill,Vertical,2015-02-09,2015-02-19
42-223-30516,DRUMMOND UNIT 1,"3-T EXPLORATION, INC.",New Drill,Vertical,2014-10-06,2014-10-10
42-223-30515,MOORE UNIT 1,"3-T EXPLORATION, INC.",New Drill,Vertical,2014-08-27,2014-09-19
42-223-30513,TWO OAKS UNIT 2,"3-T EXPLORATION, INC.",New Drill,Vertical,2014-06-27,2014-08-06
42-223-30505,"COKER, PHILIP 1",VALENCE OPERATING COMPANY,New Drill,Vertical,2014-05-23,2014-08-13
42-223-30514,MCGEE 1,VALENCE OPERATING COMPANY,New Drill,Vertical,2014-05-14,2014-06-17
42-223-30513,TWO OAKS UNIT 2,"3-T EXPLORATION, INC.",New Drill,Vertical,2014-02-20,2014-03-19
42-223-30512,O38 09,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2014-01-15,2014-02-06
42-223-30511,O38-4 01,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2014-01-15,2014-02-06
42-223-30510,"ETHRIDGE, J.C. 1","HORIZON PROD. AND OPERATING, LLC",New Drill,Vertical,2013-10-02,2013-10-09
42-223-30509,HODNETT 2,VALENCE OPERATING COMPANY,New Drill,Vertical,2013-09-19,2013-09-25
42-223-30508,HODNETT 1,VALENCE OPERATING COMPANY,New Drill,Vertical,2013-09-09,2013-09-13
42-223-30507,"HENDRICKS, CARL 1",VALENCE OPERATING COMPANY,New Drill,Directional,2013-08-26,2013-10-02
42-223-30505,"COKER, PHILIP 1",VALENCE OPERATING COMPANY,New Drill,Vertical,2013-08-14,2013-08-15
42-223-30504,GARRISON 1,VALENCE OPERATING COMPANY,New Drill,Vertical,2013-08-08,2013-09-09
