api,well,operator,application_type,drill_type,submitted,approved
42-231-30270,STROOPE 1,LAVACA CANYON PETROLEUM LLC,New Drill,Vertical,2024-11-20,
42-231-30270,STROOPE 1,"TRIANGLE OPERATING COMPANY, LLC",New Drill,Vertical,2024-07-31,2024-08-08
42-231-30269,O37-20 CP UNIT 1,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2024-05-09,2024-05-14
42-231-30268,MP 317.92 1,EXPLORER PIPELINE COMPANY,New Drill,Vertical,2019-05-10,2019-05-23
42-231-30267,VALVE SITE #37 1CP,PLAINS PIPELINE L.P.,New Drill,Vertical,2017-04-25,2017-05-08
42-231-30266,IVY UNIT 1,"TEXCEL EXPLORATION, INC.",New Drill,Vertical,2015-02-17,2015-02-20
42-231-30265,MP 313.8 CP UNIT#1CP 1,EXPLORER PIPELINE COMPANY,New Drill,Vertical,2014-08-20,2014-09-11
42-231-30264,GREENVILLE TF CP UNIT #1CP 1,EXPLORER PIPELINE COMPANY,New Drill,Vertical,2014-06-05,2014-07-08
42-231-30263,MP 307.1 CP UNIT #1CP 1,EXPLORER PIPELINE COMPANY,New Drill,Vertical,2014-06-03,2014-07-02
42-231-30261,O16 16,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2011-05-24,2011-05-26
42-231-30262,O16-2 02,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2011-05-24,2011-05-26
42-231-30259,SULFUR RIVER 1,"PARWEST LAND EXPLORATION, INC.",New Drill,Vertical,2010-12-17,2010-12-17
42-231-30260,WOLFE CITY 1,"PARWEST LAND EXPLORATION, INC.",New Drill,Vertical,2010-11-02,2010-11-08
42-231-30259,SULFUR RIVER 1,"PARWEST LAND EXPLORATION, INC.",New Drill,Vertical,2010-09-10,2010-09-15
42-231-30258,G.B. 037-01 1,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2008-01-14,2008-04-03
42-231-30257,GATLIN BROS 1,ROOSTH PRODUCTION CO.,New Drill,Vertical,2006-10-30,2006-11-10
42-231-30255,GB 037-02 2,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2006-02-22,2006-05-02
42-231-30256,GB 045-02 2,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2006-02-22,2006-05-02
42-231-30254,TERRY 1,"HARMAN OPERATING COMPANY, INC.",New Drill,Vertical,2003-09-08,2003-09-11
42-231-30253,CLYDE TERRY 1,PALMER PETROLEUM INC.,New Drill,Vertical,2003-05-06,2003-05-07
42-231-30252,"WALLACE, RAFE 1","ANDERSON PRODUCING, INC.",New Drill,Vertical,1999-07-21,1999-07-21
42-231-30251,SAN JACINTO-BARNETT 1,"ANDERSON PRODUCING, INC.",New Drill,Vertical,1998-11-09,1998-11-09
42-231-30250,"GEORGE, DORRIS 1",GENESIS PRODUCING COMPANY,New Drill,Vertical,1997-02-05,1997-02-10
42-231-30210,"WASSON, R. L. 1R","BROWN, H. L., JR.",Recompletion,Vertical,1996-01-26,1996-01-26
42-231-30249,WEESE UNIT 1,"PHOENIX FUND, INC.",New Drill,Vertical,1996-01-23,1996-01-23
42-231-30210,"WASSON, R. L. 1R","BROWN, H. L., JR.",Re-Enter,Vertical,1995-12-04,1995-12-04
42-231-30248,JAMES-RIGHLEY 1,"BROWN, H. L., JR.",New Drill,Vertical,1994-09-06,1994-09-06
42-231-30246,KOONS 2,"CROW, DAVID",New Drill,Vertical,1994-01-13,1994-02-10
42-231-30247,KIMBELL 1,"CROW, DAVID",New Drill,Vertical,1993-10-04,1993-10-14
42-231-30246,KOONS 1,"ROWAN, AL",New Drill,Vertical,1993-06-16,1993-06-16
