api,well,operator,application_type,drill_type,submitted,approved
42-249-32683,MEISCHEN 1,"Paloma Operating, LLC",New Drill,Vertical,2024-12-17,2024-12-18
42-249-32670,BELL-MOSSER 1,"Paloma Operating, LLC",Recompletion,Vertical,2024-11-13,2024-11-14
42-249-32682,CATHODIC PROTECTION 20,ENERGY TRANSFER COMPANY,New Drill,Vertical,2024-11-06,2024-11-12
42-249-32681,BPHOFFMAN 1,"CIMARRON ENGINEERING, LLC",New Drill,Vertical,2024-10-25,2024-10-25
,CATHODIC PROTECTION 229,ENERGY TRANSFER COMPANY,New Drill,Vertical,2024-10-24,
42-249-32680,ROSITA CREEK A 2,"CIMARRON ENGINEERING, LLC",New Drill,Vertical,2024-08-21,2024-08-23
42-249-32679,ROSE 1,"CIMARRON ENGINEERING, LLC",New Drill,Vertical,2024-06-10,2024-06-12
42-249-32677,RUSSELL 8S,"PALADIN PETROLEUM III, L.L.C.",New Drill,Vertical,2024-06-04,2024-06-12
42-249-30541,"BLUCHER, C.F.H. 'B' 3","LOGAS ENERGY, LLC",Reclass,Vertical,2024-05-30,2024-06-07
42-249-32678,HENDRICKS A 2,"CIMARRON ENGINEERING, LLC",New Drill,Vertical,2024-04-07,2024-04-10
42-249-32677,RUSSELL 8S,"PALADIN PETROLEUM III, L.L.C.",New Drill,Vertical,2024-03-28,2024-04-03
42-249-32676,ADAMS 1,"CIMARRON ENGINEERING, LLC",New Drill,Vertical,2024-03-22,2024-03-22
42-249-32675,ROSITA CREEK 1,"CIMARRON ENGINEERING, LLC",New Drill,Vertical,2024-02-05,2024-02-08
42-249-32674,COOK 1,"CIMARRON ENGINEERING, LLC",New Drill,Vertical,2024-01-17,2024-01-19
42-249-32673,MIKE GARCIA 1,"Paloma Operating, LLC",New Drill,Vertical,2023-11-17,2023-11-21
42-249-32672,TURNDIR FARMS 1,"CIMARRON ENGINEERING, LLC",New Drill,Vertical,2023-10-26,2023-10-27
42-249-32671,LUBY 1,"CIMARRON ENGINEERING, LLC",New Drill,Vertical,2023-09-25,2023-09-25
42-249-32670,BELL-MOSSER 1,"Paloma Operating, LLC",New Drill,Vertical,2023-07-07,2023-07-17
42-249-32669,D. PETERS 3,"Paloma Operating, LLC",New Drill,Vertical,2023-06-22,2023-07-07
42-249-32668,HENDRICKS 1,"CIMARRON ENGINEERING, LLC",New Drill,Vertical,2023-05-18,2023-05-23
42-249-32667,ATKINSON FAMILY 1,"KEBO OIL & GAS, INC.",New Drill,Vertical,2023-05-03,2023-05-09
42-249-32553,J-BAR 1,BRIDWELL OIL CO.,Recompletion,Vertical,2023-03-20,2023-03-24
42-249-32666,MOSSER 3,"CIMARRON ENGINEERING, LLC",New Drill,Vertical,2022-12-14,2022-12-20
42-249-32665,VANOVER 1,"CIMARRON ENGINEERING, LLC",New Drill,Vertical,2022-11-08,2022-11-16
42-249-32664,SEIDEL 2,"CIMARRON ENGINEERING, LLC",New Drill,Vertical,2022-07-20,2022-07-21
42-249-32092,A. GARZA 1R,"CIMARRON ENGINEERING, LLC",Re-Enter,Vertical,2022-07-20,2022-07-21
