api,well,operator,application_type,drill_type,submitted,approved
42-253-35735,OLIVER SWENSON 3,ICS ENERGY LLC,New Drill,Vertical,2024-12-04,2024-12-06
42-253-35732,"HUDSPETH, W.R. 'D' 5",SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2024-10-24,2024-10-25
42-253-35733,"HUDSPETH, W.R. 'D' 6",SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2024-10-24,2024-10-25
42-253-35734,OLIVER SWENSON 2,ICS ENERGY LLC,New Drill,Vertical,2024-10-24,2024-10-25
42-253-35731,LYTLE 1,"PRODUCTION OPERATORS OF TX, LLC",New Drill,Vertical,2024-09-18,2024-09-19
42-253-35730,HEP14 1,"HOLLY ENERGY PARTNERS-OP, L.P.",New Drill,Vertical,2024-06-25,2024-07-03
42-253-35687,DUSTY FARMER 1,SOJOURNER DRILLING CORPORATION,Recompletion,Vertical,2024-06-21,2024-06-27
42-253-35725,BAUCUM 1A,"S.B. STREET OPERATING, INC.",New Drill,Vertical,2024-06-18,2024-06-18
42-253-35727,ATE565 1,ATMOS PIPELINE - TEXAS,New Drill,Vertical,2024-06-03,2024-06-11
42-253-35729,IRVIN FEE 1,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2024-05-30,2024-06-03
42-253-35728,LEAVITT 2,ICS ENERGY LLC,New Drill,Vertical,2024-05-07,2024-05-08
42-253-35727,ATE565 1,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2024-04-10,2024-04-15
42-253-35726,OLIVER SWENSON 1,ICS ENERGY LLC,New Drill,Vertical,2024-04-04,2024-04-05
42-253-35725,BAUCUM 1A,"BULLET DEVELOPMENT, LLC",New Drill,Vertical,2024-03-28,2024-04-02
42-253-35724,LEAVITT 1,ICS ENERGY LLC,New Drill,Vertical,2024-03-18,2024-03-18
42-253-00049,IRVIN FEE 1,SOJOURNER DRILLING CORPORATION,Re-Enter,Vertical,2024-03-06,2024-03-12
42-253-35723,HP 1,"HADAWAY CONSULT AND ENGINEER,LLC",New Drill,Vertical,2024-03-05,2024-03-18
42-253-35722,BAGLEY 3,"JQL ENERGY, LLC",New Drill,Vertical,2024-03-05,2024-03-08
42-253-35721,TNT 1,"HADAWAY CONSULT AND ENGINEER,LLC",New Drill,Vertical,2024-02-09,2024-02-13
42-253-35720,ECT208 1,SUNOCO PIPELINE L.P.,New Drill,Vertical,2024-01-22,2024-01-25
42-253-35719,BRAUN 1,"M. E. OPERATING & SERVICES, INC.",New Drill,Vertical,2024-01-18,2024-01-24
42-253-35718,OMAN ACSELL 1,ICS ENERGY LLC,New Drill,Vertical,2024-01-18,2024-01-19
42-253-35717,MCCASLIN 1,"STAR PRODUCTION, INC.",New Drill,Vertical,2023-12-01,2023-12-04
42-253-35632,RISLEY 'B' 7,"NBX ENERGY, LLC",New Drill,Vertical,2023-11-27,2023-12-04
42-253-35716,MUELLER 1,DELTA OIL & GAS LTD.,New Drill,Vertical,2023-10-03,2023-10-03
42-253-35715,5801 ABILENE TERMINAL 1,"DELEK MARKETING & SUPPLY, LP",New Drill,Vertical,2023-08-21,2023-08-25
42-253-35714,TP 3A UNIT 1,ENERGY TRANSFER COMPANY,New Drill,Vertical,2023-08-14,2023-08-22
42-253-35713,KC17-18 1,ATMOS PIPELINE - TEXAS,New Drill,Vertical,2023-08-07,2023-08-21
42-253-35713,KC17-18 1,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2023-07-24,2023-08-02
42-253-35712,MCLELLAN 6,ICS ENERGY LLC,New Drill,Vertical,2023-07-20,2023-07-24
42-253-35711,BAGLEY 2,"JQL ENERGY, LLC",New Drill,Vertical,2023-06-01,2023-06-08
42-253-35710,AUNT MAE UNIT 1,"B.O.L.D. OIL AND GAS, LLC",New Drill,Vertical,2023-05-24,2023-06-02
42-253-35708,BUSKE 4,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2023-04-13,2023-04-17
42-253-35709,BUSKE-NORTH 4,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2023-04-13,2023-04-17
42-253-35707,SOUTH LAKE 1,"GEOSURVEYS, INC.",New Drill,Vertical,2023-03-20,2023-03-21
42-253-35706,U17-03 03,"ATMOS ENERGY,WEST TEXAS DIVISION",New Drill,Vertical,2023-03-02,2023-03-14
42-253-35705,KC17-21 01,"ATMOS ENERGY,WEST TEXAS DIVISION",New Drill,Vertical,2023-03-01,2023-03-07
42-253-35704,UH-01 02,"ATMOS ENERGY,WEST TEXAS DIVISION",New Drill,Vertical,2023-03-01,2023-03-07
42-253-35702,HENRICH 4,Mesa Ridge Holdings LLC,New Drill,Vertical,2023-02-13,2023-03-28
42-253-30623,"SWANN, W.D. 4",SOJOURNER DRILLING CORPORATION,Recompletion,Vertical,2023-02-01,2023-02-09
42-253-35703,PRITCHARD 4,DELTA OIL & GAS LTD.,New Drill,Vertical,2023-01-20,2023-01-27
42-253-35702,HENRICH 4,Mesa Ridge Holdings LLC,New Drill,Vertical,2022-11-17,2022-11-30
42-253-35691,"SWANN, W.D. 9",SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2022-11-02,2022-11-08
42-253-35701,WILSON 209 1H,"PETRO-HUNT, L.L.C.",New Drill,Horizontal,2022-11-01,2022-11-04
42-253-35700,WILSON 209 SWD 1,"PETRO-HUNT, L.L.C.",New Drill,Vertical,2022-10-28,2022-10-31
42-253-35699,HILL-INZER UNIT 5,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2022-10-03,2022-10-17
42-253-35698,HILL-INZER UNIT 4,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2022-09-30,2022-10-14
42-253-35697,"BOYD, JAY 2A",SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2022-09-27,2022-09-28
42-253-35696,PRESTON 1,DELTA OIL & GAS LTD.,New Drill,Vertical,2022-08-29,2022-09-02
42-253-35695,CADE FREEMAN UNIT 1,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2022-08-24,2022-08-30
42-253-35694,PRITCHARD 3,DELTA OIL & GAS LTD.,New Drill,Vertical,2022-08-15,2022-08-15
42-253-35693,JAY (CANYON LIME) UNIT 211,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2022-08-08,2022-08-16
42-253-35692,"AMERSON, C.P. 15",SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2022-07-29,2022-07-29
42-253-31835,TINER 14 2,SOJOURNER DRILLING CORPORATION,Recompletion,Vertical,2022-07-28,2022-07-28
42-253-35689,LUNN 1,"LKKTX 2018, LLC",New Drill,Vertical,2022-07-28,2022-07-28
42-253-35691,"SWANN, W.D. 9",SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2022-07-27,2022-07-28
42-253-35690,GEISTMANN 1,DELTA OIL & GAS LTD.,New Drill,Vertical,2022-07-21,2022-07-25
42-253-32520,"TAYLOR, MILDRED 3",JROW ENERGY LLC,Recompletion,Vertical,2022-06-24,2022-07-27
42-253-35689,LUNN 1,"LKKTX 2018, LLC",New Drill,Vertical,2022-06-13,2022-06-17
42-253-35687,DUSTY FARMER 1,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2022-06-03,2022-06-09
42-253-35688,"AMERSON, C.P. 14",SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2022-06-02,2022-06-10
42-253-35686,WILBURN 2,"RHB EXPLORATION & PRODUCTION,LLC",New Drill,Vertical,2022-05-26,2022-06-10
42-253-35685,AMC 1,"BLUFF CREEK PETROLEUM, LLC",New Drill,Vertical,2022-05-17,2022-05-23
42-253-35684,TINER-TEXACO 3B,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2022-05-16,2022-05-20
42-253-35683,BAUCUM 1,"BULLET DEVELOPMENT, LLC",New Drill,Vertical,2022-04-04,2022-04-13
42-253-35655,AVOCA EAST 1,"GEOSURVEYS, INC.",Re-Enter,Vertical,2022-03-29,2022-04-04
42-253-35682,SAWYER 5A,LAWRENCE ENERGY COMPANY,New Drill,Vertical,2022-03-28,2022-04-01
42-253-35681,HOWARD 6,"LKKTX 2018, LLC",New Drill,Vertical,2022-03-23,2022-03-28
42-253-35680,RISLEY FRENCH 6,DELTA OIL & GAS LTD.,New Drill,Vertical,2022-03-21,2022-04-14
42-253-35679,DOUBLE NICKEL 'A' 1,"BLUFF CREEK PETROLEUM, LLC",New Drill,Vertical,2022-03-11,2022-03-17
42-253-35678,"EOFF, ODELL ET AL 12",SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2022-03-11,2022-03-16
42-253-35676,MORTON 9,"LKKTX 2018, LLC",New Drill,Vertical,2022-03-07,2022-03-09
42-253-35677,MORTON 10,"LKKTX 2018, LLC",New Drill,Vertical,2022-03-07,2022-03-09
42-253-35675,MCLELLAN 5,ICS ENERGY LLC,New Drill,Vertical,2022-03-03,2022-03-08
42-253-35674,WILBURN 1,"RHB EXPLORATION & PRODUCTION,LLC",New Drill,Vertical,2022-03-03,2022-03-07
42-253-35673,PETTY 2,"EL RENO ENERGY, LLC",New Drill,Vertical,2022-02-22,2022-02-25
42-253-35671,HOOKER TRUST 10,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2022-02-11,2022-02-16
42-253-35672,"AMERSON, C.P. 13",SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2022-02-11,2022-02-14
42-253-35670,MCLELLAN 4,ICS ENERGY LLC,New Drill,Vertical,2022-02-01,2022-02-04
42-253-35669,RISLEY FRENCH 7,DELTA OIL & GAS LTD.,New Drill,Vertical,2022-01-28,2022-02-02
42-253-35668,MANSKE 2,DELTA OIL & GAS LTD.,New Drill,Vertical,2022-01-27,2022-02-02
42-253-35667,PRITCHARD 2,DELTA OIL & GAS LTD.,New Drill,Vertical,2022-01-27,2022-01-31
42-253-35665,MCLELLAN 3,ICS ENERGY LLC,New Drill,Vertical,2022-01-24,2022-02-18
42-253-35666,MCCLAREN 2,"BULLET DEVELOPMENT, LLC",New Drill,Vertical,2022-01-21,2022-01-25
42-253-35664,M CHANCEY 3,D.J. & T. ENERGY,New Drill,Vertical,2022-01-10,2022-01-21
42-253-35663,MCLELLAN 2,ICS ENERGY LLC,New Drill,Vertical,2021-11-30,2021-12-01
42-253-35662,MCLELLAN 1,ICS ENERGY LLC,New Drill,Vertical,2021-10-19,2021-10-22
42-253-35661,MANSKE 1,DELTA OIL & GAS LTD.,New Drill,Vertical,2021-10-18,2021-10-22
42-253-35660,WATKINS UNIT 6,"EL RENO ENERGY, LLC",New Drill,Vertical,2021-10-15,2021-10-29
42-253-35657,REEVES 1A,"DJ & T SERVICES, LLC",New Drill,Vertical,2021-10-08,2021-11-23
42-253-35659,"AMERSON, C.P. 12",SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2021-10-08,2021-11-03
42-253-35658,DOUBLE NICKEL 2,"BLUFF CREEK PETROLEUM, LLC",New Drill,Vertical,2021-10-08,2021-10-14
42-253-35620,FRENCH 2,DELTA OIL & GAS LTD.,New Drill,Vertical,2021-09-29,2021-10-04
42-253-35136,BETTY HALE 5,RMB OPERATING LLC,Recompletion,Vertical,2021-09-28,2021-10-01
42-253-35656,BROWN 1,"EL RENO ENERGY, LLC",New Drill,Vertical,2021-09-21,2021-09-27
42-253-35655,AVOCA EAST 1,"GEOSURVEYS, INC.",New Drill,Vertical,2021-09-17,2021-09-23
42-253-35653,WATKINS UNIT 5,"EL RENO ENERGY, LLC",New Drill,Vertical,2021-09-15,2021-09-21
42-253-35654,RW STREMMEL 1,DELTA OIL & GAS LTD.,New Drill,Vertical,2021-09-15,2021-09-20
42-253-35652,"RAMSEY, H.H. & M.T. 13","DJ & T SERVICES, LLC",New Drill,Vertical,2021-09-15,2021-09-20
