api,well,operator,application_type,drill_type,submitted,approved
42-257-30445,PRAIRIE SMOKE 1,"MUD CREEK OPERATING, LLC",New Drill,Vertical,2023-10-23,2023-10-25
42-257-30443,S1-262.67 1,ENTERPRISE PRODUCTS TEXAS OP LLC,New Drill,Vertical,2023-05-08,2023-06-01
42-257-30444,S1-270 1,ENTERPRISE PRODUCTS TEXAS OP LLC,New Drill,Vertical,2023-05-08,2023-05-24
42-257-30442,JEFF 1,WALKER OPERATING COMPANY,New Drill,Vertical,2023-01-05,2023-01-06
42-257-30439,DAVIS 2,WALKER OPERATING COMPANY,New Drill,Vertical,2022-10-13,2022-10-19
42-257-30438,CLEMMO 2,WALKER OPERATING COMPANY,New Drill,Vertical,2022-09-22,2022-09-27
42-257-30437,CLEMMO 1,WALKER OPERATING COMPANY,New Drill,Vertical,2022-08-05,2022-09-27
42-257-30435,MP 282.21 1,EXPLORER PIPELINE COMPANY,New Drill,Vertical,2022-05-06,2022-06-13
42-257-30434,MP 280.34 1,EXPLORER PIPELINE COMPANY,New Drill,Vertical,2022-03-30,2022-05-06
42-257-30414,AKIN 1,BEVERLY HILLBILLY OPERATING LLC,Re-Enter,Vertical,2021-09-20,2021-10-19
42-257-30433,PRIDDY 'A' 1,"MACHIN & ASSOCIATES, INC.",New Drill,Vertical,2019-01-07,2019-01-10
42-257-30432,DAVIS 1,"DOUGHTIE OPERATING COMPANY, LLC",New Drill,Vertical,2018-04-25,2018-04-27
42-257-30432,DAVIS 1,"DOUGHTIE OPERATING COMPANY, LLC",New Drill,Vertical,2017-09-11,2017-09-15
42-257-30431,SEAWAY MP 252.39 1CP,ENTERPRISE PRODUCTS OPERATINGLLC,New Drill,Vertical,2017-07-21,2017-08-08
42-257-30430,S15 FM 1388 CP 1,ENTERPRISE PRODUCTS OPERATINGLLC,New Drill,Vertical,2015-04-09,2015-04-22
42-257-30429,CRAIG AKIN UNIT 1,"O'BENCO, INC.",New Drill,Directional,2014-11-13,2014-11-18
42-257-30427,BRYANT OIL UNIT 1,"O'BENCO, INC.",New Drill,Directional,2014-08-27,2014-09-26
42-257-30426,MP 283.25 CP UNIT #1CP 1,EXPLORER PIPELINE COMPANY,New Drill,Vertical,2014-06-27,2014-07-31
42-257-30424,MP 286.17 CP UNIT #1CP 1,EXPLORER PIPELINE COMPANY,New Drill,Vertical,2014-06-03,2014-07-02
42-257-30425,MP 294.14 CP UNIT #1CP 1,EXPLORER PIPELINE COMPANY,New Drill,Vertical,2014-06-03,2014-07-02
42-257-30422,DD 09,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2013-12-05,2013-12-30
42-257-30423,DD 04,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2013-12-05,2013-12-30
42-257-30421,"WILLIAMS, C.P. 5","BASA RESOURCES, INC.",New Drill,Vertical,2013-08-12,2013-08-19
42-257-30420,D 20,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2013-07-24,2013-07-30
42-257-30418,O29-20 0292,ATMOS PIPELINE - TEXAS,New Drill,Vertical,2013-05-15,2013-05-24
42-257-30417,D-44 D044,ATMOS PIPELINE - TEXAS,New Drill,Vertical,2013-05-14,2013-05-31
42-257-30419,D17-03 D170,ATMOS PIPELINE - TEXAS,New Drill,Vertical,2013-05-13,2013-06-12
42-257-30414,AKIN 1,"O'BENCO, INC.",New Drill,Directional,2013-01-15,2013-01-22
42-257-30416,KEY 1,"SUNLAND PRODUCTION COMPANY, INC.",New Drill,Vertical,2012-09-06,2012-09-14
42-257-30192,LC AKIN 1D,"O'BENCO, INC.",Re-Enter,Vertical,2012-09-05,2012-09-13
42-257-30415,03-3-01 01,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2012-06-11,2012-06-29
42-257-30414,AKIN 1,"O'BENCO, INC.",New Drill,Directional,2012-04-30,2012-05-02
42-257-30414,AKIN 1,"O'BENCO, INC.",New Drill,Vertical,2012-02-09,2012-02-28
42-257-30413,DAVIS 1,"BASA RESOURCES, INC.",New Drill,Vertical,2011-11-30,2011-12-10
42-257-30412,"HENRY, M. V. 3","BASA RESOURCES, INC.",New Drill,Vertical,2011-11-23,2011-11-29
42-257-00269,"THARP, N.E. 3","BASA RESOURCES, INC.",Recompletion,Vertical,2011-05-13,2011-06-13
42-257-00394,E. B. TUGGLE ESTATE 1,"BASA RESOURCES, INC.",Recompletion,Vertical,2011-04-20,2011-04-28
42-257-30410,D-42 01,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2011-03-31,2011-04-12
42-257-30411,DD-05 01,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2011-03-31,2011-04-12
42-257-30409,ESPERANZA 1,"XPLORE OPERATING, LLC",New Drill,Vertical,2009-10-30,2009-11-05
42-257-00347,"HENRY, MARY V. 2","BASA RESOURCES, INC.",Recompletion,Vertical,2009-09-04,2009-09-15
42-257-00388,"TUGGLE, J. M. 2A","BASA RESOURCES, INC.",Recompletion,Vertical,2008-05-20,2008-06-11
42-257-30408,ROOSTH-GENECOV 2 2,PEAK ENERGY CORPORATION,New Drill,Vertical,2006-05-21,2006-05-22
42-257-30407,ROOSTH-GENECOV 3 3,PEAK ENERGY CORPORATION,New Drill,Vertical,2006-05-21,2006-05-22
42-257-30406,ROOSTH-GENECOV 1,PEAK ENERGY CORPORATION,New Drill,Vertical,2006-05-18,2006-05-19
42-257-30405,GB D-20 20,ATMOS PIPELINE - TEXAS,New Drill,Vertical,2005-12-14,2005-12-14
42-257-30404,GB D-40 40,ATMOS ENERGY CORPORATION,New Drill,Vertical,2005-03-04,2005-03-11
42-257-30403,JORDAN 1,"HARPER, WAYNE",New Drill,Vertical,2004-10-15,2004-10-21
42-257-30402,GB D-25 25,TXU LONE STAR PIPELINE,New Drill,Vertical,2004-04-15,2004-04-16
42-257-30401,"FOX, E.J. 1","GRAWARD OPERATING, INC.",New Drill,Vertical,2002-12-17,2002-12-17
