api,well,operator,application_type,drill_type,submitted,approved
,BURNS RANCH 151H,TEXAS AMERICAN RESOURCES COMPANY,New Drill,Horizontal,2025-01-16,
42-283-37441,MARTIN RANCH C 101H,VERDUN OIL & GAS LLC,New Drill,Horizontal,2025-01-15,2025-01-17
42-283-37403,BROWN-DYKE UNIT 3-BD SA 3 3H,BPX OPERATING COMPANY,New Drill,Horizontal,2025-01-14,2025-01-17
42-283-37404,BROWN-DYKE UNIT 3-BD SA 4 4H,BPX OPERATING COMPANY,New Drill,Horizontal,2025-01-14,2025-01-17
42-283-37401,BROWN-TRUSTS 3H-BD SA 1 1H,BPX OPERATING COMPANY,New Drill,Horizontal,2025-01-14,2025-01-17
42-283-37402,BROWN-TRUSTS 3H-BD SA 2 2H,BPX OPERATING COMPANY,New Drill,Horizontal,2025-01-14,2025-01-17
42-283-37640,Y-BAR 140H,Castlerock EF Operating LLC,New Drill,Horizontal,2025-01-13,
42-283-37761,ROCKY COMFORT-HIXON C ALLOCATION 247H,"EP Energy E&P Company, LLC",New Drill,Horizontal,2025-01-08,2025-01-14
42-283-37760,WINFIELD RAEMAY AB 83H,"Ridgemar Energy Operating, LLC",New Drill,Horizontal,2024-12-20,2025-01-02
42-283-37759,WINFIELD RAEMAY A 84H,"Ridgemar Energy Operating, LLC",New Drill,Horizontal,2024-12-20,2025-01-02
42-283-37756,HENDERSON-CENIZO PSA J 20H,"LEWIS PETRO PROPERTIES, INC.",New Drill,Horizontal,2024-12-18,2024-12-20
42-283-37757,HENDERSON-CENIZO 21H,"LEWIS PETRO PROPERTIES, INC.",New Drill,Horizontal,2024-12-18,2024-12-20
42-283-37758,HENDERSON-CENIZO 22H,"LEWIS PETRO PROPERTIES, INC.",New Drill,Horizontal,2024-12-18,2024-12-20
42-283-37754,WARRIOR A 1H,"EP Energy E&P Company, LLC",New Drill,Horizontal,2024-12-18,2024-12-19
42-283-37755,WARRIOR B 2H,"EP Energy E&P Company, LLC",New Drill,Horizontal,2024-12-18,2024-12-19
42-283-37612,WRIGHT RANCH EAST 133H,TEXAS AMERICAN RESOURCES COMPANY,New Drill,Horizontal,2024-12-06,2024-12-13
42-283-37409,ALTITO B ALLOCATION A 26H,"EP Energy E&P Company, LLC",New Drill,Horizontal,2024-12-06,2024-12-11
42-283-37410,ALTITO B ALLOCATION B 310H,"EP Energy E&P Company, LLC",New Drill,Horizontal,2024-12-06,2024-12-11
