api,well,operator,application_type,drill_type,submitted,approved
42-289-32201,HUGHES SC 1H,"COMSTOCK OIL & GAS, LLC",New Drill,Horizontal,2024-12-18,2024-12-19
42-289-32200,HUTTO TMM 1H,"COMSTOCK OIL & GAS, LLC",New Drill,Horizontal,2024-12-06,2024-12-13
42-289-32199,BELL MEYER 1H,"COMSTOCK OIL & GAS, LLC",New Drill,Horizontal,2024-12-06,2024-12-11
42-289-32198,HUTTO RODELL 1H,"COMSTOCK OIL & GAS, LLC",New Drill,Horizontal,2024-11-21,2024-11-25
42-289-32197,JENNINGS FSRA 1H,"COMSTOCK OIL & GAS, LLC",New Drill,Horizontal,2024-09-13,2024-09-16
42-289-32196,LEON CO ALLOC 21H,"COMSTOCK OIL & GAS, LLC",New Drill,Horizontal,2024-08-05,2024-08-13
42-289-32195,L8AEA-7 CP UNIT 1,ATMOS PIPELINE - TEXAS,New Drill,Vertical,2024-05-08,2024-05-14
42-289-32182,NEYLAND MMM 1H,"COMSTOCK OIL & GAS, LLC",New Drill,Horizontal,2024-05-01,2024-05-07
42-289-32194,MILES BM 1H,"COMSTOCK OIL & GAS, LLC",New Drill,Horizontal,2024-04-22,2024-04-25
42-289-32193,HODGES RLT 1H,"COMSTOCK OIL & GAS, LLC",New Drill,Horizontal,2024-04-10,2024-04-16
42-289-32192,WILLIAMS RM 1H,"COMSTOCK OIL & GAS, LLC",New Drill,Horizontal,2024-03-14,2024-03-18
42-289-32191,HOGUE MMP 1H,"COMSTOCK OIL & GAS, LLC",New Drill,Horizontal,2024-01-03,2024-01-08
42-289-32189,DEORNELLAS PB A 1H,"COMSTOCK OIL & GAS, LLC",New Drill,Horizontal,2024-01-03,2024-01-08
42-289-32190,DEORNELLAS PB B 2H,"COMSTOCK OIL & GAS, LLC",New Drill,Horizontal,2024-01-03,2024-01-08
42-289-32188,POWELL BD 1H,"COMSTOCK OIL & GAS, LLC",New Drill,Horizontal,2024-01-02,2024-01-08
42-289-32187,JENNINGS LOEHR 1H,"COMSTOCK OIL & GAS, LLC",New Drill,Horizontal,2023-11-30,2023-12-11
42-289-32186,R. A. PORTER 3,ROBERTS & HAMMACK INC.,New Drill,Vertical,2023-09-05,2023-09-13
42-289-32185,HARRISON WA 1H,"COMSTOCK OIL & GAS, LLC",New Drill,Horizontal,2023-08-28,2023-09-28
42-289-32184,FARLEY GD 1H,"COMSTOCK OIL & GAS, LLC",New Drill,Horizontal,2023-07-13,2023-07-19
42-289-32184,FARLEY GD 1H,"COMSTOCK OIL & GAS, LLC",New Drill,Horizontal,2023-06-19,2023-06-26
42-289-32182,NEYLAND MMM 1H,"COMSTOCK OIL & GAS, LLC",New Drill,Horizontal,2023-06-12,2023-08-14
42-289-32183,GLASS RT 1H,"COMSTOCK OIL & GAS, LLC",New Drill,Horizontal,2023-04-03,2023-04-18
42-289-32182,NEYLAND HRM 1H,"COMSTOCK OIL & GAS, LLC",New Drill,Horizontal,2023-03-28,2023-05-12
42-289-31730,"WATSON, IKE NO. 1 GAS UNIT 3","CRESCENT PASS ENERGY, LLC",Recompletion,Vertical,2023-03-23,2023-04-05
42-289-31640,BARON-HARTMAN GU 1 5,"CRESCENT PASS ENERGY, LLC",Recompletion,Vertical,2023-01-17,2023-01-24
42-289-32181,LANIER CW 1H,"COMSTOCK OIL & GAS, LLC",New Drill,Horizontal,2023-01-12,2023-01-26
42-289-32180,DINKINS JG 1H,"COMSTOCK OIL & GAS, LLC",New Drill,Horizontal,2022-11-30,2022-12-08
42-289-31381,LEWIS 'B' 5H,VALENCE OPERATING COMPANY,Recompletion,Horizontal,2022-09-08,2022-09-20
42-289-32179,SIMPSON 1,"FORZA OPERATING, LLC",New Drill,Vertical,2021-09-20,2021-09-22
