api,well,operator,application_type,drill_type,submitted,approved
,ATE304-12024142 1,,New Drill,Vertical,2025-01-16,
,ATE303-12024141 1,,New Drill,Vertical,2025-01-16,
,CENTRAL BROADVIEW UNIT 109,"TEXLAND PETROLEUM, L.P.",New Drill,Directional,2024-12-03,
42-303-31649,STANTON-MCLEOD 8,"BROWN, H.L. OPERATING, L.L.C.",New Drill,Vertical,2024-09-20,2024-09-20
42-303-31648,"HASTINGS, L. P. 25","BROWN, H.L. OPERATING, L.L.C.",New Drill,Vertical,2024-09-19,2024-09-27
42-303-31645,CENTRAL BROADVIEW UNIT 603,"TEXLAND PETROLEUM, L.P.",New Drill,Vertical,2024-07-18,2024-07-19
42-303-31646,CENTRAL BROADVIEW UNIT 108,"TEXLAND PETROLEUM, L.P.",New Drill,Directional,2024-06-06,2024-06-26
42-303-31644,CENTRAL BROADVIEW UNIT 107,"TEXLAND PETROLEUM, L.P.",New Drill,Directional,2024-04-03,2024-04-05
42-303-31645,CENTRAL BROADVIEW UNIT 603,"TEXLAND PETROLEUM, L.P.",New Drill,Vertical,2024-04-03,2024-04-05
42-303-31646,CENTRAL BROADVIEW UNIT 108,"TEXLAND PETROLEUM, L.P.",New Drill,Directional,2024-04-03,2024-04-05
42-303-31647,CENTRAL BROADVIEW UNIT 602,"TEXLAND PETROLEUM, L.P.",New Drill,Vertical,2024-04-03,2024-04-05
42-303-31643,CENTRAL BROADVIEW UNIT 801,"TEXLAND PETROLEUM, L.P.",New Drill,Directional,2024-03-28,2024-04-01
42-303-31642,ATE203 1,"ATMOS ENERGY,WEST TEXAS DIVISION",New Drill,Vertical,2023-12-11,2023-12-15
42-303-31641,ATE230 1,"ATMOS ENERGY,WEST TEXAS DIVISION",New Drill,Vertical,2023-12-11,2023-12-12
42-303-31640,CENTRAL BROADVIEW UNIT 502H,"TEXLAND PETROLEUM, L.P.",New Drill,Horizontal,2023-10-03,2023-10-04
