api,well,operator,application_type,drill_type,submitted,approved
42-327-31256,TERRELL 1,"LIVE OAK PRODUCTION, LLC",New Drill,Vertical,2023-11-06,2023-11-06
42-327-31254,SANTA CRUZ RANCH 1,SHA-JAM OPERATING CORP.,New Drill,Vertical,2022-10-18,2022-10-27
42-327-31253,RUSSELL 78,HARVEST PETROLEUM INC.,New Drill,Vertical,2022-07-21,2022-07-21
42-327-31252,RUSSELL RANCH 1588 1,BYRD OPERATING COMPANY,New Drill,Vertical,2021-11-11,2021-11-15
42-327-31252,RUSSELL RANCH 1588 1,BYRD OPERATING COMPANY,New Drill,Vertical,2021-06-24,2021-06-29
42-327-31251,RUSSELL RANCH MP 2,BYRD OPERATING COMPANY,New Drill,Vertical,2021-06-22,2021-06-25
42-327-31250,RUSSELL RANCH MP 1,BYRD OPERATING COMPANY,New Drill,Vertical,2019-09-04,2019-09-05
42-327-31249,RUSSELL RANCH 37 1,BYRD OPERATING COMPANY,New Drill,Vertical,2019-08-14,2019-08-15
42-327-31248,WHITE RANCH 3,"CALLAN OPERATING COMPANY, LLC",New Drill,Vertical,2018-04-27,2018-05-01
42-327-31247,WHITE RANCH 2,"CALLAN OPERATING COMPANY, LLC",New Drill,Vertical,2017-06-27,2017-07-06
42-327-31246,WHITE RANCH 1,"CALLAN OPERATING COMPANY, LLC",New Drill,Vertical,2017-05-02,2017-05-09
42-327-31194,BRYANT 2,"DISCOVERY OPERATING, INC.",Recompletion,Vertical,2016-07-14,2016-07-19
42-327-31245,WHITE RANCH 1,"DISCOVERY OPERATING, INC.",New Drill,Vertical,2016-07-01,2016-07-05
42-327-31244,BEVANS 2,"INLAND OCEAN, INC.",New Drill,Vertical,2015-12-22,2015-12-29
42-327-31243,CARDWELL 1,"MERCURY OPERATING, LLC",New Drill,Vertical,2015-11-12,2015-11-18
42-327-31242,CARL MENZIES 99 2,"FLAG ENERGY, LLC",New Drill,Vertical,2015-10-21,2015-10-27
42-327-31241,MARGARET SMITH 1,NORDAN OIL & GAS CORPORATION,New Drill,Vertical,2015-10-20,2015-10-26
42-327-31240,SILVER MINE CREEK 1,LADD OIL & GAS CORPORATION,New Drill,Vertical,2015-08-28,2015-09-08
42-327-31239,HURST 1,"GUFFEY, WM. R.",New Drill,Vertical,2015-03-23,2015-03-24
42-327-31238,DAVIS 1,"RIVER RESOURCES, INC.",New Drill,Vertical,2015-03-20,2015-03-25
42-327-31128,PEGGY 1,SHA-JAM OPERATING CORP.,Recompletion,Vertical,2015-03-11,2015-03-12
42-327-31237,PEGGY 6,SHA-JAM OPERATING CORP.,New Drill,Vertical,2015-02-13,2015-02-13
42-327-31236,RUSSELL 'C' 13,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2015-02-06,2015-02-11
42-327-31235,BEVANS 1,"INLAND OCEAN, INC.",New Drill,Vertical,2015-02-02,2015-02-04
42-327-31234,RUSSELL 9R,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2014-12-05,2014-12-08
42-327-31232,ESPY 'A' 38,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2014-11-12,2014-11-13
42-327-31233,ESPY 'B' 39,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2014-11-12,2014-11-13
42-327-31231,RUSSELL 'C' 12,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2014-11-11,2014-11-13
42-327-31230,JOHN A. POWELL 4,NORDAN OIL & GAS CORPORATION,New Drill,Vertical,2014-09-29,2014-10-10
42-327-31229,ESPY 'A' 37,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2014-09-11,2014-10-20
42-327-31228,ESPY 5,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2014-09-04,2014-09-24
42-327-31227,RUSSELL 43,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2014-09-03,2014-09-24
42-327-31226,RUSSELL 'C' 11,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2014-08-28,2014-09-18
42-327-31225,PEGGY 5,SHA-JAM OPERATING CORP.,New Drill,Vertical,2014-08-08,2014-09-03
42-327-31224,DAVIS 2,"BOB HUGHES OIL COMPANY, LLC",New Drill,Vertical,2014-06-03,2014-07-02
42-327-31223,MCALLISTER '10' 1,NORDAN OIL & GAS CORPORATION,New Drill,Vertical,2014-05-27,2014-06-27
42-327-31222,PEGGY 'A' 1,SHA-JAM OPERATING CORP.,New Drill,Vertical,2014-04-21,2014-05-23
42-327-31220,ESPY 'A' 35,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2014-03-28,2014-05-03
42-327-31221,ESPY 'A' 36,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2014-03-28,2014-05-03
42-327-31213,RUSSELL 41,"PAINT ROCK OPERATING, LLC",Re-Enter,Vertical,2014-01-28,2014-02-20
42-327-31219,DAVIS 1,"BOB HUGHES OIL COMPANY, LLC",New Drill,Vertical,2014-01-27,2014-02-14
42-327-31218,ESPY 'A' 34,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2014-01-02,2014-01-22
42-327-31217,RUSSELL 42,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2013-12-18,2014-01-03
42-327-31210,RUSSELL RANCH 6,MEXTEX OPERATING COMPANY,New Drill,Vertical,2013-12-02,2014-01-08
42-327-31216,RUSSELL 'C' 10,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2013-10-28,2013-11-14
42-327-31215,ESPY 'A' 33,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2013-09-18,2013-09-25
42-327-31214,MCALLISTER '34' 1,NORDAN OIL & GAS CORPORATION,New Drill,Vertical,2013-09-09,2013-09-16
42-327-31213,RUSSELL 41,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2013-09-04,2013-09-10
42-327-31180,WILKINSON 'B' 10,"WALSH & WATTS, INC.",New Drill,Vertical,2013-08-05,2013-08-13
42-327-31212,ESPY 'A' 32,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2013-08-01,2013-08-02
42-327-30050,WILKINSON 'B' 11,"WALSH & WATTS, INC.",Re-Enter,Vertical,2013-07-26,2013-08-19
42-327-10089,CARL MENZIES 99 1,"FLAG ENERGY, LLC",Re-Enter,Vertical,2013-07-10,2013-07-15
42-327-31156,ALDA DAVIS 3,NORDAN OIL & GAS CORPORATION,New Drill,Vertical,2013-07-09,2013-07-11
42-327-31210,RUSSELL RANCH 6,MEXTEX OPERATING COMPANY,New Drill,Vertical,2013-07-05,2013-07-12
42-327-31207,WILLIAMSON 1,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2013-06-25,2013-07-01
42-327-31208,WILLIAMSON 2,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2013-06-25,2013-07-01
42-327-31206,RUSSELL 40,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2013-06-24,2013-06-28
42-327-31205,RUSSELL 'C' 9,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2013-06-24,2013-06-27
42-327-31204,PEGGY 4,SHA-JAM OPERATING CORP.,New Drill,Vertical,2013-06-20,2013-06-25
42-327-31203,HAYNES-SMITH 3,NORDAN OIL & GAS CORPORATION,New Drill,Vertical,2013-06-18,2013-06-24
42-327-31209,RUSSELL RANCH 4,MEXTEX OPERATING COMPANY,New Drill,Vertical,2013-06-14,2013-07-08
42-327-31202,RUSSELL RANCH 5,MEXTEX OPERATING COMPANY,New Drill,Vertical,2013-06-14,2013-07-08
42-327-31137,DAVIS 2,NORDAN OIL & GAS CORPORATION,New Drill,Vertical,2013-05-28,2013-10-22
42-327-31201,ESPY 'A' 31,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2013-05-24,2013-06-03
42-327-31200,ESPY 'A' 30,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2013-05-02,2013-05-06
42-327-31148,ESPY 'A' 12,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2013-04-16,2013-04-24
42-327-31199,RUSSELL 'C' 7,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2013-04-10,2013-04-23
42-327-31198,RUSSELL 'C' 8,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2013-04-10,2013-04-12
42-327-31149,ESPY 'A' 13,"PAINT ROCK OPERATING, LLC",New Drill,Vertical,2013-03-21,2013-03-29
42-327-31094,JOHN A. POWELL 1,NORDAN OIL & GAS CORPORATION,Recompletion,Vertical,2013-03-05,2013-03-05
42-327-31197,HAYNES-SMITH 2,NORDAN OIL & GAS CORPORATION,New Drill,Vertical,2013-02-12,2013-02-14
42-327-31196,PEGGY 3,SHA-JAM OPERATING CORP.,New Drill,Vertical,2013-02-11,2013-02-14
42-327-31179,BRYANT 1,"CALLAN OPERATING COMPANY, LLC",New Drill,Vertical,2013-01-17,2013-01-29
42-327-30882,EPSY 'A' 29,"PAINT ROCK OPERATING, LLC",Re-Enter,Vertical,2013-01-17,2013-01-29
42-327-31194,BRYANT 2,"CALLAN OPERATING COMPANY, LLC",New Drill,Vertical,2013-01-17,2013-01-24
42-327-31195,NORMAN 1,"GUFFEY, WM. R.",New Drill,Vertical,2013-01-15,2013-01-29
