api,well,operator,application_type,drill_type,submitted,approved
42-337-35508,WOLF UNIT 5H,QUAIL RIDGE OPERATING LLC,New Drill,Horizontal,2024-12-06,2024-12-10
42-337-35509,WOLF UNIT 6H,QUAIL RIDGE OPERATING LLC,New Drill,Horizontal,2024-12-06,2024-12-10
42-337-35510,WOLF UNIT 7H,QUAIL RIDGE OPERATING LLC,New Drill,Horizontal,2024-12-06,2024-12-10
42-337-35511,BEAR UNIT 1H,QUAIL RIDGE OPERATING LLC,New Drill,Horizontal,2024-11-05,2024-11-06
42-337-35512,BEAR UNIT 2H,QUAIL RIDGE OPERATING LLC,New Drill,Horizontal,2024-11-05,2024-11-06
42-337-35513,BEAR UNIT 3H,QUAIL RIDGE OPERATING LLC,New Drill,Horizontal,2024-11-05,2024-11-06
42-337-35505,STORY 1,"KODIAK OIL & GAS, INC.",New Drill,Vertical,2024-10-25,2024-10-28
42-337-35505,STORY 1,"KODIAK OIL & GAS, INC.",New Drill,Vertical,2024-10-09,2024-10-09
42-337-35508,WOLF UNIT 5H,QUAIL RIDGE OPERATING LLC,New Drill,Horizontal,2024-09-27,2024-09-30
42-337-35509,WOLF UNIT 6H,QUAIL RIDGE OPERATING LLC,New Drill,Horizontal,2024-09-27,2024-09-30
42-337-35510,WOLF UNIT 7H,QUAIL RIDGE OPERATING LLC,New Drill,Horizontal,2024-09-27,2024-09-30
42-337-00299,MALLARD 1,"EXTECH OPERATING, LLC",Re-Enter,Vertical,2024-09-26,2024-10-01
42-337-35505,STORY 1,"KODIAK OIL & GAS, INC.",New Drill,Vertical,2024-08-21,2024-08-22
42-337-35504,YARBROUGH 21,"TETTLETON, STEVEN B.",New Drill,Vertical,2024-07-18,2024-07-19
42-337-35506,KENAS 1,"ESP ENERGY, LLC",New Drill,Vertical,2024-07-11,2024-09-27
42-337-35507,LAUDERBACK 2,"ESP ENERGY, LLC",New Drill,Vertical,2024-07-11,2024-09-27
42-337-35503,DENSON SWD 1,QUAIL RIDGE OPERATING LLC,New Drill,Vertical,2024-03-07,2024-03-11
42-337-35501,DENSON UNIT 4,QUAIL RIDGE OPERATING LLC,New Drill,Directional,2024-02-26,2024-03-06
42-337-35502,GILBERT UNIT 4,QUAIL RIDGE OPERATING LLC,New Drill,Directional,2024-02-26,2024-03-01
42-337-35492,RHONE PARK 1,"JMH PRODUCTION, LLC",New Drill,Vertical,2023-12-08,2023-12-12
42-337-35498,DENSON UNIT 1H,QUAIL RIDGE OPERATING LLC,New Drill,Horizontal,2023-11-28,2023-12-01
42-337-35499,DENSON UNIT 2H,QUAIL RIDGE OPERATING LLC,New Drill,Horizontal,2023-11-28,2023-12-01
42-337-35500,DENSON UNIT 3H,QUAIL RIDGE OPERATING LLC,New Drill,Horizontal,2023-11-28,2023-12-01
42-337-35493,YARBROUGH 20,"TETTLETON, STEVEN B.",Re-Enter,Vertical,2023-11-02,2023-11-03
42-337-35494,GILBERT UNIT 1H,QUAIL RIDGE OPERATING LLC,New Drill,Horizontal,2023-10-24,2023-10-27
42-337-35495,GILBERT UNIT 2H,QUAIL RIDGE OPERATING LLC,New Drill,Horizontal,2023-10-24,2023-10-27
42-337-35496,GILBERT UNIT 3H,QUAIL RIDGE OPERATING LLC,New Drill,Horizontal,2023-10-24,2023-10-27
42-337-35497,HAHN 2,"EXTECH OPERATING, LLC",New Drill,Vertical,2023-10-03,2023-10-11
42-337-35494,GILBERT UNIT 1H,QUAIL RIDGE OPERATING LLC,New Drill,Horizontal,2023-09-29,2023-10-02
42-337-35495,GILBERT UNIT 2H,QUAIL RIDGE OPERATING LLC,New Drill,Horizontal,2023-09-29,2023-10-02
42-337-35496,GILBERT UNIT 3H,QUAIL RIDGE OPERATING LLC,New Drill,Horizontal,2023-09-29,2023-10-02
42-337-35493,YARBROUGH 20,"TETTLETON, STEVEN B.",New Drill,Vertical,2023-08-18,2023-08-25
42-337-35492,RHONE PARK 1,"JMH PRODUCTION, LLC",New Drill,Vertical,2023-07-19,2023-07-21
42-337-04479,HEATH 1,"WILLOWBEND INVESTMENTS, INC.",Recompletion,Vertical,2023-07-11,2023-07-12
42-337-35491,HOGUE 1,BEND PETROLEUM CORP.,New Drill,Vertical,2023-06-06,2023-06-15
42-337-35490,"HUMPHRIES, CLARISSA 7",BEND PETROLEUM CORP.,New Drill,Vertical,2023-06-06,2023-06-12
42-337-35489,BISHOP 1,BEND PETROLEUM CORP.,New Drill,Vertical,2023-01-17,2023-01-20
42-337-35488,WHITESIDE-PRINE 1,"3-T EXPLORATION, INC.",New Drill,Vertical,2022-11-17,2022-11-30
42-337-35480,HINKLE TRUST 1,"EOG SPG Holdings, Inc.",New Drill,Directional,2022-11-14,2022-11-29
42-337-34370,HOWARD B UNIT 1,"EOG RESOURCES, INC.",Recompletion,Directional,2022-10-26,2022-11-15
42-337-35468,DURHAM 1,"ATOKA OPERATING, INC.",Re-Enter,Vertical,2022-09-13,2022-09-19
42-337-35487,"HUMPHRIES, CLARISSA 6",BEND PETROLEUM CORP.,New Drill,Vertical,2022-08-27,2022-08-29
42-337-35486,HAHN 1,"EXTECH OPERATING, LLC",New Drill,Vertical,2022-08-11,2022-08-15
42-337-35472,"HUMPHRIES, CLARISSA 4",BEND PETROLEUM CORP.,New Drill,Vertical,2022-07-11,2022-07-11
42-337-35485,SALMON -A- 60,BRIDWELL OIL CO.,New Drill,Vertical,2022-06-16,2022-07-08
42-337-35484,SALMON -A- 59,BRIDWELL OIL CO.,New Drill,Vertical,2022-06-16,2022-06-28
42-337-35481,HINKLE TRUST GW 1,"EOG SPG Holdings, Inc.",New Drill,Vertical,2022-05-25,2022-06-01
42-337-35482,HINKLE TRUST GW 3,"EOG SPG Holdings, Inc.",New Drill,Vertical,2022-05-25,2022-06-01
42-337-35483,HINKLE TRUST GW 2,"EOG SPG Holdings, Inc.",New Drill,Vertical,2022-05-25,2022-06-01
42-337-35480,HINKLE TRUST 1,"EOG SPG Holdings, Inc.",New Drill,Vertical,2022-05-03,2022-05-10
42-337-33260,TUCKER 2,WISE PRODUCTION COMPANY,Recompletion,Vertical,2022-03-29,2022-04-05
42-337-35479,HODGE 4,"ELDRED PROD AND CONSULTING, LLC",New Drill,Vertical,2022-02-17,2022-02-24
42-337-34044,BILLY HENDERSON 5,"EOG RESOURCES, INC.",Recompletion,Directional,2021-12-21,2021-12-30
42-337-34003,BROCK 1,"WATSON ENERGY INVESTMENTS, LLC",Recompletion,Vertical,2021-12-09,2021-12-15
42-337-35478,"HINTON, A.B. 12","REED PRODUCTION, INC.",New Drill,Vertical,2021-11-27,2021-12-07
42-337-34201,OLIPHANT 2,"EOG RESOURCES, INC.",Recompletion,Vertical,2021-10-18,2021-10-21
42-337-35476,WINTON (AW) 1H,"BEDROCK PRODUCTION, LLC",New Drill,Horizontal,2021-08-26,2021-09-02
42-337-35477,WINTON (AW) 2H,"BEDROCK PRODUCTION, LLC",New Drill,Horizontal,2021-08-26,2021-09-02
42-337-35476,WINTON (AW) 1H,"BEDROCK PRODUCTION, LLC",New Drill,Horizontal,2021-08-11,2021-08-13
42-337-35477,WINTON (AW) 2H,"BEDROCK PRODUCTION, LLC",New Drill,Horizontal,2021-08-11,2021-08-13
42-337-35475,LITTLE ACRES 1H,JOINT RESOURCES COMPANY,New Drill,Horizontal,2021-06-15,2021-07-15
42-337-35474,HICKMAN 3,"ATOKA OPERATING, INC.",New Drill,Vertical,2021-05-26,2021-09-13
42-337-81981,MJ A205,"MJ PRODUCERS, L.L.C.",Re-Enter,Vertical,2021-05-07,2021-05-13
42-337-81980,MJ A203,"MJ PRODUCERS, L.L.C.",Re-Enter,Vertical,2021-04-26,2021-04-28
42-337-35472,"HUMPHRIES, CLARISSA 4","CHOLLA PETROLEUM, INC.",New Drill,Vertical,2021-03-24,2021-04-01
42-337-35473,"HUMPHRIES, CLARISSA 5","CHOLLA PETROLEUM, INC.",New Drill,Vertical,2021-03-24,2021-03-30
42-337-03945,"HUMPHRIES, CLARISSA 3R","CHOLLA PETROLEUM, INC.",Re-Enter,Vertical,2021-03-24,2021-03-30
42-337-20059,MJ A202,"MJ PRODUCERS, L.L.C.",Re-Enter,Vertical,2021-03-16,2021-03-18
42-337-35464,DURHAM A 9,GEURIN OIL & GAS,New Drill,Vertical,2020-10-07,2020-10-12
42-337-32483,GRAVES 7,GEURIN OIL & GAS,Re-Enter,Vertical,2020-02-24,2020-02-25
42-337-35466,MCDONALD 1,"EXTECH OPERATING, LLC",Recompletion,Vertical,2020-01-13,2020-01-22
42-337-35471,MCDONALD B 1,"EXTECH OPERATING, LLC",New Drill,Vertical,2019-11-05,2019-11-07
42-337-35001,HOWARD 1,"CTL PRODUCTION, INC.",Re-Enter,Vertical,2019-04-25,2019-05-01
42-337-00151,E B KING 1,"TETTLETON, STEVEN B.",Re-Enter,Vertical,2019-04-24,2019-04-26
42-337-35470,E B KING 7,"TETTLETON, STEVEN B.",New Drill,Vertical,2019-04-24,2019-04-26
42-337-35469,GRAVES 6,GEURIN OIL & GAS,New Drill,Vertical,2019-03-21,2019-03-21
42-337-35468,DURHAM 1,FELDERHOFF PRODUCTION COMPANY,New Drill,Vertical,2019-02-27,2019-03-01
42-337-35467,E. B. KING 6,"TETTLETON, STEVEN B.",New Drill,Vertical,2018-12-19,2018-12-21
42-337-32499,E. B. KING 7,"TETTLETON, STEVEN B.",Re-Enter,Vertical,2018-12-19,2018-12-21
42-337-35466,MCDONALD 1,"EXTECH OPERATING, LLC",New Drill,Vertical,2018-08-21,2018-08-21
42-337-35464,DURHAM A 9,GEURIN OIL & GAS,New Drill,Vertical,2018-07-20,2018-07-23
42-337-35465,BAKER UNIT 1,"REED PRODUCTION, INC.",New Drill,Vertical,2018-07-19,2018-07-26
42-337-35463,MOTLEY 2,"HESS, JERRY OPERATING CO.",New Drill,Vertical,2018-07-05,2018-07-06
42-337-35462,E.B. KING 5,"TETTLETON, STEVEN B.",New Drill,Vertical,2018-06-06,2018-07-31
42-337-35461,SALMON A 58,BRIDWELL OIL CO.,New Drill,Vertical,2018-05-02,2018-09-30
42-337-35459,SALMON A 56,BRIDWELL OIL CO.,New Drill,Vertical,2018-05-02,2018-05-02
42-337-35460,SALMON A 57,BRIDWELL OIL CO.,New Drill,Vertical,2018-05-02,2018-05-02
42-337-35458,SALMON A 55,BRIDWELL OIL CO.,New Drill,Vertical,2018-04-26,2018-04-30
42-337-83471,GRAVES 5,GEURIN OIL & GAS,Re-Enter,Vertical,2018-03-01,2018-03-06
42-337-32010,"PYEATT, W.J. 3",HENLEY OPERATING,Recompletion,Vertical,2018-02-02,2018-02-05
42-337-35457,FIELDS CLARK 1,"CREED OPERATING CO., LLC",New Drill,Vertical,2017-12-22,2018-01-11
42-337-01585,EAST QUEENS PEAK UNIT I 1,FELDERHOFF PRODUCTION COMPANY,Recompletion,Vertical,2017-12-13,2018-02-06
42-337-35456,BRATCHER 1,"3-T EXPLORATION, INC.",New Drill,Vertical,2017-11-17,2017-11-20
42-337-20055,E.B. KING 4,"TETTLETON, STEVEN B.",Re-Enter,Vertical,2017-10-31,2017-11-09
42-337-35455,GRADY BOWERS 1,"CREED OPERATING CO., LLC",New Drill,Vertical,2017-04-28,2017-05-16
42-337-35454,C. HATHCOCK USMC 1,"VETERAN EXPLORATION & PROD, LLC",New Drill,Vertical,2017-03-22,2017-03-28
42-337-34649,WELSH UNIT 1H,"EOG RESOURCES, INC.",New Drill,Horizontal,2017-03-07,2017-05-04
42-337-34647,WALES A UNIT 2H,"EOG RESOURCES, INC.",New Drill,Horizontal,2017-03-06,2017-06-08
42-337-34646,WALES UNIT 1H,"EOG RESOURCES, INC.",New Drill,Horizontal,2017-03-06,2017-05-03
42-337-35453,GRAVES 4,GEURIN OIL & GAS,New Drill,Vertical,2017-01-11,2017-01-23
42-337-35187,CRUMP UNIT 1H,"EOG RESOURCES, INC.",New Drill,Horizontal,2016-12-22,2016-12-22
42-337-34905,BRACKEEN UNIT 1H,"FUSE ENERGY, LLC",Recompletion,Horizontal,2016-12-15,2016-12-29
42-337-34906,BRACKEEN UNIT 2H,"FUSE ENERGY, LLC",Recompletion,Horizontal,2016-12-15,2016-12-29
42-337-35321,LEWIS-STUART E1 UNIT 1H,U.S. ENERGY DEVELOPMENT CORP,New Drill,Horizontal,2016-11-08,2016-12-06
42-337-35325,LEWIS-STUART F4 UNIT 4,U.S. ENERGY DEVELOPMENT CORP,New Drill,Horizontal,2016-11-08,2016-12-06
42-337-35452,SALMON A 54,BRIDWELL OIL CO.,New Drill,Vertical,2016-10-27,2016-11-10
