api,well,operator,application_type,drill_type,submitted,approved
42-389-41199,REV PEPPER X STATE T8-52-12 A 1011SB,NOBLE ENERGY INC,New Drill,Horizontal,2025-01-17,
42-389-41018,STATE BLANKENSHIP 56-T2-14X11 W207H,BPX OPERATING COMPANY,New Drill,Horizontal,2025-01-13,2025-01-15
42-389-41480,GUTHRIE STATE F 133H,"Permian Resources Operating, LLC",New Drill,Horizontal,2025-01-13,
42-389-41564,ENTERPRISE STATE 56-2-32-29 A 11H,ANADARKO E&P ONSHORE LLC,New Drill,Horizontal,2025-01-09,2025-01-14
42-389-41563,ENTERPRISE STATE 56-2-32-29 B 12H,ANADARKO E&P ONSHORE LLC,New Drill,Horizontal,2025-01-09,2025-01-14
42-389-41562,ENTERPRISE STATE 56-2-32-29 C 21H,ANADARKO E&P ONSHORE LLC,New Drill,Horizontal,2025-01-09,2025-01-14
42-389-41561,ENTERPRISE STATE 56-2-32-29 D 13H,ANADARKO E&P ONSHORE LLC,New Drill,Horizontal,2025-01-09,2025-01-14
42-389-41560,ENTERPRISE STATE 56-2-32-29 E 14H,ANADARKO E&P ONSHORE LLC,New Drill,Horizontal,2025-01-09,2025-01-14
42-389-41559,ENTERPRISE STATE 56-2-32-29 F 22H,ANADARKO E&P ONSHORE LLC,New Drill,Horizontal,2025-01-09,2025-01-14
42-389-41558,ENTERPRISE STATE 56-2-32-29 G 15H,ANADARKO E&P ONSHORE LLC,New Drill,Horizontal,2025-01-09,2025-01-14
42-389-41557,ENTERPRISE STATE 56-2-32-29 H 16H,ANADARKO E&P ONSHORE LLC,New Drill,Horizontal,2025-01-09,2025-01-14
42-389-41556,ENTERPRISE STATE 56-2-32-29 I 23H,ANADARKO E&P ONSHORE LLC,New Drill,Horizontal,2025-01-09,2025-01-14
42-389-41483,GUTHRIE STATE D 132H,"Permian Resources Operating, LLC",New Drill,Horizontal,2025-01-09,
42-389-41477,GUTHRIE STATE E 223H,"Permian Resources Operating, LLC",New Drill,Horizontal,2025-01-09,
42-389-41481,GUTHRIE STATE G 224H,"Permian Resources Operating, LLC",New Drill,Horizontal,2025-01-09,
42-389-41475,GUTHRIE A 221H,"Permian Resources Operating, LLC",New Drill,Horizontal,2025-01-09,
42-389-41476,GUTHRIE B 131H,"Permian Resources Operating, LLC",New Drill,Horizontal,2025-01-09,
42-389-41482,GUTHRIE C 222H,"Permian Resources Operating, LLC",New Drill,Horizontal,2025-01-09,
42-389-41176,WYATT EARP 22-21 UNIT A 131H,"Permian Resources Operating, LLC",New Drill,Horizontal,2025-01-08,2025-01-14
42-389-41195,WYATT EARP 22-21 UNIT A 332H,"Permian Resources Operating, LLC",New Drill,Horizontal,2025-01-08,2025-01-10
42-389-41553,WAHA E610H,"VTX Energy Operating, LLC",New Drill,Horizontal,2025-01-08,2025-01-09
42-389-41554,WAHA E611H,"VTX Energy Operating, LLC",New Drill,Horizontal,2025-01-08,2025-01-09
42-389-41555,WAHA E711H,"VTX Energy Operating, LLC",New Drill,Horizontal,2025-01-08,2025-01-09
42-389-41550,STATE BAFFIN 44/41 W201OB,MEWBOURNE OIL COMPANY,New Drill,Horizontal,2025-01-08,2025-01-08
42-389-41549,STATE BAFFIN 44/41 W102PA,MEWBOURNE OIL COMPANY,New Drill,Horizontal,2025-01-08,2025-01-08
42-389-41551,STATE BAFFIN 44/41 W102OB,MEWBOURNE OIL COMPANY,New Drill,Horizontal,2025-01-08,2025-01-08
42-389-41552,STATE BAFFIN 44/41 W201PA,MEWBOURNE OIL COMPANY,New Drill,Horizontal,2025-01-08,2025-01-08
42-389-40774,DEERE 57-T2-5X44 BF W206H,BPX OPERATING COMPANY,New Drill,Horizontal,2025-01-03,2025-01-17
42-389-41547,BOOMSTICK STATE 12A 12BS,"Blue Arrow Operating, LLC",New Drill,Horizontal,2025-01-03,2025-01-09
42-389-41548,BOOMSTICK STATE 12B 22BS,"Blue Arrow Operating, LLC",New Drill,Horizontal,2025-01-03,2025-01-09
42-389-41545,PROVIDENCE 6HZ,Lakewood Energy LLC,New Drill,Horizontal,2025-01-02,2025-01-10
42-389-41546,PROVIDENCE 7HZ,Lakewood Energy LLC,New Drill,Horizontal,2025-01-02,2025-01-10
42-389-41543,STATE MINT 57-T3-16X9 G W107H,BPX OPERATING COMPANY,New Drill,Horizontal,2024-12-30,2025-01-02
