api,well,operator,application_type,drill_type,submitted,approved
42-393-32783,ERIN 1,"VALPOINT OPERATING, LLC",New Drill,Vertical,2025-01-15,2025-01-17
42-393-32788,ROSIE 3,"VALPOINT OPERATING, LLC",New Drill,Directional,2024-12-27,2024-12-30
42-393-32787,ROSIE 2,"VALPOINT OPERATING, LLC",New Drill,Directional,2024-12-20,2024-12-23
42-393-32785,ROSIE 1,"VALPOINT OPERATING, LLC",New Drill,Directional,2024-12-20,2024-12-20
42-393-32787,ROSIE 2,"VALPOINT OPERATING, LLC",New Drill,Directional,2024-11-13,2024-11-15
42-393-32786,MCMORDIE 126 1H,"VALPOINT OPERATING, LLC",New Drill,Horizontal,2024-10-18,2024-10-25
42-393-32785,ROSIE 1,"VALPOINT OPERATING, LLC",New Drill,Directional,2024-05-23,2024-05-28
42-393-00728,"BELL, A. R. 4",PANTERA ENERGY COMPANY,Recompletion,Vertical,2024-05-03,2024-05-08
42-393-32784,MARY 1,"VALPOINT OPERATING, LLC",New Drill,Vertical,2024-04-23,2024-04-24
42-393-32783,ERIN 1,"VALPOINT OPERATING, LLC",New Drill,Vertical,2024-03-25,2024-03-25
42-393-32782,CHESTER 1,"HADAWAY CONSULT AND ENGINEER,LLC",New Drill,Vertical,2024-02-12,2024-02-16
42-393-32781,BUCK 1502BD,"HADAWAY CONSULT AND ENGINEER,LLC",New Drill,Vertical,2023-08-08,2023-08-11
42-393-32748,BWL 252H,"LATIGO PETROLEUM, LLC",New Drill,Horizontal,2023-07-26,2023-08-03
42-393-32749,LEONA 6A 1,"HADAWAY CONSULT AND ENGINEER,LLC",Recompletion,Directional,2023-04-24,2023-05-31
42-393-32780,W. MCMORDIE 127 2,"TEXAKOMA E & P, LLC",New Drill,Vertical,2023-04-20,2023-05-01
42-393-32779,MAYO CLINIC 'C' 12H,"LATIGO PETROLEUM, LLC",New Drill,Horizontal,2023-04-13,2023-04-18
42-393-32778,MAYO CLINIC 'C' 22H,"LATIGO PETROLEUM, LLC",New Drill,Horizontal,2023-04-12,2023-04-18
42-393-32777,MAYO CLINIC 'C' 32H,"LATIGO PETROLEUM, LLC",New Drill,Horizontal,2023-04-06,2023-04-14
42-393-32776,MAYO CLINIC 'C' 42H,"LATIGO PETROLEUM, LLC",New Drill,Horizontal,2023-03-27,2023-03-30
42-393-32775,COURSON RANCH 4 1H,"COURSON OIL & GAS, INC.",New Drill,Horizontal,2023-03-15,2023-03-20
42-393-32774,WARREN B PARSELL 157 C001CM,MEWBOURNE OIL COMPANY,New Drill,Horizontal,2023-03-07,2023-03-10
42-393-32773,KREEK MCCRAE 1 2H,"HADAWAY CONSULT AND ENGINEER,LLC",New Drill,Horizontal,2023-02-28,2023-03-09
42-393-32772,KREEK MCCRAE 1 1H,"HADAWAY CONSULT AND ENGINEER,LLC",New Drill,Horizontal,2023-02-24,2023-03-09
42-393-31803,CHAMBERS 79 1,"BLACKBEARD OPERATING, LLC",Recompletion,Vertical,2023-02-10,2023-02-21
