api,well,operator,application_type,drill_type,submitted,approved
42-401-34448,HARRELL GAS UNIT 3 (TP) 9,DIVERSIFIED PRODUCTION LLC,Recompletion,Vertical,2024-10-28,2024-11-06
42-401-35480,HELVENSTON B CV (AW) 2H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2024-10-22,2024-12-16
42-401-35481,HELVENSTON B HS (AW) 2H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2024-10-22,2024-11-22
42-401-35484,HELVENSTON A HS (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2024-10-22,2024-11-22
42-401-34749,KANGERGA OIL WELL 1 15,DIVERSIFIED PRODUCTION LLC,Recompletion,Vertical,2024-09-30,2024-10-01
42-401-31612,"LONG, E. I. 1","TAB OPERATING, INC.",Recompletion,Vertical,2024-09-20,2024-09-24
42-401-34431,WATSON 1,"STROUD PETROLEUM, INC.",Recompletion,Vertical,2024-08-30,2024-08-30
42-401-34395,WEAVER-KIDD 1,BUFFCO PRODUCTION INC.,Recompletion,Vertical,2024-07-22,2024-07-25
42-401-35485,HELVENSTON SWD 1D,SABINE OIL & GAS CORPORATION,New Drill,Vertical,2024-07-05,2024-07-09
42-401-35482,BELCLAIRE (AW) 1H,"RFE OPERATING, LLC",New Drill,Horizontal,2024-06-18,2024-08-01
42-401-35482,BELCLAIRE (AW) 1H,"RFE OPERATING, LLC",New Drill,Horizontal,2024-06-13,2024-06-18
42-401-35484,HELVENSTON A HS (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2024-06-07,2024-07-01
42-401-35480,HELVENSTON B CV (AW) 2H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2024-06-07,2024-06-27
42-401-35481,HELVENSTON B HS (AW) 2H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2024-06-07,2024-06-27
42-401-35483,HELVENSTON A CV (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2024-06-07,2024-06-27
42-401-34309,"HUBBARD, FRANK 4","AC EXPLORATION, LLC",Recompletion,Vertical,2024-03-19,2024-03-21
42-401-32276,RUDMAN 1,"CHISOS, LTD.",Recompletion,Vertical,2024-02-16,2024-04-29
42-401-35477,WHITE-HEIRS (ALLOC) 1H,VALENCE OPERATING COMPANY,New Drill,Horizontal,2023-11-29,2024-01-10
42-401-32148,"CHRISTIAN, ALICE ESTATE -A- 4DH",TGNR EAST TEXAS LLC,Recompletion,Vertical,2023-11-03,2023-11-14
42-401-34176,T.D. MAXWELL OIL WELL 4,DIVERSIFIED PRODUCTION LLC,Recompletion,Vertical,2023-10-10,2023-11-03
42-401-34176,T D MAXWELL GAS UNIT 2 4,DIVERSIFIED PRODUCTION LLC,Recompletion,Vertical,2023-09-20,2023-09-21
42-401-31877,"BECK, FRED GAS UNIT 2PT",TGNR EAST TEXAS LLC,Recompletion,Vertical,2023-07-18,2023-08-10
42-401-34877,WOLF GAS UNIT 1,BUFFCO PRODUCTION INC.,Recompletion,Vertical,2023-04-11,2023-04-20
42-401-34109,MAJOR KENNEDY ESTATE 16TP,TGNR EAST TEXAS LLC,Recompletion,Vertical,2023-03-07,2023-04-18
42-401-35479,OH25 BUFORD 2HH,TGNR EAST TEXAS LLC,New Drill,Horizontal,2023-02-20,2023-03-16
42-401-35478,OH25 BUFORD 1HH,TGNR EAST TEXAS LLC,New Drill,Horizontal,2023-02-10,2023-02-27
42-401-35477,WHITE-HEIRS (ALLOC) 1H,VALENCE OPERATING COMPANY,New Drill,Horizontal,2023-01-31,2023-08-17
42-401-35477,WHITE-HEIRS (ALLOC) 1H,VALENCE OPERATING COMPANY,New Drill,Horizontal,2023-01-25,2023-01-31
42-401-34930,CHEROKEE WATER COMPANY UNIT 14,CRATON OPERATING LLC,Recompletion,Vertical,2022-11-22,2022-12-05
42-401-35475,LANGHORNE-ASHMORE A (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2022-11-08,2022-12-13
