api,well,operator,application_type,drill_type,submitted,approved
42-405-30862,RILEY 1H,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2025-01-14,2025-01-15
42-405-30863,SHILOH 4H,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2025-01-14,2025-01-15
42-405-30847,BLY-MEIR-PIKE A 3H,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-12-20,2025-01-14
42-405-30851,BLY-PIKE A 2H,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-12-20,2025-01-14
42-405-30848,MEIR 4H,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-12-20,2025-01-14
42-405-30827,BRAHMAS 2HB,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-12-19,2024-12-19
42-405-30829,BRAHMAS 4HB,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-12-19,2024-12-19
42-405-30831,BRAHMAS 6HB,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-12-19,2024-12-19
42-405-30859,SHILOH 1H,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-12-02,2024-12-04
42-405-30860,SHILOH 2H,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-12-02,2024-12-04
42-405-30861,SHILOH 3H,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-12-02,2024-12-04
42-405-30857,HORST EAST 1HB,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-11-21,2024-11-22
42-405-30858,HORST WEST 1H,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-11-21,2024-11-22
42-405-30856,BANANA 1HB,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-11-14,2024-11-20
42-405-30855,HARVEY 1HB,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-11-14,2024-11-18
42-405-30854,OLYMPIA FIELDS 1HB,"PINE WAVE ENERGY PARTNERS OP,LLC",New Drill,Horizontal,2024-10-25,2024-11-26
42-405-30853,SAN AUGUSTINE SWD 1,"BRINE TEXAS USA, LLC",New Drill,Vertical,2024-10-17,2024-10-18
42-405-30852,COMMON SWD 2,"COMMON DISPOSAL, LLC",New Drill,Vertical,2024-10-16,2024-10-17
42-405-30846,BPX FEE WEST 1HB,"PINE WAVE ENERGY PARTNERS OP,LLC",New Drill,Horizontal,2024-10-15,2025-01-02
42-405-30850,BLY-BYRD A 1H,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-10-09,2024-10-10
42-405-30851,BLY-PIKE A 2H,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-10-09,2024-10-10
42-405-30847,BLY-MEIR-PIKE A 3H,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-09-17,2024-09-19
42-405-30848,MEIR 4H,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-09-17,2024-09-19
42-405-30849,MEIR 5H,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-09-17,2024-09-19
42-405-30846,BPX FEE WEST 1HB,"PINE WAVE ENERGY PARTNERS OP,LLC",New Drill,Horizontal,2024-09-06,2024-10-03
42-405-30845,CORONADO-COLUMBUS B 2H,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-08-21,2024-08-22
42-405-30844,CORONADO-COLUMBUS A 1H,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-08-08,2024-08-13
42-405-30845,CORONADO-COLUMBUS B 2H,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-08-08,2024-08-13
42-405-30840,TIMBERLANDS SWD 1,VENTANA MIDSTREAM LLC,New Drill,Vertical,2024-08-07,2024-08-09
42-405-30841,MARQUETTE-WEST IRONOSA A 1H,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-07-19,2024-07-25
42-405-30842,MARQUETTE-WEST IRONOSA B 2H,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-07-19,2024-07-25
42-405-30843,MARQUETTE-WEST IRONOSA C 3H,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-07-19,2024-07-25
42-405-30840,TIMBERLANDS SWD 1,VENTANA MIDSTREAM LLC,New Drill,Vertical,2024-07-19,2024-07-23
42-405-30824,WEST IRONOSA 2H,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-07-02,2024-07-08
42-405-30825,WEST IRONOSA 3H,AETHON ENERGY OPERATING LLC,New Drill,Horizontal,2024-07-02,2024-07-08
