api,well,operator,application_type,drill_type,submitted,approved
42-413-33032,POWELL '28' 51,"OIL PROJECTS, LLC",New Drill,Vertical,2024-12-18,
42-413-31601,MEADOR 2,COPPERTOP,Recompletion,Vertical,2024-11-17,2024-11-19
42-413-31427,POWELL '28' 1RE,"OIL PROJECTS, LLC",Re-Enter,Vertical,2024-10-11,2024-10-18
42-413-32747,MCGREGOR UNIT 704,"BOAZ ENERGY II OPERATING, LLC",Field Transfer,Vertical,2024-07-08,2024-07-23
42-413-31601,MEADOR 2,COPPERTOP,Recompletion,Vertical,2024-05-24,2024-05-31
42-413-31765,PARKER 2,FELDERHOFF PRODUCTION COMPANY,Re-Enter,Vertical,2024-03-08,2024-03-12
42-413-32747,CJM -7- 4,"BOAZ ENERGY II OPERATING, LLC",Recompletion,Vertical,2024-02-16,
42-413-33032,POWELL '28' 51,"OIL PROJECTS, LLC",New Drill,Vertical,2023-11-21,2023-11-27
42-413-33031,WALLACE 68 2,FOSSIL PETROLEUM LLC,New Drill,Vertical,2023-10-03,2023-10-06
42-413-00205,SIMMONS 1,"VX OPERATING, LLC",Re-Enter,Vertical,2023-08-16,2023-08-18
42-413-31742,BARROW 5,"TXP, INCORPORATED",Reclass,Vertical,2023-07-17,2023-10-12
42-413-31378,THORNBURG 27 5,"BOAZ ENERGY II OPERATING, LLC",Recompletion,Vertical,2023-05-03,2023-05-11
42-413-33030,GARDENIA 1,"MCCAMMON OIL & GAS, INC.",New Drill,Vertical,2022-12-22,2023-01-17
42-413-33028,PY UNIT 1,FELDERHOFF PRODUCTION COMPANY,New Drill,Directional,2022-05-17,2022-06-21
42-413-33027,R-B RANCH 1,"LAVANCO ENERGY, LTD.",New Drill,Vertical,2021-12-07,2021-12-10
42-413-33026,POWELL 'A' 6A,"OIL PROJECTS, LLC",New Drill,Vertical,2021-10-20,2021-12-07
42-413-33025,POWELL '28' 50,"OIL PROJECTS, LLC",New Drill,Vertical,2021-10-13,2021-10-20
42-413-33024,WALLACE 68 1,FOSSIL PETROLEUM LLC,New Drill,Vertical,2021-10-07,2021-10-14
42-413-32064,C. G. M. 2,"DISCOVERY OPERATING, INC.",Recompletion,Vertical,2021-09-22,2021-10-06
42-413-31834,FORTUNE '7' 1,"DISCOVERY OPERATING, INC.",Recompletion,Vertical,2021-08-10,2021-08-19
42-413-33023,JONES 'C' 5,SILVER OIL & GAS INC.,New Drill,Vertical,2021-07-14,2021-07-16
42-413-33022,SONORA 2,FELDERHOFF PRODUCTION COMPANY,New Drill,Vertical,2021-06-02,2021-06-09
42-413-32809,POWELL '28' 12,"OIL PROJECTS, LLC",Recompletion,Vertical,2021-04-08,2021-04-13
42-413-33021,EAGLES WEST 1,FELDERHOFF PRODUCTION COMPANY,New Drill,Vertical,2020-10-27,2020-12-07
42-413-33020,PARKER 1,FELDERHOFF PRODUCTION COMPANY,New Drill,Vertical,2020-08-28,2020-08-31
42-413-33020,PARKER 1,"TXP, INCORPORATED",New Drill,Vertical,2020-06-25,2020-06-26
42-413-33011,GOIN SOUTH 1,"LAVANCO ENERGY, LTD.",Re-Enter,Vertical,2020-06-23,2020-06-25
42-413-33019,R L HENDERSON B 2,"DISCOVERY OPERATING, INC.",New Drill,Vertical,2020-05-19,2020-05-21
42-413-33017,SWIFT 2,FELDERHOFF PRODUCTION COMPANY,New Drill,Vertical,2019-12-05,2020-05-06
42-413-33018,SONORA 1,FELDERHOFF PRODUCTION COMPANY,New Drill,Vertical,2019-12-05,2019-12-11
42-413-33016,LOUANN 1503,BARRON PETROLEUM LLC,New Drill,Vertical,2019-11-02,2019-11-06
42-413-33014,POWELL 'A' 5,"VX OPERATING, LLC",New Drill,Vertical,2019-01-10,2019-01-11
42-413-33015,TREADWELL 1,"VX OPERATING, LLC",New Drill,Vertical,2019-01-10,2019-01-10
42-413-31403,"THORNBURG, M. 2","BOAZ ENERGY II OPERATING, LLC",Recompletion,Vertical,2018-12-21,2019-01-03
42-413-31275,"THORNBURG, M. 1","BOAZ ENERGY II OPERATING, LLC",Recompletion,Vertical,2018-12-12,2018-12-14
42-413-33013,MARY L. JACKSON S 101,RECOVERY OPERATING LP,New Drill,Vertical,2018-11-13,2018-11-14
42-413-32989,THORNBURG 27 15,"BOAZ ENERGY II OPERATING, LLC",Recompletion,Vertical,2018-10-30,2018-10-31
42-413-32935,E.M. CLANCY 15,"BOAZ ENERGY II OPERATING, LLC",Recompletion,Vertical,2018-09-28,2018-12-03
42-413-31679,LIN H 1,"DISCOVERY OPERATING, INC.",Recompletion,Vertical,2018-08-28,2018-08-30
42-413-33011,GOIN SOUTH 1,"LAVANCO ENERGY, LTD.",New Drill,Vertical,2018-07-16,2018-07-16
42-413-31660,LLOYD '18' 1,"TOC ENERGY RESOURCES, LLC",Recompletion,Vertical,2018-05-30,2018-12-31
42-413-32934,E. M. CLANCY 14,"BOAZ ENERGY II OPERATING, LLC",Recompletion,Vertical,2018-05-24,2018-12-03
42-413-31470,EDMISTON 172 1,SILVER OIL & GAS INC.,Recompletion,Vertical,2018-02-26,2018-02-28
42-413-33009,THORNBURG 3,"VX OPERATING, LLC",New Drill,Vertical,2018-02-23,2018-02-23
42-413-33008,BYARS 1,"BVX OPERATING, INC.",New Drill,Vertical,2018-01-24,2018-02-02
42-413-33007,POWELL 4,"VX OPERATING, LLC",New Drill,Vertical,2018-01-04,2018-01-10
42-413-32423,"JACKSON, MARY L. 9",RECOVERY OPERATING LP,New Drill,Vertical,2017-11-10,2018-04-05
42-413-33006,THORNBURG 27 19,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2017-10-25,2017-10-26
42-413-33002,THORNBURG 27 7,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2017-10-06,2017-10-17
42-413-33003,THORNBURG 27 10,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2017-10-06,2017-10-17
42-413-33004,THORNBURG 27 24,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2017-10-06,2017-10-17
42-413-33005,THORNBURG 27 28,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2017-10-06,2017-10-17
42-413-33001,POWELL 'A' 3,"VX OPERATING, LLC",New Drill,Vertical,2017-09-25,2017-09-28
42-413-32238,JACKSON 9,OXY USA INC.,Recompletion,Vertical,2017-09-21,2017-09-22
42-413-32336,JACKSON 11,OXY USA INC.,Recompletion,Vertical,2017-09-21,2017-09-22
42-413-32981,MCGREGOR UNIT 610,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2017-08-18,2017-08-18
42-413-33000,THORNBURG 2,"VX OPERATING, LLC",New Drill,Vertical,2017-07-25,2017-07-26
42-413-32998,THORNBURG 27 18,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2017-05-18,2017-06-21
42-413-32999,THORNBURG 27 13,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2017-05-16,2017-06-30
42-413-31222,FLORENCE 28 4,"TUG HILL OPERATING, LLC",Recompletion,Vertical,2017-05-02,2017-05-16
42-413-32997,MCGREGOR UNIT 611,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2017-04-26,2017-05-10
42-413-32996,MCGREGOR UNIT 613,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2017-04-26,2017-05-10
42-413-32993,MCGREGOR UNIT 612,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2017-04-24,2017-05-04
42-413-32994,MCGREGOR UNIT 614,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2017-04-24,2017-05-04
42-413-32995,MCGREGOR UNIT 615,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2017-04-24,2017-05-04
42-413-32989,THORNBURG 27 15,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2017-04-17,2017-04-27
42-413-32165,FINNIGAN '29' 1W,COPPERTOP,Re-Enter,Vertical,2017-03-31,2017-04-07
42-413-32992,PFEUFFER 1,"VX OPERATING, LLC",New Drill,Vertical,2017-03-29,2017-04-03
42-413-32991,HULLDALE 1,"LAVANCO ENERGY, LTD.",New Drill,Vertical,2017-03-27,2017-03-31
42-413-32990,BOULWARE UNIT 1,"LAVANCO ENERGY, LTD.",New Drill,Vertical,2017-03-22,2017-03-29
42-413-32986,MCGREGOR UNIT 605,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2017-02-23,2017-03-15
42-413-32988,THORNBURG 27 17,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2017-02-23,2017-03-14
42-413-32987,THORNBURG 27 16,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2017-02-23,2017-03-13
42-413-32989,THORNBURG 27 15,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2017-02-23,2017-03-09
42-413-32985,PROSPECT RANCH 1,"CHOLLA PETROLEUM, INC.",New Drill,Vertical,2017-02-13,2017-02-27
42-413-32984,THORNBURG 1,"VISTA EXPLORATION, LLC",New Drill,Vertical,2017-01-30,2017-02-06
42-413-32983,MCGREGOR UNIT 609,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2017-01-12,2017-01-25
42-413-32982,MCGREGOR UNIT 608,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2017-01-12,2017-01-24
42-413-30635,ENOCHS 2,COPPERTOP,Recompletion,Vertical,2017-01-05,2017-01-30
42-413-32981,MCGREGOR UNIT 610,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2016-10-21,2016-10-27
42-413-32979,MCGREGOR UNIT 607,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2016-09-16,2016-09-20
42-413-32978,MCGREGOR UNIT 710,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2016-09-13,2016-09-16
42-413-32977,THORNBURG 11,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2016-09-12,2016-10-10
42-413-32976,THORNBURG 8,"BOAZ ENERGY II OPERATING, LLC",New Drill,Vertical,2016-09-12,2016-09-16
42-413-32948,A.M. MURPHY 16,"SER E&P, INC.",New Drill,Vertical,2016-07-25,2016-08-19
42-413-32975,UPTON 1,RANCHERS RESOURCES INC.,New Drill,Vertical,2016-04-25,2016-04-25
42-413-32933,"PATTON, MARY GRACE 1",BONFIRE OPERATING LLC,Recompletion,Vertical,2016-02-02,2016-02-04
42-413-31509,MCGREGOR UNIT 401,"BOAZ ENERGY II OPERATING, LLC",Recompletion,Vertical,2016-01-07,2016-01-12
42-413-32974,"YOCHAM, J.W. 6","TXP, INCORPORATED",New Drill,Vertical,2015-10-22,2015-10-29
42-413-32973,POWELL 2,"VISTA EXPLORATION, LLC",New Drill,Vertical,2015-10-05,2015-10-05
42-413-32857,"MEADOR-HENGST, ET AL 1","EAGLE PRODUCTION, INC.",Recompletion,Vertical,2015-09-28,2015-09-30
42-413-32960,LOUANN 02WC,SUMMIT PETROLEUM LLC,New Drill,Horizontal,2015-09-21,2015-09-29
