api,well,operator,application_type,drill_type,submitted,approved
42-473-30919,"HARDY, RUFUS -B- 33",ENHANCED ENERGY PARTNERS CORP,Recompletion,Directional,2024-09-15,2024-09-17
42-473-31295,LGB 1,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Vertical,2023-06-26,2023-06-30
42-473-31293,MORGAN 1,MVU BRAZOS CORP.,New Drill,Directional,2023-06-13,2023-07-10
42-473-31295,LGB 1,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Vertical,2023-05-30,2023-06-02
42-473-31294,BAINS-MONTGOMERY UNIT #12 1,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2022-12-13,2022-12-22
42-473-31294,BAINS-MONTGOMERY UNIT #12 1,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2022-09-27,2022-09-30
42-473-31293,MORGAN 1,MVU BRAZOS CORP.,New Drill,Directional,2022-08-31,2022-09-07
42-473-30026,KGFCU (III-A) 8305,HILCORP ENERGY COMPANY,Recompletion,Vertical,2022-04-19,2022-04-25
42-473-31292,SANFORD-MARINER 3,OPTIMUM EXPLORATION LLC,New Drill,Directional,2022-01-28,2022-02-02
42-473-31291,VINCENT-MARINER 2,OPTIMUM EXPLORATION LLC,New Drill,Vertical,2021-08-16,2021-08-17
42-473-31290,MARINER 1,OPTIMUM EXPLORATION LLC,New Drill,Vertical,2021-06-09,2021-06-11
42-473-31290,MARINER 1,OPTIMUM EXPLORATION LLC,New Drill,Vertical,2021-06-01,2021-06-07
42-473-30424,KGFCU 7309,HILCORP ENERGY COMPANY,Recompletion,Vertical,2019-12-31,2020-01-07
42-473-30853,CHAPMAN ''A'' 3,OXXN,Recompletion,Vertical,2019-11-15,2019-11-25
42-473-30026,KGFCU (IV) 8305,HILCORP ENERGY COMPANY,Recompletion,Vertical,2019-07-29,2019-07-31
42-473-30424,KGFCU (II-C) 7309,HILCORP ENERGY COMPANY,Recompletion,Vertical,2019-06-06,2019-06-11
42-473-30388,KGFCU (IV) 8508,HILCORP ENERGY COMPANY,Recompletion,Vertical,2019-04-16,2019-04-17
42-473-30388,KGFCU (V) 8508,HILCORP ENERGY COMPANY,Recompletion,Vertical,2019-03-27,2019-03-28
42-473-31289,BAINS MONTGOMERY UNIT #Y-7 1,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2017-01-10,2017-01-18
42-473-31284,BAINS MONTGOMERY UNIT #11 1,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2017-01-09,2017-01-09
42-473-31288,KURATTI 8,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2017-01-04,2017-01-11
42-473-31286,BAINS SUMNER UNIT #12 1,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2016-12-27,2016-12-30
42-473-31287,FRIETSCH A 5A,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2016-12-27,2016-12-30
42-473-31285,BAINS SUMNER UNIT #11 1,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2016-12-20,2016-12-21
42-473-31283,BAINS MONTGOMERY UNIT #10 1,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2016-12-07,2016-12-16
42-473-31283,BAINS MONTGOMERY UNIT #10 1,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2016-12-06,2016-12-06
42-473-31284,BAINS MONTGOMERY UNIT #Y-3 1,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2016-11-28,2016-12-20
42-473-31281,BAINS MONTGOMERY UNIT #9 1,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2016-11-28,2016-12-07
42-473-31282,BAINS MONTGOMERY UNIT #Y-2 1,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2016-11-28,2016-12-06
42-473-31280,BAINS MONTGOMERY UNIT #8 1,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2016-11-28,2016-12-06
42-473-31273,FRIETSCH 18,TRIANGLE THREE RESOURCES L.L.C.,Re-Enter,Directional,2016-10-26,2016-10-26
42-473-31279,BAINS MONTGOMERY UNIT #7 1,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2016-10-21,2016-10-31
42-473-31278,BAINS MONTGOMERY UNIT #6 1,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2016-10-19,2016-10-26
42-473-31260,"HARDY, RUFUS -B- 38",ENHANCED ENERGY PARTNERS CORP,Recompletion,Vertical,2016-10-14,2016-10-27
42-473-31277,BAINS MONTGOMERY UNIT #4 1,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2016-09-28,2016-10-05
42-473-31276,MINNS 15,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Vertical,2016-09-28,2016-09-30
42-473-31275,BAINS MONTGOMERY UNIT #5 1,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2016-09-23,2016-09-28
42-473-31274,BAINS MONTGOMERY UNIT #Y-1 1,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2016-09-16,2016-09-19
42-473-31273,FRIETSCH 18,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2016-09-12,2016-09-14
42-473-31272,BAINS MONTGOMERY UNIT #3 1,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2016-08-16,2016-08-16
42-473-31271,BAINS MONTGOMERY UNIT #2 1,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2016-08-11,2016-08-12
42-473-31270,BAINS MONTGOMERY 1,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2016-07-21,2016-07-21
42-473-31091,KGFCU 1210,HILCORP ENERGY COMPANY,Recompletion,Vertical,2016-07-08,2016-07-12
42-473-00118,KGFCU (CKFD U A) 9301,HILCORP ENERGY COMPANY,Recompletion,Vertical,2016-07-01,2016-07-05
42-473-31269,FRIETSCH 16,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2016-05-27,2016-05-31
42-473-31268,FRIETSCH A 4A,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Vertical,2016-04-19,2016-04-21
42-473-30393,KGFCU (III-A) 5209,HILCORP ENERGY COMPANY,Recompletion,Vertical,2016-04-07,2016-04-08
42-473-31267,FRIETSCH A 3A,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Vertical,2016-04-06,2016-04-06
42-473-30294,KGFCU (CKFD U B) 5405,HILCORP ENERGY COMPANY,Recompletion,Vertical,2016-02-09,2016-02-11
42-473-30294,KGFCU (III-A) 5405,HILCORP ENERGY COMPANY,Recompletion,Vertical,2016-01-27,2016-01-28
42-473-00120,KGFCU (CKFD U B) 9303,HILCORP ENERGY COMPANY,Recompletion,Vertical,2015-09-02,2015-09-10
42-473-31173,KGFCU (I-A) 8408,HILCORP ENERGY COMPANY,Recompletion,Vertical,2015-08-31,2015-09-03
42-473-00114,KGFCU (CKFD U A) 6402,HILCORP ENERGY COMPANY,Recompletion,Vertical,2015-07-30,2015-08-06
42-473-31266,FRIETSCH 17,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2015-05-28,2015-05-29
42-473-00005,G. A. CHAPMAN 1,SHELL OIL COMPANY,Recompletion,Vertical,2015-03-26,2015-03-30
42-473-31265,KUYKENDALL ET AL 2,"NEW CENTURY EXPLORATION, INC.",New Drill,Vertical,2015-03-05,2015-03-06
42-473-31264,FRIETSCH 21X,TRIANGLE THREE RESOURCES L.L.C.,New Drill,Directional,2015-01-09,2015-01-09
42-473-31263,PREMA KURATTI 16,"R.T.C. RESOURCES, L.P.",New Drill,Vertical,2014-10-15,2014-10-23
42-473-31261,PREMA KURATTI 15,"R.T.C. RESOURCES, L.P.",New Drill,Vertical,2014-10-15,2014-10-17
42-473-31262,PREMA KURATTI 12,"R.T.C. RESOURCES, L.P.",New Drill,Vertical,2014-10-15,2014-10-16
42-473-31196,PREMA KURATTI 11,"R.T.C. RESOURCES, L.P.",Re-Enter,Vertical,2014-10-07,2014-10-16
42-473-31194,PREMA KURATTI 9,"R.T.C. RESOURCES, L.P.",New Drill,Vertical,2014-10-07,2014-10-10
42-473-31090,FRIETSCH 21,TRIANGLE THREE RESOURCES L.L.C.,Re-Enter,Directional,2014-09-09,2014-09-26
42-473-31260,RUFUS HARDY 'B' 38,ENHANCED ENERGY PARTNERS CORP,New Drill,Vertical,2014-07-30,2014-08-26
42-473-31259,MCCORMICK 49,"ESCONDIDO PETROLEUM COMPANY, INC",New Drill,Vertical,2014-06-09,2014-07-09
42-473-31258,STOWE 5,"PROPERTY DEVELOPMENT GROUP, INC.",New Drill,Vertical,2014-05-30,2014-06-09
42-473-31257,WALLER INDUSTRIAL PARK 1,"PREMIER COIL SOLUTIONS, INC.",New Drill,Vertical,2014-05-07,2014-06-10
42-473-30289,KGFCU (IV) 8306,HILCORP ENERGY COMPANY,Recompletion,Vertical,2014-05-07,2014-06-09
42-473-30414,KGFCU (III-A) 5406,HILCORP ENERGY COMPANY,Recompletion,Vertical,2014-04-29,2014-06-02
42-473-00321,KGFCU 8202 F,HILCORP ENERGY COMPANY,Recompletion,Vertical,2014-04-24,2014-05-29
