api,well,operator,application_type,drill_type,submitted,approved
,TUSK ONE H 01TR,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2025-01-15,
42-477-31308,BALDWIN FIVE H 05,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-12-30,2024-12-31
42-477-31306,BALDWIN THREE H 03,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-12-27,2024-12-31
42-477-31307,BALDWIN ONE H 01,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-12-27,2024-12-30
42-477-30998,BORGSTEDT-LEVIEN CO-OP 1,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-12-04,2024-12-09
42-477-31305,LOUIE SEVEN H 07,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-11-12,2024-11-26
42-477-31304,DIETZ O.L. UNIT H 04MC,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-10-23,2024-10-30
42-477-31303,COMMODORE SIX H 06MC,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-10-23,2024-10-28
42-477-31301,COMMODORE TWO H 02MC,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-10-22,2024-10-28
42-477-31302,COMMODORE FOUR H 04MC,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-10-22,2024-10-28
42-477-31294,ROC WHITE H 02RP,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-10-04,2024-10-29
42-477-31299,LOUIE THREE H 03,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-09-04,2024-09-11
42-477-31300,LOUIE FIVE H 05,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-09-04,2024-09-05
42-477-31293,ROC BLACK H 04RP,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-08-30,2024-10-25
42-477-31294,ROC WHITE H 02RP,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-08-30,
42-477-31295,ARCHES TWO H 02MA,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-08-28,2024-08-30
42-477-31296,ARCHES FOUR H 04MA,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-08-28,2024-08-30
42-477-31297,ARCHES SIX H 06MA,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-08-28,2024-08-30
42-477-31298,ARCHES EIGHT H 08MA,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-08-28,2024-08-30
42-477-31240,JUTLAND UNIT 1H,VERDUN OIL & GAS LLC,New Drill,Horizontal,2024-07-26,2024-08-09
42-477-31293,ROC BLACK H 04RP,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-07-25,2024-08-13
42-477-31294,ROC WHITE H 02RP,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-07-25,2024-08-09
42-477-31292,DENALI APOLLO H 05DP,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-07-01,2024-07-18
42-477-31291,DENALI MATRIX H 03DP,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-06-27,2024-07-02
42-477-31290,DENALI SUMMIT H 01DP,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-06-26,2024-07-02
42-477-31289,LOUIE ONE H 01,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-05-28,2024-07-29
42-477-31289,LOUIE ONE H 01,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-05-08,2024-05-16
,ARCHES TWO H 02MA,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-03-16,
,ARCHES SIX H 05MA,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-03-16,
,ARCHES FOUR H 04MA,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-03-16,
42-477-31206,ZION EMERALD H 10ZN,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-03-08,2024-03-15
42-477-31207,ZION GROTTO H 12ZN,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-03-08,2024-03-15
42-477-31273,HERON B 2H,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2024-03-01,2024-04-05
42-477-31285,RAZORBACK FOUR H 04TR,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-02-22,2024-03-12
42-477-31284,RAZORBACK SIX H 06TR,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-02-22,2024-03-06
42-477-31283,RAZORBACK TWO H 02TR,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-02-22,2024-02-28
42-477-31264,JILANA JO UNIT H 05BR,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2023-12-20,2023-12-27
42-477-31265,JILANA JO UNIT H 07BR,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2023-12-20,2023-12-27
42-477-31263,JILANA JO UNIT H 03BR,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2023-12-20,2023-12-27
42-477-31266,BROOKS 3,"Watt Energy, LLC",New Drill,Directional,2023-12-01,2023-12-07
42-477-31208,SWEDISH CHEF 5H,PALEO OIL COMPANY LLC,New Drill,Horizontal,2023-11-27,2023-12-05
42-477-31282,BULLDOG RED H 01BD,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2023-11-24,2023-12-01
42-477-31279,WMJ 1,"Watt Energy, LLC",New Drill,Directional,2023-11-08,2023-11-13
42-477-31280,BULLDOG BLACK H 02BD,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2023-11-07,2023-11-15
42-477-31281,BULLDOG WHITE H 04BD,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2023-11-07,2023-11-15
42-477-31277,ANNA HEGAR 1,"Watt Energy, LLC",New Drill,Directional,2023-10-30,2023-11-01
42-477-31278,TIGER PAW H 08TT,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2023-10-27,2023-11-17
42-477-31276,TIGER RAG H 06TT,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2023-10-23,2023-10-25
42-477-31274,TIGER ORANGE H 02TT,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2023-10-20,2023-11-08
