api,well,operator,application_type,drill_type,submitted,approved
42-493-33011,WILSON-UNIVERSITY 3H,"WARWICK-ARTEMIS, LLC",New Drill,Horizontal,2024-12-12,2025-01-10
42-493-33012,TANGO UNIT 1H,PCR ENERGY LA LLC,New Drill,Horizontal,2024-11-01,2024-11-04
42-493-33009,HEIDI HO 1H,"WARWICK-ARTEMIS, LLC",New Drill,Horizontal,2024-10-29,2024-10-31
42-493-33010,HEIDI HO 2H,"WARWICK-ARTEMIS, LLC",New Drill,Horizontal,2024-10-29,2024-10-31
42-493-33011,WILSON-UNIVERSITY 3H,"WARWICK-ARTEMIS, LLC",New Drill,Horizontal,2024-10-29,2024-10-30
42-493-33008,CLEMENT 2H,"WARWICK-ARTEMIS, LLC",New Drill,Horizontal,2024-10-28,2024-10-30
42-493-33007,SHAWNA WIATREK 2H,"WARWICK-ARTEMIS, LLC",New Drill,Horizontal,2024-09-17,2024-09-19
42-493-33005,SHAWNA WIATREK-SCHIFFERS WEST A 1H,"WARWICK-ARTEMIS, LLC",New Drill,Horizontal,2024-09-17,2024-09-19
42-493-33006,SHAWNA WIATREK-SCHIFFERS WEST B 2H,"WARWICK-ARTEMIS, LLC",New Drill,Horizontal,2024-09-17,2024-09-19
42-493-33004,YOSKO A 2H,"WARWICK-ARTEMIS, LLC",New Drill,Horizontal,2024-09-17,2024-09-18
42-493-33001,KRAKEN C 3H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-08-05,2024-08-13
42-493-33000,KRAKEN B 2H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-08-05,2024-08-08
42-493-33002,KRAKEN D 4H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-08-05,2024-08-08
42-493-33003,CERBERUS A 1H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-08-05,2024-08-06
42-493-32999,KRAKEN A 1H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-08-02,2024-08-08
42-493-32998,SEKULA UNIT 6HR,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-06-20,2024-06-25
42-493-32997,SEKULA UNIT 5HR,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-06-18,2024-06-18
42-493-32997,SEKULA UNIT 5HR,"EOG RESOURCES, INC.",New Drill,Vertical,2024-06-14,2024-06-14
42-493-32995,QUEEN 55H 55H,"TRINITY OPERATING (USG), LLC",New Drill,Horizontal,2024-04-29,2024-05-03
42-493-32996,QUEEN 56H 56H,"TRINITY OPERATING (USG), LLC",New Drill,Horizontal,2024-04-29,2024-05-03
42-493-32993,PEARL JAM 79H 79H,"TRINITY OPERATING (USG), LLC",New Drill,Horizontal,2024-04-01,2024-04-11
42-493-32994,PEARL JAM 80H 80H,"TRINITY OPERATING (USG), LLC",New Drill,Horizontal,2024-04-01,2024-04-11
42-493-32991,AEROSMITH 43H 43H,"TRINITY OPERATING (USG), LLC",New Drill,Horizontal,2024-03-18,2024-03-22
42-493-32992,AEROSMITH 77H 77H,"TRINITY OPERATING (USG), LLC",New Drill,Horizontal,2024-03-18,2024-03-22
42-493-32975,LYNYRD SKYNYRD 63H 63H,"TRINITY OPERATING (USG), LLC",New Drill,Horizontal,2024-03-05,2024-03-13
42-493-32976,THE TUSCAI 64H 64H,"TRINITY OPERATING (USG), LLC",New Drill,Horizontal,2024-02-27,2024-03-11
42-493-32972,VALCHAR B 2H,"RECOIL RESOURCES OPERATING, INC.",New Drill,Horizontal,2024-02-14,2024-02-22
42-493-32990,SEKULA A 4H,"RECOIL RESOURCES OPERATING, INC.",New Drill,Horizontal,2024-02-07,2024-02-21
42-493-32971,VALCHAR A 1H,"RECOIL RESOURCES OPERATING, INC.",New Drill,Horizontal,2024-01-31,2024-02-07
42-493-32985,KISS 34H 34H,"TRINITY OPERATING (USG), LLC",New Drill,Horizontal,2023-11-09,2023-11-20
42-493-32986,KISS 35H 35H,"TRINITY OPERATING (USG), LLC",New Drill,Horizontal,2023-11-09,2023-11-20
42-493-32987,KISS 36H 36H,"TRINITY OPERATING (USG), LLC",New Drill,Horizontal,2023-11-09,2023-11-20
42-493-32988,KISS 37H 37H,"TRINITY OPERATING (USG), LLC",New Drill,Horizontal,2023-11-09,2023-11-20
42-493-32989,KISS 38H 38H,"TRINITY OPERATING (USG), LLC",New Drill,Horizontal,2023-11-09,2023-11-20
42-493-32980,SEKULA UNIT 2H,"EOG RESOURCES, INC.",New Drill,Horizontal,2023-10-25,2023-10-31
42-493-32981,SEKULA UNIT 3H,"EOG RESOURCES, INC.",New Drill,Horizontal,2023-10-25,2023-10-31
42-493-32982,SEKULA UNIT 4H,"EOG RESOURCES, INC.",New Drill,Horizontal,2023-10-25,2023-10-31
42-493-32983,SEKULA UNIT 5H,"EOG RESOURCES, INC.",New Drill,Horizontal,2023-10-25,2023-10-31
42-493-32984,SEKULA UNIT 6H,"EOG RESOURCES, INC.",New Drill,Horizontal,2023-10-25,2023-10-31
42-493-32976,THE TUSCAI 64H 64H,"TRINITY OPERATING (USG), LLC",New Drill,Horizontal,2023-08-16,2023-08-25
42-493-32978,THE TUSCAI 66H 66H,"TRINITY OPERATING (USG), LLC",New Drill,Horizontal,2023-08-16,2023-08-25
42-493-32964,FALLS CITY WEST B 2H,"WARWICK-ARTEMIS, LLC",New Drill,Horizontal,2023-07-25,2023-08-01
42-493-32969,MOA C 3H,"EOG RESOURCES, INC.",New Drill,Horizontal,2023-07-18,2023-07-24
42-493-32946,DUNN-EDWARD HOSEK A 1H,"RECOIL RESOURCES OPERATING, INC.",New Drill,Horizontal,2023-07-14,2023-07-21
42-493-32948,BAPTIST FOUNDATION - HOSEK C 3H,"RECOIL RESOURCES OPERATING, INC.",New Drill,Horizontal,2023-07-07,2023-07-25
42-493-32947,DUNN-EDWARD HOSEK B 2H,"RECOIL RESOURCES OPERATING, INC.",New Drill,Horizontal,2023-07-07,2023-07-18
42-493-32976,THE TUSCAI 64H 64H,"TRINITY OPERATING (USG), LLC",New Drill,Horizontal,2023-05-31,2023-07-10
42-493-32978,THE TUSCAI 66H 66H,"TRINITY OPERATING (USG), LLC",New Drill,Horizontal,2023-05-31,2023-07-06
42-493-32973,LYNYRD SKYNYRD 61H 61H,"TRINITY OPERATING (USG), LLC",New Drill,Horizontal,2023-05-31,2023-06-08
42-493-32974,LYNYRD SKYNYRD 62H 62H,"TRINITY OPERATING (USG), LLC",New Drill,Horizontal,2023-05-31,2023-06-08
42-493-32975,LYNYRD SKYNYRD 63H 63H,"TRINITY OPERATING (USG), LLC",New Drill,Horizontal,2023-05-31,2023-06-08
42-493-32955,METALLICA 47H 47H,"TRINITY OPERATING (USG), LLC",New Drill,Horizontal,2023-05-14,2023-07-13
42-493-32971,VALCHAR A 1H,"RECOIL RESOURCES OPERATING, INC.",New Drill,Horizontal,2023-03-29,2023-04-03
42-493-32972,VALCHAR B 2H,"RECOIL RESOURCES OPERATING, INC.",New Drill,Horizontal,2023-03-29,2023-04-03
42-493-32970,G.B. DYLLA 2,BASTROP ENERGY GROUP,New Drill,Vertical,2023-03-02,2023-03-08
42-493-32967,MOA A 1H,"EOG RESOURCES, INC.",New Drill,Horizontal,2023-01-09,2023-01-09
42-493-32968,MOA B 2H,"EOG RESOURCES, INC.",New Drill,Horizontal,2023-01-09,2023-01-09
42-493-32969,MOA C 3H,"EOG RESOURCES, INC.",New Drill,Horizontal,2023-01-09,2023-01-09
42-493-32749,A.D.D. CORPORATION 5,"FIRST ROCK, INC.",Recompletion,Directional,2022-12-15,2022-12-27
42-493-32964,FALLS CITY WEST 2H,"WARWICK-ARTEMIS, LLC",New Drill,Horizontal,2022-12-09,2022-12-14
42-493-32965,FALLS CITY WEST 3H,"WARWICK-ARTEMIS, LLC",New Drill,Horizontal,2022-12-09,2022-12-14
42-493-32966,FALLS CITY WEST 4H,"WARWICK-ARTEMIS, LLC",New Drill,Horizontal,2022-12-09,2022-12-14
42-493-32962,FALLS CITY EAST 2H,"WARWICK-ARTEMIS, LLC",New Drill,Horizontal,2022-12-06,2022-12-13
42-493-32962,FALLS CITY EAST 2H,"WARWICK-ARTEMIS, LLC",New Drill,Horizontal,2022-11-28,2022-12-05
42-493-32918,ORTMANN-PAWLIK A 1H,"RECOIL RESOURCES OPERATING, INC.",New Drill,Horizontal,2022-09-09,2022-09-12
