api,well,operator,application_type,drill_type,submitted,approved
42-501-37604,WILLIAM MUNNY 708-665 3XH,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2025-01-07,2025-01-14
42-501-37603,RED RAIDER 663 C 8H,"RING ENERGY, INC.",New Drill,Horizontal,2024-12-17,2024-12-18
42-501-37596,FARQUAAD 1,"TEXLAND PETROLEUM, L.P.",New Drill,Directional,2024-12-09,2024-12-10
42-501-37177,BEARKAT 599 6H,"RING ENERGY, INC.",New Drill,Horizontal,2024-12-06,2024-12-10
42-501-37601,MF 732-733 1H,"AMTEX ENERGY, INC.",New Drill,Horizontal,2024-12-04,2024-12-10
42-501-37600,RED RAIDER 663 B 7H,"RING ENERGY, INC.",New Drill,Horizontal,2024-11-27,2024-12-18
42-501-37599,RED RAIDER 663 A 6H,"RING ENERGY, INC.",New Drill,Horizontal,2024-11-27,2024-12-13
42-501-37598,RED RAIDER 663 5H,"RING ENERGY, INC.",New Drill,Horizontal,2024-11-27,2024-12-12
42-501-37597,"FITZGERALD, M.T. 5","TEXLAND PETROLEUM, L.P.",New Drill,Directional,2024-11-22,2024-11-22
42-501-37594,CASSIDY 575-544 E 2XH,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-11-21,2025-01-10
42-501-37602,BEARKAT 599 5H,"RING ENERGY, INC.",New Drill,Horizontal,2024-11-20,2024-12-12
42-501-37186,BEARKAT 599 4H,"RING ENERGY, INC.",New Drill,Horizontal,2024-11-20,2024-11-21
42-501-37596,FARQUAAD 1,"TEXLAND PETROLEUM, L.P.",New Drill,Directional,2024-11-20,2024-11-21
42-501-37587,"FITZGERALD, M.T. 4","TEXLAND PETROLEUM, L.P.",New Drill,Directional,2024-11-20,2024-11-21
42-501-37595,YOAKUM WASSON CLEARFORK UNIT 8681GH,OCCIDENTAL PERMIAN LTD.,New Drill,Horizontal,2024-11-19,2024-11-21
42-501-37592,MISS KITTY C 669-704 5XH,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-11-14,2024-12-17
42-501-37594,CASSIDY 575-544 E 2XH,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-11-13,2024-11-21
42-501-37592,MISS KITTY C 669-704 5XH,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-11-11,2024-11-14
42-501-37590,SUNDANCE 642 7H,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-11-04,2024-11-04
42-501-37591,SUNDANCE 642 6H,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-11-04,2024-11-04
42-501-37589,MISS KITTY 669-704 15XH,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-10-28,2024-10-30
42-501-37588,CASSIDY 575-544 E 3XH,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-10-03,2024-10-29
42-501-37588,CASSIDY 575-544 E 3XH,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-10-01,2024-10-03
42-501-37587,"FITZGERALD, M.T. 4","TEXLAND PETROLEUM, L.P.",New Drill,Vertical,2024-10-01,2024-10-01
42-501-37585,SUNDANCE 642 5H,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-09-24,2024-09-25
42-501-37586,SUNDANCE 642 4H,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-09-24,2024-09-25
42-501-37584,WILLARD UNIT 7004H,OXY USA WTP LP,New Drill,Horizontal,2024-09-18,2024-09-20
42-501-37583,COUSIN WILLARD 450 45H,"STEWARD ENERGY II, LLC",New Drill,Horizontal,2024-09-13,2024-09-16
42-501-37580,COUSIN WILLARD 450 35H,"STEWARD ENERGY II, LLC",New Drill,Horizontal,2024-09-11,2024-09-11
42-501-37581,KASHMIR 346-359 2H,"STEWARD ENERGY II, LLC",New Drill,Horizontal,2024-09-10,2024-10-25
42-501-37582,KASHMIR 346-359 3H,"STEWARD ENERGY II, LLC",New Drill,Horizontal,2024-09-10,2024-10-25
42-501-37577,RINGO 666-643 5XH,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-09-06,2024-09-09
42-501-37578,RINGO 666-643 4XH,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-09-06,2024-09-09
42-501-37579,CLEVELAND A 601 15H,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-09-06,2024-09-09
42-501-37576,STIFF SADDLE 641-668 25XH,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-08-22,2024-08-26
42-501-37573,STIFF SADDLE 641-668 2XH,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-08-22,2024-08-23
42-501-37574,STIFF SADDLE 641-668 15XH,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-08-22,2024-08-23
42-501-37575,ENDURANCE 3H,"BURK ROYALTY CO., LTD.",New Drill,Horizontal,2024-08-21,2024-08-29
42-501-37467,C.D.U. 1H,"BURK ROYALTY CO., LTD.",New Drill,Horizontal,2024-08-12,2024-08-15
42-501-37468,C.D.U. 'A' 2H,"BURK ROYALTY CO., LTD.",New Drill,Horizontal,2024-08-12,2024-08-15
42-501-37570,WILLARD UNIT 6733H,OXY USA WTP LP,New Drill,Horizontal,2024-08-12,2024-08-14
42-501-37572,WIGEON 6H,"BURK ROYALTY CO., LTD.",New Drill,Horizontal,2024-07-31,2024-08-01
42-501-37570,WILLARD UNIT 3H,OXY USA WTP LP,New Drill,Horizontal,2024-07-24,2024-07-26
42-501-37571,WILLARD UNIT 4H,OXY USA WTP LP,New Drill,Horizontal,2024-07-24,2024-07-26
42-501-37476,SMOKIN TRAIN 520 35H,"STEWARD ENERGY II, LLC",New Drill,Horizontal,2024-07-02,2024-08-15
42-501-37569,WASSON ODC UNIT 895,OCCIDENTAL PERMIAN LTD.,New Drill,Horizontal,2024-07-01,2024-08-15
42-501-37469,ONE EYED JOHN 522 15H,"STEWARD ENERGY II, LLC",New Drill,Horizontal,2024-06-28,2024-08-27
42-501-37564,WASSON ODC UNIT 913,OCCIDENTAL PERMIAN LTD.,New Drill,Directional,2024-06-27,2024-08-15
42-501-37565,WASSON ODC UNIT 915,OCCIDENTAL PERMIAN LTD.,New Drill,Directional,2024-06-27,2024-08-15
42-501-37566,WASSON ODC UNIT 919H,OCCIDENTAL PERMIAN LTD.,New Drill,Horizontal,2024-06-27,2024-08-15
42-501-37567,WASSON ODC UNIT 900,OCCIDENTAL PERMIAN LTD.,New Drill,Horizontal,2024-06-27,2024-08-15
42-501-37568,WASSON ODC UNIT 899,OCCIDENTAL PERMIAN LTD.,New Drill,Horizontal,2024-06-27,2024-08-15
42-501-37562,WASSON ODC UNIT 911H,OCCIDENTAL PERMIAN LTD.,New Drill,Horizontal,2024-06-26,2024-08-15
42-501-37563,WASSON ODC UNIT 912,OCCIDENTAL PERMIAN LTD.,New Drill,Directional,2024-06-26,2024-08-15
42-501-37559,WASSON ODC UNIT 896,OCCIDENTAL PERMIAN LTD.,New Drill,Horizontal,2024-06-26,2024-08-15
42-501-37560,WASSON ODC UNIT 909,OCCIDENTAL PERMIAN LTD.,New Drill,Horizontal,2024-06-26,2024-08-15
42-501-37561,WASSON ODC UNIT 903,OCCIDENTAL PERMIAN LTD.,New Drill,Directional,2024-06-26,2024-08-15
42-501-37445,MADJACK 522 2H,"STEWARD ENERGY II, LLC",New Drill,Horizontal,2024-06-25,2024-08-23
42-501-37557,KNOTTED ROPE E 703 3H,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-06-24,2024-06-27
42-501-37558,KNOTTED ROPE E 703 4H,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-06-24,2024-06-27
42-501-37457,WASSON ODC UNIT 889,OCCIDENTAL PERMIAN LTD.,Recompletion,Directional,2024-06-19,2024-06-24
42-501-34839,WEST BRAHANEY UNIT 183,"BURK ROYALTY CO., LTD.",Recompletion,Vertical,2024-06-12,2024-06-13
42-501-37555,"FITZGERALD, M.T. 3","TEXLAND PETROLEUM, L.P.",New Drill,Directional,2024-06-04,2024-06-07
42-501-37556,SHREK 3,"TEXLAND PETROLEUM, L.P.",New Drill,Directional,2024-06-04,2024-06-07
42-501-37554,BADGER 709 7XH,"RING ENERGY, INC.",New Drill,Horizontal,2024-05-22,2024-05-30
42-501-37553,WASSON ODC UNIT 401R,OCCIDENTAL PERMIAN LTD.,New Drill,Directional,2024-05-14,2024-05-24
42-501-37551,BENNETT RANCH UNIT 3404R,OCCIDENTAL PERMIAN LTD.,New Drill,Directional,2024-05-09,2024-05-14
42-501-37552,BENNETT RANCH UNIT 3406R,OCCIDENTAL PERMIAN LTD.,New Drill,Directional,2024-05-09,2024-05-14
42-501-37548,SMOKEY 399-362 B 2XH,"RING ENERGY, INC.",New Drill,Horizontal,2024-05-06,2024-06-19
42-501-37546,WASSON ODC UNIT 914,OCCIDENTAL PERMIAN LTD.,New Drill,Horizontal,2024-05-01,2024-05-20
42-501-37545,WASSON ODC UNIT 916,OCCIDENTAL PERMIAN LTD.,New Drill,Directional,2024-04-30,2024-05-07
42-501-37549,SMOKEY 399-362 C 3XH,"RING ENERGY, INC.",New Drill,Horizontal,2024-04-29,2024-06-06
42-501-37547,BULLDOG 362-343 B 6XH,"RING ENERGY, INC.",New Drill,Horizontal,2024-04-25,2024-06-10
42-501-37550,BULLDOG 362-343 A 5XH,"RING ENERGY, INC.",New Drill,Horizontal,2024-04-25,2024-06-10
42-501-37027,12TH MAN 660 2H,"RING ENERGY, INC.",New Drill,Horizontal,2024-04-24,2024-04-26
42-501-32028,LACKEY 2A,"TEXLAND PETROLEUM, L.P.",Reclass,Vertical,2024-04-24,2024-04-25
42-501-37540,WASSON ODC UNIT 908,OCCIDENTAL PERMIAN LTD.,New Drill,Horizontal,2024-04-24,2024-04-24
42-501-37541,WASSON ODC UNIT 905,OCCIDENTAL PERMIAN LTD.,New Drill,Horizontal,2024-04-24,2024-04-24
42-501-37542,WASSON ODC UNIT 897,OCCIDENTAL PERMIAN LTD.,New Drill,Horizontal,2024-04-24,2024-04-24
42-501-37543,WASSON ODC UNIT 910,OCCIDENTAL PERMIAN LTD.,New Drill,Horizontal,2024-04-24,2024-04-24
42-501-37544,WASSON ODC UNIT 904,OCCIDENTAL PERMIAN LTD.,New Drill,Horizontal,2024-04-23,2024-04-26
42-501-37539,WASSON ODC UNIT 902,OCCIDENTAL PERMIAN LTD.,New Drill,Horizontal,2024-04-23,2024-04-24
42-501-37538,HAIR SPLITTER-SIEBER 15H,"STEWARD ENERGY II, LLC",New Drill,Horizontal,2024-04-22,2024-04-25
42-501-33232,BRIDGELAND 211,OCCIDENTAL PERMIAN LTD.,Recompletion,Vertical,2024-04-08,2024-04-11
42-501-31209,"FITZGERALD, M.T. 1","TEXLAND PETROLEUM, L.P.",Field Transfer,Vertical,2024-04-04,2024-04-10
42-501-31849,"FITZGERALD, M.T. 2","TEXLAND PETROLEUM, L.P.",Field Transfer,Vertical,2024-04-04,2024-04-10
42-501-37442,FIONA 1,"TEXLAND PETROLEUM, L.P.",Recompletion,Vertical,2024-04-02,2024-04-10
42-501-37537,CREEP 347 6H,"STEWARD ENERGY II, LLC",New Drill,Horizontal,2024-03-25,2024-03-25
42-501-37535,MADCAP 731-706 2XH,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-03-21,2024-03-21
42-501-37536,MADCAP 731-706 3XH,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-03-21,2024-03-21
42-501-37534,SINISTER KID 1H,OCCIDENTAL PERMIAN LTD.,New Drill,Horizontal,2024-03-18,2024-03-20
42-501-37533,WILLARD UNIT 2H,OXY USA WTP LP,New Drill,Horizontal,2024-03-09,2024-03-18
42-501-37530,CATTLE DRIVE 665 3H,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-03-05,2024-03-11
42-501-37531,CATTLE DRIVE 665 2H,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-03-05,2024-03-11
42-501-37532,CATTLE DRIVE 665 1H,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-03-05,2024-03-11
42-501-37528,12TH MAN 660 3H,"RING ENERGY, INC.",New Drill,Horizontal,2024-02-22,2024-03-01
42-501-37529,WASSON ODC UNIT 901,OCCIDENTAL PERMIAN LTD.,New Drill,Horizontal,2024-02-21,2024-03-04
42-501-37526,HOSS 605 7H,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-02-19,2024-02-23
42-501-37527,HOSS 605 5H,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-02-19,2024-02-23
42-501-37525,HOSS 605 6H,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-02-19,2024-02-22
42-501-37522,DONT SPEAK 585 A 5H,"STEWARD ENERGY II, LLC",New Drill,Horizontal,2024-02-14,2024-04-11
42-501-37523,HOOK'EM 361-344 B 5XH,"RING ENERGY, INC.",New Drill,Horizontal,2024-02-14,2024-02-22
42-501-37524,HOOK'EM 361-344 C 6XH,"RING ENERGY, INC.",New Drill,Horizontal,2024-02-14,2024-02-22
42-501-37521,COUGAR 726 2H,"RING ENERGY, INC.",New Drill,Horizontal,2024-02-13,2024-02-16
42-501-37348,HERCULES 466 5H,"STEWARD ENERGY II, LLC",New Drill,Horizontal,2024-02-08,2024-03-20
42-501-37349,HERCULES 466 6H,"STEWARD ENERGY II, LLC",New Drill,Horizontal,2024-02-08,2024-03-20
42-501-37181,COUGAR 726 3H,"RING ENERGY, INC.",New Drill,Horizontal,2024-02-07,2024-02-13
42-501-37027,12TH MAN 660 2H,"RING ENERGY, INC.",New Drill,Horizontal,2024-02-06,2024-02-09
42-501-37500,VINEYARD 1H,"Red Tail Exploration, LLC",New Drill,Horizontal,2024-01-31,2024-02-29
42-501-37519,HUCKLEBERRY-MCMASTERS 730-771 7XH,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-01-30,2024-02-08
42-501-37520,HUCKLEBERRY-MCMASTERS 730-771 6XH,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-01-30,2024-02-06
42-501-37517,HIGGINBOTHAM A 8H,"BURK ROYALTY CO., LTD.",New Drill,Horizontal,2024-01-30,2024-02-01
42-501-37518,HIGGINBOTHAM A 9H,"BURK ROYALTY CO., LTD.",New Drill,Horizontal,2024-01-30,2024-02-01
42-501-37515,SHENANDOAH 639-670 5XH,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-01-16,2024-02-15
42-501-37516,SHENANDOAH 639-670 E 4XH,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-01-16,2024-02-15
42-501-37515,SHENANDOAH 639-670 5XH,"RILEY PERMIAN OPERATING CO, LLC",New Drill,Horizontal,2024-01-11,2024-01-16
