Lease Number,Lease Name,Operator Name,Lease Link
953535,31 OPERATING LLC,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/31-operating-llc/953535
953760,4R OIL COMPANY,"Tyler, TX 75703",https://www.texas-drilling.com/operators/4r-oil-company/953760
953761,5R OIL COMPANY,"Tyler, TX 75703",https://www.texas-drilling.com/operators/5r-oil-company/953761
856467,84 ENERGY LLC,"Flatonia, TX 78941",https://www.texas-drilling.com/operators/84-energy-llc/856467
003966,ADAIR RESOURCES INC.,"Ennis, TX 75120",https://www.texas-drilling.com/operators/adair-resources-inc/003966
009586,"AKMA, INC.","Ore City, TX 75683",https://www.texas-drilling.com/operators/akma-inc/009586
012458,"ALFRED, DIANE HOWARD","Universal Cty, TX 78148",https://www.texas-drilling.com/operators/alfred-diane-howard/012458
014573,ALLISON/HOBBS INC.,"Alba, TX 75410",https://www.texas-drilling.com/operators/allison-hobbs-inc/014573
015730,ALTAIR ENERGY CORP.,"Tyler, TX 75702",https://www.texas-drilling.com/operators/altair-energy-corp/015730
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",https://www.texas-drilling.com/operators/amerada-hess-corporation/016980
017750,AMERICAN AQUILA,"Longview, TX 75601",https://www.texas-drilling.com/operators/american-aquila/017750
018010,"AMERICAN CRUDE, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/american-crude-inc/018010
017974,"AMERICAN EAGLE RESOURCES, INC.","San Antonio, TX 78217",https://www.texas-drilling.com/operators/american-eagle-resources-inc/017974
019390,AMERICAN SOUTHWEST LAND & PET.,"Richardson, TX 75081",https://www.texas-drilling.com/operators/american-southwest-land-pet/019390
020467,AMPLIFY ENERGY OPERATING LLC,"Houston, TX 77002",https://www.texas-drilling.com/operators/amplify-energy-operating-llc/020467
020528,ANADARKO E&P ONSHORE LLC,"Houston, TX 77046",https://www.texas-drilling.com/operators/anadarko-e-p-onshore-llc/020528
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-petroleum-corporation/020572
