Lease Number,Lease Name,Operator Name,Lease Link
953728,3-L DRILLING,"Abilene, TX 79605",https://www.texas-drilling.com/operators/3-l-drilling/953728
000692,A&L PARTNERSHIP,"Paige, TX 78659",https://www.texas-drilling.com/operators/a-l-partnership/000692
000194,A.C.T. OPERATING COMPANY,"Lubbock, TX 79401",https://www.texas-drilling.com/operators/a-c-t-operating-company/000194
000253,A.J.& M. OIL COMPANY,"Flatonia, TX 78941",https://www.texas-drilling.com/operators/a-j-m-oil-company/000253
000163,AAA OPERATING COMPANY INC.,"Dallas, TX 75359",https://www.texas-drilling.com/operators/aaa-operating-company-inc/000163
003575,"ACIETEROS, LTD.","Austin, TX 78761",https://www.texas-drilling.com/operators/acieteros-ltd/003575
003912,ADA OIL EXPLORATION CORP.,"Houston, TX 77001",https://www.texas-drilling.com/operators/ada-oil-exploration-corp/003912
008717,AGGREGATE AGGRAVATIONS INC,"College Sta, TX 77842",https://www.texas-drilling.com/operators/aggregate-aggravations-inc/008717
009775,ALADDIN PETROLEUM COMPANY,"Houston, TX 77046",https://www.texas-drilling.com/operators/aladdin-petroleum-company/009775
012360,"ALEXANDER PET. CONSULTANTS, INC.","Houston, TX 77024",https://www.texas-drilling.com/operators/alexander-pet-consultants-inc/012360
011462,ALEXANDER ROYALTY COMPANY,"Red Rock, TX 78662",https://www.texas-drilling.com/operators/alexander-royalty-company/011462
012353,"ALEXANDER, LAVERNE","Lockhart, TX 78644",https://www.texas-drilling.com/operators/alexander-laverne/012353
013237,ALL AMERICAN OPERATING,"Conroe, TX 77305",https://www.texas-drilling.com/operators/all-american-operating/013237
015721,"ALTA MESA SERVICES, LP","Houston, TX 77084",https://www.texas-drilling.com/operators/alta-mesa-services-lp/015721
015745,"ALTEX PETROLEUM, INC.","Pasadena, TX 77506",https://www.texas-drilling.com/operators/altex-petroleum-inc/015745
016540,"AM-TEX DRILLING & EXPLOR., INC.","Metairie, LA 70004",https://www.texas-drilling.com/operators/am-tex-drilling-explor-inc/016540
016884,AMBERTON EXPLORATION COMPANY,"Pleasanton, TX 78064",https://www.texas-drilling.com/operators/amberton-exploration-company/016884
019510,AMERICAN STAR ENERGY & MIN. CORP,"Katy, TX 77449",https://www.texas-drilling.com/operators/american-star-energy-min-corp/019510
102118,AMS ENERGY SOLUTIONS LLP,"Katy, TX 77493",https://www.texas-drilling.com/operators/ams-energy-solutions-llp/102118
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-e-p-company-lp/020542
028802,"ARBEN OIL, INC.","Coleman, TX 76834",https://www.texas-drilling.com/operators/arben-oil-inc/028802
028726,"ARBOL RESOURCES, INC.","Houston, TX 77079",https://www.texas-drilling.com/operators/arbol-resources-inc/028726
030470,ARIZONA OIL,"Austin, TX 78729",https://www.texas-drilling.com/operators/arizona-oil/030470
030835,ARMADA RESOURCES CORPORATION,"Red Rock, TX 78662",https://www.texas-drilling.com/operators/armada-resources-corporation/030835
033060,"ARPEL, INC.","Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/arpel-inc/033060
033877,"ASANTE OPERATING COMPANY, LLC","Austin, TX 78703",https://www.texas-drilling.com/operators/asante-operating-company-llc/033877
035285,"ASHTON OIL & GAS CO., INC.","Austin, TX 78701",https://www.texas-drilling.com/operators/ashton-oil-gas-co-inc/035285
035643,"ATASCA RESOURCES, INC.","Houston, TX 77219",https://www.texas-drilling.com/operators/atasca-resources-inc/035643
036840,AUGUST OIL,"Plano, TX 75093",https://www.texas-drilling.com/operators/august-oil/036840
037103,"AUSTIN ENERGY OPERATIONS, INC.","Corpus Chrsti, TX 78410",https://www.texas-drilling.com/operators/austin-energy-operations-inc/037103
037670,AUSTRA-TEX OIL COMPANY,"San Antonio, TX 78205",https://www.texas-drilling.com/operators/austra-tex-oil-company/037670
037680,AUSTRAL OIL COMPANY INCORPORATED,"Sulphur, LA 70663",https://www.texas-drilling.com/operators/austral-oil-company-incorporated/037680
038712,"AVIAN TECH INTERNATIONAL, INC.","Euless, TX 76040",https://www.texas-drilling.com/operators/avian-tech-international-inc/038712
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",https://www.texas-drilling.com/operators/axis-energy-corporation/039136
040405,B-G OPERATING INC.,"Luling, TX 78648",https://www.texas-drilling.com/operators/b-g-operating-inc/040405
041852,"B.T.E. OIL OPERATOR, INC.","Austin, TX 78731",https://www.texas-drilling.com/operators/b-t-e-oil-operator-inc/041852
044256,"BAILEYS ENERGY, LLC","San Juan Capo, CA 92675",https://www.texas-drilling.com/operators/baileys-energy-llc/044256
048367,"BANDERA PETROLEUM, INC.","Abilene, TX 79606",https://www.texas-drilling.com/operators/bandera-petroleum-inc/048367
049751,"BAR M PETROLEUM CO., INC.","San Antonio, TX 78217",https://www.texas-drilling.com/operators/bar-m-petroleum-co-inc/049751
049777,BAR-MAC & HOLLUB DRILLING CO.,"Brenham, TX 77833",https://www.texas-drilling.com/operators/bar-mac-hollub-drilling-co/049777
054835,BASS PETROLEUM,"Austin, TX 78720",https://www.texas-drilling.com/operators/bass-petroleum/054835
054836,"BASS PETROLEUM, INC","Austin, TX 78716",https://www.texas-drilling.com/operators/bass-petroleum-inc/054836
055118,BASTROP ENERGY GROUP,"San Antonio, TX 78231",https://www.texas-drilling.com/operators/bastrop-energy-group/055118
056385,BATZER ENERGY CORPORATION,"Denver, CO 80203",https://www.texas-drilling.com/operators/batzer-energy-corporation/056385
058881,BBL OIL & GAS COMPANY,"Giddings, TX 78942",https://www.texas-drilling.com/operators/bbl-oil-gas-company/058881
058908,"BBX OPERATING, L.L.C.","Austin, TX 78738",https://www.texas-drilling.com/operators/bbx-operating-l-l-c/058908
061600,"BEDFORD OIL & GAS, INC.","Luling, TX 78648",https://www.texas-drilling.com/operators/bedford-oil-gas-inc/061600
064781,"BENNETT, JAMES ROSS","Dale, TX 78616",https://www.texas-drilling.com/operators/bennett-james-ross/064781
069335,BIG COUNTRY OPERATING & WELL SER,"Bulverde, TX 78163",https://www.texas-drilling.com/operators/big-country-operating-well-ser/069335
069458,BIG LAKE CORPORATION,"Dallas, TX 75222",https://www.texas-drilling.com/operators/big-lake-corporation/069458
070868,"BILLINGS, L. CHARLES","New Braunfels, TX 78130",https://www.texas-drilling.com/operators/billings-l-charles/070868
072641,BLACK GOLD OIL CO.,"Humble, TX 77338",https://www.texas-drilling.com/operators/black-gold-oil-co/072641
072644,"BLACK GOLD OPERATING CO., INC.","San Antonio, TX 78209",https://www.texas-drilling.com/operators/black-gold-operating-co-inc/072644
072655,BLACK HAWK PRODUCTION CO.,"Chilton, TX 76632",https://www.texas-drilling.com/operators/black-hawk-production-co/072655
072704,"BLACK JACK SERVICES, L.L.C.","Bastrop, TX 78602",https://www.texas-drilling.com/operators/black-jack-services-l-l-c/072704
073189,"BLACKMAR, JIM OIL OPERATOR","Luling, TX 78648",https://www.texas-drilling.com/operators/blackmar-jim-oil-operator/073189
073302,"BLACKSTONE PETRO ENERGY, LP","Austin, TX 78759",https://www.texas-drilling.com/operators/blackstone-petro-energy-lp/073302
076830,BLUEBONNET EXPLORATION COMPANY,"New Braunfels, TX 78130",https://www.texas-drilling.com/operators/bluebonnet-exploration-company/076830
077686,BOBCAT OPERATING,"Stephenville, TX 76401",https://www.texas-drilling.com/operators/bobcat-operating/077686
083276,BOSTEX OPERATING,"Luling, TX 78648",https://www.texas-drilling.com/operators/bostex-operating/083276
083274,"BOSTEX OPERATING, INC.","Plano, TX 75094",https://www.texas-drilling.com/operators/bostex-operating-inc/083274
094170,BRITTANY DRILLING CO.,"Abilene, TX 79604",https://www.texas-drilling.com/operators/brittany-drilling-co/094170
095100,BROCK EXPLORATION CORPORATION,"New Orleans, LA 70112",https://www.texas-drilling.com/operators/brock-exploration-corporation/095100
095340,BROCK OIL & GAS CORPORATION,"Tulsa, OK 74103",https://www.texas-drilling.com/operators/brock-oil-gas-corporation/095340
104965,BSE PRODUCTION CO.,"Victoria, TX 77903",https://www.texas-drilling.com/operators/bse-production-co/104965
108843,"BURKE, HARRY PETROLEUM","Houston, TX 77080",https://www.texas-drilling.com/operators/burke-harry-petroleum/108843
118732,"BYNG ENERGY GROUP, INC.","Enid, OK 73703",https://www.texas-drilling.com/operators/byng-energy-group-inc/118732
121073,"C S J, INC.","Austin, TX 78716",https://www.texas-drilling.com/operators/c-s-j-inc/121073
120569,"C&M EQUIPMENT & LEASING CO., INC","San Antonio, TX 78209",https://www.texas-drilling.com/operators/c-m-equipment-leasing-co-inc/120569
119838,"C-AIR DRILLING, INC.","Sachse, TX 75048",https://www.texas-drilling.com/operators/c-air-drilling-inc/119838
121219,"CAB ENERGY GROUP, INC","Austin, TX 78757",https://www.texas-drilling.com/operators/cab-energy-group-inc/121219
123567,"CAL-TEX FOSSIL, L.L.C.","Graham, TX 76450",https://www.texas-drilling.com/operators/cal-tex-fossil-l-l-c/123567
