Lease Number,Lease Name,Operator Name,Lease Link
953713,3 M LAND & CATTLE CO,"Archer City, TX 76351",https://www.texas-drilling.com/operators/3-m-land-cattle-co/953713
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/3-t-exploration-inc/953682
953535,31 OPERATING LLC,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/31-operating-llc/953535
953585,4-N OPERATING LLC,"Jacksboro, TX 76458",https://www.texas-drilling.com/operators/4-n-operating-llc/953585
000208,A & B PRODUCTION,"Archer City, TX 76351",https://www.texas-drilling.com/operators/a-b-production/000208
000191,A.D.H. OPERATING CO.,"Abilene, TX 79604",https://www.texas-drilling.com/operators/a-d-h-operating-co/000191
009135,AINF PRODUCTION COMPANY,"Seymour, TX 76380",https://www.texas-drilling.com/operators/ainf-production-company/009135
010071,"ALAMO OPERATING CO., INC.","Wichita Falls, TX 76302",https://www.texas-drilling.com/operators/alamo-operating-co-inc/010071
011478,"ALCORN, JERRY D.","Grand Prairie, TX 75050",https://www.texas-drilling.com/operators/alcorn-jerry-d/011478
014357,"ALLIED ENERGY OPERATING, LLC","McKinney, TX 75070",https://www.texas-drilling.com/operators/allied-energy-operating-llc/014357
014555,ALLISON OIL ACCOUNT,"Wichita Falls, TX 76302",https://www.texas-drilling.com/operators/allison-oil-account/014555
015115,ALPHA ENERGY OPERATING LLC,"Dallas, TX 75254",https://www.texas-drilling.com/operators/alpha-energy-operating-llc/015115
018027,AMERICAN ENERGY GROUP INC.,"Austin, TX 78701",https://www.texas-drilling.com/operators/american-energy-group-inc/018027
020478,AMR ENERGY CORPORATION,"San Antonio, TX 78269",https://www.texas-drilling.com/operators/amr-energy-corporation/020478
020535,"AMV OPERATING, INC.","Lawton, OK 73502",https://www.texas-drilling.com/operators/amv-operating-inc/020535
028728,"ARBUSTO ENERGY, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/arbusto-energy-inc/028728
028730,ARCADIA REFINING CO.,"Tyler, TX 75701",https://www.texas-drilling.com/operators/arcadia-refining-co/028730
030576,"ARK-LA-TEX OIL AND GAS, INC.","Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/ark-la-tex-oil-and-gas-inc/030576
033860,ASAMERA OIL (U.S.) INC.,"Denver, CO 80201",https://www.texas-drilling.com/operators/asamera-oil-u-s-inc/033860
035060,"ASHTOLA EXPLORATION COMPANY,INC.","Amarillo, TX 79105",https://www.texas-drilling.com/operators/ashtola-exploration-company-inc/035060
036616,"ATOLL OIL & GAS, INC.","Dallas, TX 75206",https://www.texas-drilling.com/operators/atoll-oil-gas-inc/036616
036930,AUSANKA OIL OPERATIONS,"Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/ausanka-oil-operations/036930
037877,"AVAD OPERATING, LLC","Dallas, TX 75201",https://www.texas-drilling.com/operators/avad-operating-llc/037877
039528,"AYRES, C. D.","Iowa Park, TX 76367",https://www.texas-drilling.com/operators/ayres-c-d/039528
040553,B & H OIL COMPANY,"Devine, TX 78016",https://www.texas-drilling.com/operators/b-h-oil-company/040553
041157,B & R OILFIELD SERVICE CO.,"Holliday, TX 76366",https://www.texas-drilling.com/operators/b-r-oilfield-service-co/041157
039885,B. B. & B.,"Abilene, TX 79608",https://www.texas-drilling.com/operators/b-b-b/039885
040703,"B.G.S. OIL CO., INC.","Graham, TX 76450",https://www.texas-drilling.com/operators/b-g-s-oil-co-inc/040703
048367,"BANDERA PETROLEUM, INC.","Abilene, TX 79606",https://www.texas-drilling.com/operators/bandera-petroleum-inc/048367
050854,"BARNETT OPERATING, INC.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/barnett-operating-inc/050854
052969,BARON ENERGY INC.,"San Marcos, TX 78666",https://www.texas-drilling.com/operators/baron-energy-inc/052969
053940,"BARTOS, MILTON","Seymour, TX 76380",https://www.texas-drilling.com/operators/bartos-milton/053940
055145,"BASTROP OIL & GAS, INC.","Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/bastrop-oil-gas-inc/055145
058840,"BAYLOR DRILLING, INC.","Seymour, TX 76380",https://www.texas-drilling.com/operators/baylor-drilling-inc/058840
058844,BCB. & LGB. INC.,"Seymour, TX 76380",https://www.texas-drilling.com/operators/bcb-lgb-inc/058844
062675,"BELCO OIL COMPANY, INC.","Lubbock, TX 79408",https://www.texas-drilling.com/operators/belco-oil-company-inc/062675
064611,"BENNETT & GUINN, INC","Arlington, TX 76010",https://www.texas-drilling.com/operators/bennett-guinn-inc/064611
065847,"BENSON MINERAL GROUP, INC.","Denver, CO 80202",https://www.texas-drilling.com/operators/benson-mineral-group-inc/065847
066010,"BENTLEY, CHARLES H.","Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/bentley-charles-h/066010
066718,"BEP OPERATING, LLC","Houston, TX 77084",https://www.texas-drilling.com/operators/bep-operating-llc/066718
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",https://www.texas-drilling.com/operators/bettis-boyle-stovall/068360
070373,BIG SANDY OIL INC.,"Manchaca, TX 78652",https://www.texas-drilling.com/operators/big-sandy-oil-inc/070373
072587,BITTER CREEK PETROLEUM CO.,"Knox City, TX 79529",https://www.texas-drilling.com/operators/bitter-creek-petroleum-co/072587
075668,"BLEDSCO, INC.","Holliday, TX 76366",https://www.texas-drilling.com/operators/bledsco-inc/075668
075370,BLOUNT PETROLEUM INC.,"San Antonio, TX 78209",https://www.texas-drilling.com/operators/blount-petroleum-inc/075370
076848,"BLUEGRASS ENERGY, INC.","Tulsa, OK 74137",https://www.texas-drilling.com/operators/bluegrass-energy-inc/076848
040639,"BMBD ENTERPRISES, LLC","Iowa Park, TX 76367",https://www.texas-drilling.com/operators/bmbd-enterprises-llc/040639
077555,"BMW RESOURCES, INC.","Jacksboro, TX 76458",https://www.texas-drilling.com/operators/bmw-resources-inc/077555
078034,"BOAZ ENERGY, LLC","Midland, TX 79710",https://www.texas-drilling.com/operators/boaz-energy-llc/078034
082667,"BOONE RANCH 8, INC.","Graham, TX 76450",https://www.texas-drilling.com/operators/boone-ranch-8-inc/082667
082999,BORDERLINE OPERATING CORP.,"Graham, TX 76450",https://www.texas-drilling.com/operators/borderline-operating-corp/082999
084600,"BOYD, DICK","Olney, TX 76374",https://www.texas-drilling.com/operators/boyd-dick/084600
084630,"BOYD, FOY MANAGEMENT CORP.","Midland, TX 79702",https://www.texas-drilling.com/operators/boyd-foy-management-corp/084630
087155,"BRADFORD, MIKE","Cactus, TX 79013",https://www.texas-drilling.com/operators/bradford-mike/087155
088607,"BRAMMER SUPPLY, INC.","Gainesville, TX 76240",https://www.texas-drilling.com/operators/brammer-supply-inc/088607
092480,BRIDWELL OIL CO.,"Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/bridwell-oil-co/092480
094640,"BRITTON OPERATING, INC.","Aledo, TX 76008",https://www.texas-drilling.com/operators/britton-operating-inc/094640
097494,"BROWER OIL & GAS CO., INC.","Graham, TX 76450",https://www.texas-drilling.com/operators/brower-oil-gas-co-inc/097494
097496,"BROWER, ROBERT C.","Fort Worth, TX 76116",https://www.texas-drilling.com/operators/brower-robert-c/097496
097515,BROWN & JONES OIL CO.,"Olney, TX 76374",https://www.texas-drilling.com/operators/brown-jones-oil-co/097515
100125,"BROWN, GREG OIL & GAS DEV. CO.","Unknown, XX 99999",https://www.texas-drilling.com/operators/brown-greg-oil-gas-dev-co/100125
105950,"BUCKALEW, DON","Olney, TX 76374",https://www.texas-drilling.com/operators/buckalew-don/105950
102061,"BULWARK OIL & GAS, LLC","Graham, TX 76450",https://www.texas-drilling.com/operators/bulwark-oil-gas-llc/102061
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/burk-royalty-company/108800
111013,BURNS OPERATING,"Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/burns-operating/111013
111017,BURNS PETROLEUM,"Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/burns-petroleum/111017
110495,"BURNS, BILL C.","Midland, TX 79701",https://www.texas-drilling.com/operators/burns-bill-c/110495
112579,BUSH EXPLORATION COMPANY,"Midland, TX 79702",https://www.texas-drilling.com/operators/bush-exploration-company/112579
122160,CACTUS OPERATING COMPANY,"Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/cactus-operating-company/122160
128979,"CANAN OPERATING, INC.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/canan-operating-inc/128979
131810,CARIBOU OPERATING CO.,"Granbury, TX 76048",https://www.texas-drilling.com/operators/caribou-operating-co/131810
132339,CARLORAN PRODUCTION CORP,"Windthorst, TX 76389",https://www.texas-drilling.com/operators/carloran-production-corp/132339
138885,CASADOR OIL & GAS CO.,"Keller, TX 76248",https://www.texas-drilling.com/operators/casador-oil-gas-co/138885
139599,"CASTEEL, HOYT F.","Graham, TX 76450",https://www.texas-drilling.com/operators/casteel-hoyt-f/139599
139600,"CASTEEL, MICHAEL HOYT","Graham, TX 76450",https://www.texas-drilling.com/operators/casteel-michael-hoyt/139600
140539,CBECK OPERATING,"Wichita Falls, TX 76302",https://www.texas-drilling.com/operators/cbeck-operating/140539
120043,CD CONSULTING & OPERATING CO.,"Bridgeport, TX 76426",https://www.texas-drilling.com/operators/cd-consulting-operating-co/120043
144625,"CHAPMAN EXPLORATION, INC.","Tulsa, OK 74136",https://www.texas-drilling.com/operators/chapman-exploration-inc/144625
146350,CHARDONNAY,"Olney, TX 76374",https://www.texas-drilling.com/operators/chardonnay/146350
146355,"CHARDONNAY OPERATING, INC.","Olney, TX 76374",https://www.texas-drilling.com/operators/chardonnay-operating-inc/146355
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",https://www.texas-drilling.com/operators/chevron-u-s-a-inc/148113
