Lease Number,Lease Name,Operator Name,Lease Link
953752,"1 TRISTAR PETROLEUM, INC.","Abilene, TX 79601",https://www.texas-drilling.com/operators/1-tristar-petroleum-inc/953752
953633,2 W PETROLEUM,"Brownwood, TX 76804",https://www.texas-drilling.com/operators/2-w-petroleum/953633
953796,"3 S PRODUCTION, INC.","Cisco, TX 76437",https://www.texas-drilling.com/operators/3-s-production-inc/953796
953757,"3-UP ENERGY, INC.","Allen, TX 75002",https://www.texas-drilling.com/operators/3-up-energy-inc/953757
953565,4 J'S PRODUCTION,"Zephyr, TX 76890",https://www.texas-drilling.com/operators/4-j-s-production/953565
953636,4-M OPERATING COMPANY,"Abilene, TX 79601",https://www.texas-drilling.com/operators/4-m-operating-company/953636
953723,5-H OIL INC.,"Texarkana, TX 75503",https://www.texas-drilling.com/operators/5-h-oil-inc/953723
953686,"6 BAR OPERATIONS, INC.","Mullin, TX 76864",https://www.texas-drilling.com/operators/6-bar-operations-inc/953686
954750,7 D OPERATIONS,"Brownwood, TX 76801",https://www.texas-drilling.com/operators/7-d-operations/954750
732280,7R+ OIL & GAS CO.,"Brownfield, TX 79316",https://www.texas-drilling.com/operators/7r-oil-gas-co/732280
000192,A & B OIL & GAS,"Round Rock, TX 78681",https://www.texas-drilling.com/operators/a-b-oil-gas/000192
000625,A & T OIL COMPANY,"Midland, TX 79707",https://www.texas-drilling.com/operators/a-t-oil-company/000625
000130,A-1 DRILLING,"Zephyr, TX 76890",https://www.texas-drilling.com/operators/a-1-drilling/000130
000650,A.W. & N. OPERATING,"Midland, TX 79708",https://www.texas-drilling.com/operators/a-w-n-operating/000650
001420,ABEL PRODUCTION COMPANY,"San Angelo, TX 76904",https://www.texas-drilling.com/operators/abel-production-company/001420
002632,ABILENE ENERGY EXPLORATION,"Abilene, TX 79604",https://www.texas-drilling.com/operators/abilene-energy-exploration/002632
003966,ADAIR RESOURCES INC.,"Ennis, TX 75120",https://www.texas-drilling.com/operators/adair-resources-inc/003966
007853,"ADDISON ENERGY, INC.","Dallas, TX 75206",https://www.texas-drilling.com/operators/addison-energy-inc/007853
007911,ADINO EXPLORATION,"Denham SPGS, LA 70726",https://www.texas-drilling.com/operators/adino-exploration/007911
008735,"AGROIL, INC.","Brownwood, TX 76801",https://www.texas-drilling.com/operators/agroil-inc/008735
012440,"ALFORD, E. B.","Henderson, TX 75652",https://www.texas-drilling.com/operators/alford-e-b/012440
014997,ALL STAR PUMP & SUPPLY,"Cross Plains, TX 76443",https://www.texas-drilling.com/operators/all-star-pump-supply/014997
013575,"ALLEN, A. M.","Bangs, TX 76823",https://www.texas-drilling.com/operators/allen-a-m/013575
014994,ALLSTATE PETROLEUM OPER. INC.,"Cross Plains, TX 76443",https://www.texas-drilling.com/operators/allstate-petroleum-oper-inc/014994
015098,"ALON USA, LP","Big Spring, TX 79720",https://www.texas-drilling.com/operators/alon-usa-lp/015098
015142,"ALPINE GAS COMPANY, LLC","Dallas, TX 75201",https://www.texas-drilling.com/operators/alpine-gas-company-llc/015142
015140,ALPS OIL COMPANY,"Odessa, TX 79760",https://www.texas-drilling.com/operators/alps-oil-company/015140
015733,"ALTAIR PRODUCTION COMPANY, INC.","Plano, TX 75026",https://www.texas-drilling.com/operators/altair-production-company-inc/015733
016890,AMBER OIL & GAS CO.,"Abilene, TX 79604",https://www.texas-drilling.com/operators/amber-oil-gas-co/016890
016905,AMCO ENERGY CORP.,"Farmers BRNCH, TX 75234",https://www.texas-drilling.com/operators/amco-energy-corp/016905
018925,AMERICAN PETROFINA PIPE LINE CO.,"Houston, TX 77032",https://www.texas-drilling.com/operators/american-petrofina-pipe-line-co/018925
019779,AMES OIL,"Cross Plains, TX 76443",https://www.texas-drilling.com/operators/ames-oil/019779
020517,"AMTECH RESOURCES, INC.","San Angelo, TX 76903",https://www.texas-drilling.com/operators/amtech-resources-inc/020517
022922,ANDERSON PRODUCTION,"Cisco, TX 76437",https://www.texas-drilling.com/operators/anderson-production/022922
021802,"ANDERSON, E. D.","Cisco, TX 76437",https://www.texas-drilling.com/operators/anderson-e-d/021802
025387,"ANEJO PRODUCTION, LLC","Electra, TX 76360",https://www.texas-drilling.com/operators/anejo-production-llc/025387
028678,"ARABIE, INC.","Lake Charles, LA 70605",https://www.texas-drilling.com/operators/arabie-inc/028678
028802,"ARBEN OIL, INC.","Coleman, TX 76834",https://www.texas-drilling.com/operators/arben-oil-inc/028802
028787,ARCADIAN MINERAL DEVELOPMENT,"Brownwood, TX 76801",https://www.texas-drilling.com/operators/arcadian-mineral-development/028787
028757,"ARCADIAN MINERAL DEVELOPMENT,LLC","Brownwood, TX 76801",https://www.texas-drilling.com/operators/arcadian-mineral-development-llc/028757
029273,ARCHANGEL ENERGY CORP.,"Arlington, TX 76015",https://www.texas-drilling.com/operators/archangel-energy-corp/029273
028910,"ARCHER, A. R., JR.","Bastrop, TX 78602",https://www.texas-drilling.com/operators/archer-a-r-jr/028910
029975,"ARGUS DRILLING, LLC","Midland, TX 79702",https://www.texas-drilling.com/operators/argus-drilling-llc/029975
030578,"ARKABE ENERGY, INCORPORATED","Dallas, TX 75224",https://www.texas-drilling.com/operators/arkabe-energy-incorporated/030578
030850,ARMADILLO OIL & GAS ENTERPRISES,"Brookesmith, TX 76827",https://www.texas-drilling.com/operators/armadillo-oil-gas-enterprises/030850
032470,"ARMSTRONG, THURMAN","Tyler, TX 75701",https://www.texas-drilling.com/operators/armstrong-thurman/032470
033012,"ARNOT OIL COMPANY, LLC","Breckenridge, TX 76424",https://www.texas-drilling.com/operators/arnot-oil-company-llc/033012
033000,"ARNOT, W. G., JR.","Breckenridge, TX 76424",https://www.texas-drilling.com/operators/arnot-w-g-jr/033000
033400,ARROWOOD PRODUCTION INC,"Cross Plains, TX 76443",https://www.texas-drilling.com/operators/arrowood-production-inc/033400
033707,ARTEX OIL COMPANY,"Santa Barbara, CA 93105",https://www.texas-drilling.com/operators/artex-oil-company/033707
034150,ASHBROOK OIL CO.,"Big Spring, TX 79721",https://www.texas-drilling.com/operators/ashbrook-oil-co/034150
035623,AT-WELL ENERGY,"Union City, CA 94587",https://www.texas-drilling.com/operators/at-well-energy/035623
036057,ATI OIL CO.,"Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/ati-oil-co/036057
036500,"ATLANTA DRILLING COMPANY, INC.","Farmers BRNCH, TX 75234",https://www.texas-drilling.com/operators/atlanta-drilling-company-inc/036500
036589,"ATMOS ENERGY CORP., MID-TEX DIV.","Dallas, TX 75222",https://www.texas-drilling.com/operators/atmos-energy-corp-mid-tex-div/036589
039682,"AZTEC DRILLING & OPERATING, LLC","Houston, TX 77056",https://www.texas-drilling.com/operators/aztec-drilling-operating-llc/039682
040550,B & H DEVELOPMENT CO.,"Midland, TX 79701",https://www.texas-drilling.com/operators/b-h-development-co/040550
040552,B & H OIL & GAS,"Brownwood, TX 76801",https://www.texas-drilling.com/operators/b-h-oil-gas/040552
040718,B & L OPERATING CO.,"Hamilton, TX 76531",https://www.texas-drilling.com/operators/b-l-operating-co/040718
041940,B & V DEVELOPMENT,"Waco, TX 76708",https://www.texas-drilling.com/operators/b-v-development/041940
040709,B.L.S. DRILLING,"Brownwood, TX 76801",https://www.texas-drilling.com/operators/b-l-s-drilling/040709
040713,B.L.S. DRILLING INCORPORATED,"Brownwood, TX 76804",https://www.texas-drilling.com/operators/b-l-s-drilling-incorporated/040713
042600,"BAGGETT, S. N.","Abilene, TX 79604",https://www.texas-drilling.com/operators/baggett-s-n/042600
042610,"BAGGETT, S. N. TRUST","Abilene, TX 79603",https://www.texas-drilling.com/operators/baggett-s-n-trust/042610
048164,BALL PRODUCING CO.,"Eastland, TX 76448",https://www.texas-drilling.com/operators/ball-producing-co/048164
048162,BALL PRODUCTION CO.,"Breckenridge, TX 76424",https://www.texas-drilling.com/operators/ball-production-co/048162
048383,BANGS OIL COMPANY,"Brownwood, TX 76801",https://www.texas-drilling.com/operators/bangs-oil-company/048383
048385,"BANGS OILFIELD SUPPLY, INC.","Bangs, TX 76823",https://www.texas-drilling.com/operators/bangs-oilfield-supply-inc/048385
048532,BANLEE ENERGY,"Fort Worth, TX 76107",https://www.texas-drilling.com/operators/banlee-energy/048532
049170,BARCO OIL & GAS CO.,"Houston, TX 77098",https://www.texas-drilling.com/operators/barco-oil-gas-co/049170
052920,"BARNUM, STORMY G.","Brownwood, TX 76801",https://www.texas-drilling.com/operators/barnum-stormy-g/052920
053030,"BARRETT, EMORY","Brownwood, TX 76801",https://www.texas-drilling.com/operators/barrett-emory/053030
053011,"BARRETT, JOE B.","Early, TX 76802",https://www.texas-drilling.com/operators/barrett-joe-b/053011
053323,"BARRON, FRANKLIN","Abilene, TX 79603",https://www.texas-drilling.com/operators/barron-franklin/053323
056555,"BAXTER, KELLY H.","Austin, TX 78767",https://www.texas-drilling.com/operators/baxter-kelly-h/056555
056536,"BAXTER, KELLY H. OIL AND GAS CO.","Austin, TX 78767",https://www.texas-drilling.com/operators/baxter-kelly-h-oil-and-gas-co/056536
058851,"BAYOU OPERATING COMPANY, INC.","Abilene, TX 79608",https://www.texas-drilling.com/operators/bayou-operating-company-inc/058851
058914,"BC EXPLORATION, LLC","Dallas, TX 75201",https://www.texas-drilling.com/operators/bc-exploration-llc/058914
100259,Beasley Well Service Inc.,"Tuscola, TX 79562",https://www.texas-drilling.com/operators/beasley-well-service-inc/100259
061739,BEE-JAY ENERGY,"Whiteface, TX 79379",https://www.texas-drilling.com/operators/bee-jay-energy/061739
061747,"BEE-JAY PETRO, INC.","Levelland, TX 79336",https://www.texas-drilling.com/operators/bee-jay-petro-inc/061747
061847,"BEIGHTS SERVICES, INC.","Tuscola, TX 79562",https://www.texas-drilling.com/operators/beights-services-inc/061847
062780,"BELKNAP, MARION","Midland, TX 79701",https://www.texas-drilling.com/operators/belknap-marion/062780
065851,"BEN-CO OPERATING CO., LLC","Graham, TX 76450",https://www.texas-drilling.com/operators/ben-co-operating-co-llc/065851
065970,"BENSON & SCHOEN OIL CO., INC.","Abilene, TX 79602",https://www.texas-drilling.com/operators/benson-schoen-oil-co-inc/065970
068314,BETA OIL CORPORATION,"San Antonio, TX 78232",https://www.texas-drilling.com/operators/beta-oil-corporation/068314
068494,"BGM PRODUCTION, LLC","Borger, TX 79008",https://www.texas-drilling.com/operators/bgm-production-llc/068494
069440,BIG FOUR OIL AND GAS,"Lubbock, TX 79413",https://www.texas-drilling.com/operators/big-four-oil-and-gas/069440
069437,"BIG IRON EXCAVATION, L.L.C.","Blanket, TX 76432",https://www.texas-drilling.com/operators/big-iron-excavation-l-l-c/069437
070450,"BIG STATE INDUSTRIES, INC.","Houston, TX 77010",https://www.texas-drilling.com/operators/big-state-industries-inc/070450
070709,"BIG TIO, INC.","Coleman, TX 76834",https://www.texas-drilling.com/operators/big-tio-inc/070709
072527,BJM OIL & GAS CORPORATION,"Fort Worth, TX 76112",https://www.texas-drilling.com/operators/bjm-oil-gas-corporation/072527
072574,"BJPW, INC.","New Orleans, LA 70112",https://www.texas-drilling.com/operators/bjpw-inc/072574
073325,BLACKWATER OIL & GAS CORPORATION,"Colleyville, TX 76034",https://www.texas-drilling.com/operators/blackwater-oil-gas-corporation/073325
073332,"BLACKWATER SWD, LLC","Cotulla, TX 78014",https://www.texas-drilling.com/operators/blackwater-swd-llc/073332
074170,"BLAIR, R. A.","Hobbs, NM 88240",https://www.texas-drilling.com/operators/blair-r-a/074170
074640,BLALACK OIL COMPANY,"Houston, TX 77056",https://www.texas-drilling.com/operators/blalack-oil-company/074640
075403,"BLANSCO OIL & GAS, INC.","Georgetown, TX 78628",https://www.texas-drilling.com/operators/blansco-oil-gas-inc/075403
076737,"BLUE DIAMOND MOUNTAIN, LLC","Marble Falls, TX 78654",https://www.texas-drilling.com/operators/blue-diamond-mountain-llc/076737
076782,"BLUE RIDGE RESOURCES, LLC","Midland, TX 79710",https://www.texas-drilling.com/operators/blue-ridge-resources-llc/076782
076791,"BLUE WING ENERGY, INC.","Portland, TX 78374",https://www.texas-drilling.com/operators/blue-wing-energy-inc/076791
040648,BMB OIL PRODUCTION,"Coleman, TX 76834",https://www.texas-drilling.com/operators/bmb-oil-production/040648
077595,BO'S DRILLING COMPANY,"Austin, TX 78744",https://www.texas-drilling.com/operators/bo-s-drilling-company/077595
078050,"BOB HUGHES OIL COMPANY, LLC","San Angelo, TX 76901",https://www.texas-drilling.com/operators/bob-hughes-oil-company-llc/078050
080060,BOKAR OIL,"Lubbock, TX 79464",https://www.texas-drilling.com/operators/bokar-oil/080060
084600,"BOYD, DICK","Olney, TX 76374",https://www.texas-drilling.com/operators/boyd-dick/084600
085350,BP ENERGY COMPANY,"Cleburne, TX 76031",https://www.texas-drilling.com/operators/bp-energy-company/085350
085360,BP EXPLORATION,"Abilene, TX 79604",https://www.texas-drilling.com/operators/bp-exploration/085360
085371,BPA OILFIELD SERVICES,"Coleman, TX 76834",https://www.texas-drilling.com/operators/bpa-oilfield-services/085371
088220,BRADY INTERNATIONAL OF TEX. CORP,"Crossville, TN 38555",https://www.texas-drilling.com/operators/brady-international-of-tex-corp/088220
089939,"BRAZOS PETROLEUM, INC.","Graham, TX 76450",https://www.texas-drilling.com/operators/brazos-petroleum-inc/089939
089968,"BRECCA OIL & GAS OPERATORS, INC.","Abilene, TX 79602",https://www.texas-drilling.com/operators/brecca-oil-gas-operators-inc/089968
089973,BRECK-TEX ENERGY CORPORATION,"Breckenridge, TX 76424",https://www.texas-drilling.com/operators/breck-tex-energy-corporation/089973
090755,BRENDA OIL AND GAS COMPANY,"Pleasant PLNS, AR 72568",https://www.texas-drilling.com/operators/brenda-oil-and-gas-company/090755
093380,"BRIM, JIM","Brownwood, TX 76801",https://www.texas-drilling.com/operators/brim-jim/093380
094170,BRITTANY DRILLING CO.,"Abilene, TX 79604",https://www.texas-drilling.com/operators/brittany-drilling-co/094170
094868,"BROADWAY PETROLEUM COMPANY, LLC","New York, NY 10152",https://www.texas-drilling.com/operators/broadway-petroleum-company-llc/094868
097494,"BROWER OIL & GAS CO., INC.","Graham, TX 76450",https://www.texas-drilling.com/operators/brower-oil-gas-co-inc/097494
097505,BROWN COUNTY JOINT VENTURE,"Lago VIsta, TX 78645",https://www.texas-drilling.com/operators/brown-county-joint-venture/097505
100298,"BROWN INDUSTRIAL GAS OP, INC.","Tulsa, OK 74103",https://www.texas-drilling.com/operators/brown-industrial-gas-op-inc/100298
100300,"BROWN INDUSTRIAL GAS, INC.","Tulsa, OK 74103",https://www.texas-drilling.com/operators/brown-industrial-gas-inc/100300
098985,"BROWN, CLIFFORD H.","Holly LK RNCH, TX 75765",https://www.texas-drilling.com/operators/brown-clifford-h/098985
