Lease Number,Lease Name,Operator Name,Lease Link
302614,3-D DISPOSAL LLC,"Caldwell, TX 77836",https://www.texas-drilling.com/operators/3-d-disposal-llc/302614
953747,3-G OPERATING COMPANY,"Houston, TX 77244",https://www.texas-drilling.com/operators/3-g-operating-company/953747
954998,"7711 CORPORATION, THE","Houston, TX 77002",https://www.texas-drilling.com/operators/7711-corporation-the/954998
856467,84 ENERGY LLC,"Flatonia, TX 78941",https://www.texas-drilling.com/operators/84-energy-llc/856467
000352,A.G.A. OIL CO.,"Rockdale, TX 76567",https://www.texas-drilling.com/operators/a-g-a-oil-co/000352
000845,"AARCAL ENERGY, INC.","Snook, TX 77878",https://www.texas-drilling.com/operators/aarcal-energy-inc/000845
003600,"ACOCK, RANDOLPH","Corpus Chrsti, TX 78404",https://www.texas-drilling.com/operators/acock-randolph/003600
003912,ADA OIL EXPLORATION CORP.,"Houston, TX 77001",https://www.texas-drilling.com/operators/ada-oil-exploration-corp/003912
003968,"ADAIR & BALLINGER PETRO., INC.","Austin, TX 78734",https://www.texas-drilling.com/operators/adair-ballinger-petro-inc/003968
003996,ADAMS RESOURCES EXPL. CORP.,"Houston, TX 77001",https://www.texas-drilling.com/operators/adams-resources-expl-corp/003996
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",https://www.texas-drilling.com/operators/adobe-oil-gas-corp/008380
008475,ADS,"Caldwell, TX 77836",https://www.texas-drilling.com/operators/ads/008475
000225,"ADS OIL & GAS, INC.","Caldwell, TX 77836",https://www.texas-drilling.com/operators/ads-oil-gas-inc/000225
000222,"ADS OPERATING, INC.","Houston, TX 77257",https://www.texas-drilling.com/operators/ads-operating-inc/000222
008484,ADVANCE HYDROCARBON CORPORATION,"Houston, TX 77056",https://www.texas-drilling.com/operators/advance-hydrocarbon-corporation/008484
008551,"AEGIS FLUIDS MANAGEMENT, LLC","Plano, TX 75093",https://www.texas-drilling.com/operators/aegis-fluids-management-llc/008551
008584,AGCO PETROLEUM COMPANY,"Houston, TX 77002",https://www.texas-drilling.com/operators/agco-petroleum-company/008584
009130,AIM CONSULTANTS INC.,"Rockville, MD 20852",https://www.texas-drilling.com/operators/aim-consultants-inc/009130
009566,AKG OPERATING COMPANY,"Austin, TX 78701",https://www.texas-drilling.com/operators/akg-operating-company/009566
009765,AL-TX OPERATING INC.,"Plum, TX 78952",https://www.texas-drilling.com/operators/al-tx-operating-inc/009765
010074,"ALAMO OPERATING COMPANY, L. C.","San Antonio, TX 78278",https://www.texas-drilling.com/operators/alamo-operating-company-l-c/010074
011285,ALCORN PROD CO.,"Victoria, TX 77902",https://www.texas-drilling.com/operators/alcorn-prod-co/011285
012190,ALEXANDER ENERGY CORPORATION,"Dallas, TX 75206",https://www.texas-drilling.com/operators/alexander-energy-corporation/012190
