Lease Number,Lease Name,Operator Name,Lease Link
953633,2 W PETROLEUM,"Brownwood, TX 76804",https://www.texas-drilling.com/operators/2-w-petroleum/953633
953796,"3 S PRODUCTION, INC.","Cisco, TX 76437",https://www.texas-drilling.com/operators/3-s-production-inc/953796
953631,3-D OIL & GAS,"Winters, TX 79567",https://www.texas-drilling.com/operators/3-d-oil-gas/953631
953565,4 J'S PRODUCTION,"Zephyr, TX 76890",https://www.texas-drilling.com/operators/4-j-s-production/953565
101999,500X Operating LLC,"Andrews, TX 79714",https://www.texas-drilling.com/operators/500x-operating-llc/101999
000240,"A & H ENERGY, INC.","Brownwood, TX 76801",https://www.texas-drilling.com/operators/a-h-energy-inc/000240
000250,A & H OIL CO.,"Houston, TX 77030",https://www.texas-drilling.com/operators/a-h-oil-co/000250
000197,A C OPERATING CO.,"Bangs, TX 76823",https://www.texas-drilling.com/operators/a-c-operating-co/000197
000201,"A E G OIL, INC.","Hale Center, TX 79041",https://www.texas-drilling.com/operators/a-e-g-oil-inc/000201
000191,A.D.H. OPERATING CO.,"Abilene, TX 79604",https://www.texas-drilling.com/operators/a-d-h-operating-co/000191
000190,"A.E.N. ENERGY, INC.","Abilene, TX 79608",https://www.texas-drilling.com/operators/a-e-n-energy-inc/000190
002557,ABERDEEN PETROLEUM (USA) INC.,"Abilene, TX 79608",https://www.texas-drilling.com/operators/aberdeen-petroleum-usa-inc/002557
002627,"ABILENE AMERICAN ENERGY, LLC","Abilene, TX 79602",https://www.texas-drilling.com/operators/abilene-american-energy-llc/002627
003966,ADAIR RESOURCES INC.,"Ennis, TX 75120",https://www.texas-drilling.com/operators/adair-resources-inc/003966
003975,ADAMS BRANCH EXPLORATION COMPANY,"Abilene, TX 79608",https://www.texas-drilling.com/operators/adams-branch-exploration-company/003975
003985,ADAMS OIL CO.,"Burkett, TX 76828",https://www.texas-drilling.com/operators/adams-oil-co/003985
004112,"ADAMS, CHRIS A. OIL CO.","Clyde, TX 79510",https://www.texas-drilling.com/operators/adams-chris-a-oil-co/004112
007836,ADCO OIL & GAS INC.,"Coleman, TX 76834",https://www.texas-drilling.com/operators/adco-oil-gas-inc/007836
007911,ADINO EXPLORATION,"Denham SPGS, LA 70726",https://www.texas-drilling.com/operators/adino-exploration/007911
008235,ADLER PETROLEUM COMPANY,"Irving, TX 75060",https://www.texas-drilling.com/operators/adler-petroleum-company/008235
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",https://www.texas-drilling.com/operators/adobe-oil-gas-corp/008380
008482,ADVANCE EXPLORATION,"Abilene, TX 79601",https://www.texas-drilling.com/operators/advance-exploration/008482
008542,AERI INDUSTRIES CORPORATION,"Terrell, TX 75160",https://www.texas-drilling.com/operators/aeri-industries-corporation/008542
008735,"AGROIL, INC.","Brownwood, TX 76801",https://www.texas-drilling.com/operators/agroil-inc/008735
009430,"AKERS, B. F.","Graham, TX 76450",https://www.texas-drilling.com/operators/akers-b-f/009430
010450,"ALARON ENERGY, INC.","Irving, TX 75038",https://www.texas-drilling.com/operators/alaron-energy-inc/010450
010600,ALBANY WELL SERVICE,"Albany, TX 76430",https://www.texas-drilling.com/operators/albany-well-service/010600
012368,"ALEXANDER RESOURCES, INC.","Abilene, TX 79608",https://www.texas-drilling.com/operators/alexander-resources-inc/012368
