Lease Number,Lease Name,Operator Name,Lease Link
002987,"ABLEREADY, INC.","Houston, TX 77269",https://www.texas-drilling.com/operators/ableready-inc/002987
015138,ALPINE PETROLEUM,"Abilene, TX 79608",https://www.texas-drilling.com/operators/alpine-petroleum/015138
025626,"ANNAVAS DEVELOPMENT CO., LTD.","Phoenix, AZ 85004",https://www.texas-drilling.com/operators/annavas-development-co-ltd/025626
033860,ASAMERA OIL (U.S.) INC.,"Denver, CO 80201",https://www.texas-drilling.com/operators/asamera-oil-u-s-inc/033860
037877,"AVAD OPERATING, LLC","Dallas, TX 75201",https://www.texas-drilling.com/operators/avad-operating-llc/037877
041536,B. R. T. VENTURE,"Paducah, TX 79248",https://www.texas-drilling.com/operators/b-r-t-venture/041536
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/basic-energy-services-l-p/054313
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/bass-enterprises-production-co/054700
054810,"BASS OPERATING CO., INC.","Breckenridge, TX 76424",https://www.texas-drilling.com/operators/bass-operating-co-inc/054810
054820,BASS OPERATING COMPANY,"Breckenridge, TX 76424",https://www.texas-drilling.com/operators/bass-operating-company/054820
062673,BELCO ENERGY CORP.,"Dallas, TX 75231",https://www.texas-drilling.com/operators/belco-energy-corp/062673
066722,"BEPCO, L.P.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/bepco-l-p/066722
068030,BERRY EXPLORATION CORPORATION,"Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/berry-exploration-corporation/068030
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",https://www.texas-drilling.com/operators/bettis-boyle-stovall/068360
077587,"BO DUNAGIN OPERATING, LLC","Merkel, TX 79536",https://www.texas-drilling.com/operators/bo-dunagin-operating-llc/077587
082597,BOONDOCKS SOLUTIONS LLC,"Tomball, TX 77375",https://www.texas-drilling.com/operators/boondocks-solutions-llc/082597
082967,"BOPCO, L.P.","Midland, TX 79701",https://www.texas-drilling.com/operators/bopco-l-p/082967
092480,BRIDWELL OIL CO.,"Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/bridwell-oil-co/092480
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",https://www.texas-drilling.com/operators/buffco-production-inc/106406
108650,"BURGUNDY OIL & GAS, INC.","Midland, TX 79701",https://www.texas-drilling.com/operators/burgundy-oil-gas-inc/108650
110016,"BURNETT OIL CO., INC.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/burnett-oil-co-inc/110016
139105,CASE OIL,"Burkburnett, TX 76354",https://www.texas-drilling.com/operators/case-oil/139105
142450,"CHALMERS OPERATING CO., INC.","Abilene, TX 79601",https://www.texas-drilling.com/operators/chalmers-operating-co-inc/142450
144170,"CHANCE OIL CO., INC.","Vernon, TX 76385",https://www.texas-drilling.com/operators/chance-oil-co-inc/144170
150683,"CHOLLA PETROLEUM, INC.","Dallas, TX 75225",https://www.texas-drilling.com/operators/cholla-petroleum-inc/150683
154505,CITORI OIL COMPANY,"Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/citori-oil-company/154505
154507,"CITORI OIL COMPANY, LLC","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/citori-oil-company-llc/154507
159500,"CLEAR FORK, INCORPORATED","Abilene, TX 79604",https://www.texas-drilling.com/operators/clear-fork-incorporated/159500
164448,"CODA ENERGY, INC.","Dallas, TX 75231",https://www.texas-drilling.com/operators/coda-energy-inc/164448
170163,"CONCHO OILFIELD SERVICE, INC.","Albany, TX 76430",https://www.texas-drilling.com/operators/concho-oilfield-service-inc/170163
177997,CORDA CORPORATION,"Wichita Falls, TX 76302",https://www.texas-drilling.com/operators/corda-corporation/177997
186741,"CRAWFORD ENERGY, INC.","New York, NY 10022",https://www.texas-drilling.com/operators/crawford-energy-inc/186741
188555,"CREED OPERATING CO., LLC","Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/creed-operating-co-llc/188555
208171,DAYLIGHT PETROLEUM LLC,"Houston, TX 77052",https://www.texas-drilling.com/operators/daylight-petroleum-llc/208171
213700,DELTA OIL & GAS COMPANY,"Breckenridge, TX 76424",https://www.texas-drilling.com/operators/delta-oil-gas-company/213700
214100,"DELWINTEX OIL & GAS PROP., INC.","Lubbock, TX 79423",https://www.texas-drilling.com/operators/delwintex-oil-gas-prop-inc/214100
216872,"DIAMOND ENERGY, INC.","Sherman, TX 75091",https://www.texas-drilling.com/operators/diamond-energy-inc/216872
223270,DOODLE BUG JOINT VENTURE #1,"Paducah, TX 79248",https://www.texas-drilling.com/operators/doodle-bug-joint-venture-1/223270
224852,DOUBLE EAGLE PETROLEUM CORP,"Evansville, IN 47725",https://www.texas-drilling.com/operators/double-eagle-petroleum-corp/224852
224867,"DOUBLE M PETROPROPERTIES, INC.","Haskell, TX 79521",https://www.texas-drilling.com/operators/double-m-petroproperties-inc/224867
227847,DRACO PRODUCTION COMPANY,"Tulsa, OK 74133",https://www.texas-drilling.com/operators/draco-production-company/227847
231250,DUNAGIN TRANSPORT COMPANY,"Merkel, TX 79536",https://www.texas-drilling.com/operators/dunagin-transport-company/231250
238558,E.G. OPERATING,"Dallas, TX 75206",https://www.texas-drilling.com/operators/e-g-operating/238558
238522,"E.G.L. RESOURCES, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/e-g-l-resources-inc/238522
244675,"EDWARDS, -GUS-","Abilene, TX 79601",https://www.texas-drilling.com/operators/edwards-gus/244675
244676,"EDWARDS, GUS CO.","Abilene, TX 79603",https://www.texas-drilling.com/operators/edwards-gus-co/244676
253210,"ENSERCH EXPLORATION, INC","Dallas, TX 75206",https://www.texas-drilling.com/operators/enserch-exploration-inc/253210
253275,EP OPERATING COMPANY,"Dallas, TX 75201",https://www.texas-drilling.com/operators/ep-operating-company/253275
253229,EP OPERATING LIMITED PARTNERSHIP,"Dallas, TX 75201",https://www.texas-drilling.com/operators/ep-operating-limited-partnership/253229
253336,ERATZ INVESTMENTS INC.,"Dallas, TX 75240",https://www.texas-drilling.com/operators/eratz-investments-inc/253336
254230,"ERWIN, JAMES D.","Dallas, TX 75225",https://www.texas-drilling.com/operators/erwin-james-d/254230
256931,"EXCO RESOURCES, INC.","Dallas, TX 75251",https://www.texas-drilling.com/operators/exco-resources-inc/256931
257711,"FAIR OPERATING, INC.","Boerne, TX 78015",https://www.texas-drilling.com/operators/fair-operating-inc/257711
270635,"FISHER-WEBB, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/fisher-webb-inc/270635
278763,FORTUNE ENERGY,"Richardson, TX 75080",https://www.texas-drilling.com/operators/fortune-energy/278763
300755,GEOFFROY-TIPPEN CORPORATION,"Amarillo, TX 79107",https://www.texas-drilling.com/operators/geoffroy-tippen-corporation/300755
302450,GETTY OIL CO.,"Midland, TX 79702",https://www.texas-drilling.com/operators/getty-oil-co/302450
323000,GRAHAM ENERGY DEVELOPMENT CORP.,"Houston, TX 77210",https://www.texas-drilling.com/operators/graham-energy-development-corp/323000
331928,"GREGCO, INC.","Paducah, TX 79248",https://www.texas-drilling.com/operators/gregco-inc/331928
334200,"GRIMM, JACK F.","Abilene, TX 79604",https://www.texas-drilling.com/operators/grimm-jack-f/334200
334216,"GRIMM, JACK F. & HUNT, N. B.","Abilene, TX 79604",https://www.texas-drilling.com/operators/grimm-jack-f-hunt-n-b/334216
335405,GRO-TEX,"Paducah, TX 79248",https://www.texas-drilling.com/operators/gro-tex/335405
335988,"GROW-TEX, INC.","Paducah, TX 79248",https://www.texas-drilling.com/operators/grow-tex-inc/335988
337106,GRUY PETROLEUM MANAGEMENT CO.,"Irving, TX 75014",https://www.texas-drilling.com/operators/gruy-petroleum-management-co/337106
338130,GULF OIL CORP.,"Houston, TX 77252",https://www.texas-drilling.com/operators/gulf-oil-corp/338130
339493,GUNN OIL COMPANY,"Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/gunn-oil-company/339493
339600,"GUPTON, W. L.","Fort Worth, TX 76107",https://www.texas-drilling.com/operators/gupton-w-l/339600
341551,"H & S OPERATING, INC.","Dallas, TX 75252",https://www.texas-drilling.com/operators/h-s-operating-inc/341551
357095,"HARKEN OIL & GAS, INC","Dallas, TX 75261",https://www.texas-drilling.com/operators/harken-oil-gas-inc/357095
400069,"HORIZON NATURAL RESOURCES, INC.","Tulsa, OK 74136",https://www.texas-drilling.com/operators/horizon-natural-resources-inc/400069
423675,INDEPENDENT EXPLORATION CO.,"Houston, TX 77063",https://www.texas-drilling.com/operators/independent-exploration-co/423675
429415,"JACO, TROY INC.","Sherman, TX 75091",https://www.texas-drilling.com/operators/jaco-troy-inc/429415
478419,KUEHNE OIL COMPANY,"Dallas, TX 75201",https://www.texas-drilling.com/operators/kuehne-oil-company/478419
493400,"LECLAIR OPERATING CO., INC.","Abilene, TX 79602",https://www.texas-drilling.com/operators/leclair-operating-co-inc/493400
509500,"LOUISIANA LAND & EXPL. CO., THE","Houston, TX 77210",https://www.texas-drilling.com/operators/louisiana-land-expl-co-the/509500
516247,"LYNX ENERGY COMPANY, INC.","Dallas, TX 75201",https://www.texas-drilling.com/operators/lynx-energy-company-inc/516247
535470,"MAXWELL, RILEY G., CO.","Abilene, TX 79604",https://www.texas-drilling.com/operators/maxwell-riley-g-co/535470
565882,"MIDLAND RES. OPER. CO., INC.","Midland, TX 79701",https://www.texas-drilling.com/operators/midland-res-oper-co-inc/565882
570419,"MIRESCO, INC.","Houston, TX 77060",https://www.texas-drilling.com/operators/miresco-inc/570419
