Lease Number,Lease Name,Operator Name,Lease Link
008543,AFE OIL & GAS CONSULTANTS,"Addison, TX 75001",https://www.texas-drilling.com/operators/afe-oil-gas-consultants/008543
036589,"ATMOS ENERGY CORP., MID-TEX DIV.","Dallas, TX 75222",https://www.texas-drilling.com/operators/atmos-energy-corp-mid-tex-div/036589
036599,ATMOS PIPELINE - TEXAS,"Dallas, TX 75240",https://www.texas-drilling.com/operators/atmos-pipeline-texas/036599
059068,"BEACON E&P COMPANY, LLC","Denver, CO 80202",https://www.texas-drilling.com/operators/beacon-e-p-company-llc/059068
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/chesapeake-operating-inc/147715
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/chesapeake-operating-l-l-c/147699
148216,CHIEF OIL & GAS LLC,"Dallas, TX 75225",https://www.texas-drilling.com/operators/chief-oil-gas-llc/148216
197624,DALE OPERATING COMPANY,"Dallas, TX 75201",https://www.texas-drilling.com/operators/dale-operating-company/197624
238462,"EAGLERIDGE OPERATING, LLC","Dallas, TX 75219",https://www.texas-drilling.com/operators/eagleridge-operating-llc/238462
257082,"EXPRO ENGINEERING, INC.","Fort Worth, TX 76179",https://www.texas-drilling.com/operators/expro-engineering-inc/257082
302578,"GHA BARNETT, LLC","Irving, TX 75062",https://www.texas-drilling.com/operators/gha-barnett-llc/302578
347149,HALLIBURTON ENERGY SERVICES,"Carrollton, TX 75006",https://www.texas-drilling.com/operators/halliburton-energy-services/347149
347151,"HALLIBURTON ENERGY SERVICES, INC","Houston, TX 77032",https://www.texas-drilling.com/operators/halliburton-energy-services-inc/347151
381740,"HESS, JERRY OPERATING CO.","Muenster, TX 76252",https://www.texas-drilling.com/operators/hess-jerry-operating-co/381740
495557,"LEGEND NATURAL GAS IV, LP","Houston, TX 77094",https://www.texas-drilling.com/operators/legend-natural-gas-iv-lp/495557
572500,MOBIL OIL CORPORATION,"Houston, TX 77210",https://www.texas-drilling.com/operators/mobil-oil-corporation/572500
606167,"NEWARK E&P OPERATING, LLC","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/newark-e-p-operating-llc/606167
606149,NEWARK ENERGY LLC,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/newark-energy-llc/606149
614199,NORTH TEXAS LLANO OPERATING CORP,"Dallas, TX 75225",https://www.texas-drilling.com/operators/north-texas-llano-operating-corp/614199
691703,RANGE PRODUCTION COMPANY,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/range-production-company/691703
842986,"TEP BARNETT USA, LLC","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/tep-barnett-usa-llc/842986
870311,"TRINITY RIVER ENERGY OPER, LLC","Houston, TX 77008",https://www.texas-drilling.com/operators/trinity-river-energy-oper-llc/870311
945581,"WYNN-CROSBY OPERATING, LTD.","Dallas, TX 75201",https://www.texas-drilling.com/operators/wynn-crosby-operating-ltd/945581
945936,XTO ENERGY INC.,"Spring, TX 77389",https://www.texas-drilling.com/operators/xto-energy-inc/945936
