Lease Number,Lease Name,Operator Name,Lease Link
623073,"1849 ENERGY PARTNERS OPRTNG, LLC","Fort Worth, TX 76107",https://www.texas-drilling.com/operators/1849-energy-partners-oprtng-llc/623073
623082,"1849 ENERGY PARTNERS, LLC","Fort Worth, TX 76107",https://www.texas-drilling.com/operators/1849-energy-partners-llc/623082
953796,"3 S PRODUCTION, INC.","Cisco, TX 76437",https://www.texas-drilling.com/operators/3-s-production-inc/953796
953494,"360 MINING, INC.","Austin, TX 78703",https://www.texas-drilling.com/operators/360-mining-inc/953494
000202,A & D EXPLORATION COMPANY,"Rockport, TX 78381",https://www.texas-drilling.com/operators/a-d-exploration-company/000202
007894,ADEXCO OPERATING COMPANY,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/adexco-operating-company/007894
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",https://www.texas-drilling.com/operators/adkins-r-l-corp/007937
008555,AETHON ENERGY OPERATING LLC,"Dallas, TX 75251",https://www.texas-drilling.com/operators/aethon-energy-operating-llc/008555
013301,"ALLEGIANCE EXPLORATION, LLC","Frisco, TX 75035",https://www.texas-drilling.com/operators/allegiance-exploration-llc/013301
019739,"AMERICAN WEST RESOURCES, INC","Fort Worth, TX 76161",https://www.texas-drilling.com/operators/american-west-resources-inc/019739
020414,"AMMO, INCORPORATED","Dallas, TX 75248",https://www.texas-drilling.com/operators/ammo-incorporated/020414
020602,ANCHO OIL LLC,"Decatur, TX 76234",https://www.texas-drilling.com/operators/ancho-oil-llc/020602
025927,"ANTERO RESOURCES I, LP","Denver, CO 80202",https://www.texas-drilling.com/operators/antero-resources-i-lp/025927
027463,APEX OPERATING & EQUIP. CO.,"Bowie, TX 76230",https://www.texas-drilling.com/operators/apex-operating-equip-co/027463
028736,ARC ENERGY INC.,"Dallas, TX 75227",https://www.texas-drilling.com/operators/arc-energy-inc/028736
033055,"ARP BARNETT, LLC","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/arp-barnett-llc/033055
033148,"ARRINGTON,DAVID H. OIL & GAS,INC","Midland, TX 79702",https://www.texas-drilling.com/operators/arrington-david-h-oil-gas-inc/033148
033523,"ARROWHEAD PRODUCTIONS, LP","Fort Worth, TX 76109",https://www.texas-drilling.com/operators/arrowhead-productions-lp/033523
033762,"ARUBA PETROLEUM, INC.","Dallas, TX 75379",https://www.texas-drilling.com/operators/aruba-petroleum-inc/033762
036556,"ATLAS BARNETT, LLC","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/atlas-barnett-llc/036556
036599,ATMOS PIPELINE - TEXAS,"Dallas, TX 75240",https://www.texas-drilling.com/operators/atmos-pipeline-texas/036599
036840,AUGUST OIL,"Plano, TX 75093",https://www.texas-drilling.com/operators/august-oil/036840
037045,"AUSTEX ENERGY CO, INC","Fort Worth, TX 76107",https://www.texas-drilling.com/operators/austex-energy-co-inc/037045
037046,"AUSTEX ENERGY, INC.","Granbury, TX 76048",https://www.texas-drilling.com/operators/austex-energy-inc/037046
039767,"B A OPERATORS, INC.","Midland, TX 79709",https://www.texas-drilling.com/operators/b-a-operators-inc/039767
040409,"B.F.L., INC.","Sedalia, CO 80135",https://www.texas-drilling.com/operators/b-f-l-inc/040409
050861,BARNETT SHALE OPERATING LLC,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/barnett-shale-operating-llc/050861
052965,"BARON CO., THE","Houston, TX 77027",https://www.texas-drilling.com/operators/baron-co-the/052965
053250,"BARRINGTON, CHARLES R.","Dallas, TX 75228",https://www.texas-drilling.com/operators/barrington-charles-r/053250
061144,"BECHEL OIL, LLC.","Maiden Rock, WI 54750",https://www.texas-drilling.com/operators/bechel-oil-llc/061144
061620,"BEDROCK PRODUCTION, LLC","Houston, TX 77002",https://www.texas-drilling.com/operators/bedrock-production-llc/061620
064129,BEND PETROLEUM CORP.,"Muenster, TX 76252",https://www.texas-drilling.com/operators/bend-petroleum-corp/064129
064250,BENGAL GAS TRANSMISSION CO.,"San Antonio, TX 78209",https://www.texas-drilling.com/operators/bengal-gas-transmission-co/064250
068287,"BEST PETROLEUM EXPLORATIONS,INC.","Jacksboro, TX 76458",https://www.texas-drilling.com/operators/best-petroleum-explorations-inc/068287
069425,"BIG E INDUSTRIES, INC.","Durant, OK 74701",https://www.texas-drilling.com/operators/big-e-industries-inc/069425
069429,BIG FOOT OIL COMPANY,"Denton, TX 76201",https://www.texas-drilling.com/operators/big-foot-oil-company/069429
072504,"BKV BARNETT, LLC","Fort Worth, TX 76106",https://www.texas-drilling.com/operators/bkv-barnett-llc/072504
100345,"BKV North Texas, LLC","Fort Worth, TX 76106",https://www.texas-drilling.com/operators/bkv-north-texas-llc/100345
072723,"BLACK OIL COMPANY, INC.","Dallas, TX 75206",https://www.texas-drilling.com/operators/black-oil-company-inc/072723
073056,"BLACKBEARD OPERATING, LLC","Fort Worth, TX 76107",https://www.texas-drilling.com/operators/blackbeard-operating-llc/073056
076861,"BLUESTONE NATURAL RES. II, LLC","Fort Worth, TX 76107",https://www.texas-drilling.com/operators/bluestone-natural-res-ii-llc/076861
077629,BOB & TED'S OPERATING,"Lewisville, TX 75067",https://www.texas-drilling.com/operators/bob-ted-s-operating/077629
081289,"BOLIVAR OIL COMPANY, INC.","Sanger, TX 76266",https://www.texas-drilling.com/operators/bolivar-oil-company-inc/081289
082999,BORDERLINE OPERATING CORP.,"Graham, TX 76450",https://www.texas-drilling.com/operators/borderline-operating-corp/082999
083268,"BOSQUE DISPOSAL SYSTEMS, LLC","Fort Worth, TX 76162",https://www.texas-drilling.com/operators/bosque-disposal-systems-llc/083268
086335,"BRADEN EXPLORATION, LLC","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/braden-exploration-llc/086335
088595,"BRAMMER ENGINEERING, INC.","Shreveport, LA 71101",https://www.texas-drilling.com/operators/brammer-engineering-inc/088595
088600,"BRAMMER PETROLEUM, INC.","Gainesville, TX 76241",https://www.texas-drilling.com/operators/brammer-petroleum-inc/088600
089885,"BRAVO NATURAL RESOURCES, INC.","Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/bravo-natural-resources-inc/089885
090870,BRG LONE STAR LTD.,"Tulsa, OK 74136",https://www.texas-drilling.com/operators/brg-lone-star-ltd/090870
093352,"BRILEY OPERATING, LLC","Abilene, TX 79608",https://www.texas-drilling.com/operators/briley-operating-llc/093352
093459,"BRISCOE, C. L. ESTATE","Krum, TX 76249",https://www.texas-drilling.com/operators/briscoe-c-l-estate/093459
