Lease Number,Lease Name,Operator Name,Lease Link
040209,BCE-MACH III LLC,"Oklahoma City, OK 73134",https://www.texas-drilling.com/operators/bce-mach-iii-llc/040209
153429,CIMAREX ENERGY CO. OF COLORADO,"Midland, TX 79706",https://www.texas-drilling.com/operators/cimarex-energy-co-of-colorado/153429
268991,"FIRST EXPLORATION, LTD.","Amarillo, TX 79159",https://www.texas-drilling.com/operators/first-exploration-ltd/268991
337106,GRUY PETROLEUM MANAGEMENT CO.,"Irving, TX 75014",https://www.texas-drilling.com/operators/gruy-petroleum-management-co/337106
451440,KASLE ENERGY INC.,"Cross Plains, TX 76443",https://www.texas-drilling.com/operators/kasle-energy-inc/451440
561130,MERIDIAN OIL CORPORATION,"San Antonio, TX 78205",https://www.texas-drilling.com/operators/meridian-oil-corporation/561130
561132,MERIDIAN OIL INC.,"Houston, TX 77210",https://www.texas-drilling.com/operators/meridian-oil-inc/561132
677225,PRIDE PIPELINE COMPANY,"Abilene, TX 79604",https://www.texas-drilling.com/operators/pride-pipeline-company/677225
684634,QUESTA ENERGY CORPORATION,"Amarillo, TX 79159",https://www.texas-drilling.com/operators/questa-energy-corporation/684634
760218,SCOUT ENERGY MANAGEMENT LLC,"Dallas, TX 75240",https://www.texas-drilling.com/operators/scout-energy-management-llc/760218
823348,STONE & WEBSTER ENGINEERING CORP,"Amarillo, TX 79105",https://www.texas-drilling.com/operators/stone-webster-engineering-corp/823348
830240,SUOCO OIL CORP.,"Pampa, TX 79066",https://www.texas-drilling.com/operators/suoco-oil-corp/830240
877530,"UNITED PETROSEARCH, INC.","Beverly Hills, CA 90212",https://www.texas-drilling.com/operators/united-petrosearch-inc/877530
932460,WINN EXPLORATION/DULCE COMPANY,"Eagle Pass, TX 78853",https://www.texas-drilling.com/operators/winn-exploration-dulce-company/932460
