Lease Number,Lease Name,Operator Name,Lease Link
953620,2-C OIL & GAS,"Rising Star, TX 76471",https://www.texas-drilling.com/operators/2-c-oil-gas/953620
953796,"3 S PRODUCTION, INC.","Cisco, TX 76437",https://www.texas-drilling.com/operators/3-s-production-inc/953796
857420,3-B OIL,"Lovington, NM 88260",https://www.texas-drilling.com/operators/3-b-oil/857420
953723,5-H OIL INC.,"Texarkana, TX 75503",https://www.texas-drilling.com/operators/5-h-oil-inc/953723
953780,5-N ENERGY,"Winnsboro, TX 75494",https://www.texas-drilling.com/operators/5-n-energy/953780
988752,9K INVESTMENTS LLC,"Cisco, TX 76437",https://www.texas-drilling.com/operators/9k-investments-llc/988752
000192,A & B OIL & GAS,"Round Rock, TX 78681",https://www.texas-drilling.com/operators/a-b-oil-gas/000192
000187,A & D OIL,"Cisco, TX 76437",https://www.texas-drilling.com/operators/a-d-oil/000187
000189,"A & D PETROLEUM COMPANY, INC.","College Sta, TX 77845",https://www.texas-drilling.com/operators/a-d-petroleum-company-inc/000189
000161,A-B PRODUCTION COMPANY,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/a-b-production-company/000161
000675,A. W. S. PETROLEUM COMPANY,"San Angelo, TX 76906",https://www.texas-drilling.com/operators/a-w-s-petroleum-company/000675
000190,"A.E.N. ENERGY, INC.","Abilene, TX 79608",https://www.texas-drilling.com/operators/a-e-n-energy-inc/000190
002560,"ABEREGG, L. T.","Abilene, TX 79604",https://www.texas-drilling.com/operators/aberegg-l-t/002560
002600,"ABEREGG, R.D.","Carbon, TX 76435",https://www.texas-drilling.com/operators/aberegg-r-d/002600
002611,"ABERNATHY AUTO, INC.","Abilene, TX 79604",https://www.texas-drilling.com/operators/abernathy-auto-inc/002611
002635,ABILENE OIL & GAS CO.,"Abilene, TX 79604",https://www.texas-drilling.com/operators/abilene-oil-gas-co/002635
002753,ABILENE PETROLEUM LAND SER. CO.,"Abilene, TX 79601",https://www.texas-drilling.com/operators/abilene-petroleum-land-ser-co/002753
003590,ACME PRODUCTION CO. OF ABILENE,"Abilene, TX 79606",https://www.texas-drilling.com/operators/acme-production-co-of-abilene/003590
000183,"ACR EXPLORATION, INC.","Fort Worth, TX 76112",https://www.texas-drilling.com/operators/acr-exploration-inc/000183
003966,ADAIR RESOURCES INC.,"Ennis, TX 75120",https://www.texas-drilling.com/operators/adair-resources-inc/003966
008235,ADLER PETROLEUM COMPANY,"Irving, TX 75060",https://www.texas-drilling.com/operators/adler-petroleum-company/008235
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",https://www.texas-drilling.com/operators/adobe-oil-gas-corp/008380
008482,ADVANCE EXPLORATION,"Abilene, TX 79601",https://www.texas-drilling.com/operators/advance-exploration/008482
014994,ALLSTATE PETROLEUM OPER. INC.,"Cross Plains, TX 76443",https://www.texas-drilling.com/operators/allstate-petroleum-oper-inc/014994
016886,AMBRIT ENERGY CORP.,"Garland, TX 75044",https://www.texas-drilling.com/operators/ambrit-energy-corp/016886
018014,"AMERICAN FOSSIL ENERGY, INC.","Dallas, TX 75231",https://www.texas-drilling.com/operators/american-fossil-energy-inc/018014
019738,AMERICAN WEST,"Burkett, TX 76828",https://www.texas-drilling.com/operators/american-west/019738
019765,AMERITECH OIL & GAS CORPORATION,"Dallas, TX 75248",https://www.texas-drilling.com/operators/ameritech-oil-gas-corporation/019765
019779,AMES OIL,"Cross Plains, TX 76443",https://www.texas-drilling.com/operators/ames-oil/019779
019793,"AMES, TOM","Rising Star, TX 76471",https://www.texas-drilling.com/operators/ames-tom/019793
020513,"AMT RESOURCES, INC.","Cisco, TX 76437",https://www.texas-drilling.com/operators/amt-resources-inc/020513
020535,"AMV OPERATING, INC.","Lawton, OK 73502",https://www.texas-drilling.com/operators/amv-operating-inc/020535
020586,ANAMCO INCORPORATED,"Midland, TX 79708",https://www.texas-drilling.com/operators/anamco-incorporated/020586
022922,ANDERSON PRODUCTION,"Cisco, TX 76437",https://www.texas-drilling.com/operators/anderson-production/022922
021802,"ANDERSON, E. D.","Cisco, TX 76437",https://www.texas-drilling.com/operators/anderson-e-d/021802
023900,ANDOVER OIL COMPANY,"Tulsa, OK 74136",https://www.texas-drilling.com/operators/andover-oil-company/023900
024390,"ANDREWS, LAVERNE","Cisco, TX 76437",https://www.texas-drilling.com/operators/andrews-laverne/024390
026200,"ANTHONY EXPLORATION, INC.","Abilene, TX 79604",https://www.texas-drilling.com/operators/anthony-exploration-inc/026200
027897,"APPLE, NATHAN L.","Louisburg, KS 66053",https://www.texas-drilling.com/operators/apple-nathan-l/027897
028882,ARCHER PETROLEUM,"Frisco, TX 75034",https://www.texas-drilling.com/operators/archer-petroleum/028882
030127,"ARIES OPERATING, INC.","Abilene, TX 79604",https://www.texas-drilling.com/operators/aries-operating-inc/030127
030130,"ARIES PETROLEUM, INC.","Abilene, TX 79604",https://www.texas-drilling.com/operators/aries-petroleum-inc/030130
030796,ARKHOMA OIL CO.,"De Queen, AR 71832",https://www.texas-drilling.com/operators/arkhoma-oil-co/030796
030820,ARLEDGE PETROLEUM CORP.,"Weatherford, TX 76086",https://www.texas-drilling.com/operators/arledge-petroleum-corp/030820
033012,"ARNOT OIL COMPANY, LLC","Breckenridge, TX 76424",https://www.texas-drilling.com/operators/arnot-oil-company-llc/033012
033000,"ARNOT, W. G., JR.","Breckenridge, TX 76424",https://www.texas-drilling.com/operators/arnot-w-g-jr/033000
033707,ARTEX OIL COMPANY,"Santa Barbara, CA 93105",https://www.texas-drilling.com/operators/artex-oil-company/033707
033740,"ARTHUR, LYMAN","Holliday, TX 76366",https://www.texas-drilling.com/operators/arthur-lyman/033740
033910,"ASCOT OILS, INC.","Fort Worth, TX 76107",https://www.texas-drilling.com/operators/ascot-oils-inc/033910
034150,ASHBROOK OIL CO.,"Big Spring, TX 79721",https://www.texas-drilling.com/operators/ashbrook-oil-co/034150
035575,ASSOCIATED OPERATING & EXPLOR.,"Dallas, TX 75243",https://www.texas-drilling.com/operators/associated-operating-explor/035575
035619,"AT OIL & GAS, LLC","Eastland, TX 76448",https://www.texas-drilling.com/operators/at-oil-gas-llc/035619
036068,ATKINSON & FRASER,"Abilene, TX 79604",https://www.texas-drilling.com/operators/atkinson-fraser/036068
036589,"ATMOS ENERGY CORP., MID-TEX DIV.","Dallas, TX 75222",https://www.texas-drilling.com/operators/atmos-energy-corp-mid-tex-div/036589
036599,ATMOS PIPELINE - TEXAS,"Dallas, TX 75240",https://www.texas-drilling.com/operators/atmos-pipeline-texas/036599
036630,"ATWELL OIL CO., INC.","Cross Plains, TX 76443",https://www.texas-drilling.com/operators/atwell-oil-co-inc/036630
036746,AU-NA OIL & GAS,"Cisco, TX 76437",https://www.texas-drilling.com/operators/au-na-oil-gas/036746
036930,AUSANKA OIL OPERATIONS,"Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/ausanka-oil-operations/036930
037103,"AUSTIN ENERGY OPERATIONS, INC.","Corpus Chrsti, TX 78410",https://www.texas-drilling.com/operators/austin-energy-operations-inc/037103
037115,"AUSTIN, H. E.","Eastland, TX 76448",https://www.texas-drilling.com/operators/austin-h-e/037115
037250,AUSTIN-PENCE EXPLORATION CO INC,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/austin-pence-exploration-co-inc/037250
039776,B & B ENERGY COMPANY,"Dallas, TX 75207",https://www.texas-drilling.com/operators/b-b-energy-company/039776
039791,"B & B OIL, INC.","Kerrville, TX 78028",https://www.texas-drilling.com/operators/b-b-oil-inc/039791
039801,B & B OPERATING COMPANY,"Odessa, TX 79760",https://www.texas-drilling.com/operators/b-b-operating-company/039801
040144,B & D ENTERPRISES,"Breckenridge, TX 76424",https://www.texas-drilling.com/operators/b-d-enterprises/040144
040445,B & G OIL VENTURES,"Irving, TX 75060",https://www.texas-drilling.com/operators/b-g-oil-ventures/040445
040718,B & L OPERATING CO.,"Hamilton, TX 76531",https://www.texas-drilling.com/operators/b-l-operating-co/040718
041985,B & W EXPLORATION,"Gorman, TX 76454",https://www.texas-drilling.com/operators/b-w-exploration/041985
039786,B&B INVESTMENTS,"Ranger, TX 76470",https://www.texas-drilling.com/operators/b-b-investments/039786
042192,B-W OIL,"Cisco, TX 76437",https://www.texas-drilling.com/operators/b-w-oil/042192
042398,BACON ENERGY,"Ranger, TX 76470",https://www.texas-drilling.com/operators/bacon-energy/042398
042430,BADGETT OIL CORPORATION,"Fort Worth, TX 76124",https://www.texas-drilling.com/operators/badgett-oil-corporation/042430
042442,BAGGETT EXPLORATION CO.,"Mineral Wells, TX 76067",https://www.texas-drilling.com/operators/baggett-exploration-co/042442
048164,BALL PRODUCING CO.,"Eastland, TX 76448",https://www.texas-drilling.com/operators/ball-producing-co/048164
048357,"BAM OPERATING, INC.","Eastland, TX 76448",https://www.texas-drilling.com/operators/bam-operating-inc/048357
048368,"BANDERA ENERGY, INC.","Abilene, TX 79602",https://www.texas-drilling.com/operators/bandera-energy-inc/048368
048367,"BANDERA PETROLEUM, INC.","Abilene, TX 79606",https://www.texas-drilling.com/operators/bandera-petroleum-inc/048367
048529,BANNER,"Graham, TX 76450",https://www.texas-drilling.com/operators/banner/048529
049751,"BAR M PETROLEUM CO., INC.","San Antonio, TX 78217",https://www.texas-drilling.com/operators/bar-m-petroleum-co-inc/049751
049763,BAR OPERATING PRODUCTION CO.,"Abilene, TX 79604",https://www.texas-drilling.com/operators/bar-operating-production-co/049763
049170,BARCO OIL & GAS CO.,"Houston, TX 77098",https://www.texas-drilling.com/operators/barco-oil-gas-co/049170
049255,"BARGSLEY, COY","Abilene, TX 79603",https://www.texas-drilling.com/operators/bargsley-coy/049255
050854,"BARNETT OPERATING, INC.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/barnett-operating-inc/050854
053003,"BARRACUDA CROWN EXPLORATION, INC","Weatherford, TX 76086",https://www.texas-drilling.com/operators/barracuda-crown-exploration-inc/053003
056536,"BAXTER, KELLY H. OIL AND GAS CO.","Austin, TX 78767",https://www.texas-drilling.com/operators/baxter-kelly-h-oil-and-gas-co/056536
058843,"BAYMARK RESOURCES #88-1, LTD","Mobile, AL 36606",https://www.texas-drilling.com/operators/baymark-resources-88-1-ltd/058843
058854,BAYOU BASIN OIL & GAS CORP.,"Unknown, XX 99999",https://www.texas-drilling.com/operators/bayou-basin-oil-gas-corp/058854
058851,"BAYOU OPERATING COMPANY, INC.","Abilene, TX 79608",https://www.texas-drilling.com/operators/bayou-operating-company-inc/058851
060138,"BEAR SPRINGS OIL & GAS, L.L.C","Gorman, TX 76454",https://www.texas-drilling.com/operators/bear-springs-oil-gas-l-l-c/060138
061173,"BECKER, MAX","Thousand Oaks, CA 91320",https://www.texas-drilling.com/operators/becker-max/061173
061600,"BEDFORD OIL & GAS, INC.","Luling, TX 78648",https://www.texas-drilling.com/operators/bedford-oil-gas-inc/061600
062659,"BELCHER, B.J. OIL & GAS PRODUCER","Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/belcher-b-j-oil-gas-producer/062659
062690,BELCOR INC.,"Irvine, CA 92714",https://www.texas-drilling.com/operators/belcor-inc/062690
063720,"BELLER PRODUCTION, INC.","San Angelo, TX 76902",https://www.texas-drilling.com/operators/beller-production-inc/063720
064115,BEND ARCH OIL & GAS INC.,"Abilene, TX 79605",https://www.texas-drilling.com/operators/bend-arch-oil-gas-inc/064115
064155,BENDORF SERVICES & SUPPLY CO,"Breckenridge, TX 76424",https://www.texas-drilling.com/operators/bendorf-services-supply-co/064155
064170,"BENDORF, OTTO","Breckenridge, TX 76424",https://www.texas-drilling.com/operators/bendorf-otto/064170
064250,BENGAL GAS TRANSMISSION CO.,"San Antonio, TX 78209",https://www.texas-drilling.com/operators/bengal-gas-transmission-co/064250
064775,"BENNETT, GARY LYNN","Lubbock, TX 79490",https://www.texas-drilling.com/operators/bennett-gary-lynn/064775
064610,"BENNETT, GUINN & LACEY, INC.","Arlington, TX 76010",https://www.texas-drilling.com/operators/bennett-guinn-lacey-inc/064610
065970,"BENSON & SCHOEN OIL CO., INC.","Abilene, TX 79602",https://www.texas-drilling.com/operators/benson-schoen-oil-co-inc/065970
067245,"BERGEN ENTERPRISES, INC.","Goldthwaite, TX 76844",https://www.texas-drilling.com/operators/bergen-enterprises-inc/067245
067585,BERKUT CORPORATION,"Holliday, TX 76366",https://www.texas-drilling.com/operators/berkut-corporation/067585
068146,"BERRY EXPLORATION, INC.","Chandler, TX 75758",https://www.texas-drilling.com/operators/berry-exploration-inc/068146
068292,"BEST WESTERN OIL AND GAS, INC.","Abilene, TX 79605",https://www.texas-drilling.com/operators/best-western-oil-and-gas-inc/068292
068317,"BETA PRODUCTION, INC.","San Angelo, TX 76902",https://www.texas-drilling.com/operators/beta-production-inc/068317
068405,BETWELL OIL & GAS COMPANY,"Hialeah, FL 33002",https://www.texas-drilling.com/operators/betwell-oil-gas-company/068405
069225,"BIG COUNTRY EXP., INC.","Abilene, TX 79601",https://www.texas-drilling.com/operators/big-country-exp-inc/069225
069490,"BIG M OIL COMPANY, INC.","Eastland, TX 76448",https://www.texas-drilling.com/operators/big-m-oil-company-inc/069490
070450,"BIG STATE INDUSTRIES, INC.","Houston, TX 77010",https://www.texas-drilling.com/operators/big-state-industries-inc/070450
070709,"BIG TIO, INC.","Coleman, TX 76834",https://www.texas-drilling.com/operators/big-tio-inc/070709
070788,"BILBO WIRELINE SERVICE, INC.","Abilene, TX 79603",https://www.texas-drilling.com/operators/bilbo-wireline-service-inc/070788
070840,"BILHARTZ OPERATING COMPANY, INC.","Dallas, TX 75206",https://www.texas-drilling.com/operators/bilhartz-operating-company-inc/070840
070875,"BILMAC OIL CO., INC.","Abilene, TX 79601",https://www.texas-drilling.com/operators/bilmac-oil-co-inc/070875
071325,"BINT, LYNN","Merkel, TX 79536",https://www.texas-drilling.com/operators/bint-lynn/071325
071330,"BINT, LYNN PETROLEUM COMPANY","Cisco, TX 76437",https://www.texas-drilling.com/operators/bint-lynn-petroleum-company/071330
072399,"BIRGE, JIM","Arlington, TX 76013",https://www.texas-drilling.com/operators/birge-jim/072399
072402,"BIRGE, JIM OIL & GAS","Arlington, TX 76013",https://www.texas-drilling.com/operators/birge-jim-oil-gas/072402
072556,"BITZ, M. J. COMPANY","Fort Worth, TX 76116",https://www.texas-drilling.com/operators/bitz-m-j-company/072556
072511,BJB TRANSPORT LLC,"Woodson, TX 76491",https://www.texas-drilling.com/operators/bjb-transport-llc/072511
072611,BLACK DIAMOND,"Breckenridge, TX 76424",https://www.texas-drilling.com/operators/black-diamond/072611
072647,BLACK GOLD PETROLEUM CO. (A),"Fort Worth, TX 76108",https://www.texas-drilling.com/operators/black-gold-petroleum-co-a/072647
102442,BLACKBIRD R 22 OG L.L.C.,"Eastland, TX 76448",https://www.texas-drilling.com/operators/blackbird-r-22-og-l-l-c/102442
074600,"BLAKLEY, H. J.","Albany, TX 76430",https://www.texas-drilling.com/operators/blakley-h-j/074600
074782,BLANCO INDUSTRIES INC,"Dripping SPGS, TX 78620",https://www.texas-drilling.com/operators/blanco-industries-inc/074782
076747,"BLUE DIAMOND EXPLORATION, INC.","Kingwood, TX 77345",https://www.texas-drilling.com/operators/blue-diamond-exploration-inc/076747
076782,"BLUE RIDGE RESOURCES, LLC","Midland, TX 79710",https://www.texas-drilling.com/operators/blue-ridge-resources-llc/076782
076859,"BLUFF CREEK PETROLEUM, LLC","Abilene, TX 79603",https://www.texas-drilling.com/operators/bluff-creek-petroleum-llc/076859
077555,"BMW RESOURCES, INC.","Jacksboro, TX 76458",https://www.texas-drilling.com/operators/bmw-resources-inc/077555
