Lease Number,Lease Name,Operator Name,Lease Link
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/3-t-exploration-inc/953682
000921,"ABB OIL CO., INC.","Wichita Falls, TX 76310",https://www.texas-drilling.com/operators/abb-oil-co-inc/000921
003568,"ACIERTO RESOURCES COMPANY, LLC","Houston, TX 77070",https://www.texas-drilling.com/operators/acierto-resources-company-llc/003568
015123,ALPHA EXPLORATION CO.,"Wichita Falls, TX 76309",https://www.texas-drilling.com/operators/alpha-exploration-co/015123
015138,ALPINE PETROLEUM,"Abilene, TX 79608",https://www.texas-drilling.com/operators/alpine-petroleum/015138
015728,"ALTEX RESOURCES, INC.","Carney, OK 74832",https://www.texas-drilling.com/operators/altex-resources-inc/015728
020452,AMOT OPERATING COMPANY,"Graham, TX 76450",https://www.texas-drilling.com/operators/amot-operating-company/020452
020535,"AMV OPERATING, INC.","Lawton, OK 73502",https://www.texas-drilling.com/operators/amv-operating-inc/020535
029870,ARGONAUT ENERGY CORPORATION,"New Orleans, LA 70112",https://www.texas-drilling.com/operators/argonaut-energy-corporation/029870
053125,"BARRETT, OLGA PETROLEUM PRODUCER","Abilene, TX 79604",https://www.texas-drilling.com/operators/barrett-olga-petroleum-producer/053125
053950,BARUCH-FOSTER CORPORATION,"Oklahoma City, OK 73126",https://www.texas-drilling.com/operators/baruch-foster-corporation/053950
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/bass-enterprises-production-co/054700
062673,BELCO ENERGY CORP.,"Dallas, TX 75231",https://www.texas-drilling.com/operators/belco-energy-corp/062673
065320,"BENNETT RESOURCES, INC.","Graham, TX 76450",https://www.texas-drilling.com/operators/bennett-resources-inc/065320
066010,"BENTLEY, CHARLES H.","Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/bentley-charles-h/066010
068095,"BERRY, GUS","Okmulgee, OK 74447",https://www.texas-drilling.com/operators/berry-gus/068095
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",https://www.texas-drilling.com/operators/bettis-boyle-stovall/068360
073027,"BLACKBRUSH O & G, INC.","San Antonio, TX 78258",https://www.texas-drilling.com/operators/blackbrush-o-g-inc/073027
073059,"BLACKBRUSH O & G, LLC","San Antonio, TX 78259",https://www.texas-drilling.com/operators/blackbrush-o-g-llc/073059
081090,BOLIN OIL COMPANY,"Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/bolin-oil-company/081090
092480,BRIDWELL OIL CO.,"Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/bridwell-oil-co/092480
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",https://www.texas-drilling.com/operators/buffco-production-inc/106406
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/burk-royalty-company/108800
110016,"BURNETT OIL CO., INC.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/burnett-oil-co-inc/110016
111017,BURNS PETROLEUM,"Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/burns-petroleum/111017
120587,"C&M OPERATING, INC.","Abilene, TX 79604",https://www.texas-drilling.com/operators/c-m-operating-inc/120587
141150,"CENTEX OIL & GAS, INCORPORATED","Dallas, TX 75231",https://www.texas-drilling.com/operators/centex-oil-gas-incorporated/141150
141590,CENTURION OIL & GAS OP. CO. INC.,"Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/centurion-oil-gas-op-co-inc/141590
144170,"CHANCE OIL CO., INC.","Vernon, TX 76385",https://www.texas-drilling.com/operators/chance-oil-co-inc/144170
144410,CHANOCO CORPORATION,"San Antonio, TX 78205",https://www.texas-drilling.com/operators/chanoco-corporation/144410
146661,"CHARTER ENERGY, INC.","Dallas, TX 75211",https://www.texas-drilling.com/operators/charter-energy-inc/146661
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/chesapeake-operating-inc/147715
148260,"CHILDERS, CHARLES M.","Abilene, TX 79605",https://www.texas-drilling.com/operators/childers-charles-m/148260
149454,"CHISHOLM OPERATING, INC.","Abilene, TX 79606",https://www.texas-drilling.com/operators/chisholm-operating-inc/149454
159376,"CLEAR BROOKE RANCHES, LLC","Fort Worth, TX 76179",https://www.texas-drilling.com/operators/clear-brooke-ranches-llc/159376
159500,"CLEAR FORK, INCORPORATED","Abilene, TX 79604",https://www.texas-drilling.com/operators/clear-fork-incorporated/159500
164448,"CODA ENERGY, INC.","Dallas, TX 75231",https://www.texas-drilling.com/operators/coda-energy-inc/164448
170037,"COMSTOCK ENERGY, LLC","Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/comstock-energy-llc/170037
179445,CORPENING ENTERPRISES,"Fort Worth, TX 76109",https://www.texas-drilling.com/operators/corpening-enterprises/179445
180200,CORVETTE OIL CORPORATION,"Fort Worth, TX 76115",https://www.texas-drilling.com/operators/corvette-oil-corporation/180200
190940,CROUCH PETROLEUM COMPANY,"Amarillo, TX 79110",https://www.texas-drilling.com/operators/crouch-petroleum-company/190940
221662,"D.L.B. OIL & GAS, INC.","Oklahoma City, OK 73118",https://www.texas-drilling.com/operators/d-l-b-oil-gas-inc/221662
200625,DARNELL ENGINEERING CORP.,"Kingwood, TX 77325",https://www.texas-drilling.com/operators/darnell-engineering-corp/200625
209380,"DECLEVA, PAUL","Wichita Falls, TX 76302",https://www.texas-drilling.com/operators/decleva-paul/209380
212175,"DELFIN OPERATING, LLC","Dallas, TX 75243",https://www.texas-drilling.com/operators/delfin-operating-llc/212175
216517,DERRICK PETROLEUM INC.,"Odessa, TX 79761",https://www.texas-drilling.com/operators/derrick-petroleum-inc/216517
229350,DRY FORK PRODUCTION CO,"Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/dry-fork-production-co/229350
229319,"DRY FORK PRODUCTION CO., LLC","Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/dry-fork-production-co-llc/229319
238207,"E.L.A., INC.","Abilene, TX 79603",https://www.texas-drilling.com/operators/e-l-a-inc/238207
238632,"EAGLE EXPLORATION CO., INC.","Amarillo, TX 79105",https://www.texas-drilling.com/operators/eagle-exploration-co-inc/238632
