Lease Number,Lease Name,Operator Name,Lease Link
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",https://www.texas-drilling.com/operators/3tec-energy-corporation/953592
001641,ABER OIL & GAS CO.,"Tyler, TX 75702",https://www.texas-drilling.com/operators/aber-oil-gas-co/001641
003735,ADA BELLE OIL & GAS COMPANY,"Sourlake, TX 77659",https://www.texas-drilling.com/operators/ada-belle-oil-gas-company/003735
005350,ADAMS EXPLORATION CO.,"Tulsa, OK 74147",https://www.texas-drilling.com/operators/adams-exploration-co/005350
010070,ALAMO PET. CO.,"Houston, TX 77042",https://www.texas-drilling.com/operators/alamo-pet-co/010070
010450,"ALARON ENERGY, INC.","Irving, TX 75038",https://www.texas-drilling.com/operators/alaron-energy-inc/010450
013240,ALL AMERICAN PETROLEUM CORP.,"Dallas, TX 75206",https://www.texas-drilling.com/operators/all-american-petroleum-corp/013240
014573,ALLISON/HOBBS INC.,"Alba, TX 75410",https://www.texas-drilling.com/operators/allison-hobbs-inc/014573
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",https://www.texas-drilling.com/operators/amax-oil-gas-inc/016859
016860,AMAX PETROLEUM CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/amax-petroleum-corporation/016860
017900,"AMERICAN CASCADE ENERGY, INC.","Barker, TX 77413",https://www.texas-drilling.com/operators/american-cascade-energy-inc/017900
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/american-cometra-inc/018008
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/american-exploration-company/018023
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",https://www.texas-drilling.com/operators/american-petrofina-co-of-tex/018900
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
020528,ANADARKO E&P ONSHORE LLC,"Houston, TX 77046",https://www.texas-drilling.com/operators/anadarko-e-p-onshore-llc/020528
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-petroleum-corporation/020572
027049,"AP OPERATING, INC.","Plano, TX 75074",https://www.texas-drilling.com/operators/ap-operating-inc/027049
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
028724,ARCADIA EXPL. & PROD. COMPANY,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/arcadia-expl-prod-company/028724
028730,ARCADIA REFINING CO.,"Tyler, TX 75701",https://www.texas-drilling.com/operators/arcadia-refining-co/028730
033521,ARROWHEAD OPERATING INC.,"Argyle, TX 76226",https://www.texas-drilling.com/operators/arrowhead-operating-inc/033521
036562,"ATLANTIS OIL COMPANY, INC.","Tyler, TX 75701",https://www.texas-drilling.com/operators/atlantis-oil-company-inc/036562
039134,"AXIO NATURAL RESOURCES, INC","Tulsa, OK 74103",https://www.texas-drilling.com/operators/axio-natural-resources-inc/039134
039141,"AXIO PRODUCTION COMPANY, L.P.","Tulsa, OK 74103",https://www.texas-drilling.com/operators/axio-production-company-l-p/039141
046290,BAKER LEASING,"Longview, TX 75615",https://www.texas-drilling.com/operators/baker-leasing/046290
048169,"BALLARD EXPLORATION COMPANY,INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/ballard-exploration-company-inc/048169
053321,BARROW-SHAVER RESOURCES CO.,"Tyler, TX 75703",https://www.texas-drilling.com/operators/barrow-shaver-resources-co/053321
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",https://www.texas-drilling.com/operators/basa-resources-inc/053974
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/basic-energy-services-l-p/054313
054376,BASIN ENERGY,"Hanford, CA 93230",https://www.texas-drilling.com/operators/basin-energy/054376
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/bass-enterprises-production-co/054700
068154,"BERRY,PHILIP B.OPERATING CO.INC.","Tyler, TX 75710",https://www.texas-drilling.com/operators/berry-philip-b-operating-co-inc/068154
068580,BHB OPERATING INC.,"Fort Worth, TX 76137",https://www.texas-drilling.com/operators/bhb-operating-inc/068580
070370,BIG RUN PRODUCTION COMPANY,"Tyler, TX 75701",https://www.texas-drilling.com/operators/big-run-production-company/070370
072547,BISHOP PETROLEUM INC.,"Houston, TX 77007",https://www.texas-drilling.com/operators/bishop-petroleum-inc/072547
075677,BLEDSOE PETRO CORPORATION,"Dallas, TX 75201",https://www.texas-drilling.com/operators/bledsoe-petro-corporation/075677
075790,BLOCKER EXPLORATION CO.,"Houston, TX 77079",https://www.texas-drilling.com/operators/blocker-exploration-co/075790
075375,"BLOUNT, C. L.","Dallas, TX 75238",https://www.texas-drilling.com/operators/blount-c-l/075375
076772,BLUE STAR OPERATING COMPANY,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/blue-star-operating-company/076772
081550,"BOMAR OIL & GAS, INC.","Dallas, TX 75206",https://www.texas-drilling.com/operators/bomar-oil-gas-inc/081550
084411,"BOWMAN, WESLEY","Kopperl, TX 76652",https://www.texas-drilling.com/operators/bowman-wesley/084411
084600,"BOYD, DICK","Olney, TX 76374",https://www.texas-drilling.com/operators/boyd-dick/084600
088595,"BRAMMER ENGINEERING, INC.","Shreveport, LA 71101",https://www.texas-drilling.com/operators/brammer-engineering-inc/088595
088620,"BRANDON ENERGY, INC.","Bullard, TX 75757",https://www.texas-drilling.com/operators/brandon-energy-inc/088620
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",https://www.texas-drilling.com/operators/breck-operating-corp/089974
090732,BREITBURN OPERATING L.P.,"Houston, TX 77002",https://www.texas-drilling.com/operators/breitburn-operating-l-p/090732
090870,BRG LONE STAR LTD.,"Tulsa, OK 74136",https://www.texas-drilling.com/operators/brg-lone-star-ltd/090870
090874,BRG PETROLEUM CORPORATION,"Tulsa, OK 74136",https://www.texas-drilling.com/operators/brg-petroleum-corporation/090874
090873,"BRG PETROLEUM, INC.","Tulsa, OK 74136",https://www.texas-drilling.com/operators/brg-petroleum-inc/090873
093548,BRISTOL RESOURCES CORPORATION,"Tulsa, OK 74170",https://www.texas-drilling.com/operators/bristol-resources-corporation/093548
097323,BROOKS PETROLEUM COMPANY,"Tyler, TX 75703",https://www.texas-drilling.com/operators/brooks-petroleum-company/097323
097326,BROOKS PIPE & SUPPLY CO.,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/brooks-pipe-supply-co/097326
097035,"BROOKS, E. B., JR.","Dallas, TX 75206",https://www.texas-drilling.com/operators/brooks-e-b-jr/097035
097479,BROUGHTON OPERATING CORP.,"Pittsburgh, PA 15219",https://www.texas-drilling.com/operators/broughton-operating-corp/097479
101390,BROWN OIL & GAS CO.,"Mexia, TX 76667",https://www.texas-drilling.com/operators/brown-oil-gas-co/101390
098195,"BROWN, C. L., III","Corsicana, TX 75151",https://www.texas-drilling.com/operators/brown-c-l-iii/098195
099955,"BROWN, GEO. R PARTNERSHIP,LP,THE","Houston, TX 77002",https://www.texas-drilling.com/operators/brown-geo-r-partnership-lp-the/099955
099980,"BROWN, GEORGE R. PARTNERSHIP,THE","Houston, TX 77002",https://www.texas-drilling.com/operators/brown-george-r-partnership-the/099980
102550,"BROWN, TOM INC.","Dallas, TX 75240",https://www.texas-drilling.com/operators/brown-tom-inc/102550
104287,"BRYANT & CARR, INC.","Tyler, TX 75702",https://www.texas-drilling.com/operators/bryant-carr-inc/104287
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",https://www.texas-drilling.com/operators/buffco-production-inc/106406
108650,"BURGUNDY OIL & GAS, INC.","Midland, TX 79701",https://www.texas-drilling.com/operators/burgundy-oil-gas-inc/108650
108799,"BURK ROYALTY CO., LTD.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/burk-royalty-co-ltd/108799
