Lease Number,Lease Name,Operator Name,Lease Link
953825,"100 C & H OIL AND GAS, LLC","San Antonio, TX 78248",https://www.texas-drilling.com/operators/100-c-h-oil-and-gas-llc/953825
953562,"1776 ENERGY OPERATORS, LLC","Houston, TX 77070",https://www.texas-drilling.com/operators/1776-energy-operators-llc/953562
953828,2 D OIL & GAS LLC,"Refugio, TX 78377",https://www.texas-drilling.com/operators/2-d-oil-gas-llc/953828
953755,3 W INVESTMENTS,"Charlotte, TX 78011",https://www.texas-drilling.com/operators/3-w-investments/953755
953810,3 W INVESTMENTS LLC,"San Antonio, TX 78217",https://www.texas-drilling.com/operators/3-w-investments-llc/953810
953728,3-L DRILLING,"Abilene, TX 79605",https://www.texas-drilling.com/operators/3-l-drilling/953728
953706,3-M ENERGY CORPORATION,"San Angelo, TX 76902",https://www.texas-drilling.com/operators/3-m-energy-corporation/953706
000253,A.J.& M. OIL COMPANY,"Flatonia, TX 78941",https://www.texas-drilling.com/operators/a-j-m-oil-company/000253
000891,"AARONMARK SERVICES, LLC","New Braunfels, TX 78130",https://www.texas-drilling.com/operators/aaronmark-services-llc/000891
002611,"ABERNATHY AUTO, INC.","Abilene, TX 79604",https://www.texas-drilling.com/operators/abernathy-auto-inc/002611
003575,"ACIETEROS, LTD.","Austin, TX 78761",https://www.texas-drilling.com/operators/acieteros-ltd/003575
003594,"ACOCK ENGINEERING & ASSOC., INC.","Corpus Chrsti, TX 78401",https://www.texas-drilling.com/operators/acock-engineering-assoc-inc/003594
003595,ACOCK ENGINEERING & OPERATING CO,"Corpus Chrsti, TX 78463",https://www.texas-drilling.com/operators/acock-engineering-operating-co/003595
003596,ACOCK OPERATING LIMITED,"San Antonio, TX 78270",https://www.texas-drilling.com/operators/acock-operating-limited/003596
003608,"ACORN OIL & GAS, INC.","Orchard, TX 77464",https://www.texas-drilling.com/operators/acorn-oil-gas-inc/003608
003664,"ACTIVA RESOURCES, LLC","San Antonio, TX 78205",https://www.texas-drilling.com/operators/activa-resources-llc/003664
008477,"ADT INVESTMENTS, INC.","Austin, TX 78749",https://www.texas-drilling.com/operators/adt-investments-inc/008477
008528,"AERO-GEO ENERGY, INC.","San Antonio, TX 78216",https://www.texas-drilling.com/operators/aero-geo-energy-inc/008528
008571,AGAPE ENERGY INC.,"San Antonio, TX 78280",https://www.texas-drilling.com/operators/agape-energy-inc/008571
008625,"AGERON ENERGY, LLC","San Antonio, TX 78209",https://www.texas-drilling.com/operators/ageron-energy-llc/008625
010074,"ALAMO OPERATING COMPANY, L. C.","San Antonio, TX 78278",https://www.texas-drilling.com/operators/alamo-operating-company-l-c/010074
010076,"ALAMO TRANSPORT, INC.","Tyler, TX 75710",https://www.texas-drilling.com/operators/alamo-transport-inc/010076
010450,"ALARON ENERGY, INC.","Irving, TX 75038",https://www.texas-drilling.com/operators/alaron-energy-inc/010450
011200,ALCO DRLG. CO.,"Freer, TX 78357",https://www.texas-drilling.com/operators/alco-drlg-co/011200
014100,"ALLERCO, INC.","San Antonio, TX 78209",https://www.texas-drilling.com/operators/allerco-inc/014100
014120,"ALLERKAMP, ERNEST E.","Cotulla, TX 78014",https://www.texas-drilling.com/operators/allerkamp-ernest-e/014120
014475,ALLIED PRODUCTION CORP.,"Houston, TX 77063",https://www.texas-drilling.com/operators/allied-production-corp/014475
015730,ALTAIR ENERGY CORP.,"Tyler, TX 75702",https://www.texas-drilling.com/operators/altair-energy-corp/015730
100434,Alvarado 2014 LLC,"Houston, TX 77027",https://www.texas-drilling.com/operators/alvarado-2014-llc/100434
016551,"AMAC ENERGY, L.L.C.","The Woodlands, TX 77381",https://www.texas-drilling.com/operators/amac-energy-l-l-c/016551
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",https://www.texas-drilling.com/operators/amax-oil-gas-inc/016859
016881,"AMBASSADOR PETROLEUM, INC.","Katy, TX 77494",https://www.texas-drilling.com/operators/ambassador-petroleum-inc/016881
016884,AMBERTON EXPLORATION COMPANY,"Pleasanton, TX 78064",https://www.texas-drilling.com/operators/amberton-exploration-company/016884
017995,"AMERICAN DISPOSAL SERVICES,LTD","Marble Falls, TX 78654",https://www.texas-drilling.com/operators/american-disposal-services-ltd/017995
017974,"AMERICAN EAGLE RESOURCES, INC.","San Antonio, TX 78217",https://www.texas-drilling.com/operators/american-eagle-resources-inc/017974
018060,AMERICAN HUNTER EXPLORATION LTD.,"Canada, 00100",https://www.texas-drilling.com/operators/american-hunter-exploration-ltd/018060
019754,AMERICANA FUEL TRUCKING,"Falfurrias, TX 78355",https://www.texas-drilling.com/operators/americana-fuel-trucking/019754
020463,AMPAK OIL COMPANY,"Plano, TX 75074",https://www.texas-drilling.com/operators/ampak-oil-company/020463
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-e-p-company-lp/020542
024342,ANDREWS OIL COMPANY,"Houston, TX 77279",https://www.texas-drilling.com/operators/andrews-oil-company/024342
026460,ANTICOE OIL & DEVELOPMENT CO.,"San Antonio, TX 78247",https://www.texas-drilling.com/operators/anticoe-oil-development-co/026460
026810,AOP OPERATING CORPORATION,"Dallas, TX 75313",https://www.texas-drilling.com/operators/aop-operating-corporation/026810
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
028724,ARCADIA EXPL. & PROD. COMPANY,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/arcadia-expl-prod-company/028724
029670,ARESCO OPERATING LLC,"Prosper, TX 75078",https://www.texas-drilling.com/operators/aresco-operating-llc/029670
029657,"ARETE OPERATING COMPANY, LLC","Austin, TX 78746",https://www.texas-drilling.com/operators/arete-operating-company-llc/029657
030575,"ARK ENERGY, INC.","Houston, TX 77056",https://www.texas-drilling.com/operators/ark-energy-inc/030575
033060,"ARPEL, INC.","Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/arpel-inc/033060
033103,"ARRCO OPERATING, LLC","Carrizo SPGS, TX 78834",https://www.texas-drilling.com/operators/arrco-operating-llc/033103
033189,ARROW EXPLORATION COMPANY,"Plano, TX 75075",https://www.texas-drilling.com/operators/arrow-exploration-company/033189
033200,ARROW PETROLEUM COMPANY,"San Antonio, TX 78209",https://www.texas-drilling.com/operators/arrow-petroleum-company/033200
034195,"ASHBY, ANDREW M.","Golden, CO 80401",https://www.texas-drilling.com/operators/ashby-andrew-m/034195
034240,ASHER PETROLEUM CORP.,"Dallas, TX 75214",https://www.texas-drilling.com/operators/asher-petroleum-corp/034240
034241,ASHER RESOURCES,"Boerne, TX 78006",https://www.texas-drilling.com/operators/asher-resources/034241
035060,"ASHTOLA EXPLORATION COMPANY,INC.","Amarillo, TX 79105",https://www.texas-drilling.com/operators/ashtola-exploration-company-inc/035060
035450,ASPEN SERVICES,"Dallas, TX 75201",https://www.texas-drilling.com/operators/aspen-services/035450
035631,"ASTRO PRODUCTION, INC.","San Antonio, TX 78216",https://www.texas-drilling.com/operators/astro-production-inc/035631
035638,"ATASCO, INC.","Pleasanton, TX 78064",https://www.texas-drilling.com/operators/atasco-inc/035638
036043,"ATERRA EXPLORATION, LLC","San Antonio, TX 78216",https://www.texas-drilling.com/operators/aterra-exploration-llc/036043
036567,"ATLANTIS ENERGY, INCORPORATED","Dallas, TX 75374",https://www.texas-drilling.com/operators/atlantis-energy-incorporated/036567
036574,ATLAS ENERGY CORPORATION (DEL.),"Oklahoma City, OK 73112",https://www.texas-drilling.com/operators/atlas-energy-corporation-del/036574
036742,"AUBURN ENTERPRISES, INC.","Kyle, TX 78640",https://www.texas-drilling.com/operators/auburn-enterprises-inc/036742
037056,AUSTIN OIL COMPANY,"San Antonio, TX 78213",https://www.texas-drilling.com/operators/austin-oil-company/037056
037875,AV-TECH RESOURCES CORPORATION,"Kerrville, TX 78028",https://www.texas-drilling.com/operators/av-tech-resources-corporation/037875
038705,AVIGHNA ENERGY INC,"Sugar Land, TX 77487",https://www.texas-drilling.com/operators/avighna-energy-inc/038705
