Lease Number,Lease Name,Operator Name,Lease Link
953706,3-M ENERGY CORPORATION,"San Angelo, TX 76902",https://www.texas-drilling.com/operators/3-m-energy-corporation/953706
000578,A & R RESOURCES,"Corpus Chrsti, TX 78411",https://www.texas-drilling.com/operators/a-r-resources/000578
000555,"A.O.E. OPERATORS, INC.","Fulshear, TX 77441",https://www.texas-drilling.com/operators/a-o-e-operators-inc/000555
003645,"AC EXPLORATION, LLC","Houston, TX 77024",https://www.texas-drilling.com/operators/ac-exploration-llc/003645
003526,"ACE FIELD SERVICES, INC.","Houston, TX 77036",https://www.texas-drilling.com/operators/ace-field-services-inc/003526
003598,"ACOCK/ANAQUA OPERATING CO., LC","Corpus Chrsti, TX 78401",https://www.texas-drilling.com/operators/acock-anaqua-operating-co-lc/003598
003599,"ACOCK/ANAQUA OPERATING CO., LP","Corpus Chrsti, TX 78401",https://www.texas-drilling.com/operators/acock-anaqua-operating-co-lp/003599
003664,"ACTIVA RESOURCES, LLC","San Antonio, TX 78205",https://www.texas-drilling.com/operators/activa-resources-llc/003664
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",https://www.texas-drilling.com/operators/adobe-oil-gas-corp/008380
008390,ADOBE OIL CO.,"Unknown, XX 99999",https://www.texas-drilling.com/operators/adobe-oil-co/008390
009115,"AIKMAN PETROLEUM, INC.","Amarillo, TX 79109",https://www.texas-drilling.com/operators/aikman-petroleum-inc/009115
009765,AL-TX OPERATING INC.,"Plum, TX 78952",https://www.texas-drilling.com/operators/al-tx-operating-inc/009765
010070,ALAMO PET. CO.,"Houston, TX 77042",https://www.texas-drilling.com/operators/alamo-pet-co/010070
012464,"ALGOA OPERATING COMPANY, LLC","Houston, TX 77077",https://www.texas-drilling.com/operators/algoa-operating-company-llc/012464
014464,ALLIED OPERATING COMPANY,"Houston, TX 77006",https://www.texas-drilling.com/operators/allied-operating-company/014464
015721,"ALTA MESA SERVICES, LP","Houston, TX 77084",https://www.texas-drilling.com/operators/alta-mesa-services-lp/015721
016945,AMEND ENERGY COMPANY,"Houston, TX 77227",https://www.texas-drilling.com/operators/amend-energy-company/016945
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/american-cometra-inc/018008
017997,AMERICAN DISCOVERY ENERGY INC,"Graham, TX 76450",https://www.texas-drilling.com/operators/american-discovery-energy-inc/017997
018870,AMERICAN OPERATING COMPANY,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/american-operating-company/018870
018890,"AMERICAN PENN ENERGY, INC.","Canada, 00100",https://www.texas-drilling.com/operators/american-penn-energy-inc/018890
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",https://www.texas-drilling.com/operators/american-petrofina-co-of-tex/018900
019356,"AMERICAN RESOURCES, INC.","Houston, TX 77079",https://www.texas-drilling.com/operators/american-resources-inc/019356
020215,AMINOIL USA INC.,"Midland, TX 79701",https://www.texas-drilling.com/operators/aminoil-usa-inc/020215
020445,AMOCO PRODUCTION CO.-ALVIN,"Sweeny, TX 77480",https://www.texas-drilling.com/operators/amoco-production-co-alvin/020445
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
020538,"AMX ENERGY, INC.","Tyler, TX 75701",https://www.texas-drilling.com/operators/amx-energy-inc/020538
025490,ANGLO PRODUCTION COMPANY,"Dallas, TX 75201",https://www.texas-drilling.com/operators/anglo-production-company/025490
025691,"ANTARA RESOURCES, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/antara-resources-inc/025691
028656,API OPERATING CO.,"Houston, TX 77036",https://www.texas-drilling.com/operators/api-operating-co/028656
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",https://www.texas-drilling.com/operators/arco-oil-gas-co/029340
030790,ARKLA EXPLORATION CO.,"Shreveport, LA 71151",https://www.texas-drilling.com/operators/arkla-exploration-co/030790
035452,ASPECT RESOURCES LLC,"Denver, CO 80202",https://www.texas-drilling.com/operators/aspect-resources-llc/035452
035643,"ATASCA RESOURCES, INC.","Houston, TX 77219",https://www.texas-drilling.com/operators/atasca-resources-inc/035643
039661,"AZIMUTH ENERGY, LLC","Denver, CO 80203",https://www.texas-drilling.com/operators/azimuth-energy-llc/039661
046641,"BAKER, R. L.","West Columbia, TX 77486",https://www.texas-drilling.com/operators/baker-r-l/046641
048153,"BALGOA, INC.","Beaumont, TX 77701",https://www.texas-drilling.com/operators/balgoa-inc/048153
048169,"BALLARD EXPLORATION COMPANY,INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/ballard-exploration-company-inc/048169
056580,"BAXTER, MURPHY H.","Houston, TX 77002",https://www.texas-drilling.com/operators/baxter-murphy-h/056580
068190,BERTMAN DRILLING&PRODUCING CORP.,"Liberty, TX 77575",https://www.texas-drilling.com/operators/bertman-drilling-producing-corp/068190
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",https://www.texas-drilling.com/operators/bettis-boyle-stovall/068360
070373,BIG SANDY OIL INC.,"Manchaca, TX 78652",https://www.texas-drilling.com/operators/big-sandy-oil-inc/070373
072547,BISHOP PETROLEUM INC.,"Houston, TX 77007",https://www.texas-drilling.com/operators/bishop-petroleum-inc/072547
072485,BLACK WATER ENVIRONMENTAL L.L.C.,"Texas City, TX 77590",https://www.texas-drilling.com/operators/black-water-environmental-l-l-c/072485
075790,BLOCKER EXPLORATION CO.,"Houston, TX 77079",https://www.texas-drilling.com/operators/blocker-exploration-co/075790
076776,"BLUE RIDGE OPERATING COMPANY,INC","Ashland, OR 97520",https://www.texas-drilling.com/operators/blue-ridge-operating-company-inc/076776
082993,BORDER EXPLORATION CO.,"Houston, TX 77046",https://www.texas-drilling.com/operators/border-exploration-co/082993
085408,BPX OPERATING COMPANY,"Denver, CO 80202",https://www.texas-drilling.com/operators/bpx-operating-company/085408
091093,"BRIDGE OIL COMPANY, L. P.","Midland, TX 79702",https://www.texas-drilling.com/operators/bridge-oil-company-l-p/091093
091085,"BRIDGE OIL PRODUCTION CO., INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/bridge-oil-production-co-inc/091085
093548,BRISTOL RESOURCES CORPORATION,"Tulsa, OK 74170",https://www.texas-drilling.com/operators/bristol-resources-corporation/093548
109338,BURLINGTON RESOURCES OIL&GAS CO.,"Houston, TX 77210",https://www.texas-drilling.com/operators/burlington-resources-oil-gas-co/109338
115750,BUTTES RESOURCES COMPANY,"Houston, TX 77056",https://www.texas-drilling.com/operators/buttes-resources-company/115750
121217,"CA-TEX PETROLEUM, INC.","Houston, TX 77058",https://www.texas-drilling.com/operators/ca-tex-petroleum-inc/121217
121930,CABOT CORP.,"Amarillo, TX 79105",https://www.texas-drilling.com/operators/cabot-corp/121930
124824,CALLON PETROLEUM CO.,"Natchez, MS 39120",https://www.texas-drilling.com/operators/callon-petroleum-co/124824
124828,CALLON PETROLEUM OPERATING CO,"Houston, TX 77042",https://www.texas-drilling.com/operators/callon-petroleum-operating-co/124828
130342,"CAPCO OFFSHORE OF TEXAS, INC.","Houston, TX 77056",https://www.texas-drilling.com/operators/capco-offshore-of-texas-inc/130342
130335,"CAPCO OFFSHORE, INC.","Irving, TX 75063",https://www.texas-drilling.com/operators/capco-offshore-inc/130335
130349,CAPCO OPERATING CORPORATION,"Irving, TX 75063",https://www.texas-drilling.com/operators/capco-operating-corporation/130349
130352,CAPCO RESOURCES CORPORATION,"Irving, TX 75016",https://www.texas-drilling.com/operators/capco-resources-corporation/130352
