Lease Number,Lease Name,Operator Name,Lease Link
953706,3-M ENERGY CORPORATION,"San Angelo, TX 76902",https://www.texas-drilling.com/operators/3-m-energy-corporation/953706
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/3-t-exploration-inc/953682
954992,"7S OIL & GAS, LLC","Midland, TX 79706",https://www.texas-drilling.com/operators/7s-oil-gas-llc/954992
000179,A C A PRODUCTION,"Snyder, TX 79549",https://www.texas-drilling.com/operators/a-c-a-production/000179
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",https://www.texas-drilling.com/operators/abraxas-petroleum-corporation/003125
003526,"ACE FIELD SERVICES, INC.","Houston, TX 77036",https://www.texas-drilling.com/operators/ace-field-services-inc/003526
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",https://www.texas-drilling.com/operators/adkins-r-l-corp/007937
008536,AETHON I LP,"Dallas, TX 75206",https://www.texas-drilling.com/operators/aethon-i-lp/008536
009115,"AIKMAN PETROLEUM, INC.","Amarillo, TX 79109",https://www.texas-drilling.com/operators/aikman-petroleum-inc/009115
014357,"ALLIED ENERGY OPERATING, LLC","McKinney, TX 75070",https://www.texas-drilling.com/operators/allied-energy-operating-llc/014357
015141,"ALPINE RESOURCES, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/alpine-resources-inc/015141
015140,ALPS OIL COMPANY,"Odessa, TX 79760",https://www.texas-drilling.com/operators/alps-oil-company/015140
016830,AMARILLO OIL CO.,"Amarillo, TX 79189",https://www.texas-drilling.com/operators/amarillo-oil-co/016830
016860,AMAX PETROLEUM CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/amax-petroleum-corporation/016860
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/american-exploration-company/018023
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",https://www.texas-drilling.com/operators/american-petrofina-co-of-tex/018900
020423,AMOCO PIPELINE COMPANY,"Warrenville, IL 60555",https://www.texas-drilling.com/operators/amoco-pipeline-company/020423
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-petroleum-corporation/020572
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-production-company/020582
022855,"ANDERSON, R. S., INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/anderson-r-s-inc/022855
025640,"ANSCHUTZ CORPORATION, THE","Houston, TX 77010",https://www.texas-drilling.com/operators/anschutz-corporation-the/025640
025698,"ANTELOPE ENERGY COMPANY, LLC","Denver, CO 80202",https://www.texas-drilling.com/operators/antelope-energy-company-llc/025698
025727,ANTELOPE PRODUCTION CO.,"Midland, TX 79701",https://www.texas-drilling.com/operators/antelope-production-co/025727
026415,"ANTHONY, BOB G. INC.","Brookhaven, MS 39601",https://www.texas-drilling.com/operators/anthony-bob-g-inc/026415
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
028617,APV MCCAMEY LLC,"MC Camey, TX 79752",https://www.texas-drilling.com/operators/apv-mccamey-llc/028617
029860,ARGO PETROLEUM CORPORATION,"Midland, TX 79708",https://www.texas-drilling.com/operators/argo-petroleum-corporation/029860
036592,ATMOS ENERGY CORPORATION,"Lubbock, TX 79408",https://www.texas-drilling.com/operators/atmos-energy-corporation/036592
036603,"ATMOS ENERGY,WEST TEXAS DIVISION","Lubbock, TX 79424",https://www.texas-drilling.com/operators/atmos-energy-west-texas-division/036603
036934,AUSLAND PRODUCTION COMPANY,"Midland, TX 79702",https://www.texas-drilling.com/operators/ausland-production-company/036934
038723,AVRA OIL COMPANY,"Dallas, TX 75248",https://www.texas-drilling.com/operators/avra-oil-company/038723
041540,B & S SALVAGE,"Post, TX 79356",https://www.texas-drilling.com/operators/b-s-salvage/041540
040136,B C & D OIL & GAS CORP.,"Hobbs, NM 88241",https://www.texas-drilling.com/operators/b-c-d-oil-gas-corp/040136
048379,BANDERA EXPLORATION COMPANY,"Dallas, TX 75225",https://www.texas-drilling.com/operators/bandera-exploration-company/048379
