Lease Number,Lease Name,Operator Name,Lease Link
953562,"1776 ENERGY OPERATORS, LLC","Houston, TX 77070",https://www.texas-drilling.com/operators/1776-energy-operators-llc/953562
623065,"1836 RESOURCES, LLC","Houston, TX 77070",https://www.texas-drilling.com/operators/1836-resources-llc/623065
953828,2 D OIL & GAS LLC,"Refugio, TX 78377",https://www.texas-drilling.com/operators/2-d-oil-gas-llc/953828
953641,3R-B OIL VENTURE,"Luling, TX 78648",https://www.texas-drilling.com/operators/3r-b-oil-venture/953641
000253,A.J.& M. OIL COMPANY,"Flatonia, TX 78941",https://www.texas-drilling.com/operators/a-j-m-oil-company/000253
002965,"ABRAHAM, JUDY","Harwood, TX 78632",https://www.texas-drilling.com/operators/abraham-judy/002965
003587,ACME PETROLEUM CO.,"Gonzales, TX 78629",https://www.texas-drilling.com/operators/acme-petroleum-co/003587
003596,ACOCK OPERATING LIMITED,"San Antonio, TX 78270",https://www.texas-drilling.com/operators/acock-operating-limited/003596
003968,"ADAIR & BALLINGER PETRO., INC.","Austin, TX 78734",https://www.texas-drilling.com/operators/adair-ballinger-petro-inc/003968
003965,ADAIR & BALLINGER PETROL CONSLTS,"Austin, TX 78746",https://www.texas-drilling.com/operators/adair-ballinger-petrol-conslts/003965
005350,ADAMS EXPLORATION CO.,"Tulsa, OK 74147",https://www.texas-drilling.com/operators/adams-exploration-co/005350
008477,"ADT INVESTMENTS, INC.","Austin, TX 78749",https://www.texas-drilling.com/operators/adt-investments-inc/008477
008529,AEGEAN OIL CORP.,"Houston, TX 77218",https://www.texas-drilling.com/operators/aegean-oil-corp/008529
008532,"AEGIS ENERGY, INC.","Lafayette, LA 70505",https://www.texas-drilling.com/operators/aegis-energy-inc/008532
009765,AL-TX OPERATING INC.,"Plum, TX 78952",https://www.texas-drilling.com/operators/al-tx-operating-inc/009765
011285,ALCORN PROD CO.,"Victoria, TX 77902",https://www.texas-drilling.com/operators/alcorn-prod-co/011285
011495,"ALEXANDER LAND & DEV. CO., INC.","Giddings, TX 78942",https://www.texas-drilling.com/operators/alexander-land-dev-co-inc/011495
015721,"ALTA MESA SERVICES, LP","Houston, TX 77084",https://www.texas-drilling.com/operators/alta-mesa-services-lp/015721
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",https://www.texas-drilling.com/operators/amax-oil-gas-inc/016859
019788,AMES OIL CORPORATION OF TEXAS,"Austin, TX 78720",https://www.texas-drilling.com/operators/ames-oil-corporation-of-texas/019788
020415,AMMEX PETROLEUM CORPORATION,"Midland, TX 79702",https://www.texas-drilling.com/operators/ammex-petroleum-corporation/020415
020413,"AMMEX PETROLEUM, INC.","El Paso, TX 79901",https://www.texas-drilling.com/operators/ammex-petroleum-inc/020413
