Lease Number,Lease Name,Operator Name,Lease Link
953678,"3 W OIL, INC.","Pampa, TX 79065",https://www.texas-drilling.com/operators/3-w-oil-inc/953678
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",https://www.texas-drilling.com/operators/3tec-energy-corporation/953592
953803,"4P ENERGY TEXAS, LLC","Denver, CO 80206",https://www.texas-drilling.com/operators/4p-energy-texas-llc/953803
953465,"5 G RESOURCES, LLC","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/5-g-resources-llc/953465
953900,6A PRODUCTION,"Pampa, TX 79066",https://www.texas-drilling.com/operators/6a-production/953900
000139,A & B WELL SERVICE INC.,"Amarillo, TX 79159",https://www.texas-drilling.com/operators/a-b-well-service-inc/000139
003110,"ABRAHAM, MALOUF INC.","Pampa, TX 79066",https://www.texas-drilling.com/operators/abraham-malouf-inc/003110
006460,ADAMS & MCGAHEY,"Amarillo, TX 79114",https://www.texas-drilling.com/operators/adams-mcgahey/006460
005920,"ADAMS, K. S. JR.","Houston, TX 77001",https://www.texas-drilling.com/operators/adams-k-s-jr/005920
007130,"ADAMS, R. W.","Amarillo, TX 79109",https://www.texas-drilling.com/operators/adams-r-w/007130
007140,"ADAMS, R. W. & SON","Amarillo, TX 79109",https://www.texas-drilling.com/operators/adams-r-w-son/007140
008391,ADOBE OPERATING COMPANY,"Pampa, TX 79066",https://www.texas-drilling.com/operators/adobe-operating-company/008391
009115,"AIKMAN PETROLEUM, INC.","Amarillo, TX 79109",https://www.texas-drilling.com/operators/aikman-petroleum-inc/009115
015057,ALMAC OIL COMPANY,"Pampa, TX 79066",https://www.texas-drilling.com/operators/almac-oil-company/015057
015137,ALPINE OIL & GAS,"Amarillo, TX 79109",https://www.texas-drilling.com/operators/alpine-oil-gas/015137
016400,ALVEY PARTNERS,"Slaton, TX 79364",https://www.texas-drilling.com/operators/alvey-partners/016400
016515,"ALVEY, L. M.","Pampa, TX 79066",https://www.texas-drilling.com/operators/alvey-l-m/016515
016600,"AMAREX, INC.","Oklahoma City, OK 73101",https://www.texas-drilling.com/operators/amarex-inc/016600
016810,"AMARILLO NATURAL GAS, INC.","Amarillo, TX 79119",https://www.texas-drilling.com/operators/amarillo-natural-gas-inc/016810
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/american-exploration-company/018023
020350,AMITY PETROLEUM,"Pampa, TX 79066",https://www.texas-drilling.com/operators/amity-petroleum/020350
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
020780,ANDCO OIL,"Pampa, TX 79066",https://www.texas-drilling.com/operators/andco-oil/020780
023900,ANDOVER OIL COMPANY,"Tulsa, OK 74136",https://www.texas-drilling.com/operators/andover-oil-company/023900
025516,"ANISMAN, MELVIN OIL COMPANY INC.","Pampa, TX 79066",https://www.texas-drilling.com/operators/anisman-melvin-oil-company-inc/025516
027221,"APACHE GOLD, LLC","Pampa, TX 79065",https://www.texas-drilling.com/operators/apache-gold-llc/027221
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",https://www.texas-drilling.com/operators/arco-oil-gas-co/029340
029870,ARGONAUT ENERGY CORPORATION,"New Orleans, LA 70112",https://www.texas-drilling.com/operators/argonaut-energy-corporation/029870
