Lease Number,Lease Name,Operator Name,Lease Link
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/3-t-exploration-inc/953682
007862,ADECO ENERGY CORPORATION,"Norman, OK 73071",https://www.texas-drilling.com/operators/adeco-energy-corporation/007862
008596,"AETERNUM ENERGY, LLC","Nederland, TX 77627",https://www.texas-drilling.com/operators/aeternum-energy-llc/008596
016905,AMCO ENERGY CORP.,"Farmers BRNCH, TX 75234",https://www.texas-drilling.com/operators/amco-energy-corp/016905
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/american-exploration-company/018023
019250,AMERICAN QUASAR PETROLEUM CO.,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/american-quasar-petroleum-co/019250
019768,AMERICORP PETROLEUM COMPANY,"Houston, TX 77068",https://www.texas-drilling.com/operators/americorp-petroleum-company/019768
020240,"AMIS, WILLIAM J.","Tyler, TX 75711",https://www.texas-drilling.com/operators/amis-william-j/020240
020414,"AMMO, INCORPORATED","Dallas, TX 75248",https://www.texas-drilling.com/operators/ammo-incorporated/020414
026646,"ANTLE OPERATING, INC.","Graham, TX 76450",https://www.texas-drilling.com/operators/antle-operating-inc/026646
026800,"AOG, INC.","Norman, OK 73070",https://www.texas-drilling.com/operators/aog-inc/026800
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
030120,ARGUS PRODUCTION COMPANY,"Dallas, TX 75382",https://www.texas-drilling.com/operators/argus-production-company/030120
030129,"ARIES OPERATING, LLC","Houston, TX 77010",https://www.texas-drilling.com/operators/aries-operating-llc/030129
030128,"ARIES OPERATING, LP","Houston, TX 77042",https://www.texas-drilling.com/operators/aries-operating-lp/030128
033228,"ARROW OIL & GAS, LLC","Norman, OK 73070",https://www.texas-drilling.com/operators/arrow-oil-gas-llc/033228
033290,"ARROW ROCK ENERGY, LLC","Houston, TX 77079",https://www.texas-drilling.com/operators/arrow-rock-energy-llc/033290
036054,ATEX EXPLORATION & OPERATING CO.,"Whitesboro, TX 76273",https://www.texas-drilling.com/operators/atex-exploration-operating-co/036054
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",https://www.texas-drilling.com/operators/atlantic-richfield-co/036550
036599,ATMOS PIPELINE - TEXAS,"Dallas, TX 75240",https://www.texas-drilling.com/operators/atmos-pipeline-texas/036599
036606,"ATOKA OPERATING, INC.","Gainesville, TX 76241",https://www.texas-drilling.com/operators/atoka-operating-inc/036606
036868,AURORA EXPLORATION & PROD CO,"Whitesboro, TX 76273",https://www.texas-drilling.com/operators/aurora-exploration-prod-co/036868
039139,AXIS OIL AND GAS CORPORATION,"Dallas, TX 75243",https://www.texas-drilling.com/operators/axis-oil-and-gas-corporation/039139
040765,"B & N PETROLEUM, INC.","Longview, TX 75606",https://www.texas-drilling.com/operators/b-n-petroleum-inc/040765
040792,"B M ENERGY, INC.","Hennessey, OK 73742",https://www.texas-drilling.com/operators/b-m-energy-inc/040792
040662,B-K OPERATING,"Whitesboro, TX 76273",https://www.texas-drilling.com/operators/b-k-operating/040662
042263,"BABER, BILL M.","Petrolia, TX 76377",https://www.texas-drilling.com/operators/baber-bill-m/042263
048219,BALSON OIL CO.,"Austin, TX 78761",https://www.texas-drilling.com/operators/balson-oil-co/048219
049875,BARNES BROS. - PROPERTIES,"Gainesville, TX 76241",https://www.texas-drilling.com/operators/barnes-bros-properties/049875
052973,BARON EXPLORATION CO.,"Edmond, OK 73034",https://www.texas-drilling.com/operators/baron-exploration-co/052973
053950,BARUCH-FOSTER CORPORATION,"Oklahoma City, OK 73126",https://www.texas-drilling.com/operators/baruch-foster-corporation/053950
058875,BAYTIDE PETR. INC.,"Tulsa, OK 74103",https://www.texas-drilling.com/operators/baytide-petr-inc/058875
058893,"BC OPERATING, INC.","Midland, TX 79710",https://www.texas-drilling.com/operators/bc-operating-inc/058893
040205,BCE-MACH II LLC,"Oklahoma City, OK 73134",https://www.texas-drilling.com/operators/bce-mach-ii-llc/040205
060120,BEAR FOOT OIL CO.,"Gainesville, TX 76240",https://www.texas-drilling.com/operators/bear-foot-oil-co/060120
062673,BELCO ENERGY CORP.,"Dallas, TX 75231",https://www.texas-drilling.com/operators/belco-energy-corp/062673
