Lease Number,Lease Name,Operator Name,Lease Link
003966,ADAIR RESOURCES INC.,"Ennis, TX 75120",https://www.texas-drilling.com/operators/adair-resources-inc/003966
003973,ADAIR TRANSPORT COMPANY,"Corsicana, TX 75151",https://www.texas-drilling.com/operators/adair-transport-company/003973
015715,"ALTA NATURAL RESOURCES, LLC","Irving, TX 75038",https://www.texas-drilling.com/operators/alta-natural-resources-llc/015715
019390,AMERICAN SOUTHWEST LAND & PET.,"Richardson, TX 75081",https://www.texas-drilling.com/operators/american-southwest-land-pet/019390
033055,"ARP BARNETT, LLC","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/arp-barnett-llc/033055
034450,"ASHLAND EXPLORATION, INC.","Houston, TX 77218",https://www.texas-drilling.com/operators/ashland-exploration-inc/034450
035464,ASPECT ABUNDANT SHALE LP,"Denver, CO 80203",https://www.texas-drilling.com/operators/aspect-abundant-shale-lp/035464
035453,"ASPECT ENERGY, LLC","Denver, CO 80202",https://www.texas-drilling.com/operators/aspect-energy-llc/035453
036589,"ATMOS ENERGY CORP., MID-TEX DIV.","Dallas, TX 75222",https://www.texas-drilling.com/operators/atmos-energy-corp-mid-tex-div/036589
036599,ATMOS PIPELINE - TEXAS,"Dallas, TX 75240",https://www.texas-drilling.com/operators/atmos-pipeline-texas/036599
050861,BARNETT SHALE OPERATING LLC,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/barnett-shale-operating-llc/050861
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/basic-energy-services-l-p/054313
061620,"BEDROCK PRODUCTION, LLC","Houston, TX 77002",https://www.texas-drilling.com/operators/bedrock-production-llc/061620
068291,BEST 1 OIL COMPANY,"Ennis, TX 75119",https://www.texas-drilling.com/operators/best-1-oil-company/068291
072699,BLACK JACK OIL,"Sparks, NV 89434",https://www.texas-drilling.com/operators/black-jack-oil/072699
073056,"BLACKBEARD OPERATING, LLC","Fort Worth, TX 76107",https://www.texas-drilling.com/operators/blackbeard-operating-llc/073056
076861,"BLUESTONE NATURAL RES. II, LLC","Fort Worth, TX 76107",https://www.texas-drilling.com/operators/bluestone-natural-res-ii-llc/076861
089953,BRAZOS PRODUCTION COMPANY INC.,"Houston, TX 77265",https://www.texas-drilling.com/operators/brazos-production-company-inc/089953
042191,"BXP OPERATING, LLC","Houston, TX 77079",https://www.texas-drilling.com/operators/bxp-operating-llc/042191
119850,C.B.G. ENERGY CO.,"Longview, TX 75601",https://www.texas-drilling.com/operators/c-b-g-energy-co/119850
130784,"CARCO ENERGY, INC.","Dallas, TX 75252",https://www.texas-drilling.com/operators/carco-energy-inc/130784
135401,"CARRIZO OIL & GAS, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/carrizo-oil-gas-inc/135401
140580,"CAWTHON, KELLY S.","Shreveport, LA 71101",https://www.texas-drilling.com/operators/cawthon-kelly-s/140580
152385,"CHALLENGER OPERATING, LLC","Lubbock, TX 79464",https://www.texas-drilling.com/operators/challenger-operating-llc/152385
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/chesapeake-operating-inc/147715
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/chesapeake-operating-l-l-c/147699
148219,CHIEF OIL & GAS LLC *,"Dallas, TX 75225",https://www.texas-drilling.com/operators/chief-oil-gas-llc/148219
153205,CHRISTOPHER OIL & GAS INC,"Fulshear, TX 77441",https://www.texas-drilling.com/operators/christopher-oil-gas-inc/153205
154540,CITRUS ENERGY CORPORATION,"Castle Rock, CO 80104",https://www.texas-drilling.com/operators/citrus-energy-corporation/154540
172230,CONOCO INC.,"Houston, TX 77252",https://www.texas-drilling.com/operators/conoco-inc/172230
179262,"CORNERSTONE E & P COMPANY, LP","Irving, TX 75038",https://www.texas-drilling.com/operators/cornerstone-e-p-company-lp/179262
191624,CRUSADER ENERGY GROUP INC.,"Austin, TX 78746",https://www.texas-drilling.com/operators/crusader-energy-group-inc/191624
