Lease Number,Lease Name,Operator Name,Lease Link
101470,14Start LLC,"Plano, TX 75093",https://www.texas-drilling.com/operators/14start-llc/101470
953786,"5H OIL CO., LLC","Dallas, TX 75225",https://www.texas-drilling.com/operators/5h-oil-co-llc/953786
954992,"7S OIL & GAS, LLC","Midland, TX 79706",https://www.texas-drilling.com/operators/7s-oil-gas-llc/954992
000151,A A PRODUCTION INC.,"Midland, TX 79701",https://www.texas-drilling.com/operators/a-a-production-inc/000151
000830,AA ENERGY CORP.,"Dallas, TX 75201",https://www.texas-drilling.com/operators/aa-energy-corp/000830
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",https://www.texas-drilling.com/operators/abraxas-petroleum-corporation/003125
003140,ABRAXAS PRODUCTION CORPORATION,"San Antonio, TX 78270",https://www.texas-drilling.com/operators/abraxas-production-corporation/003140
003581,"ACKERLY SERVICE COMPANY, INC.","Big Spring, TX 79721",https://www.texas-drilling.com/operators/ackerly-service-company-inc/003581
003589,"ACME ENERGY SERVICES, INC.","Midland, TX 79701",https://www.texas-drilling.com/operators/acme-energy-services-inc/003589
003678,"ACUFF, MICHAEL","Houston, TX 77058",https://www.texas-drilling.com/operators/acuff-michael/003678
005350,ADAMS EXPLORATION CO.,"Tulsa, OK 74147",https://www.texas-drilling.com/operators/adams-exploration-co/005350
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",https://www.texas-drilling.com/operators/adkins-r-l-corp/007937
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",https://www.texas-drilling.com/operators/adobe-oil-gas-corp/008380
008390,ADOBE OIL CO.,"Unknown, XX 99999",https://www.texas-drilling.com/operators/adobe-oil-co/008390
008536,AETHON I LP,"Dallas, TX 75206",https://www.texas-drilling.com/operators/aethon-i-lp/008536
008727,"AGON OIL COMPANY, LLC","Big Spring, TX 79721",https://www.texas-drilling.com/operators/agon-oil-company-llc/008727
008742,AGUA LIBRE MIDSTREAM LLC,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/agua-libre-midstream-llc/008742
009770,"ALADDIN ENERGY, INC.","Richardson, TX 75080",https://www.texas-drilling.com/operators/aladdin-energy-inc/009770
009776,"ALAFAIR ENERGY, INC.","Fort Worth, TX 76147",https://www.texas-drilling.com/operators/alafair-energy-inc/009776
013555,"ALLEGRO OPERATING, INC.","Abilene, TX 79604",https://www.texas-drilling.com/operators/allegro-operating-inc/013555
015098,"ALON USA, LP","Big Spring, TX 79720",https://www.texas-drilling.com/operators/alon-usa-lp/015098
015134,ALPHA TWENTY-ONE PRODUCTION CO.,"Midland, TX 79701",https://www.texas-drilling.com/operators/alpha-twenty-one-production-co/015134
015646,"ALSABROOK & EDWARDS OIL CO., INC","Dallas, TX 75225",https://www.texas-drilling.com/operators/alsabrook-edwards-oil-co-inc/015646
