Lease Number,Lease Name,Operator Name,Lease Link
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",https://www.texas-drilling.com/operators/adobe-oil-gas-corp/008380
018010,"AMERICAN CRUDE, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/american-crude-inc/018010
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",https://www.texas-drilling.com/operators/american-petrofina-co-of-tex/018900
022600,"ANDERSON PRODUCING, INC.","Houston, TX 77057",https://www.texas-drilling.com/operators/anderson-producing-inc/022600
025640,"ANSCHUTZ CORPORATION, THE","Houston, TX 77010",https://www.texas-drilling.com/operators/anschutz-corporation-the/025640
036589,"ATMOS ENERGY CORP., MID-TEX DIV.","Dallas, TX 75222",https://www.texas-drilling.com/operators/atmos-energy-corp-mid-tex-div/036589
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",https://www.texas-drilling.com/operators/axis-energy-corporation/039136
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/bass-enterprises-production-co/054700
056555,"BAXTER, KELLY H.","Austin, TX 78767",https://www.texas-drilling.com/operators/baxter-kelly-h/056555
060124,"BEAR OF TEXAS, INC.","Grand Rapids, MI 49546",https://www.texas-drilling.com/operators/bear-of-texas-inc/060124
100268,"BROWN, H. L., JR.","Midland, TX 79702",https://www.texas-drilling.com/operators/brown-h-l-jr/100268
139115,CASE PRODUCTION COMPANY,"McKinney, TX 75071",https://www.texas-drilling.com/operators/case-production-company/139115
160060,"CLEMENTS ENERGY, INC.","Vancouver, WA 98662",https://www.texas-drilling.com/operators/clements-energy-inc/160060
191250,"CROW, DAVID","Shreveport, LA 71106",https://www.texas-drilling.com/operators/crow-david/191250
214225,DEMINEX U. S. OIL CO.,"Midland, TX 79702",https://www.texas-drilling.com/operators/deminex-u-s-oil-co/214225
257095,EXPLORER PIPELINE COMPANY,"Tulsa, OK 74101",https://www.texas-drilling.com/operators/explorer-pipeline-company/257095
281294,"FOX & HOLLAND, LTD.","Tyler, TX 75702",https://www.texas-drilling.com/operators/fox-holland-ltd/281294
300205,GENESIS PRODUCING COMPANY,"Houston, TX 77024",https://www.texas-drilling.com/operators/genesis-producing-company/300205
301290,"GEOTEC EXPLORATION, INC.","Tyler, TX 75701",https://www.texas-drilling.com/operators/geotec-exploration-inc/301290
331568,GREENLIGHT ENTERPRISES LLC,"McKinney, TX 75072",https://www.texas-drilling.com/operators/greenlight-enterprises-llc/331568
346850,"HALL, ROBERT G.","Oklahoma City, OK 73106",https://www.texas-drilling.com/operators/hall-robert-g/346850
357368,"HARMAN OPERATING COMPANY, INC.","Tyler, TX 75702",https://www.texas-drilling.com/operators/harman-operating-company-inc/357368
396825,"HOMBRE OIL CO., LTD.","Tyler, TX 75713",https://www.texas-drilling.com/operators/hombre-oil-co-ltd/396825
403100,"HOUSTON OIL ASSOCIATES, INC.","Houston, TX 77079",https://www.texas-drilling.com/operators/houston-oil-associates-inc/403100
422890,IMC EXPLORATON CO.,"Mundelein, IL 60060",https://www.texas-drilling.com/operators/imc-exploraton-co/422890
430725,JEFFERSON-WILLIAMS ENERGY CORP.,"Dallas, TX 75202",https://www.texas-drilling.com/operators/jefferson-williams-energy-corp/430725
520333,"MACHIN, ART & ASSOCIATES, INC.","Longview, TX 75606",https://www.texas-drilling.com/operators/machin-art-associates-inc/520333
527120,MARSHALL EXPL. INC.,"Tyler, TX 75703",https://www.texas-drilling.com/operators/marshall-expl-inc/527120
595011,"MURPHY OIL USA, INC.","New Orleans, LA 70161",https://www.texas-drilling.com/operators/murphy-oil-usa-inc/595011
622726,"OMNI-EXPLORATION, INC.","Irving, TX 75062",https://www.texas-drilling.com/operators/omni-exploration-inc/622726
