Lease Number,Lease Name,Operator Name,Lease Link
953706,3-M ENERGY CORPORATION,"San Angelo, TX 76902",https://www.texas-drilling.com/operators/3-m-energy-corporation/953706
954992,"7S OIL & GAS, LLC","Midland, TX 79706",https://www.texas-drilling.com/operators/7s-oil-gas-llc/954992
000173,A & B OIL COMPANY,"Lubbock, TX 79413",https://www.texas-drilling.com/operators/a-b-oil-company/000173
000254,A.K.C. OPERATING,"Midland, TX 79708",https://www.texas-drilling.com/operators/a-k-c-operating/000254
001245,ABCO ENERGY CORPORATION,"Houston, TX 77014",https://www.texas-drilling.com/operators/abco-energy-corporation/001245
005350,ADAMS EXPLORATION CO.,"Tulsa, OK 74147",https://www.texas-drilling.com/operators/adams-exploration-co/005350
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",https://www.texas-drilling.com/operators/adobe-oil-gas-corp/008380
008528,"AERO-GEO ENERGY, INC.","San Antonio, TX 78216",https://www.texas-drilling.com/operators/aero-geo-energy-inc/008528
011445,"ALEGRE ENERGY OPERATING, LP","San Antonio, TX 78216",https://www.texas-drilling.com/operators/alegre-energy-operating-lp/011445
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",https://www.texas-drilling.com/operators/alegre-energy-inc/011441
012443,ALFORD PETROLEUM CORP.,"The Woodlands, TX 77380",https://www.texas-drilling.com/operators/alford-petroleum-corp/012443
015726,ALTURA ENERGY LTD.,"Houston, TX 77210",https://www.texas-drilling.com/operators/altura-energy-ltd/015726
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",https://www.texas-drilling.com/operators/amax-oil-gas-inc/016859
016944,AMEN OIL LLC,"Graham, TX 76450",https://www.texas-drilling.com/operators/amen-oil-llc/016944
017996,"AMERICAN ENERGY-PERM BASIN, LLC","Oklahoma City, OK 73113",https://www.texas-drilling.com/operators/american-energy-perm-basin-llc/017996
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/american-exploration-company/018023
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-petroleum-corporation/020572
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-production-company/020582
023900,ANDOVER OIL COMPANY,"Tulsa, OK 74136",https://www.texas-drilling.com/operators/andover-oil-company/023900
025698,"ANTELOPE ENERGY COMPANY, LLC","Denver, CO 80202",https://www.texas-drilling.com/operators/antelope-energy-company-llc/025698
025727,ANTELOPE PRODUCTION CO.,"Midland, TX 79701",https://www.texas-drilling.com/operators/antelope-production-co/025727
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
102456,"APEX OPERATING PARTNERS, LLC","San Angelo, TX 76902",https://www.texas-drilling.com/operators/apex-operating-partners-llc/102456
029272,"ARCH OIL & GAS, LLC","Dallas, TX 75254",https://www.texas-drilling.com/operators/arch-oil-gas-llc/029272
028910,"ARCHER, A. R., JR.","Bastrop, TX 78602",https://www.texas-drilling.com/operators/archer-a-r-jr/028910
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",https://www.texas-drilling.com/operators/arco-oil-gas-co/029340
029589,"ARDEN ENERGY PARTNERS, INC.","San Angelo, TX 76906",https://www.texas-drilling.com/operators/arden-energy-partners-inc/029589
029655,"ARES ENERGY, LTD.","Midland, TX 79701",https://www.texas-drilling.com/operators/ares-energy-ltd/029655
030791,"ARKLAND PRODUCING CO., INC.","Midland, TX 79701",https://www.texas-drilling.com/operators/arkland-producing-co-inc/030791
031585,"ARMOR PETROLEUM, INC.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/armor-petroleum-inc/031585
