Lease Number,Lease Name,Operator Name,Lease Link
623073,"1849 ENERGY PARTNERS OPRTNG, LLC","Fort Worth, TX 76107",https://www.texas-drilling.com/operators/1849-energy-partners-oprtng-llc/623073
623082,"1849 ENERGY PARTNERS, LLC","Fort Worth, TX 76107",https://www.texas-drilling.com/operators/1849-energy-partners-llc/623082
953614,2 T PRODUCTION,"Bowie, TX 76230",https://www.texas-drilling.com/operators/2-t-production/953614
953798,"3 TEN RESOURCES, INC.","Fort Worth, TX 76116",https://www.texas-drilling.com/operators/3-ten-resources-inc/953798
953706,3-M ENERGY CORPORATION,"San Angelo, TX 76902",https://www.texas-drilling.com/operators/3-m-energy-corporation/953706
953744,"3-R PRODUCTION, INC.","Jacksboro, TX 76458",https://www.texas-drilling.com/operators/3-r-production-inc/953744
953726,3-R'S PRODUCTION COMPANY,"Jacksboro, TX 76458",https://www.texas-drilling.com/operators/3-r-s-production-company/953726
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/3-t-exploration-inc/953682
953585,4-N OPERATING LLC,"Jacksboro, TX 76458",https://www.texas-drilling.com/operators/4-n-operating-llc/953585
953465,"5 G RESOURCES, LLC","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/5-g-resources-llc/953465
953590,5 K PRODUCTION,"Jacksboro, TX 76458",https://www.texas-drilling.com/operators/5-k-production/953590
953686,"6 BAR OPERATIONS, INC.","Mullin, TX 76864",https://www.texas-drilling.com/operators/6-bar-operations-inc/953686
767851,"7-IRON OIL & GAS, LLC","Graham, TX 76450",https://www.texas-drilling.com/operators/7-iron-oil-gas-llc/767851
000193,"A.F.V. ENERGY, INC.","Dallas, TX 75202",https://www.texas-drilling.com/operators/a-f-v-energy-inc/000193
000118,AAA OIL TRUST,"Weatherford, TX 76088",https://www.texas-drilling.com/operators/aaa-oil-trust/000118
000851,AARDOLIE OIL COMPANY,"Dallas, TX 75370",https://www.texas-drilling.com/operators/aardolie-oil-company/000851
001641,ABER OIL & GAS CO.,"Tyler, TX 75702",https://www.texas-drilling.com/operators/aber-oil-gas-co/001641
007890,"ADENA EXPLORATION, INC.","Greenwich, CT 06830",https://www.texas-drilling.com/operators/adena-exploration-inc/007890
007894,ADEXCO OPERATING COMPANY,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/adexco-operating-company/007894
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",https://www.texas-drilling.com/operators/adkins-r-l-corp/007937
008543,AFE OIL & GAS CONSULTANTS,"Addison, TX 75001",https://www.texas-drilling.com/operators/afe-oil-gas-consultants/008543
009275,AINSWORTH BROTHERS,"Bryson, TX 76427",https://www.texas-drilling.com/operators/ainsworth-brothers/009275
009532,"AKERS & FULTZ, INC.","Graham, TX 76450",https://www.texas-drilling.com/operators/akers-fultz-inc/009532
009550,AKERS & HARRISON,"Graham, TX 76450",https://www.texas-drilling.com/operators/akers-harrison/009550
009430,"AKERS, B. F.","Graham, TX 76450",https://www.texas-drilling.com/operators/akers-b-f/009430
010078,ALAMOSA OPERATING COMPANY,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/alamosa-operating-company/010078
011100,"ALBERT, DAVID OIL & GAS","Dallas, TX 75240",https://www.texas-drilling.com/operators/albert-david-oil-gas/011100
013293,"ALLAR CO., THE","Graham, TX 76450",https://www.texas-drilling.com/operators/allar-co-the/013293
015728,"ALTEX RESOURCES, INC.","Carney, OK 74832",https://www.texas-drilling.com/operators/altex-resources-inc/015728
016600,"AMAREX, INC.","Oklahoma City, OK 73101",https://www.texas-drilling.com/operators/amarex-inc/016600
016886,AMBRIT ENERGY CORP.,"Garland, TX 75044",https://www.texas-drilling.com/operators/ambrit-energy-corp/016886
016905,AMCO ENERGY CORP.,"Farmers BRNCH, TX 75234",https://www.texas-drilling.com/operators/amco-energy-corp/016905
016944,AMEN OIL LLC,"Graham, TX 76450",https://www.texas-drilling.com/operators/amen-oil-llc/016944
018027,AMERICAN ENERGY GROUP INC.,"Austin, TX 78701",https://www.texas-drilling.com/operators/american-energy-group-inc/018027
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/american-exploration-company/018023
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",https://www.texas-drilling.com/operators/american-petrofina-co-of-tex/018900
018930,AMERICAN PUBLIC ENERGY CO.,"Dallas, TX 75231",https://www.texas-drilling.com/operators/american-public-energy-co/018930
020105,AMINEX CORPORATION,"Dallas, TX 75214",https://www.texas-drilling.com/operators/aminex-corporation/020105
020106,"AMINEX USA, INC.","Somerset, TX 78069",https://www.texas-drilling.com/operators/aminex-usa-inc/020106
020452,AMOT OPERATING COMPANY,"Graham, TX 76450",https://www.texas-drilling.com/operators/amot-operating-company/020452
020535,"AMV OPERATING, INC.","Lawton, OK 73502",https://www.texas-drilling.com/operators/amv-operating-inc/020535
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-petroleum-corporation/020572
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-production-company/020582
020920,"ANDERSON, CARL T.","Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/anderson-carl-t/020920
021802,"ANDERSON, E. D.","Cisco, TX 76437",https://www.texas-drilling.com/operators/anderson-e-d/021802
022925,"ANDERSON, ROGER W. CORP.","Clyde, TX 79510",https://www.texas-drilling.com/operators/anderson-roger-w-corp/022925
025135,"ANDREWS OPERATING, INC.","Graham, TX 76450",https://www.texas-drilling.com/operators/andrews-operating-inc/025135
025286,"ANDREWS, JIM","Graham, TX 76450",https://www.texas-drilling.com/operators/andrews-jim/025286
026646,"ANTLE OPERATING, INC.","Graham, TX 76450",https://www.texas-drilling.com/operators/antle-operating-inc/026646
026647,ANTLER EXPLORATION,"Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/antler-exploration/026647
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
027456,APEX ENERGY CORPORATION,"Dallas, TX 75225",https://www.texas-drilling.com/operators/apex-energy-corporation/027456
027463,APEX OPERATING & EQUIP. CO.,"Bowie, TX 76230",https://www.texas-drilling.com/operators/apex-operating-equip-co/027463
028626,"AQUATECH SALTWATER DISPOSAL, LLC","Denton, TX 76201",https://www.texas-drilling.com/operators/aquatech-saltwater-disposal-llc/028626
