Lease Number,Lease Name,Operator Name,Lease Link
953587,"19TH HOLE PRODUCTION, LLC","Humble, TX 77346",https://www.texas-drilling.com/operators/19th-hole-production-llc/953587
953837,"5P OPERATING, LLC","Coppell, TX 75019",https://www.texas-drilling.com/operators/5p-operating-llc/953837
003539,ACE PRODUCTIONS,"Beaumont, TX 77707",https://www.texas-drilling.com/operators/ace-productions/003539
003596,ACOCK OPERATING LIMITED,"San Antonio, TX 78270",https://www.texas-drilling.com/operators/acock-operating-limited/003596
003599,"ACOCK/ANAQUA OPERATING CO., LP","Corpus Chrsti, TX 78401",https://www.texas-drilling.com/operators/acock-anaqua-operating-co-lp/003599
000222,"ADS OPERATING, INC.","Houston, TX 77257",https://www.texas-drilling.com/operators/ads-operating-inc/000222
009765,AL-TX OPERATING INC.,"Plum, TX 78952",https://www.texas-drilling.com/operators/al-tx-operating-inc/009765
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",https://www.texas-drilling.com/operators/alegre-energy-inc/011441
012360,"ALEXANDER PET. CONSULTANTS, INC.","Houston, TX 77024",https://www.texas-drilling.com/operators/alexander-pet-consultants-inc/012360
014471,"ALLIED OPERATING TEXAS, LLC","Kilgore, TX 75663",https://www.texas-drilling.com/operators/allied-operating-texas-llc/014471
014481,"ALLIED-GULF ENERGY, LLC","Lafayette, LA 70508",https://www.texas-drilling.com/operators/allied-gulf-energy-llc/014481
015058,"ALLYDAR OIL AND GAS CO., INC.","Park City, UT 84060",https://www.texas-drilling.com/operators/allydar-oil-and-gas-co-inc/015058
015098,"ALON USA, LP","Big Spring, TX 79720",https://www.texas-drilling.com/operators/alon-usa-lp/015098
015141,"ALPINE RESOURCES, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/alpine-resources-inc/015141
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",https://www.texas-drilling.com/operators/amerada-hess-corporation/016980
018007,"AMERICAN COASTAL ENERGY, INC.","Houston, TX 77225",https://www.texas-drilling.com/operators/american-coastal-energy-inc/018007
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/american-exploration-company/018023
018870,AMERICAN OPERATING COMPANY,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/american-operating-company/018870
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",https://www.texas-drilling.com/operators/american-petrofina-co-of-tex/018900
019752,"AMERICO ENERGY RESOURCES, LLC","Houston, TX 77063",https://www.texas-drilling.com/operators/americo-energy-resources-llc/019752
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-petroleum-corporation/020572
020602,ANCHO OIL LLC,"Decatur, TX 76234",https://www.texas-drilling.com/operators/ancho-oil-llc/020602
024124,"ANDRESS PETROLEUM, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/andress-petroleum-inc/024124
025498,ANGLO-DUTCH PRODUCTION CO.,"Houston, TX 77002",https://www.texas-drilling.com/operators/anglo-dutch-production-co/025498
025619,"ANLOC, LLC","Houston, TX 77024",https://www.texas-drilling.com/operators/anloc-llc/025619
025691,"ANTARA RESOURCES, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/antara-resources-inc/025691
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
027226,"APACHE EXPLORATION, INC. (I)","Houston, TX 77075",https://www.texas-drilling.com/operators/apache-exploration-inc-i/027226
028726,"ARBOL RESOURCES, INC.","Houston, TX 77079",https://www.texas-drilling.com/operators/arbol-resources-inc/028726
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",https://www.texas-drilling.com/operators/arco-oil-gas-co/029340
030300,"ARISTA NOVELTY, INC.","Houston, TX 77256",https://www.texas-drilling.com/operators/arista-novelty-inc/030300
030790,ARKLA EXPLORATION CO.,"Shreveport, LA 71151",https://www.texas-drilling.com/operators/arkla-exploration-co/030790
034380,ASHFORD OIL & GAS COMPANY,"Houston, TX 77282",https://www.texas-drilling.com/operators/ashford-oil-gas-company/034380
035453,"ASPECT ENERGY, LLC","Denver, CO 80202",https://www.texas-drilling.com/operators/aspect-energy-llc/035453
035452,ASPECT RESOURCES LLC,"Denver, CO 80202",https://www.texas-drilling.com/operators/aspect-resources-llc/035452
036050,"ATCO PROD. CO., INC.","Winnie, TX 77665",https://www.texas-drilling.com/operators/atco-prod-co-inc/036050
036795,AUDEN OIL INC.,"Hardin, TX 77561",https://www.texas-drilling.com/operators/auden-oil-inc/036795
037680,AUSTRAL OIL COMPANY INCORPORATED,"Sulphur, LA 70663",https://www.texas-drilling.com/operators/austral-oil-company-incorporated/037680
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",https://www.texas-drilling.com/operators/axis-energy-corporation/039136
039661,"AZIMUTH ENERGY, LLC","Denver, CO 80203",https://www.texas-drilling.com/operators/azimuth-energy-llc/039661
040211,"B. C. VENTURES, INC.","Seabrook, TX 77586",https://www.texas-drilling.com/operators/b-c-ventures-inc/040211
