Lease Number,Lease Name,Operator Name,Lease Link
856467,84 ENERGY LLC,"Flatonia, TX 78941",https://www.texas-drilling.com/operators/84-energy-llc/856467
000480,A & P OIL & GAS,"Leona, TX 75850",https://www.texas-drilling.com/operators/a-p-oil-gas/000480
000895,ABADOU OIL CO.,"San Mateo, CA 94402",https://www.texas-drilling.com/operators/abadou-oil-co/000895
001641,ABER OIL & GAS CO.,"Tyler, TX 75702",https://www.texas-drilling.com/operators/aber-oil-gas-co/001641
003645,"AC EXPLORATION, LLC","Houston, TX 77024",https://www.texas-drilling.com/operators/ac-exploration-llc/003645
003667,"ACTIVE ENERGY, INC.","Houston, TX 77019",https://www.texas-drilling.com/operators/active-energy-inc/003667
008548,"AF OPERATING, LLC","Tuscaloosa, AL 35404",https://www.texas-drilling.com/operators/af-operating-llc/008548
009765,AL-TX OPERATING INC.,"Plum, TX 78952",https://www.texas-drilling.com/operators/al-tx-operating-inc/009765
014471,"ALLIED OPERATING TEXAS, LLC","Kilgore, TX 75663",https://www.texas-drilling.com/operators/allied-operating-texas-llc/014471
014573,ALLISON/HOBBS INC.,"Alba, TX 75410",https://www.texas-drilling.com/operators/allison-hobbs-inc/014573
015050,"ALLTEX EXPLORATION, INC.","Houston, TX 77056",https://www.texas-drilling.com/operators/alltex-exploration-inc/015050
015141,"ALPINE RESOURCES, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/alpine-resources-inc/015141
015721,"ALTA MESA SERVICES, LP","Houston, TX 77084",https://www.texas-drilling.com/operators/alta-mesa-services-lp/015721
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",https://www.texas-drilling.com/operators/amax-oil-gas-inc/016859
017900,"AMERICAN CASCADE ENERGY, INC.","Barker, TX 77413",https://www.texas-drilling.com/operators/american-cascade-energy-inc/017900
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/american-cometra-inc/018008
018044,"AMERICAN ENERGY OP. CORP.,THE","Houston, TX 77099",https://www.texas-drilling.com/operators/american-energy-op-corp-the/018044
018046,"AMERICAN ENERGY PARTNERS, INC.","Boerne, TX 78006",https://www.texas-drilling.com/operators/american-energy-partners-inc/018046
018871,"AMERICAN OILFIELD SYSTEMS, INC.","Nichols Hill, OK 73116",https://www.texas-drilling.com/operators/american-oilfield-systems-inc/018871
019361,AMERICAN ROYALTY,"Caldwell, TX 77836",https://www.texas-drilling.com/operators/american-royalty/019361
019770,AMERICANA PETROLEUM CORPORATION,"Waco, TX 76710",https://www.texas-drilling.com/operators/americana-petroleum-corporation/019770
019786,AMERRIL ENERGY LLC,"Houston, TX 77042",https://www.texas-drilling.com/operators/amerril-energy-llc/019786
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
020538,"AMX ENERGY, INC.","Tyler, TX 75701",https://www.texas-drilling.com/operators/amx-energy-inc/020538
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-e-p-company-lp/020542
020528,ANADARKO E&P ONSHORE LLC,"Houston, TX 77046",https://www.texas-drilling.com/operators/anadarko-e-p-onshore-llc/020528
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-petroleum-corporation/020572
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
028726,"ARBOL RESOURCES, INC.","Houston, TX 77079",https://www.texas-drilling.com/operators/arbol-resources-inc/028726
