Lease Number,Lease Name,Operator Name,Lease Link
953747,3-G OPERATING COMPANY,"Houston, TX 77244",https://www.texas-drilling.com/operators/3-g-operating-company/953747
000253,A.J.& M. OIL COMPANY,"Flatonia, TX 78941",https://www.texas-drilling.com/operators/a-j-m-oil-company/000253
003385,ACC EXPLORATION COMPANY,"Houston, TX 77005",https://www.texas-drilling.com/operators/acc-exploration-company/003385
003387,ACC OPERATING COMPANY,"Baytown, TX 77522",https://www.texas-drilling.com/operators/acc-operating-company/003387
003596,ACOCK OPERATING LIMITED,"San Antonio, TX 78270",https://www.texas-drilling.com/operators/acock-operating-limited/003596
003735,ADA BELLE OIL & GAS COMPANY,"Sourlake, TX 77659",https://www.texas-drilling.com/operators/ada-belle-oil-gas-company/003735
003912,ADA OIL EXPLORATION CORP.,"Houston, TX 77001",https://www.texas-drilling.com/operators/ada-oil-exploration-corp/003912
009534,"AJ'S PUMP TRUCK SERVICE, INC.","Odessa, TX 79760",https://www.texas-drilling.com/operators/aj-s-pump-truck-service-inc/009534
010450,"ALARON ENERGY, INC.","Irving, TX 75038",https://www.texas-drilling.com/operators/alaron-energy-inc/010450
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",https://www.texas-drilling.com/operators/alegre-energy-inc/011441
013305,"ALLEGRO INVESTMENTS, INC.","Victoria, TX 77903",https://www.texas-drilling.com/operators/allegro-investments-inc/013305
015050,"ALLTEX EXPLORATION, INC.","Houston, TX 77056",https://www.texas-drilling.com/operators/alltex-exploration-inc/015050
015145,"ALPINE EXPLORATION CO, INC.","Dallas, TX 75360",https://www.texas-drilling.com/operators/alpine-exploration-co-inc/015145
015141,"ALPINE RESOURCES, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/alpine-resources-inc/015141
015721,"ALTA MESA SERVICES, LP","Houston, TX 77084",https://www.texas-drilling.com/operators/alta-mesa-services-lp/015721
015728,"ALTEX RESOURCES, INC.","Carney, OK 74832",https://www.texas-drilling.com/operators/altex-resources-inc/015728
016886,AMBRIT ENERGY CORP.,"Garland, TX 75044",https://www.texas-drilling.com/operators/ambrit-energy-corp/016886
016945,AMEND ENERGY COMPANY,"Houston, TX 77227",https://www.texas-drilling.com/operators/amend-energy-company/016945
017900,"AMERICAN CASCADE ENERGY, INC.","Barker, TX 77413",https://www.texas-drilling.com/operators/american-cascade-energy-inc/017900
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/american-cometra-inc/018008
018044,"AMERICAN ENERGY OP. CORP.,THE","Houston, TX 77099",https://www.texas-drilling.com/operators/american-energy-op-corp-the/018044
019959,AMICUS ENERGY INC.,"Houston, TX 77002",https://www.texas-drilling.com/operators/amicus-energy-inc/019959
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-production-company/020582
022547,"ANDERSON PETROLEUM, INC.","Denver, CO 80203",https://www.texas-drilling.com/operators/anderson-petroleum-inc/022547
022600,"ANDERSON PRODUCING, INC.","Houston, TX 77057",https://www.texas-drilling.com/operators/anderson-producing-inc/022600
020845,"ANDERSON, ARNOLD","Arlington, TX 76012",https://www.texas-drilling.com/operators/anderson-arnold/020845
