Lease Number,Lease Name,Operator Name,Lease Link
953514,"12013 OIL TEXAS, LLC","South Jordan, UT 84095",https://www.texas-drilling.com/operators/12013-oil-texas-llc/953514
953543,"2014 GS HOLDINGS OPERATING, LLC","Arlington, TX 76006",https://www.texas-drilling.com/operators/2014-gs-holdings-operating-llc/953543
953641,3R-B OIL VENTURE,"Luling, TX 78648",https://www.texas-drilling.com/operators/3r-b-oil-venture/953641
953679,4-P. CORPORATION,"Nacogdoches, TX 75961",https://www.texas-drilling.com/operators/4-p-corporation/953679
102435,"4C OIL, LLC","Cameron, TX 76520",https://www.texas-drilling.com/operators/4c-oil-llc/102435
966260,"94 OPERATING, LP","Sanger, TX 76266",https://www.texas-drilling.com/operators/94-operating-lp/966260
000352,A.G.A. OIL CO.,"Rockdale, TX 76567",https://www.texas-drilling.com/operators/a-g-a-oil-co/000352
000893,"AB RESERVE, LLC","Rockdale, TX 76567",https://www.texas-drilling.com/operators/ab-reserve-llc/000893
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",https://www.texas-drilling.com/operators/abraxas-petroleum-corporation/003125
003400,ACCO OIL & GAS COMPANY,"Houston, TX 77056",https://www.texas-drilling.com/operators/acco-oil-gas-company/003400
003526,"ACE FIELD SERVICES, INC.","Houston, TX 77036",https://www.texas-drilling.com/operators/ace-field-services-inc/003526
003996,ADAMS RESOURCES EXPL. CORP.,"Houston, TX 77001",https://www.texas-drilling.com/operators/adams-resources-expl-corp/003996
007865,ADELANTE PETROLEUM CO.,"Alpine, TX 79831",https://www.texas-drilling.com/operators/adelante-petroleum-co/007865
008475,ADS,"Caldwell, TX 77836",https://www.texas-drilling.com/operators/ads/008475
000225,"ADS OIL & GAS, INC.","Caldwell, TX 77836",https://www.texas-drilling.com/operators/ads-oil-gas-inc/000225
008484,ADVANCE HYDROCARBON CORPORATION,"Houston, TX 77056",https://www.texas-drilling.com/operators/advance-hydrocarbon-corporation/008484
009130,AIM CONSULTANTS INC.,"Rockville, MD 20852",https://www.texas-drilling.com/operators/aim-consultants-inc/009130
013237,ALL AMERICAN OPERATING,"Conroe, TX 77305",https://www.texas-drilling.com/operators/all-american-operating/013237
014471,"ALLIED OPERATING TEXAS, LLC","Kilgore, TX 75663",https://www.texas-drilling.com/operators/allied-operating-texas-llc/014471
015098,"ALON USA, LP","Big Spring, TX 79720",https://www.texas-drilling.com/operators/alon-usa-lp/015098
015136,"ALPINE ENERGY, INC.","Houston, TX 77235",https://www.texas-drilling.com/operators/alpine-energy-inc/015136
018925,AMERICAN PETROFINA PIPE LINE CO.,"Houston, TX 77032",https://www.texas-drilling.com/operators/american-petrofina-pipe-line-co/018925
019762,AMERICO OIL COMPANY,"Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/americo-oil-company/019762
020403,"AMMO ENERGY, LLC","Oklahoma City, OK 73160",https://www.texas-drilling.com/operators/ammo-energy-llc/020403
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
020554,"ANACACHO RESOURCES, INC.","New Baden, TX 77870",https://www.texas-drilling.com/operators/anacacho-resources-inc/020554
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-e-p-company-lp/020542
020528,ANADARKO E&P ONSHORE LLC,"Houston, TX 77046",https://www.texas-drilling.com/operators/anadarko-e-p-onshore-llc/020528
027892,APPLE OIL & GAS,"Caldwell, TX 77836",https://www.texas-drilling.com/operators/apple-oil-gas/027892
029425,"ARDO EXPLORATION CO., INC.","Rockdale, TX 76567",https://www.texas-drilling.com/operators/ardo-exploration-co-inc/029425
030125,ARIES OIL CORP.,"Dallas, TX 75219",https://www.texas-drilling.com/operators/aries-oil-corp/030125
030801,"ARLEDGE, TERRY","Rockdale, TX 76567",https://www.texas-drilling.com/operators/arledge-terry/030801
034240,ASHER PETROLEUM CORP.,"Dallas, TX 75214",https://www.texas-drilling.com/operators/asher-petroleum-corp/034240
036589,"ATMOS ENERGY CORP., MID-TEX DIV.","Dallas, TX 75222",https://www.texas-drilling.com/operators/atmos-energy-corp-mid-tex-div/036589
036603,"ATMOS ENERGY,WEST TEXAS DIVISION","Lubbock, TX 79424",https://www.texas-drilling.com/operators/atmos-energy-west-texas-division/036603
037059,AUSTIN RIDGE ENERGY CORPORATION,"Houston, TX 77224",https://www.texas-drilling.com/operators/austin-ridge-energy-corporation/037059
037323,AUSTIN ROYAL CORPORATION,"Dallas, TX 75248",https://www.texas-drilling.com/operators/austin-royal-corporation/037323
039769,B & B & W.C.P.,"Milano, TX 76556",https://www.texas-drilling.com/operators/b-b-w-c-p/039769
039773,B & B DRILLING CO.,"Milano, TX 76556",https://www.texas-drilling.com/operators/b-b-drilling-co/039773
040645,"B & L MINERALS, INC.","Houston, TX 77036",https://www.texas-drilling.com/operators/b-l-minerals-inc/040645
040753,"B & M OPERATING CO., INC.","Houston, TX 77006",https://www.texas-drilling.com/operators/b-m-operating-co-inc/040753
041534,B & S OIL AND GAS,"Austin, TX 78761",https://www.texas-drilling.com/operators/b-s-oil-and-gas/041534
042171,B & Y OIL CO.,"Cameron, TX 76520",https://www.texas-drilling.com/operators/b-y-oil-co/042171
042240,"BABCO OIL & GAS, LLC","Rockdale, TX 76567",https://www.texas-drilling.com/operators/babco-oil-gas-llc/042240
049777,BAR-MAC & HOLLUB DRILLING CO.,"Brenham, TX 77833",https://www.texas-drilling.com/operators/bar-mac-hollub-drilling-co/049777
049952,BARNES OPERATING CO.,"Palestine, TX 75801",https://www.texas-drilling.com/operators/barnes-operating-co/049952
052966,"BARON CO., INC. THE","Houston, TX 77027",https://www.texas-drilling.com/operators/baron-co-inc-the/052966
052965,"BARON CO., THE","Houston, TX 77027",https://www.texas-drilling.com/operators/baron-co-the/052965
053500,"BARTHOLOMEW, V. H.","Parasdise, CA 95969",https://www.texas-drilling.com/operators/bartholomew-v-h/053500
058881,BBL OIL & GAS COMPANY,"Giddings, TX 78942",https://www.texas-drilling.com/operators/bbl-oil-gas-company/058881
063893,"BELMAR OIL & GAS, INC.","Milano, TX 76556",https://www.texas-drilling.com/operators/belmar-oil-gas-inc/063893
064180,"BENECO, INC.","Magnolia, TX 77354",https://www.texas-drilling.com/operators/beneco-inc/064180
068324,"BETRO, INC.","Rockdale, TX 76567",https://www.texas-drilling.com/operators/betro-inc/068324
069445,"BIG H OPERATING COMPANY, INC.","Shreveport, LA 71105",https://www.texas-drilling.com/operators/big-h-operating-company-inc/069445
070050,BIG ROCK ROYALTY,"Reno, NV 89509",https://www.texas-drilling.com/operators/big-rock-royalty/070050
070433,"BIG SPRINGS ENERGY GROUP, INC.","Austin, TX 78748",https://www.texas-drilling.com/operators/big-springs-energy-group-inc/070433
070716,BIG V PRODUCTIONS,"Houston, TX 77020",https://www.texas-drilling.com/operators/big-v-productions/070716
069447,BIGHART OIL & GAS INC.,"Canada, 00100",https://www.texas-drilling.com/operators/bighart-oil-gas-inc/069447
072704,"BLACK JACK SERVICES, L.L.C.","Bastrop, TX 78602",https://www.texas-drilling.com/operators/black-jack-services-l-l-c/072704
073340,BLACKWELL DRILLING CO.,"Cameron, TX 76520",https://www.texas-drilling.com/operators/blackwell-drilling-co/073340
074787,"BLAND, NOLAN J.","Rockdale, TX 76567",https://www.texas-drilling.com/operators/bland-nolan-j/074787
074790,"BLAND, S.C.","Rockdale, TX 76567",https://www.texas-drilling.com/operators/bland-s-c/074790
075845,BLOCO,"Houston, TX 77055",https://www.texas-drilling.com/operators/bloco/075845
076738,BLUE FLAME OPERATING COMPANY LLC,"Austin, TX 78746",https://www.texas-drilling.com/operators/blue-flame-operating-company-llc/076738
077628,"BOAZ, FORD","Cameron, TX 76520",https://www.texas-drilling.com/operators/boaz-ford/077628
083714,"BOUNDARY VENTURES, INC.","Columbus, TX 78934",https://www.texas-drilling.com/operators/boundary-ventures-inc/083714
084600,"BOYD, DICK","Olney, TX 76374",https://www.texas-drilling.com/operators/boyd-dick/084600
102540,BRAZOS GEOLOGICAL CONSULTING LT,"College Sta, TX 77840",https://www.texas-drilling.com/operators/brazos-geological-consulting-lt/102540
