Lease Number,Lease Name,Operator Name,Lease Link
953606,4 P,"Nacogdoches, TX 75961",https://www.texas-drilling.com/operators/4-p/953606
953679,4-P. CORPORATION,"Nacogdoches, TX 75961",https://www.texas-drilling.com/operators/4-p-corporation/953679
856467,84 ENERGY LLC,"Flatonia, TX 78941",https://www.texas-drilling.com/operators/84-energy-llc/856467
007890,"ADENA EXPLORATION, INC.","Greenwich, CT 06830",https://www.texas-drilling.com/operators/adena-exploration-inc/007890
008596,"AETERNUM ENERGY, LLC","Nederland, TX 77627",https://www.texas-drilling.com/operators/aeternum-energy-llc/008596
008555,AETHON ENERGY OPERATING LLC,"Dallas, TX 75251",https://www.texas-drilling.com/operators/aethon-energy-operating-llc/008555
009765,AL-TX OPERATING INC.,"Plum, TX 78952",https://www.texas-drilling.com/operators/al-tx-operating-inc/009765
015730,ALTAIR ENERGY CORP.,"Tyler, TX 75702",https://www.texas-drilling.com/operators/altair-energy-corp/015730
018874,AMERICAN OPERATING COMPANY (A),"Dallas, TX 75244",https://www.texas-drilling.com/operators/american-operating-company-a/018874
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
020845,"ANDERSON, ARNOLD","Arlington, TX 76012",https://www.texas-drilling.com/operators/anderson-arnold/020845
025436,ANGELINA ENERGY,"Lufkin, TX 75901",https://www.texas-drilling.com/operators/angelina-energy/025436
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
028724,ARCADIA EXPL. & PROD. COMPANY,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/arcadia-expl-prod-company/028724
029601,"ARENCIA OIL CO., INC.","Nacogdoches, TX 75961",https://www.texas-drilling.com/operators/arencia-oil-co-inc/029601
029600,ARENCIA OIL COMPANY,"Woden, TX 75978",https://www.texas-drilling.com/operators/arencia-oil-company/029600
030584,"ARK-LA-TEX ENERGY, L.L.C.","Shreveport, LA 71101",https://www.texas-drilling.com/operators/ark-la-tex-energy-l-l-c/030584
030790,ARKLA EXPLORATION CO.,"Shreveport, LA 71151",https://www.texas-drilling.com/operators/arkla-exploration-co/030790
034450,"ASHLAND EXPLORATION, INC.","Houston, TX 77218",https://www.texas-drilling.com/operators/ashland-exploration-inc/034450
036562,"ATLANTIS OIL COMPANY, INC.","Tyler, TX 75701",https://www.texas-drilling.com/operators/atlantis-oil-company-inc/036562
039798,B & B OIL,"Nacogdoches, TX 75961",https://www.texas-drilling.com/operators/b-b-oil/039798
051290,"BARNETT ENERGY, INC.","The Colony, TX 75056",https://www.texas-drilling.com/operators/barnett-energy-inc/051290
053321,BARROW-SHAVER RESOURCES CO.,"Tyler, TX 75703",https://www.texas-drilling.com/operators/barrow-shaver-resources-co/053321
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",https://www.texas-drilling.com/operators/basa-resources-inc/053974
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/basic-energy-services-l-p/054313
054490,BASIN OPERATING CO. LTD.,"Tyler, TX 75703",https://www.texas-drilling.com/operators/basin-operating-co-ltd/054490
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/bass-enterprises-production-co/054700
056580,"BAXTER, MURPHY H.","Houston, TX 77002",https://www.texas-drilling.com/operators/baxter-murphy-h/056580
061750,"BEEHIVE OPERATING, LLC","Graham, TX 76450",https://www.texas-drilling.com/operators/beehive-operating-llc/061750
068596,BHP BILLITON PET(TXLA OP) CO,"Denver, CO 80202",https://www.texas-drilling.com/operators/bhp-billiton-pet-txla-op-co/068596
069432,BIG GAS OIL LLC,"Longview, TX 75604",https://www.texas-drilling.com/operators/big-gas-oil-llc/069432
070370,BIG RUN PRODUCTION COMPANY,"Tyler, TX 75701",https://www.texas-drilling.com/operators/big-run-production-company/070370
076393,"BLOW, J. B. & ROWAN, AL","Tyler, TX 75702",https://www.texas-drilling.com/operators/blow-j-b-rowan-al/076393
082447,BONI OIL INCORPORATED,"Nacogdoches, TX 75961",https://www.texas-drilling.com/operators/boni-oil-incorporated/082447
082519,"BONNER, JOE INC.","Crosby, TX 77532",https://www.texas-drilling.com/operators/bonner-joe-inc/082519
082570,"BOOHER ENGINEERING, INC.","Tyler, TX 75711",https://www.texas-drilling.com/operators/booher-engineering-inc/082570
084097,"BOWLES ENERGY, INC.","Longview, TX 75601",https://www.texas-drilling.com/operators/bowles-energy-inc/084097
040798,BP AMERICA PRODUCTION COMPANY,"Denver, CO 80202",https://www.texas-drilling.com/operators/bp-america-production-company/040798
085408,BPX OPERATING COMPANY,"Denver, CO 80202",https://www.texas-drilling.com/operators/bpx-operating-company/085408
088595,"BRAMMER ENGINEERING, INC.","Shreveport, LA 71101",https://www.texas-drilling.com/operators/brammer-engineering-inc/088595
088600,"BRAMMER PETROLEUM, INC.","Gainesville, TX 76241",https://www.texas-drilling.com/operators/brammer-petroleum-inc/088600
088620,"BRANDON ENERGY, INC.","Bullard, TX 75757",https://www.texas-drilling.com/operators/brandon-energy-inc/088620
088639,BRANGUS ENERGY LLC,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/brangus-energy-llc/088639
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",https://www.texas-drilling.com/operators/breck-operating-corp/089974
090870,BRG LONE STAR LTD.,"Tulsa, OK 74136",https://www.texas-drilling.com/operators/brg-lone-star-ltd/090870
090874,BRG PETROLEUM CORPORATION,"Tulsa, OK 74136",https://www.texas-drilling.com/operators/brg-petroleum-corporation/090874
090873,"BRG PETROLEUM, INC.","Tulsa, OK 74136",https://www.texas-drilling.com/operators/brg-petroleum-inc/090873
093548,BRISTOL RESOURCES CORPORATION,"Tulsa, OK 74170",https://www.texas-drilling.com/operators/bristol-resources-corporation/093548
102550,"BROWN, TOM INC.","Dallas, TX 75240",https://www.texas-drilling.com/operators/brown-tom-inc/102550
105035,BT OPERATING CO.,"Houston, TX 77057",https://www.texas-drilling.com/operators/bt-operating-co/105035
105997,BUCKHORN OILFIELD SERVICE INC,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/buckhorn-oilfield-service-inc/105997
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",https://www.texas-drilling.com/operators/buffco-production-inc/106406
106446,"BULL OIL COMPANY, LLC","Livingston, TX 77351",https://www.texas-drilling.com/operators/bull-oil-company-llc/106446
107570,"BURCOM, INC.","Houston, TX 77095",https://www.texas-drilling.com/operators/burcom-inc/107570
108799,"BURK ROYALTY CO., LTD.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/burk-royalty-co-ltd/108799
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/burk-royalty-company/108800
117200,BW CONSULTING COMPANY INC.,"Denison, TX 75020",https://www.texas-drilling.com/operators/bw-consulting-company-inc/117200
120531,C&J ENERGY SERVICES,"Houston, TX 77042",https://www.texas-drilling.com/operators/c-j-energy-services/120531
121212,"C6 OPERATING, L.L.C.","Keatchie, LA 71046",https://www.texas-drilling.com/operators/c6-operating-l-l-c/121212
121700,CABOT OIL & GAS CORPORATION,"Houston, TX 77024",https://www.texas-drilling.com/operators/cabot-oil-gas-corporation/121700
122565,"CADDO MANAGEMENT, INC.","Shreveport, LA 71101",https://www.texas-drilling.com/operators/caddo-management-inc/122565
128546,CALYX EXPLORATION & PROD. CORP.,"Dallas, TX 75231",https://www.texas-drilling.com/operators/calyx-exploration-prod-corp/128546
129004,"CAMTERRA RESOURCES, INC.","Marshall, TX 75671",https://www.texas-drilling.com/operators/camterra-resources-inc/129004
130353,"CAPE OPERATING, INC.","Longview, TX 75608",https://www.texas-drilling.com/operators/cape-operating-inc/130353
130358,"CAPE, RANDY","Tyler, TX 75703",https://www.texas-drilling.com/operators/cape-randy/130358
130760,"CARD OPERATING COMPANY, INC.","Tyler, TX 75713",https://www.texas-drilling.com/operators/card-operating-company-inc/130760
135318,"CARRIZO DRILLING & EXPLR CO, INC","Nacogdoches, TX 75961",https://www.texas-drilling.com/operators/carrizo-drilling-explr-co-inc/135318
135401,"CARRIZO OIL & GAS, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/carrizo-oil-gas-inc/135401
139555,"CASPEN OIL, INC.","Denver, CO 80226",https://www.texas-drilling.com/operators/caspen-oil-inc/139555
120027,CCI GULF COAST UPSTREAM LLC,"Teague, TX 75860",https://www.texas-drilling.com/operators/cci-gulf-coast-upstream-llc/120027
