Lease Number,Lease Name,Operator Name,Lease Link
953601,3 AMIGOS OIL CO.,"Odessa, TX 79766",https://www.texas-drilling.com/operators/3-amigos-oil-co/953601
953796,"3 S PRODUCTION, INC.","Cisco, TX 76437",https://www.texas-drilling.com/operators/3-s-production-inc/953796
953631,3-D OIL & GAS,"Winters, TX 79567",https://www.texas-drilling.com/operators/3-d-oil-gas/953631
953728,3-L DRILLING,"Abilene, TX 79605",https://www.texas-drilling.com/operators/3-l-drilling/953728
953706,3-M ENERGY CORPORATION,"San Angelo, TX 76902",https://www.texas-drilling.com/operators/3-m-energy-corporation/953706
953622,4D ENERGY CO.,"Sterling City, TX 76951",https://www.texas-drilling.com/operators/4d-energy-co/953622
000116,A - Z OPERATING LLC,"Winters, TX 79567",https://www.texas-drilling.com/operators/a-z-operating-llc/000116
000635,A. P. B. PETRO,"Winters, TX 79567",https://www.texas-drilling.com/operators/a-p-b-petro/000635
000141,"A.A.F. PRODUCTION CO., INC.","Abilene, TX 79606",https://www.texas-drilling.com/operators/a-a-f-production-co-inc/000141
000925,ABBA EXPLORATION,"Midland, TX 79701",https://www.texas-drilling.com/operators/abba-exploration/000925
002627,"ABILENE AMERICAN ENERGY, LLC","Abilene, TX 79602",https://www.texas-drilling.com/operators/abilene-american-energy-llc/002627
002635,ABILENE OIL & GAS CO.,"Abilene, TX 79604",https://www.texas-drilling.com/operators/abilene-oil-gas-co/002635
002636,"ABILENE OIL & GAS COMPANY, INC.","Abilene, TX 79604",https://www.texas-drilling.com/operators/abilene-oil-gas-company-inc/002636
003201,"ABTEX ENERGY, INC.","Abilene, TX 79608",https://www.texas-drilling.com/operators/abtex-energy-inc/003201
000183,"ACR EXPLORATION, INC.","Fort Worth, TX 76112",https://www.texas-drilling.com/operators/acr-exploration-inc/000183
003664,"ACTIVA RESOURCES, LLC","San Antonio, TX 78205",https://www.texas-drilling.com/operators/activa-resources-llc/003664
003975,ADAMS BRANCH EXPLORATION COMPANY,"Abilene, TX 79608",https://www.texas-drilling.com/operators/adams-branch-exploration-company/003975
007911,ADINO EXPLORATION,"Denham SPGS, LA 70726",https://www.texas-drilling.com/operators/adino-exploration/007911
008573,AFVET OPERATING INCORPORATED,"Abilene, TX 79602",https://www.texas-drilling.com/operators/afvet-operating-incorporated/008573
008587,"AGAVE OPERATING, LP","Midland, TX 79702",https://www.texas-drilling.com/operators/agave-operating-lp/008587
010070,ALAMO PET. CO.,"Houston, TX 77042",https://www.texas-drilling.com/operators/alamo-pet-co/010070
010450,"ALARON ENERGY, INC.","Irving, TX 75038",https://www.texas-drilling.com/operators/alaron-energy-inc/010450
011653,"ALEXANDER - HERRING, INC.","Lubbock, TX 79424",https://www.texas-drilling.com/operators/alexander-herring-inc/011653
012368,"ALEXANDER RESOURCES, INC.","Abilene, TX 79608",https://www.texas-drilling.com/operators/alexander-resources-inc/012368
012465,ALHANCO ENERGY CORPORATION,"Midland, TX 79701",https://www.texas-drilling.com/operators/alhanco-energy-corporation/012465
014998,"ALL-SOUTHWEST PETROLEUM, INC.","Lubbock, TX 79424",https://www.texas-drilling.com/operators/all-southwest-petroleum-inc/014998
013305,"ALLEGRO INVESTMENTS, INC.","Victoria, TX 77903",https://www.texas-drilling.com/operators/allegro-investments-inc/013305
013555,"ALLEGRO OPERATING, INC.","Abilene, TX 79604",https://www.texas-drilling.com/operators/allegro-operating-inc/013555
015098,"ALON USA, LP","Big Spring, TX 79720",https://www.texas-drilling.com/operators/alon-usa-lp/015098
015142,"ALPINE GAS COMPANY, LLC","Dallas, TX 75201",https://www.texas-drilling.com/operators/alpine-gas-company-llc/015142
015646,"ALSABROOK & EDWARDS OIL CO., INC","Dallas, TX 75225",https://www.texas-drilling.com/operators/alsabrook-edwards-oil-co-inc/015646
015645,ALSABROOK&EDWARDS OIL CO.,"Dallas, TX 75206",https://www.texas-drilling.com/operators/alsabrook-edwards-oil-co/015645
017900,"AMERICAN CASCADE ENERGY, INC.","Barker, TX 77413",https://www.texas-drilling.com/operators/american-cascade-energy-inc/017900
