Lease Number,Lease Name,Operator Name,Lease Link
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",https://www.texas-drilling.com/operators/3tec-energy-corporation/953592
953764,"4 E OPERATING, INC.","Jefferson, TX 75657",https://www.texas-drilling.com/operators/4-e-operating-inc/953764
955005,4-SIGHT OPERATING COMPANY,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/4-sight-operating-company/955005
403077,"4-SIGHT OPERATING COMPANY, LTD.","Kilgore, TX 75663",https://www.texas-drilling.com/operators/4-sight-operating-company-ltd/403077
955014,49.6 CORP.,"Austin, TX 78759",https://www.texas-drilling.com/operators/49-6-corp/955014
953760,4R OIL COMPANY,"Tyler, TX 75703",https://www.texas-drilling.com/operators/4r-oil-company/953760
953761,5R OIL COMPANY,"Tyler, TX 75703",https://www.texas-drilling.com/operators/5r-oil-company/953761
000351,A J A COMPANIES,"Tyler, TX 75703",https://www.texas-drilling.com/operators/a-j-a-companies/000351
000118,AAA OIL TRUST,"Weatherford, TX 76088",https://www.texas-drilling.com/operators/aaa-oil-trust/000118
002000,"ABERCROMBIE, J.S., MIN. CO.,INC.","Houston, TX 77227",https://www.texas-drilling.com/operators/abercrombie-j-s-min-co-inc/002000
002987,"ABLEREADY, INC.","Houston, TX 77269",https://www.texas-drilling.com/operators/ableready-inc/002987
003645,"AC EXPLORATION, LLC","Houston, TX 77024",https://www.texas-drilling.com/operators/ac-exploration-llc/003645
003399,"ACCIDIE EXPLORATION AND DEV.,INC","Plano, TX 75023",https://www.texas-drilling.com/operators/accidie-exploration-and-dev-inc/003399
003577,ACIREMA CORPORATION,"Longview, TX 75608",https://www.texas-drilling.com/operators/acirema-corporation/003577
007788,ADAMSON EXPLORATION CO.,"Kilgore, TX 75662",https://www.texas-drilling.com/operators/adamson-exploration-co/007788
007894,ADEXCO OPERATING COMPANY,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/adexco-operating-company/007894
007945,"ADKINSON, B. J.","White Oak, TX 75693",https://www.texas-drilling.com/operators/adkinson-b-j/007945
008398,ADOBE RESOURCES CORPORATION,"Houston, TX 77057",https://www.texas-drilling.com/operators/adobe-resources-corporation/008398
008742,AGUA LIBRE MIDSTREAM LLC,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/agua-libre-midstream-llc/008742
009765,AL-TX OPERATING INC.,"Plum, TX 78952",https://www.texas-drilling.com/operators/al-tx-operating-inc/009765
010070,ALAMO PET. CO.,"Houston, TX 77042",https://www.texas-drilling.com/operators/alamo-pet-co/010070
011445,"ALEGRE ENERGY OPERATING, LP","San Antonio, TX 78216",https://www.texas-drilling.com/operators/alegre-energy-operating-lp/011445
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",https://www.texas-drilling.com/operators/alegre-energy-inc/011441
015719,ALTA VISTA ENERGY LLC,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/alta-vista-energy-llc/015719
015730,ALTAIR ENERGY CORP.,"Tyler, TX 75702",https://www.texas-drilling.com/operators/altair-energy-corp/015730
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",https://www.texas-drilling.com/operators/amax-oil-gas-inc/016859
016860,AMAX PETROLEUM CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/amax-petroleum-corporation/016860
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",https://www.texas-drilling.com/operators/amerada-hess-corporation/016980
018870,AMERICAN OPERATING COMPANY,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/american-operating-company/018870
018883,AMERICAN PATRIOT OPERATING CORP.,"Highland, IL 62249",https://www.texas-drilling.com/operators/american-patriot-operating-corp/018883
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",https://www.texas-drilling.com/operators/american-petrofina-co-of-tex/018900
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
020467,AMPLIFY ENERGY OPERATING LLC,"Houston, TX 77002",https://www.texas-drilling.com/operators/amplify-energy-operating-llc/020467
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-e-p-company-lp/020542
020528,ANADARKO E&P ONSHORE LLC,"Houston, TX 77046",https://www.texas-drilling.com/operators/anadarko-e-p-onshore-llc/020528
020579,"ANATOLE EXPLORATION, INC.","Longview, TX 75608",https://www.texas-drilling.com/operators/anatole-exploration-inc/020579
020845,"ANDERSON, ARNOLD","Arlington, TX 76012",https://www.texas-drilling.com/operators/anderson-arnold/020845
024126,"ANDREW ALAN EXPLORATION, INC.","Kilgore, TX 75663",https://www.texas-drilling.com/operators/andrew-alan-exploration-inc/024126
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
028724,ARCADIA EXPL. & PROD. COMPANY,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/arcadia-expl-prod-company/028724
028730,ARCADIA REFINING CO.,"Tyler, TX 75701",https://www.texas-drilling.com/operators/arcadia-refining-co/028730
