Lease Number,Lease Name,Operator Name,Lease Link
953535,31 OPERATING LLC,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/31-operating-llc/953535
008555,AETHON ENERGY OPERATING LLC,"Dallas, TX 75251",https://www.texas-drilling.com/operators/aethon-energy-operating-llc/008555
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",https://www.texas-drilling.com/operators/basa-resources-inc/053974
058893,"BC OPERATING, INC.","Midland, TX 79710",https://www.texas-drilling.com/operators/bc-operating-inc/058893
040798,BP AMERICA PRODUCTION COMPANY,"Denver, CO 80202",https://www.texas-drilling.com/operators/bp-america-production-company/040798
085408,BPX OPERATING COMPANY,"Denver, CO 80202",https://www.texas-drilling.com/operators/bpx-operating-company/085408
093394,"BRINE TEXAS USA, LLC","Columbus, MT 59019",https://www.texas-drilling.com/operators/brine-texas-usa-llc/093394
102550,"BROWN, TOM INC.","Dallas, TX 75240",https://www.texas-drilling.com/operators/brown-tom-inc/102550
104150,"BRUNO, EARL R.","Kerrville, TX 78029",https://www.texas-drilling.com/operators/bruno-earl-r/104150
102367,BUCKHORN OPERATING LLC,"MT Enterprise, TX 75681",https://www.texas-drilling.com/operators/buckhorn-operating-llc/102367
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",https://www.texas-drilling.com/operators/buffco-production-inc/106406
121212,"C6 OPERATING, L.L.C.","Keatchie, LA 71046",https://www.texas-drilling.com/operators/c6-operating-l-l-c/121212
121700,CABOT OIL & GAS CORPORATION,"Houston, TX 77024",https://www.texas-drilling.com/operators/cabot-oil-gas-corporation/121700
126996,"CAMERON EXPLORATION, INC.","Longview, TX 75604",https://www.texas-drilling.com/operators/cameron-exploration-inc/126996
127230,"CAMERON, PAUL E., JR., INC.","Montgomery, TX 77356",https://www.texas-drilling.com/operators/cameron-paul-e-jr-inc/127230
135318,"CARRIZO DRILLING & EXPLR CO, INC","Nacogdoches, TX 75961",https://www.texas-drilling.com/operators/carrizo-drilling-explr-co-inc/135318
137330,CARTER RESOURCES,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/carter-resources/137330
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/chesapeake-operating-inc/147715
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/chesapeake-operating-l-l-c/147699
169728,"COMMON DISPOSAL, LLC","Chireno, TX 75937",https://www.texas-drilling.com/operators/common-disposal-llc/169728
169727,COMMON RESOURCES L.L.C.,"The Woodlands, TX 77380",https://www.texas-drilling.com/operators/common-resources-l-l-c/169727
170038,"COMSTOCK OIL & GAS, LLC","Frisco, TX 75034",https://www.texas-drilling.com/operators/comstock-oil-gas-llc/170038
173206,"CONTANGO RESOURCES, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/contango-resources-inc/173206
182848,COVEY PARK RESOURCES LLC,"Frisco, TX 75034",https://www.texas-drilling.com/operators/covey-park-resources-llc/182848
190005,"CRIMSON EXPLORATION OPER., INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/crimson-exploration-oper-inc/190005
197650,"DALLAS EXPLORATION, INC.","Dallas, TX 75206",https://www.texas-drilling.com/operators/dallas-exploration-inc/197650
205800,DAVIS OIL COMPANY,"New Orleans, LA 70130",https://www.texas-drilling.com/operators/davis-oil-company/205800
216378,"DEVON ENERGY PRODUCTION CO, L.P.","Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/devon-energy-production-co-l-p/216378
224998,DOUBLE-O-OPERATING LLC,"Shelbyville, TX 75973",https://www.texas-drilling.com/operators/double-o-operating-llc/224998
229385,"DUAL PRODUCTION PARTNERS, LLC","Nacogdoches, TX 75963",https://www.texas-drilling.com/operators/dual-production-partners-llc/229385
238634,EAGLE OIL & GAS CO.,"Dallas, TX 75225",https://www.texas-drilling.com/operators/eagle-oil-gas-co/238634
239237,"EASTEX INJECTION, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/eastex-injection-inc/239237
241349,"ECLIPSE OIL & GAS, INC.","Midland, TX 79703",https://www.texas-drilling.com/operators/eclipse-oil-gas-inc/241349
251691,ENCANA OIL & GAS(USA) INC.,"Denver, CO 80202",https://www.texas-drilling.com/operators/encana-oil-gas-usa-inc/251691
252059,ENERQUEST CORPORATION,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/enerquest-corporation/252059
253162,"EOG RESOURCES, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/eog-resources-inc/253162
255136,"ETOPSI OIL AND GAS, L.L.C.","Kilgore, TX 75663",https://www.texas-drilling.com/operators/etopsi-oil-and-gas-l-l-c/255136
255142,"ETX FLUID SOLUTIONS, LLC","Center, TX 75935",https://www.texas-drilling.com/operators/etx-fluid-solutions-llc/255142
256915,"EXCO OPERATING COMPANY, LP","Dallas, TX 75251",https://www.texas-drilling.com/operators/exco-operating-company-lp/256915
257097,EXXON CORP.,"Houston, TX 77210",https://www.texas-drilling.com/operators/exxon-corp/257097
257716,FAIR ENERGY,"Tyler, TX 75710",https://www.texas-drilling.com/operators/fair-energy/257716
268969,FIRST ENERGY CORP. OF MISS.,"Jackson, MS 39215",https://www.texas-drilling.com/operators/first-energy-corp-of-miss/268969
278755,FORTUNE RESOURCES LLC,"Longview, TX 75604",https://www.texas-drilling.com/operators/fortune-resources-llc/278755
278844,"FOSSIL RESOURCES, INC.","Dallas, TX 75252",https://www.texas-drilling.com/operators/fossil-resources-inc/278844
301927,GERMANY OPERATING COMPANY,"Houston, TX 77090",https://www.texas-drilling.com/operators/germany-operating-company/301927
313165,GOLDKING PROD. CO.,"Houston, TX 77002",https://www.texas-drilling.com/operators/goldking-prod-co/313165
338117,GULF MINERAL RESOURCES CO.,"Denver, CO 80222",https://www.texas-drilling.com/operators/gulf-mineral-resources-co/338117
356430,HARDING COMPANY,"Dallas, TX 75244",https://www.texas-drilling.com/operators/harding-company/356430
383746,HIBBARD ENERGY,"Tyler, TX 75703",https://www.texas-drilling.com/operators/hibbard-energy/383746
383757,"HIBBARD ENERGY, LP","Whitehouse, TX 75791",https://www.texas-drilling.com/operators/hibbard-energy-lp/383757
385669,"HIGH ROLLER WELLS, L.L.C.","Center, TX 75935",https://www.texas-drilling.com/operators/high-roller-wells-l-l-c/385669
403102,"HOUSTON OIL COMPANY, INC.","Houston, TX 77081",https://www.texas-drilling.com/operators/houston-oil-company-inc/403102
416540,HUNT PETROLEUM CORPORATION,"Dallas, TX 75201",https://www.texas-drilling.com/operators/hunt-petroleum-corporation/416540
424609,INLAND OIL AND GAS,"Nacogdoches, TX 75961",https://www.texas-drilling.com/operators/inland-oil-and-gas/424609
424611,"INLAND OIL AND GAS COMPANY, INC.","Chireno, TX 75937",https://www.texas-drilling.com/operators/inland-oil-and-gas-company-inc/424611
425801,"IP PETROLEUM COMPANY, INC.","Houston, TX 77210",https://www.texas-drilling.com/operators/ip-petroleum-company-inc/425801
430685,JEFFCOAT PRODUCTION COMPANY INC.,"Spurger, TX 77660",https://www.texas-drilling.com/operators/jeffcoat-production-company-inc/430685
448231,"JURASSIC EXPLORATION, INC.","Longview, TX 75601",https://www.texas-drilling.com/operators/jurassic-exploration-inc/448231
450205,KAISER OIL (U S) LTD.,"Houston, TX 77008",https://www.texas-drilling.com/operators/kaiser-oil-u-s-ltd/450205
469901,"KJ ENERGY, LLC","MT Enterprise, TX 75681",https://www.texas-drilling.com/operators/kj-energy-llc/469901
478409,KT OPERATING COMPANY LLC,"Dallas, TX 75231",https://www.texas-drilling.com/operators/kt-operating-company-llc/478409
479574,L.C.S. PRODUCTION COMPANY,"Abilene, TX 79608",https://www.texas-drilling.com/operators/l-c-s-production-company/479574
487440,"LASES COMPANY, INC.","Winnie, TX 77665",https://www.texas-drilling.com/operators/lases-company-inc/487440
491750,"LEAR PETROLEUM EXPLORATION, INC.","Dallas, TX 75206",https://www.texas-drilling.com/operators/lear-petroleum-exploration-inc/491750
500280,"LIBERTY OPERATING COMPANY, INC.","Lake Dallas, TX 75065",https://www.texas-drilling.com/operators/liberty-operating-company-inc/500280
500793,"LIME ROCK RESOURCES III-A, L.P.","Houston, TX 77002",https://www.texas-drilling.com/operators/lime-rock-resources-iii-a-l-p/500793
507975,"LONGBRANCH ENERGY, LP","Center, TX 75935",https://www.texas-drilling.com/operators/longbranch-energy-lp/507975
525380,MARATHON OIL COMPANY,"Houston, TX 77024",https://www.texas-drilling.com/operators/marathon-oil-company/525380
537280,"MCALPIN, C.J.","Baytown, TX 77520",https://www.texas-drilling.com/operators/mcalpin-c-j/537280
561136,MERIT ENERGY COMPANY,"Dallas, TX 75240",https://www.texas-drilling.com/operators/merit-energy-company/561136
564682,"MIDAS RESOURCES, INC.","Corpus Chrsti, TX 78403",https://www.texas-drilling.com/operators/midas-resources-inc/564682
100308,North Lake Resources LLC,"Oklahoma City, OK 73132",https://www.texas-drilling.com/operators/north-lake-resources-llc/100308
618275,"ODESSA EXPLORATION, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/odessa-exploration-inc/618275
628658,OVINTIV USA INC.,"Denver, CO 80202",https://www.texas-drilling.com/operators/ovintiv-usa-inc/628658
636222,PALMER PETROLEUM INC.,"Shreveport, LA 71105",https://www.texas-drilling.com/operators/palmer-petroleum-inc/636222
650153,"PEDECO, INC.","Casper, WY 82601",https://www.texas-drilling.com/operators/pedeco-inc/650153
650635,PEGASUS PETROLEUM CORPORATION,"Corpus Chrsti, TX 78476",https://www.texas-drilling.com/operators/pegasus-petroleum-corporation/650635
