Lease Number,Lease Name,Operator Name,Lease Link
953733,3 WAY OPERATING COMPANY,"Midland, TX 79702",https://www.texas-drilling.com/operators/3-way-operating-company/953733
953706,3-M ENERGY CORPORATION,"San Angelo, TX 76902",https://www.texas-drilling.com/operators/3-m-energy-corporation/953706
953535,31 OPERATING LLC,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/31-operating-llc/953535
954992,"7S OIL & GAS, LLC","Midland, TX 79706",https://www.texas-drilling.com/operators/7s-oil-gas-llc/954992
001420,ABEL PRODUCTION COMPANY,"San Angelo, TX 76904",https://www.texas-drilling.com/operators/abel-production-company/001420
002557,ABERDEEN PETROLEUM (USA) INC.,"Abilene, TX 79608",https://www.texas-drilling.com/operators/aberdeen-petroleum-usa-inc/002557
003996,ADAMS RESOURCES EXPL. CORP.,"Houston, TX 77001",https://www.texas-drilling.com/operators/adams-resources-expl-corp/003996
007832,"ADCOCK, CAROL","Ozona, TX 76943",https://www.texas-drilling.com/operators/adcock-carol/007832
007838,"ADCOCK, DON","Sonora, TX 76950",https://www.texas-drilling.com/operators/adcock-don/007838
007830,"ADCOCK, LEROY","Ozona, TX 76943",https://www.texas-drilling.com/operators/adcock-leroy/007830
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",https://www.texas-drilling.com/operators/adobe-oil-gas-corp/008380
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",https://www.texas-drilling.com/operators/alegre-energy-inc/011441
013555,"ALLEGRO OPERATING, INC.","Abilene, TX 79604",https://www.texas-drilling.com/operators/allegro-operating-inc/013555
015734,ALTA ENERGY CORPORATION,"Midland, TX 79701",https://www.texas-drilling.com/operators/alta-energy-corporation/015734
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",https://www.texas-drilling.com/operators/amax-oil-gas-inc/016859
016860,AMAX PETROLEUM CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/amax-petroleum-corporation/016860
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/american-cometra-inc/018008
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/american-exploration-company/018023
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",https://www.texas-drilling.com/operators/american-petrofina-co-of-tex/018900
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-e-p-company-lp/020542
022547,"ANDERSON PETROLEUM, INC.","Denver, CO 80203",https://www.texas-drilling.com/operators/anderson-petroleum-inc/022547
022275,"ANDERSON, JAMES K. INC.","Abilene, TX 79608",https://www.texas-drilling.com/operators/anderson-james-k-inc/022275
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
027457,"APEX ROYALTIES, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/apex-royalties-inc/027457
028625,APPROACH OPERATING LLC,"Fort Worth, TX 76116",https://www.texas-drilling.com/operators/approach-operating-llc/028625
028700,"ARAPAHO PETROLEUM, INCORPORATED","Englewood, CO 80155",https://www.texas-drilling.com/operators/arapaho-petroleum-incorporated/028700
029272,"ARCH OIL & GAS, LLC","Dallas, TX 75254",https://www.texas-drilling.com/operators/arch-oil-gas-llc/029272
028910,"ARCHER, A. R., JR.","Bastrop, TX 78602",https://www.texas-drilling.com/operators/archer-a-r-jr/028910
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",https://www.texas-drilling.com/operators/arco-oil-gas-co/029340
029420,ARDEN OIL CORP.,"Midland, TX 79702",https://www.texas-drilling.com/operators/arden-oil-corp/029420
100320,Ardent Energy LLC,"Edmond, OK 73083",https://www.texas-drilling.com/operators/ardent-energy-llc/100320
030123,"ARIES EXPLORATION CO., INC.","San Angelo, TX 76903",https://www.texas-drilling.com/operators/aries-exploration-co-inc/030123
030129,"ARIES OPERATING, LLC","Houston, TX 77010",https://www.texas-drilling.com/operators/aries-operating-llc/030129
030128,"ARIES OPERATING, LP","Houston, TX 77042",https://www.texas-drilling.com/operators/aries-operating-lp/030128
033148,"ARRINGTON,DAVID H. OIL & GAS,INC","Midland, TX 79702",https://www.texas-drilling.com/operators/arrington-david-h-oil-gas-inc/033148
033520,"ARROWHEAD PETROLEUM, INC.","Lubbock, TX 79452",https://www.texas-drilling.com/operators/arrowhead-petroleum-inc/033520
035575,ASSOCIATED OPERATING & EXPLOR.,"Dallas, TX 75243",https://www.texas-drilling.com/operators/associated-operating-explor/035575
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",https://www.texas-drilling.com/operators/atlantic-richfield-co/036550
036587,ATLAS OPERATING LLC,"Houston, TX 77056",https://www.texas-drilling.com/operators/atlas-operating-llc/036587
040403,B & G ENERGY CORPORATION,"Dallas, TX 75214",https://www.texas-drilling.com/operators/b-g-energy-corporation/040403
044365,BAKER RESOURCES,"San Angelo, TX 76902",https://www.texas-drilling.com/operators/baker-resources/044365
047208,"BALD EAGLE PRODUCTION CO., INC.","Snyder, TX 79549",https://www.texas-drilling.com/operators/bald-eagle-production-co-inc/047208
100301,Bankhead E & P LLC,"Farmers BRNCH, TX 75234",https://www.texas-drilling.com/operators/bankhead-e-p-llc/100301
048403,BANKHEAD OPERATING CORP.,"Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/bankhead-operating-corp/048403
048980,"BARBEE, R. L. OPERATING","Corpus Chrsti, TX 78413",https://www.texas-drilling.com/operators/barbee-r-l-operating/048980
049145,"BARBEE, R.L. OPERATING, INC.","Corpus Chrsti, TX 78427",https://www.texas-drilling.com/operators/barbee-r-l-operating-inc/049145
049195,"BARFIELD, GEORGE F.","Andrews, TX 79714",https://www.texas-drilling.com/operators/barfield-george-f/049195
053302,BARRON PETROLEUM LLC,"San Antonio, TX 78205",https://www.texas-drilling.com/operators/barron-petroleum-llc/053302
056555,"BAXTER, KELLY H.","Austin, TX 78767",https://www.texas-drilling.com/operators/baxter-kelly-h/056555
056536,"BAXTER, KELLY H. OIL AND GAS CO.","Austin, TX 78767",https://www.texas-drilling.com/operators/baxter-kelly-h-oil-and-gas-co/056536
058832,"BAYLOR OPERATING, LLC","Austin, TX 78766",https://www.texas-drilling.com/operators/baylor-operating-llc/058832
058833,BAYSHORE EXPLORATION LLC,"Bellville, TX 77418",https://www.texas-drilling.com/operators/bayshore-exploration-llc/058833
058873,"BAYTECH, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/baytech-inc/058873
058893,"BC OPERATING, INC.","Midland, TX 79710",https://www.texas-drilling.com/operators/bc-operating-inc/058893
064785,"BENNETT, M. BRAD INC.","Midland, TX 79710",https://www.texas-drilling.com/operators/bennett-m-brad-inc/064785
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",https://www.texas-drilling.com/operators/bettis-boyle-stovall/068360
068405,BETWELL OIL & GAS COMPANY,"Hialeah, FL 33002",https://www.texas-drilling.com/operators/betwell-oil-gas-company/068405
069440,BIG FOUR OIL AND GAS,"Lubbock, TX 79413",https://www.texas-drilling.com/operators/big-four-oil-and-gas/069440
073306,BLACKSTONE ENERGY SERVICES LLC,"Christoval, TX 76935",https://www.texas-drilling.com/operators/blackstone-energy-services-llc/073306
074003,BLAIR ENERGY JOINT VENTURE,"Midland, TX 79702",https://www.texas-drilling.com/operators/blair-energy-joint-venture/074003
074344,"BLAKE PRODUCTION COMPANY, INC.","Oklahoma City, OK 73118",https://www.texas-drilling.com/operators/blake-production-company-inc/074344
075355,BLANKS ENERGY CORPORATION,"Midland, TX 79702",https://www.texas-drilling.com/operators/blanks-energy-corporation/075355
075675,"BLEDSOE PARTNERS, INC.","Oklahoma City, OK 73120",https://www.texas-drilling.com/operators/bledsoe-partners-inc/075675
078032,"BOAZ ENERGY II OPERATING, LLC","Midland, TX 79705",https://www.texas-drilling.com/operators/boaz-energy-ii-operating-llc/078032
078050,"BOB HUGHES OIL COMPANY, LLC","San Angelo, TX 76901",https://www.texas-drilling.com/operators/bob-hughes-oil-company-llc/078050
082443,BONFIRE OPERATING LLC,"Cresson, TX 76035",https://www.texas-drilling.com/operators/bonfire-operating-llc/082443
082450,BONITA HYDROCARBONS CO.,"Dallas, TX 75229",https://www.texas-drilling.com/operators/bonita-hydrocarbons-co/082450
084796,BOYD & MCWILLIAMS CORPORATION,"Midland, TX 79701",https://www.texas-drilling.com/operators/boyd-mcwilliams-corporation/084796
084545,BOYD & MCWILLIAMS ENERGY GROUP,"Midland, TX 79701",https://www.texas-drilling.com/operators/boyd-mcwilliams-energy-group/084545
084630,"BOYD, FOY MANAGEMENT CORP.","Midland, TX 79702",https://www.texas-drilling.com/operators/boyd-foy-management-corp/084630
085370,BP PROD. CORP.,"Richardson, TX 75083",https://www.texas-drilling.com/operators/bp-prod-corp/085370
088577,"BRAMAN, D. H., JR.","Victoria, TX 77901",https://www.texas-drilling.com/operators/braman-d-h-jr/088577
089956,BRAZOS GROVER OIL,"Midland, TX 79702",https://www.texas-drilling.com/operators/brazos-grover-oil/089956
089961,BRAZOS PETROLEUM CO.,"Midland, TX 79702",https://www.texas-drilling.com/operators/brazos-petroleum-co/089961
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",https://www.texas-drilling.com/operators/breck-operating-corp/089974
090709,BREEZE PRODUCTION COMPANY,"Tulsa, OK 74136",https://www.texas-drilling.com/operators/breeze-production-company/090709
090710,"BREEZE RESOURCES, INC.","Tulsa, OK 74136",https://www.texas-drilling.com/operators/breeze-resources-inc/090710
090732,BREITBURN OPERATING L.P.,"Houston, TX 77002",https://www.texas-drilling.com/operators/breitburn-operating-l-p/090732
093548,BRISTOL RESOURCES CORPORATION,"Tulsa, OK 74170",https://www.texas-drilling.com/operators/bristol-resources-corporation/093548
094630,BRITTON MANAGEMENT CORP.,"Midland, TX 79701",https://www.texas-drilling.com/operators/britton-management-corp/094630
095795,"BROCKETT, C. H.","Midland, TX 79702",https://www.texas-drilling.com/operators/brockett-c-h/095795
097032,"BROOKS, BILLEE K.","Dallas, TX 75206",https://www.texas-drilling.com/operators/brooks-billee-k/097032
097035,"BROOKS, E. B., JR.","Dallas, TX 75206",https://www.texas-drilling.com/operators/brooks-e-b-jr/097035
097478,BROTHERS PRODUCTION COMPANY INC.,"Midland, TX 79708",https://www.texas-drilling.com/operators/brothers-production-company-inc/097478
099752,"BROWN, FRED G. INC.","Midland, TX 79703",https://www.texas-drilling.com/operators/brown-fred-g-inc/099752
102550,"BROWN, TOM INC.","Dallas, TX 75240",https://www.texas-drilling.com/operators/brown-tom-inc/102550
041519,"BRP ENERGY, LLC","San Angelo, TX 76902",https://www.texas-drilling.com/operators/brp-energy-llc/041519
105005,"BSP OPERATING, LLC","Canada, 00100",https://www.texas-drilling.com/operators/bsp-operating-llc/105005
106343,"BUD OIL, INC.","Duncan, OK 73534",https://www.texas-drilling.com/operators/bud-oil-inc/106343
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/burk-royalty-company/108800
111020,"BURNS, R. L. CORPORATION","Dallas, TX 75270",https://www.texas-drilling.com/operators/burns-r-l-corporation/111020
112685,BUSTAMANTE OIL COMPANY,"Midland, TX 79710",https://www.texas-drilling.com/operators/bustamante-oil-company/112685
112682,BUSTAMANTE RESOURCES LLC,"Midland, TX 79710",https://www.texas-drilling.com/operators/bustamante-resources-llc/112682
117237,"BVX OPERATING, INC.","Boerne, TX 78006",https://www.texas-drilling.com/operators/bvx-operating-inc/117237
118748,BYRD OPERATING COMPANY,"Midland, TX 79702",https://www.texas-drilling.com/operators/byrd-operating-company/118748
120073,"C & E OPERATOR'S, INC.","Dallas, TX 75225",https://www.texas-drilling.com/operators/c-e-operator-s-inc/120073
120089,"C & F PETROLEUM, INC.","San Angelo, TX 76902",https://www.texas-drilling.com/operators/c-f-petroleum-inc/120089
121220,CABANA OIL CORP.,"Abilene, TX 79608",https://www.texas-drilling.com/operators/cabana-oil-corp/121220
121932,CABOT PETROLEUM CORPORATION,"Oklahoma City, OK 73114",https://www.texas-drilling.com/operators/cabot-petroleum-corporation/121932
122160,CACTUS OPERATING COMPANY,"Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/cactus-operating-company/122160
122190,"CADASCO, INC.","Fort Worth, TX 76133",https://www.texas-drilling.com/operators/cadasco-inc/122190
125965,CAL-TEX NATURAL GAS CORP.,"Dallas, TX 75201",https://www.texas-drilling.com/operators/cal-tex-natural-gas-corp/125965
126996,"CAMERON EXPLORATION, INC.","Longview, TX 75604",https://www.texas-drilling.com/operators/cameron-exploration-inc/126996
129965,CANYON OPERATING UNIT,"San Angelo, TX 76904",https://www.texas-drilling.com/operators/canyon-operating-unit/129965
129987,CANYON PLATEAU EXPLORATION,"San Angelo, TX 76904",https://www.texas-drilling.com/operators/canyon-plateau-exploration/129987
129985,CANYON PLATEAU PARTNERSHIP,"San Angelo, TX 76902",https://www.texas-drilling.com/operators/canyon-plateau-partnership/129985
130023,"CANYON SERIES EXPLORATION, INC.","Clyde, TX 79510",https://www.texas-drilling.com/operators/canyon-series-exploration-inc/130023
130432,"CAPITOL WELL SERVICING CO., INC.","Oklahoma City, OK 73143",https://www.texas-drilling.com/operators/capitol-well-servicing-co-inc/130432
130434,CAPLAN CORPORATION,"San Angelo, TX 76903",https://www.texas-drilling.com/operators/caplan-corporation/130434
130454,"CAPPS, R. OIL CORP.","Midland, TX 79704",https://www.texas-drilling.com/operators/capps-r-oil-corp/130454
130690,CARAWAY OPERATING CO.,"San Angelo, TX 76902",https://www.texas-drilling.com/operators/caraway-operating-co/130690
139611,CASS ENERGY CORP,"Dallas, TX 75225",https://www.texas-drilling.com/operators/cass-energy-corp/139611
141030,CENTAUR PETROLEUM CORPORATION,"Fort Worth, TX 76101",https://www.texas-drilling.com/operators/centaur-petroleum-corporation/141030
143750,CHAMPLIN PETROLEUM CO.,"Houston, TX 77002",https://www.texas-drilling.com/operators/champlin-petroleum-co/143750
144535,"CHAPARRAL ENERGY, L.L.C.","Oklahoma City, OK 73142",https://www.texas-drilling.com/operators/chaparral-energy-l-l-c/144535
147210,"CHEEK, BILL","Dallas, TX 75225",https://www.texas-drilling.com/operators/cheek-bill/147210
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/chesapeake-operating-inc/147715
147862,"CHEVRON MIDCONTINENT, L.P.","Midland, TX 79706",https://www.texas-drilling.com/operators/chevron-midcontinent-l-p/147862
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",https://www.texas-drilling.com/operators/chevron-u-s-a-inc/148113
148123,"CHI OPERATING, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/chi-operating-inc/148123
149454,"CHISHOLM OPERATING, INC.","Abilene, TX 79606",https://www.texas-drilling.com/operators/chisholm-operating-inc/149454
149441,"CHISOS OPERATING, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/chisos-operating-inc/149441
150683,"CHOLLA PETROLEUM, INC.","Dallas, TX 75225",https://www.texas-drilling.com/operators/cholla-petroleum-inc/150683
152910,CHRISTICO PETROLEUM COMPANY,"San Antonio, TX 78216",https://www.texas-drilling.com/operators/christico-petroleum-company/152910
153429,CIMAREX ENERGY CO. OF COLORADO,"Midland, TX 79706",https://www.texas-drilling.com/operators/cimarex-energy-co-of-colorado/153429
154255,CITIES SERVICE COMPANY,"Midland, TX 79710",https://www.texas-drilling.com/operators/cities-service-company/154255
154375,CITIES SERVICE OIL & GAS CORP.,"Tulsa, OK 74102",https://www.texas-drilling.com/operators/cities-service-oil-gas-corp/154375
156735,"CLARK EXPL. & PROD., CO., INC.","Austin, TX 78746",https://www.texas-drilling.com/operators/clark-expl-prod-co-inc/156735
157300,"CLARK, JOHN M.","Midland, TX 79701",https://www.texas-drilling.com/operators/clark-john-m/157300
159643,CLEAR WATER INC.,"Midland, TX 79710",https://www.texas-drilling.com/operators/clear-water-inc/159643
159750,CLEERE OPERATING COMPANY,"San Angelo, TX 76902",https://www.texas-drilling.com/operators/cleere-operating-company/159750
160655,"CLIFTON, JOE B. EXPLORATION, INC","Pauls Valley, OK 73075",https://www.texas-drilling.com/operators/clifton-joe-b-exploration-inc/160655
101415,"CLR Secondary Recovery, LLC","Wichita Falls, TX 76306",https://www.texas-drilling.com/operators/clr-secondary-recovery-llc/101415
164448,"CODA ENERGY, INC.","Dallas, TX 75231",https://www.texas-drilling.com/operators/coda-energy-inc/164448
166150,COG OPERATING LLC,"Midland, TX 79701",https://www.texas-drilling.com/operators/cog-operating-llc/166150
167035,"COLA PETROLEUM, INC.","Midland, TX 79701",https://www.texas-drilling.com/operators/cola-petroleum-inc/167035
170141,CONCHO EXPLORATION INC,"Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/concho-exploration-inc/170141
170181,CONCHO RESOURCES INC.,"Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/concho-resources-inc/170181
173206,"CONTANGO RESOURCES, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/contango-resources-inc/173206
100222,"Contango Resources, LLC","Houston, TX 77002",https://www.texas-drilling.com/operators/contango-resources-llc/100222
177301,COPPERTOP,"San Angelo, TX 76904",https://www.texas-drilling.com/operators/coppertop/177301
178450,CORLENA OIL COMPANY,"Amarillo, TX 79101",https://www.texas-drilling.com/operators/corlena-oil-company/178450
180543,"COSTILLA ENERGY, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/costilla-energy-inc/180543
180545,COSTILLA PETROLEUM CORPORATION,"Midland, TX 79702",https://www.texas-drilling.com/operators/costilla-petroleum-corporation/180545
188584,CREGO EXPLORATION,"Dallas, TX 75243",https://www.texas-drilling.com/operators/crego-exploration/188584
189885,CREST OPERATING COMPANY,"Houston, TX 77042",https://www.texas-drilling.com/operators/crest-operating-company/189885
190468,CROSS TIMBERS OPERATING COMPANY,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/cross-timbers-operating-company/190468
191420,CROWN CENTRAL PETROLEUM CORP.,"Baltimore, MD 21201",https://www.texas-drilling.com/operators/crown-central-petroleum-corp/191420
191571,"CRT'S, INC.","Abilene, TX 79605",https://www.texas-drilling.com/operators/crt-s-inc/191571
196972,DAESUNG ENERGY RESOURCES INC.,"Dallas, TX 75206",https://www.texas-drilling.com/operators/daesung-energy-resources-inc/196972
197416,"DAKOTA RESOURCES, INC. (I)","Midland, TX 79707",https://www.texas-drilling.com/operators/dakota-resources-inc-i/197416
197690,"DALLAS PRODUCTION, INC.","Dallas, TX 75206",https://www.texas-drilling.com/operators/dallas-production-inc/197690
213275,"DELRAY OIL, INC.","San Antonio, TX 78209",https://www.texas-drilling.com/operators/delray-oil-inc/213275
213350,DELTA DRILLING CO.,"Kilgore, TX 75662",https://www.texas-drilling.com/operators/delta-drilling-co/213350
216735,DEVON ENERGY CORPORATION(NEVADA),"Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/devon-energy-corporation-nevada/216735
216378,"DEVON ENERGY PRODUCTION CO, L.P.","Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/devon-energy-production-co-l-p/216378
216774,DEVON PETROLEUM CORP.,"Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/devon-petroleum-corp/216774
217005,DIAMOND S ENERGY COMPANY,"Fort Worth, TX 76132",https://www.texas-drilling.com/operators/diamond-s-energy-company/217005
216995,DIAMOND SHAMROCK EXPLORATION CO.,"Amarillo, TX 79173",https://www.texas-drilling.com/operators/diamond-shamrock-exploration-co/216995
217035,"DIASU OIL & GAS CO., INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/diasu-oil-gas-co-inc/217035
217955,"DICKINSON, ROY","Iowa Park, TX 76367",https://www.texas-drilling.com/operators/dickinson-roy/217955
220865,"DISCOVERY OPERATING, INC.","Midland, TX 79705",https://www.texas-drilling.com/operators/discovery-operating-inc/220865
220875,"DITTMAN, D. W.","Big Lake, TX 76932",https://www.texas-drilling.com/operators/dittman-d-w/220875
220889,"DIVERSIFIED O&G PROD. CO., INC.","Houston, TX 77257",https://www.texas-drilling.com/operators/diversified-o-g-prod-co-inc/220889
220894,DIVERSIFIED OPERATING CORP.,"Golden, CO 80401",https://www.texas-drilling.com/operators/diversified-operating-corp/220894
222282,"DOMINION OKLAHOMA TEXAS E&P, INC","Richmond, VA 23219",https://www.texas-drilling.com/operators/dominion-oklahoma-texas-e-p-inc/222282
227525,"DOW CHEMICAL COMPANY, THE","Freeport, TX 77541",https://www.texas-drilling.com/operators/dow-chemical-company-the/227525
227740,DPMP ENERGY LLC,"Prosper, TX 75078",https://www.texas-drilling.com/operators/dpmp-energy-llc/227740
228125,"DREYFUS, LOUIS NATURAL GAS CORP","Oklahoma City, OK 73134",https://www.texas-drilling.com/operators/dreyfus-louis-natural-gas-corp/228125
238522,"E.G.L. RESOURCES, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/e-g-l-resources-inc/238522
238735,"EAGLE PRODUCTION, INC.","Abilene, TX 79605",https://www.texas-drilling.com/operators/eagle-production-inc/238735
238732,"EARTHSTONE OPERATING, LLC","The Woodlands, TX 77380",https://www.texas-drilling.com/operators/earthstone-operating-llc/238732
239195,EASTERN PETROLEUM COMPANY,"Girard, OH 44420",https://www.texas-drilling.com/operators/eastern-petroleum-company/239195
239725,"EASTLAND OIL COMPANY, THE","Midland, TX 79702",https://www.texas-drilling.com/operators/eastland-oil-company-the/239725
240125,"ECHO PRODUCTION, INC.","Graham, TX 76450",https://www.texas-drilling.com/operators/echo-production-inc/240125
245598,EDWARDS PLATEAU OPERATING,"San Angelo, TX 76903",https://www.texas-drilling.com/operators/edwards-plateau-operating/245598
246620,ELCO OIL & GAS,"San Angelo, TX 76902",https://www.texas-drilling.com/operators/elco-oil-gas/246620
247756,ELEVATION RESOURCES LLC,"Midland, TX 79701",https://www.texas-drilling.com/operators/elevation-resources-llc/247756
251691,ENCANA OIL & GAS(USA) INC.,"Denver, CO 80202",https://www.texas-drilling.com/operators/encana-oil-gas-usa-inc/251691
251726,ENDEAVOR ENERGY RESOURCES L.P.,"Midland, TX 79701",https://www.texas-drilling.com/operators/endeavor-energy-resources-l-p/251726
252002,ENERGEN RESOURCES CORPORATION,"Midland, TX 79701",https://www.texas-drilling.com/operators/energen-resources-corporation/252002
251980,"ENERGY RESERVES GROUP, INC.","Houston, TX 77067",https://www.texas-drilling.com/operators/energy-reserves-group-inc/251980
252131,"ENERVEST OPERATING, L.L.C.","Houston, TX 77002",https://www.texas-drilling.com/operators/enervest-operating-l-l-c/252131
252120,"ENEXCO U.S.A., LTD.","Dallas, TX 75219",https://www.texas-drilling.com/operators/enexco-u-s-a-ltd/252120
253100,ENRICH OIL CORPORATION,"Abilene, TX 79604",https://www.texas-drilling.com/operators/enrich-oil-corporation/253100
253196,ENRON OIL & GAS COMPANY,"Houston, TX 77210",https://www.texas-drilling.com/operators/enron-oil-gas-company/253196
253210,"ENSERCH EXPLORATION, INC","Dallas, TX 75206",https://www.texas-drilling.com/operators/enserch-exploration-inc/253210
253162,"EOG RESOURCES, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/eog-resources-inc/253162
254344,ESPERANZA ENERGY CORP.,"Prosper, TX 75078",https://www.texas-drilling.com/operators/esperanza-energy-corp/254344
254850,ESTORIL PRODUCING CORPORATION,"Midland, TX 79701",https://www.texas-drilling.com/operators/estoril-producing-corporation/254850
255353,EUROPEAN-SOUTHWEST CO.,"Houston, TX 77254",https://www.texas-drilling.com/operators/european-southwest-co/255353
256998,EXPANDING ENERGY CORPORATION,"New Braunfels, TX 78132",https://www.texas-drilling.com/operators/expanding-energy-corporation/256998
257062,EXTEX OPERATING COMPANY,"Houston, TX 77057",https://www.texas-drilling.com/operators/extex-operating-company/257062
257097,EXXON CORP.,"Houston, TX 77210",https://www.texas-drilling.com/operators/exxon-corp/257097
263696,"FASKEN OIL AND RANCH, LTD.","Midland, TX 79707",https://www.texas-drilling.com/operators/fasken-oil-and-ranch-ltd/263696
263924,"FDL OPERATING, LLC","Judson, TX 75660",https://www.texas-drilling.com/operators/fdl-operating-llc/263924
263930,"FEAGAN ENERGY, INC.","Midland, TX 79710",https://www.texas-drilling.com/operators/feagan-energy-inc/263930
265140,FELDERHOFF PRODUCTION COMPANY,"Muenster, TX 76252",https://www.texas-drilling.com/operators/felderhoff-production-company/265140
268321,FINA OIL & CHEMICAL COMPANY,"Dallas, TX 75221",https://www.texas-drilling.com/operators/fina-oil-chemical-company/268321
269026,FIRST RESERVE OIL & GAS CO,"Houston, TX 77002",https://www.texas-drilling.com/operators/first-reserve-oil-gas-co/269026
270500,FISHER OIL CO.,"Big Lake, TX 76932",https://www.texas-drilling.com/operators/fisher-oil-co/270500
270635,"FISHER-WEBB, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/fisher-webb-inc/270635
274100,FLOW PRODUCTION COMPANY,"Midland, TX 79708",https://www.texas-drilling.com/operators/flow-production-company/274100
274430,"FLUID LIFT INTERNATIONAL, INC.","Fort Worth, TX 76162",https://www.texas-drilling.com/operators/fluid-lift-international-inc/274430
278563,FORTSON OIL COMPANY,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/fortson-oil-company/278563
